peak_sample,area_over_peak,tail_fraction,late_fraction,early_fraction,width50,width20,max_down_step,asymmetry,peak_group,manual_flag
7.0,7.3151712,0.3764564,0.61743426,-0.00038128006,7.0,12.0,-0.21858984,0.53630143,nominal_6_9,nominal
7.0,8.82652,0.3744354,0.65067506,0.0012054002,9.0,13.0,-0.23541269,0.5601305,nominal_6_9,nominal
3.0,3.9616823,0.0018249331,0.2026583,0.32219115,3.0,11.0,-0.29979515,-0.20472656,early_0_3,early_peak
5.0,7.96375,0.3092466,0.51454216,0.068361744,8.0,14.0,-0.22121191,0.37362725,prepeak_4_5,nominal
6.0,8.497692,0.33947694,0.56066394,0.039322507,9.0,14.0,-0.2261321,0.4435789,nominal_6_9,nominal
7.0,7.3438225,0.233732,0.5521735,0.009863429,7.0,10.0,-0.14257619,0.41828078,nominal_6_9,nominal
6.0,9.61631,0.32409218,0.5705479,0.04756468,10.0,14.0,-0.16184002,0.4381061,nominal_6_9,nominal
6.0,7.4461074,0.15075435,0.41402107,0.09020212,8.0,10.0,-0.14356972,0.22120929,nominal_6_9,nominal
5.0,5.7594085,0.37851128,0.62912583,0.10810348,4.0,13.0,-1.703295,0.43305558,prepeak_4_5,large_negative_step
6.0,9.031763,0.3442208,0.630272,0.005079904,9.0,13.0,-0.19301444,0.52945536,nominal_6_9,nominal
6.0,8.134897,0.32947135,0.54688054,0.044524737,7.0,14.0,-0.21850914,0.42671153,nominal_6_9,nominal
7.0,6.370049,0.3870403,0.66076165,0.040745445,6.0,13.0,-1.763629,0.520497,nominal_6_9,large_negative_step
6.0,7.8728137,0.34398648,0.56706816,0.012429624,8.0,13.0,-0.2250427,0.47576725,nominal_6_9,nominal
5.0,6.3096776,0.3971139,0.6716248,0.044140913,6.0,13.0,-1.8221545,0.5274337,prepeak_4_5,large_negative_step
6.0,7.667858,0.33932078,0.5590311,0.022673547,7.0,13.0,-0.23142707,0.460596,nominal_6_9,nominal
5.0,8.497505,0.32963634,0.54224753,0.06157035,10.0,14.0,-0.20713449,0.40634015,prepeak_4_5,nominal
6.0,8.677541,0.33597732,0.56996083,0.03662881,11.0,14.0,-0.17933393,0.45387444,nominal_6_9,nominal
6.0,8.821953,0.31042475,0.5908786,0.019435357,9.0,13.0,-0.24360868,0.47869706,nominal_6_9,nominal
5.0,7.5819874,0.29939,0.49908063,0.08157487,5.0,14.0,-0.23213103,0.34766367,prepeak_4_5,nominal
8.0,7.184505,0.23098752,0.57278657,0.0039727585,7.0,10.0,-0.15137616,0.4419694,nominal_6_9,nominal
6.0,-0.85949904,-3.764748,-3.6048334,-0.3084577,3.0,5.0,-0.5882712,-3.5557928,nominal_6_9,nominal
5.0,8.045094,0.31412244,0.51748866,0.07011116,8.0,14.0,-0.22357976,0.3753249,prepeak_4_5,nominal
6.0,8.848742,0.34022525,0.575977,0.030665444,11.0,14.0,-0.17591125,0.4649367,nominal_6_9,nominal
7.0,6.9517465,0.21603754,0.53949887,0.006941231,7.0,10.0,-0.14705881,0.40992922,nominal_6_9,nominal
7.0,7.3002462,0.22558713,0.5446679,0.010787729,7.0,10.0,-0.145201,0.4131925,nominal_6_9,nominal
9.0,7.0033617,0.30301577,0.687225,-0.0015998718,7.0,10.0,-0.15462185,0.5460363,nominal_6_9,nominal
6.0,8.1098585,0.22230145,0.5391059,0.02473977,8.0,12.0,-0.16652209,0.39547983,nominal_6_9,nominal
5.0,7.7856073,0.30454296,0.5099493,0.06733441,8.0,14.0,-0.25511974,0.37141666,prepeak_4_5,nominal
7.0,7.7003317,0.26001644,0.5902094,0.003263547,7.0,11.0,-0.15015018,0.4620074,nominal_6_9,nominal
7.0,8.168088,0.38396582,0.62043315,0.00091336115,10.0,13.0,-0.18376982,0.54182816,nominal_6_9,nominal
9.0,5.930894,0.43167523,0.8425423,0.10096109,7.0,12.0,-1.6818707,0.57297254,nominal_6_9,large_negative_step
5.0,7.3470254,0.11340852,0.34996143,0.14960478,7.0,10.0,-0.1483711,0.10646808,prepeak_4_5,nominal
3.0,-10.668156,-0.8558989,-1.1212007,0.03202712,4.0,5.0,-0.4091112,-1.0951604,early_0_3,early_low_area
6.0,7.638968,0.33853143,0.55633104,0.02118609,7.0,13.0,-0.23055083,0.45924667,nominal_6_9,nominal
6.0,8.871289,0.33994636,0.59136885,0.02366522,10.0,14.0,-0.21506625,0.48286426,nominal_6_9,nominal
6.0,9.025556,0.33231547,0.55531496,0.053501368,10.0,14.0,-0.18857527,0.42479086,nominal_6_9,nominal
6.0,8.352452,0.33483654,0.5531884,0.04246326,8.0,14.0,-0.19978517,0.4346033,nominal_6_9,nominal
5.0,7.4510746,0.30254135,0.49896166,0.08668369,6.0,14.0,-0.24501836,0.3422228,prepeak_4_5,nominal
6.0,7.954782,0.3292289,0.54549146,0.04143949,7.0,14.0,-0.22846222,0.42888752,nominal_6_9,nominal
5.0,8.216496,0.32290787,0.5340442,0.056945626,7.0,14.0,-0.21649688,0.40226698,prepeak_4_5,nominal
6.0,8.515939,0.36547565,0.60242563,0.008740572,11.0,13.0,-0.1845712,0.51079,nominal_6_9,nominal
5.0,8.8834,0.29809245,0.5250354,0.10991847,11.0,14.0,-0.20132804,0.33651257,prepeak_4_5,nominal
6.0,7.859781,0.35142773,0.5768737,0.00949219,8.0,13.0,-0.21884584,0.48876542,nominal_6_9,nominal
6.0,6.8506184,0.3166651,0.5276509,0.011013182,4.0,13.0,-0.25684345,0.44488838,nominal_6_9,nominal
6.0,7.1527863,0.31332004,0.5172742,0.03987914,5.0,14.0,-0.2517295,0.40659624,nominal_6_9,nominal
7.0,8.655582,0.4001723,0.6574076,0.000325968,10.0,13.0,-0.19729948,0.5781741,nominal_6_9,nominal
6.0,7.635433,0.3115129,0.5234465,0.052305013,6.0,14.0,-0.27284366,0.39753944,nominal_6_9,nominal
4.0,4.037322,-0.2572221,-0.09585162,0.37526003,6.0,9.0,-0.18194543,-0.5689277,prepeak_4_5,nominal
6.0,7.272873,0.30216387,0.5016871,0.05953935,4.0,14.0,-0.26503068,0.37210444,nominal_6_9,nominal
6.0,8.322489,0.35475734,0.587954,0.015845004,11.0,13.0,-0.20009476,0.49421233,nominal_6_9,nominal
6.0,8.7892885,0.21297096,0.5118034,0.05386481,8.0,13.0,-0.21197253,0.34700292,nominal_6_9,nominal
5.0,7.811929,0.31050712,0.50761944,0.09471444,7.0,14.0,-0.23446292,0.34268153,prepeak_4_5,nominal
6.0,7.2335386,0.3131542,0.52115893,0.03477492,6.0,14.0,-0.23484105,0.41374505,nominal_6_9,nominal
7.0,7.256856,0.1519083,0.43028092,0.05592644,7.0,10.0,-0.18281534,0.26791784,nominal_6_9,nominal
7.0,8.938593,0.38516766,0.6532609,0.0010972759,10.0,13.0,-0.13816631,0.5646677,nominal_6_9,nominal
6.0,7.9411893,0.34972075,0.5721501,0.014907994,8.0,13.0,-0.22328812,0.4804261,nominal_6_9,nominal
7.0,8.542239,0.38042137,0.62162966,0.0031488328,10.0,13.0,-0.19346881,0.5353497,nominal_6_9,nominal
7.0,7.1519847,0.34246182,0.5821488,0.0019606291,6.0,13.0,-0.22209656,0.4959127,nominal_6_9,nominal
6.0,7.39243,0.3347648,0.5510868,0.01514601,7.0,13.0,-0.23797315,0.46030983,nominal_6_9,nominal
6.0,8.191535,0.35901982,0.58879584,0.010089402,9.0,13.0,-0.2057668,0.4988508,nominal_6_9,nominal
7.0,8.234779,0.38977706,0.6289183,0.0016440892,10.0,13.0,-0.1905148,0.55019885,nominal_6_9,nominal
5.0,8.449471,0.3261658,0.5373143,0.062443864,10.0,14.0,-0.20795327,0.40156302,prepeak_4_5,nominal
6.0,7.543049,0.336189,0.5544634,0.016943978,7.0,13.0,-0.22287244,0.46024397,nominal_6_9,nominal
6.0,8.868325,0.33623913,0.5836086,0.027369563,11.0,14.0,-0.17061883,0.47282606,nominal_6_9,nominal
6.0,6.496662,0.050828878,0.25558296,0.18584739,6.0,9.0,-0.15754336,-0.021441301,nominal_6_9,nominal
5.0,8.687646,0.32247788,0.5296317,0.08282466,10.0,14.0,-0.19420165,0.37369198,prepeak_4_5,nominal
7.0,7.499465,0.37549073,0.6269541,-5.353701e-05,7.0,12.0,-0.19258565,0.53806484,nominal_6_9,nominal
7.0,7.166016,0.19187033,0.5013913,0.02280426,8.0,10.0,-0.15171218,0.3608759,nominal_6_9,nominal
5.0,8.184931,0.31966478,0.52396184,0.06756969,8.0,14.0,-0.216331,0.38404268,prepeak_4_5,nominal
6.0,7.7897305,0.3389638,0.5565901,0.022823902,7.0,13.0,-0.23273426,0.4581919,nominal_6_9,nominal
6.0,8.964465,0.33810976,0.57151943,0.03577441,11.0,14.0,-0.1535492,0.45582762,nominal_6_9,nominal
5.0,7.4316053,0.28904152,0.47730666,0.11424164,6.0,14.0,-0.23268348,0.29510584,prepeak_4_5,nominal
6.0,8.215947,0.35461244,0.5819195,0.014539636,9.0,13.0,-0.20106888,0.4884228,nominal_6_9,nominal
3.0,-3.260889,-0.51448727,-0.74354404,-0.3235838,2.0,3.0,-3.1869555,-0.36420298,early_0_3,large_negative_step
6.0,7.9072843,0.32229406,0.53361255,0.05075377,7.0,14.0,-0.24030274,0.40985087,nominal_6_9,nominal
6.0,8.630612,0.2985053,0.6020409,0.010232827,9.0,13.0,-0.25130242,0.49264154,nominal_6_9,nominal
6.0,7.7575192,0.31189537,0.52133465,0.056612756,7.0,14.0,-0.26429033,0.39269194,nominal_6_9,nominal
6.0,8.728616,0.3344938,0.5640964,0.039746497,10.0,14.0,-0.18349701,0.44527042,nominal_6_9,nominal
7.0,7.836698,0.39137957,0.6237072,0.0001425964,9.0,13.0,-0.24390972,0.5514773,nominal_6_9,nominal
5.0,8.980143,0.33134317,0.55418575,0.05458197,10.0,14.0,-0.19758397,0.4228537,prepeak_4_5,nominal
6.0,8.648182,0.36065274,0.6045234,0.010162561,11.0,13.0,-0.17257625,0.5124746,nominal_6_9,nominal
5.0,8.423301,0.33033046,0.54604065,0.047285955,9.0,14.0,-0.2157417,0.42361292,prepeak_4_5,nominal
7.0,6.411979,0.39978042,0.6801005,0.03217388,6.0,13.0,-1.8004322,0.54470253,nominal_6_9,large_negative_step
6.0,8.22852,0.35651258,0.58618104,0.010640414,9.0,13.0,-0.20843565,0.49617597,nominal_6_9,nominal
6.0,6.9100018,0.31506786,0.52704346,0.01854565,5.0,13.0,-0.25299728,0.4321329,nominal_6_9,nominal
7.0,8.5225935,0.37527618,0.64421433,0.0003436595,9.0,13.0,-0.20041844,0.55731755,nominal_6_9,nominal
5.0,7.743739,0.3064987,0.50237364,0.09071286,7.0,14.0,-0.23258585,0.34214935,prepeak_4_5,nominal
5.0,9.140303,0.26769087,0.5452281,0.048710193,9.0,14.0,-0.222911,0.4022927,prepeak_4_5,nominal
6.0,7.427733,0.32253063,0.53606576,0.02796764,6.0,14.0,-0.2369194,0.4321461,nominal_6_9,nominal
7.0,8.447499,0.25223324,0.5797729,0.013433972,8.0,12.0,-0.18572682,0.45183852,nominal_6_9,nominal
6.0,8.833814,0.3433037,0.6013831,0.016990893,10.0,13.0,-0.18277544,0.49844822,nominal_6_9,nominal
6.0,8.705418,0.35491952,0.59240377,0.021411946,12.0,13.0,-0.22254658,0.4903444,nominal_6_9,nominal
6.0,8.465888,0.36031625,0.5955631,0.011082825,12.0,13.0,-0.19672662,0.50341684,nominal_6_9,nominal
6.0,8.207455,0.3252254,0.5383497,0.050150275,7.0,14.0,-0.21055466,0.4135447,nominal_6_9,nominal
5.0,8.30941,0.31386754,0.5176743,0.08166986,8.0,14.0,-0.21597558,0.3636116,prepeak_4_5,nominal
8.0,7.092298,0.3023395,0.66837186,-0.0002692517,7.0,10.0,-0.13749206,0.530575,nominal_6_9,nominal
5.0,9.021008,0.23604175,0.5283093,0.059648726,8.0,14.0,-0.21842569,0.3688906,prepeak_4_5,nominal
6.0,9.273743,0.3223987,0.61831874,0.008543264,9.0,13.0,-0.23768413,0.5116375,nominal_6_9,nominal
6.0,7.989335,0.3517051,0.57566005,0.015144159,8.0,13.0,-0.20693958,0.4839976,nominal_6_9,nominal
6.0,8.913064,0.3758695,0.6308166,0.0035104777,10.0,13.0,-0.17329353,0.542115,nominal_6_9,nominal
6.0,9.079579,0.28206632,0.56675273,0.03172049,9.0,14.0,-0.22002178,0.43957815,nominal_6_9,nominal
6.0,8.404461,0.37320644,0.61223316,0.0048086173,11.0,13.0,-0.19382477,0.52598584,nominal_6_9,nominal
5.0,8.179553,0.32022738,0.53174955,0.052727446,7.0,14.0,-0.21769845,0.4040292,prepeak_4_5,nominal
7.0,8.614964,0.28654748,0.60980105,0.0060859653,8.0,13.0,-0.22938281,0.49876386,nominal_6_9,nominal
5.0,7.606394,0.30185366,0.5000221,0.08380647,6.0,14.0,-0.23286599,0.3457993,prepeak_4_5,nominal
5.0,7.5403686,0.29875302,0.49456492,0.091049105,6.0,14.0,-0.23562253,0.33331856,prepeak_4_5,nominal
5.0,9.048836,0.25818115,0.53978413,0.056832574,8.0,14.0,-0.2330746,0.38708702,prepeak_4_5,nominal
6.0,8.867462,0.36828145,0.6134926,0.011332541,11.0,13.0,-0.16800964,0.519845,nominal_6_9,nominal
6.0,9.135894,0.33872595,0.61143756,0.01416173,10.0,13.0,-0.16397125,0.50743735,nominal_6_9,nominal
6.0,8.978923,0.29503098,0.60013014,0.017081933,9.0,13.0,-0.26079226,0.4819707,nominal_6_9,nominal
5.0,8.272423,0.3238455,0.5346219,0.072012626,8.0,14.0,-0.20449519,0.38868186,prepeak_4_5,nominal
7.0,8.578332,0.35529104,0.66385,0.00039372465,8.0,12.0,-0.23018965,0.56878066,nominal_6_9,nominal
6.0,7.5222907,0.33663774,0.557571,0.014943016,7.0,13.0,-0.22505671,0.46509224,nominal_6_9,nominal
6.0,7.768835,0.33105275,0.54865104,0.026560383,7.0,14.0,-0.220509,0.4457013,nominal_6_9,nominal
5.0,8.682606,0.3111733,0.5240701,0.115172796,9.0,14.0,-0.22361499,0.3348602,prepeak_4_5,nominal
6.0,7.5331883,0.3321829,0.5536701,0.017997526,7.0,13.0,-0.23964286,0.45745093,nominal_6_9,nominal
6.0,7.726013,0.34642327,0.56920004,0.012384948,7.0,13.0,-0.21830064,0.47868165,nominal_6_9,nominal
6.0,8.206921,0.3346409,0.5552622,0.037911553,7.0,14.0,-0.24681848,0.44046298,nominal_6_9,nominal
6.0,7.866744,0.33975342,0.5619702,0.018223122,7.0,13.0,-0.20344472,0.46484604,nominal_6_9,nominal
6.0,8.019362,0.35468182,0.5833613,0.008503551,8.0,13.0,-0.19730055,0.4944661,nominal_6_9,nominal
7.0,7.617923,0.1905891,0.47068214,0.047100127,7.0,11.0,-0.13337967,0.3147456,nominal_6_9,nominal
6.0,7.777877,0.3378345,0.5552144,0.020492136,7.0,13.0,-0.23368049,0.45859936,nominal_6_9,nominal
7.0,8.188685,0.26223996,0.58893824,0.005004294,8.0,12.0,-0.19388378,0.46427903,nominal_6_9,nominal
6.0,7.647425,0.3348424,0.5549792,0.018899113,7.0,13.0,-0.22379977,0.45798385,nominal_6_9,nominal
6.0,7.310676,0.31363356,0.52223665,0.033305343,6.0,14.0,-0.22880745,0.41510686,nominal_6_9,nominal
6.0,7.9959865,0.3211507,0.53225,0.050555274,7.0,14.0,-0.25147372,0.4085989,nominal_6_9,nominal
6.0,7.6117177,0.33670086,0.5553408,0.020041924,7.0,13.0,-0.23043221,0.4586104,nominal_6_9,nominal
5.0,8.192939,0.3189466,0.5199898,0.09377729,8.0,14.0,-0.22102207,0.35544074,prepeak_4_5,nominal
5.0,7.467373,0.30692142,0.5050862,0.085619844,6.0,14.0,-0.25109887,0.34905973,prepeak_4_5,nominal
6.0,7.1187253,0.30794713,0.5138198,0.03493023,5.0,14.0,-0.23490041,0.4061264,nominal_6_9,nominal
6.0,8.377945,0.35188445,0.58553666,0.021082839,11.0,13.0,-0.235775,0.48515397,nominal_6_9,nominal
5.0,8.633179,0.32060492,0.53256047,0.08196014,10.0,14.0,-0.20031917,0.37649205,prepeak_4_5,nominal
6.0,7.4043636,0.30859783,0.51848805,0.039758276,6.0,14.0,-0.23025805,0.4041942,nominal_6_9,nominal
5.0,8.108057,0.31739366,0.5227743,0.065702505,8.0,14.0,-0.2180053,0.38463575,prepeak_4_5,nominal
6.0,7.7453475,0.3400598,0.56715983,0.008842909,8.0,13.0,-0.21615398,0.477162,nominal_6_9,nominal
7.0,7.2914133,0.20544323,0.51845324,0.012982195,8.0,10.0,-0.1501014,0.3835775,nominal_6_9,nominal
6.0,8.815421,0.33722687,0.56730145,0.037730485,10.0,14.0,-0.17339784,0.4501912,nominal_6_9,nominal
5.0,8.308608,0.32461107,0.5346447,0.060828134,7.0,14.0,-0.21879327,0.4002632,prepeak_4_5,nominal
5.0,9.168967,0.2923887,0.518062,0.12230493,11.0,15.0,-0.20496082,0.31596288,prepeak_4_5,nominal
5.0,8.79437,0.31826392,0.5300077,0.09291118,10.0,14.0,-0.1896674,0.36296245,prepeak_4_5,nominal
5.0,7.705906,0.30712748,0.51005715,0.07588832,7.0,14.0,-0.22483432,0.36240804,prepeak_4_5,nominal
6.0,9.515171,0.3651531,0.6290006,0.008711728,11.0,13.0,-0.14445913,0.53123057,nominal_6_9,nominal
5.0,7.6918354,0.29918075,0.49646926,0.08682665,6.0,14.0,-0.23287976,0.33946207,prepeak_4_5,nominal
6.0,8.509373,0.34975946,0.5780193,0.03212396,11.0,14.0,-0.2277826,0.4677378,nominal_6_9,nominal
6.0,8.696586,0.32500324,0.5701566,0.03330953,10.0,14.0,-0.15636468,0.45401138,nominal_6_9,nominal
6.0,8.261078,0.36694962,0.6032413,0.005575921,10.0,13.0,-0.19509089,0.51595604,nominal_6_9,nominal
7.0,6.471399,0.39551252,0.67909086,0.03148936,7.0,13.0,-1.8484166,0.5421663,nominal_6_9,large_negative_step
7.0,7.2426248,0.19067347,0.47931734,0.037713323,7.0,11.0,-0.13275686,0.32923657,nominal_6_9,nominal
6.0,8.821554,0.29707894,0.59447724,0.015285726,9.0,13.0,-0.23417026,0.4818543,nominal_6_9,nominal
6.0,7.742843,0.19609222,0.4873802,0.03624835,8.0,11.0,-0.16088277,0.3359427,nominal_6_9,nominal
5.0,8.760907,0.32764688,0.5551167,0.052325465,11.0,14.0,-0.19700068,0.42412803,prepeak_4_5,nominal
6.0,8.92617,0.29376224,0.5716994,0.02926867,9.0,14.0,-0.21142855,0.4495801,nominal_6_9,nominal
6.0,8.260204,0.3526532,0.5813469,0.022598922,9.0,13.0,-0.24460429,0.48158166,nominal_6_9,nominal
5.0,7.841085,0.30277565,0.49852458,0.09595711,7.0,14.0,-0.23525959,0.3319253,prepeak_4_5,nominal
7.0,7.5829673,0.216374,0.52687407,0.016757285,8.0,10.0,-0.15207839,0.3915233,nominal_6_9,nominal
6.0,9.035664,0.35485083,0.57574207,0.03759473,12.0,14.0,-0.15388733,0.4611817,nominal_6_9,nominal
6.0,8.016908,0.3544402,0.58081234,0.012201604,9.0,13.0,-0.21723378,0.4898807,nominal_6_9,nominal
5.0,8.04199,0.3131189,0.5136754,0.08897619,7.0,14.0,-0.2125839,0.35366234,prepeak_4_5,nominal
5.0,8.093791,0.3178607,0.52300406,0.07131501,8.0,14.0,-0.22061557,0.3797512,prepeak_4_5,nominal
7.0,7.936889,0.3618324,0.5912673,0.0019527127,8.0,13.0,-0.2148841,0.51037925,nominal_6_9,nominal
7.0,8.643304,0.4104567,0.66602737,-0.00010337223,10.0,12.0,-0.20371288,0.5885671,nominal_6_9,nominal
6.0,8.339643,0.3406643,0.58219516,0.023540335,11.0,13.0,-0.24982792,0.47703734,nominal_6_9,nominal
5.0,8.280254,0.3148919,0.52301973,0.089570954,9.0,14.0,-0.21015435,0.36063543,prepeak_4_5,nominal
3.0,7.148503,0.18744054,0.3919103,0.24450189,7.0,13.0,-0.24537921,0.06936517,early_0_3,early_peak
5.0,8.083244,0.3133409,0.5140957,0.083441414,8.0,14.0,-0.20918334,0.35913643,prepeak_4_5,nominal
6.0,7.3962836,0.31378785,0.5265854,0.03767151,7.0,14.0,-0.26342463,0.4143703,nominal_6_9,nominal
6.0,7.406608,0.328465,0.54557157,0.01671794,7.0,13.0,-0.23109674,0.4522102,nominal_6_9,nominal
6.0,8.557693,0.26797023,0.57776153,0.020750036,8.0,13.0,-0.23376626,0.45521668,nominal_6_9,nominal
6.0,7.5700226,0.32563677,0.5449419,0.018703595,7.0,13.0,-0.21949488,0.44722578,nominal_6_9,nominal
6.0,7.952628,0.35748038,0.5863373,0.00796654,9.0,13.0,-0.21295893,0.4992848,nominal_6_9,nominal
8.0,7.317102,0.2453652,0.59958804,0.0035652034,7.0,11.0,-0.15594202,0.46434793,nominal_6_9,nominal
6.0,8.12084,0.33512056,0.55370146,0.039576158,7.0,14.0,-0.244299,0.43912148,nominal_6_9,nominal
6.0,7.5897336,0.33251902,0.55543065,0.010686493,7.0,13.0,-0.22705227,0.46545702,nominal_6_9,nominal
6.0,7.349025,0.31881955,0.5386408,0.014385158,6.0,13.0,-0.21812612,0.44377902,nominal_6_9,nominal
6.0,8.051382,0.32349017,0.53600764,0.05112604,7.0,14.0,-0.2220928,0.41002905,nominal_6_9,nominal
5.0,7.7746897,0.31319338,0.51715124,0.06724328,7.0,14.0,-0.23397088,0.37757424,prepeak_4_5,nominal
5.0,8.845286,0.3172847,0.52862567,0.109672554,9.0,14.0,-0.19513696,0.34492177,prepeak_4_5,nominal
6.0,8.068935,0.31910497,0.52898604,0.056117974,7.0,14.0,-0.21766305,0.39924112,nominal_6_9,nominal
5.0,7.6708775,0.30122712,0.5062667,0.06842427,7.0,14.0,-0.25768584,0.36571646,prepeak_4_5,nominal
6.0,9.243458,0.3376627,0.62886083,0.0071514826,10.0,13.0,-0.24606228,0.5249027,nominal_6_9,nominal
5.0,8.165551,0.31888643,0.5244785,0.07365474,8.0,14.0,-0.2230764,0.37824038,prepeak_4_5,nominal
12.0,6.3167334,0.79919827,0.9973944,0.0010021714,7.0,8.0,-0.112893045,0.994488,late_10_17,late_peak
6.0,6.9428353,0.1292996,0.38589463,0.08775256,7.0,10.0,-0.1383979,0.1970641,nominal_6_9,nominal
7.0,11.023576,0.47735626,0.71220845,0.0016227834,12.0,13.0,-0.09406471,0.63403547,nominal_6_9,nominal
15.0,4.7841477,0.9957111,0.9964259,0.0011353126,5.0,6.0,-0.13116074,0.99718285,late_10_17,late_peak
15.0,4.4681025,0.99918157,0.99927247,9.094215e-05,5.0,5.0,-0.123120666,0.9989087,late_10_17,late_peak
14.0,4.4871173,0.994908,0.99978334,-0.00027085587,5.0,5.0,-0.1713661,0.9982666,late_10_17,late_peak
6.0,8.914729,0.33393094,0.5537695,0.050891973,11.0,14.0,-0.18716532,0.4265441,nominal_6_9,nominal
5.0,7.435876,0.292658,0.48585975,0.10122558,6.0,14.0,-0.25724673,0.31501192,prepeak_4_5,nominal
6.0,8.080933,0.34492338,0.5707169,0.02403829,9.0,13.0,-0.2641024,0.47008705,nominal_6_9,nominal
7.0,9.040253,0.39553297,0.663241,0.00045729137,10.0,13.0,-0.15339428,0.57806444,nominal_6_9,nominal
5.0,8.089926,0.31896296,0.52140623,0.07498074,8.0,14.0,-0.21953702,0.3749666,prepeak_4_5,nominal
6.0,6.9954515,0.313286,0.5287246,0.017571371,6.0,13.0,-0.2429496,0.43322575,nominal_6_9,nominal
6.0,7.9830813,0.35979572,0.5929889,0.0027446756,7.0,13.0,-0.2117598,0.50945,nominal_6_9,nominal
6.0,8.677557,0.38064742,0.62870353,0.0021484692,11.0,13.0,-0.17240769,0.5420281,nominal_6_9,nominal
6.0,8.6668415,0.36467025,0.608484,0.0096757915,11.0,13.0,-0.1810224,0.5164125,nominal_6_9,nominal
7.0,7.614351,0.25973454,0.6005935,0.0027268718,7.0,11.0,-0.19267178,0.4755985,nominal_6_9,nominal
6.0,8.625032,0.3480117,0.58655524,0.025549455,11.0,14.0,-0.23266864,0.47922197,nominal_6_9,nominal
5.0,8.043313,0.30919406,0.51223403,0.07399543,8.0,14.0,-0.21974134,0.36588144,prepeak_4_5,nominal
6.0,7.4832826,0.17521057,0.44591475,0.05278122,7.0,11.0,-0.14685649,0.28648078,nominal_6_9,nominal
6.0,8.92112,0.2648888,0.56865376,0.028608102,8.0,14.0,-0.2363868,0.43890476,nominal_6_9,nominal
5.0,7.4103427,0.29808494,0.4916829,0.09749389,6.0,14.0,-0.25704682,0.3247114,prepeak_4_5,nominal
3.0,-0.3187405,-10.560219,-8.485117,1.9018945,5.0,9.0,-0.4334699,-11.374156,early_0_3,early_low_area
7.0,7.098636,0.15065679,0.44647485,0.045795728,7.0,10.0,-0.14652711,0.28250378,nominal_6_9,nominal
6.0,9.502443,0.34422207,0.63079697,0.007949063,10.0,13.0,-0.24401855,0.5278151,nominal_6_9,nominal
5.0,8.112734,0.32443592,0.53313047,0.055488274,7.0,14.0,-0.2124111,0.4045927,prepeak_4_5,nominal
5.0,8.357071,0.29760405,0.4896891,0.158081,7.0,15.0,-0.22825575,0.26351133,prepeak_4_5,nominal
