reviewer_or_method,selection_method,metric,ci_low,ci_high,n_boot_valid
ml_loro_random_forest,all_gallery,target_f1,0.8787878787878788,0.9818181818181818,5000
ml_loro_random_forest,all_gallery,target_precision,0.8421052631578947,1.0,5000
ml_loro_random_forest,all_gallery,target_recall,0.84,1.0,5000
ml_loro_random_forest,ml_pca_ae_isolation,curated_f1,0.9672131147540983,0.9919999999999999,5000
ml_loro_random_forest,ml_pca_ae_isolation,curated_precision,0.952755905511811,1.0,5000
ml_loro_random_forest,ml_pca_ae_isolation,curated_recall,0.9512195121951219,1.0,5000
ml_loro_random_forest,ml_pca_ae_isolation,exact_agreement,0.8984375,0.984375,5000
ml_loro_random_forest,ml_pca_ae_isolation,target_f1,0.9166666666666666,1.0,5000
ml_loro_random_forest,ml_pca_ae_isolation,target_precision,0.8723404255319149,1.0,5000
ml_loro_random_forest,ml_pca_ae_isolation,target_recall,0.8846153846153846,1.0,5000
ml_loro_random_forest,traditional_robust_template,curated_f1,0.963265306122449,1.0,5000
ml_loro_random_forest,traditional_robust_template,curated_precision,0.9752066115702479,1.0,5000
ml_loro_random_forest,traditional_robust_template,curated_recall,0.9516129032258065,1.0,5000
ml_loro_random_forest,traditional_robust_template,exact_agreement,0.8984375,0.9921875,5000
ml_loro_random_forest,traditional_robust_template,target_f1,0.7777777777777778,0.9565217391304348,5000
ml_loro_random_forest,traditional_robust_template,target_precision,0.75,1.0,5000
ml_loro_random_forest,traditional_robust_template,target_recall,0.7391304347826086,1.0,5000
traditional_fixed_morphology,all_gallery,curated_f1,0.9800796812749004,0.9960159362549801,5000
traditional_fixed_morphology,all_gallery,curated_precision,0.9609375,0.9920634920634921,5000
traditional_fixed_morphology,all_gallery,curated_recall,1.0,1.0,5000
traditional_fixed_morphology,all_gallery,exact_agreement,0.703125,0.796875,5000
traditional_fixed_morphology,all_gallery,target_f1,0.7751937984496124,0.8433734939759037,5000
traditional_fixed_morphology,all_gallery,target_precision,1.0,1.0,5000
traditional_fixed_morphology,all_gallery,target_recall,0.6329113924050633,0.7291666666666666,5000
traditional_fixed_morphology,ml_pca_ae_isolation,curated_f1,0.9841269841269841,1.0,5000
traditional_fixed_morphology,ml_pca_ae_isolation,curated_precision,0.96875,1.0,5000
traditional_fixed_morphology,ml_pca_ae_isolation,curated_recall,1.0,1.0,5000
traditional_fixed_morphology,ml_pca_ae_isolation,exact_agreement,0.859375,0.953125,5000
traditional_fixed_morphology,ml_pca_ae_isolation,target_f1,0.8837209302325582,1.0,5000
traditional_fixed_morphology,ml_pca_ae_isolation,target_precision,1.0,1.0,5000
traditional_fixed_morphology,ml_pca_ae_isolation,target_recall,0.7916666666666666,1.0,5000
traditional_fixed_morphology,traditional_robust_template,curated_f1,0.9718875502008032,0.996078431372549,5000
traditional_fixed_morphology,traditional_robust_template,curated_precision,0.9453125,0.9921875,5000
traditional_fixed_morphology,traditional_robust_template,curated_recall,1.0,1.0,5000
traditional_fixed_morphology,traditional_robust_template,exact_agreement,0.53125,0.640625,5000
traditional_fixed_morphology,traditional_robust_template,target_f1,0.0,0.4,5000
traditional_fixed_morphology,traditional_robust_template,target_precision,0.0,1.0,5000
traditional_fixed_morphology,traditional_robust_template,target_recall,0.0,0.25,5000
