atom,stave,n_total,runs_present,effective_runs,max_run_fraction,sample_i_fraction,sample_ii_fraction,sample_balance_absdiff,prevalence_ci_low,prevalence_ci_high,support_ci_width,harm_rate,harm_ci_low,harm_ci_high,traditional_pass,traditional_decision
secondary_delayed_peak,B4,21144,33,12.229194021976012,0.14519485433219825,1.0,0.6785849413545214,0.3214150586454786,0.35947042585154393,0.36730347768424265,0.007833051832698723,0.5018917896329929,0.49512886836314746,0.5086541906137951,False,defer
secondary_delayed_peak,B6,10095,33,11.522874158630485,0.14680534918276375,1.0,0.687072808320951,0.31292719167904903,0.2922823039187419,0.30203037478598205,0.009748070867240166,0.42634967805844476,0.4166753568560199,0.4360665122957866,False,defer
dropout_subclass,B2,14633,33,23.024657737226363,0.07995626324062051,1.0,0.19831886831135107,0.801681131688649,0.021242518696476965,0.02193593980731188,0.0006934211108349138,0.9392469076744345,0.9352542038774918,0.9430638428651079,False,defer
dropout_subclass,B4,1397,32,15.649303578731287,0.11739441660701504,1.0,0.5833929849677881,0.41660701503221187,0.022780211402358773,0.0252851713658632,0.0025049599635044266,0.8790264853256979,0.8607674395943601,0.895673573568448,False,defer
dropout_subclass,B6,548,31,11.39760133596478,0.15693430656934307,1.0,0.6733576642335767,0.3266423357664233,0.014817198452224591,0.017526399653581878,0.0027092012013572864,0.8832116788321168,0.8533207541017933,0.9088874037185138,False,defer
dropout_subclass,B8,244,31,11.475713184271395,0.15163934426229508,1.0,0.6516393442622951,0.3483606557377049,0.014762255792466013,0.019010786659564058,0.004248530867098045,0.9221311475409836,0.8810679090909204,0.9524683291199049,False,defer
saturation_boundary,B2,436614,33,19.50228182970197,0.1035743242314722,1.0,0.10427288176741928,0.8957271182325808,0.6429691319994169,0.6452501433144783,0.002281011315061421,0.05388512507615422,0.053217202773608946,0.05455897534345971,False,defer
saturation_boundary,B4,10277,33,15.304401245662085,0.13019363627517758,1.0,0.5894716356913496,0.41052836430865036,0.17352927054826173,0.17974343217760913,0.006214161629347403,0.1274691057701664,0.12107892162294584,0.1340711842398315,False,defer
saturation_boundary,B8,2467,32,9.30877897097129,0.17916497770571543,1.0,0.737332792865829,0.262667207134171,0.16366891670039316,0.17594342781747366,0.0122745111170805,0.11593027969193352,0.10355612882687854,0.12922409216578828,True,promote
saturation_boundary,B6,4118,33,12.178164807402013,0.15978630403108304,1.0,0.6233608547838757,0.3766391452161243,0.1177576453240434,0.12472792851766915,0.006970283193625748,0.10903351141330743,0.0996723930810225,0.11895324598906343,False,defer
qtemplate_shift_proxy,B2,13668,33,22.656973583834727,0.08201638864501025,1.0,0.1853233830845771,0.8146766169154229,0.019830277822471563,0.02050098087805374,0.0006707030555821759,0.9641498390400937,0.9608959889759856,0.9672040937816666,False,defer
qtemplate_shift_proxy,B4,1267,32,16.036372536287622,0.12075769534333071,1.0,0.5722178374112076,0.4277821625887924,0.020604077812206977,0.022993198343326426,0.0023891205311194486,0.8721389108129439,0.852490582552479,0.8900412030749252,False,defer
qtemplate_shift_proxy,B6,552,31,11.056023222060958,0.161231884057971,1.0,0.6865942028985508,0.3134057971014492,0.014930125400091084,0.017648922305971395,0.0027187969058803108,0.842391304347826,0.809268678440084,0.8717937559331644,False,defer
qtemplate_shift_proxy,B8,227,31,11.859378596087456,0.14977973568281938,1.0,0.6343612334801763,0.36563876651982374,0.013665715532117262,0.017768609927980406,0.004102894395863144,0.9074889867841409,0.8620654759512277,0.9418192528382179,False,defer
rare_s03f_topology,B4,14681,33,10.34624181225236,0.1570737688168381,1.0,0.7279476874872284,0.2720523125127716,0.2487819642119605,0.2558571886821832,0.007075224470222713,0.4539200326953205,0.4458422139864424,0.4620161203601632,False,defer
rare_s03f_topology,B6,14820,33,10.375311685828244,0.1564102564102564,1.0,0.7269905533063428,0.27300944669365723,0.43093356079209505,0.44150920635885166,0.010575645566756608,0.3231443994601889,0.31561640408833924,0.33074187675913475,False,defer
rare_s03f_topology,B8,5591,33,9.471438834337816,0.17224110177070293,1.0,0.7549633339295296,0.24503666607047037,0.3767638863608196,0.3926506792422514,0.0158867928814318,0.3974244321230549,0.3845640028618609,0.41039201386061225,False,defer
nominal_control,B2,46339,33,25.167098453384106,0.06558190724875375,1.0,0.4100002158009452,0.5899997841990547,0.06776146526575799,0.06896448044174336,0.0012030151759853669,0.0022874900192062842,0.0018731777654462773,0.0027659901825773563,False,control
nominal_control,B4,1668,33,16.034948994294275,0.1510791366906475,1.0,0.5767386091127098,0.4232613908872902,0.027325325295645464,0.03005435005790305,0.002729024762257587,0.013788968824940047,0.008760564707273233,0.02061876082792523,False,control
nominal_control,B8,292,32,25.5434391851408,0.07876712328767123,1.0,0.2842465753424658,0.7157534246575342,0.017871765568981096,0.022504789123110595,0.004633023554129499,0.0136986301369863,0.003744692959841905,0.03470059332874382,False,control
nominal_control,B6,626,32,25.30517887123854,0.07028753993610223,1.0,0.4073482428115016,0.5926517571884984,0.017022375012021362,0.01991249812674861,0.0028901231147272465,0.009584664536741214,0.0035252953400311355,0.02074433552516424,False,control
