atom,stave,n_total,runs_present,timing_tail_rate,timing_tail_rate_ci_low,timing_tail_rate_ci_high,charge_res68_proxy,charge_res68_proxy_ci_low,charge_res68_proxy_ci_high,charge_bias_abs_mean,charge_bias_abs_mean_ci_low,charge_bias_abs_mean_ci_high,pileup_excess_proxy,pileup_excess_proxy_ci_low,pileup_excess_proxy_ci_high,qshape_abs_mean,qshape_abs_mean_ci_low,qshape_abs_mean_ci_high
delayed_peak,B2,6229,33,0.10290576336490609,0.0920419176440458,0.11466541138153101,0.4647034597844698,0.4552045592725945,0.4741729617531145,0.5663486397951943,0.5498540685158998,0.5860439450815886,1.3843872109410633,1.3750171983630035,1.3957029045921474,0.40590317938570025,0.396118667363606,0.41286234367167307
rare_s03f_topology,B8,5591,33,0.14255052763369702,0.09764612393455781,0.2358729721413576,0.34585840376441335,0.3398745983403246,0.35754421376509143,0.6417873080112994,0.5824286294612157,0.7150967566574084,1.1682173204369648,1.152950876280633,1.207967191360597,0.21778207589886447,0.20625786540391453,0.24361850810615543
delayed_peak,B4,5433,33,0.4929136756856249,0.41574203115589065,0.5760571987150114,0.39605767871726955,0.39012841243854307,0.4017751701987225,0.4566591586142156,0.43471708433280476,0.4827090413274635,1.467981405756197,1.4591253507013395,1.4764188269905292,0.39733555645966845,0.39471451870695323,0.3994125704273195
secondary_delayed_peak,B8,4167,33,0.11879049676025918,0.0834169853125308,0.18099857864245358,0.3130341006364954,0.29627255449050544,0.34540068398151685,0.505370152389019,0.4559460932080119,0.5628545303919158,1.2174288558377864,1.2025302133039535,1.2425409992324223,0.20902193039400138,0.20304568898299571,0.2176784085645095
saturation_boundary,B6,4118,33,0.1287032540067994,0.09314283661634817,0.19019783809458907,0.12806080963713487,0.11930961857014315,0.1381084164170391,0.9211254203271481,0.8889061260977791,0.9622265560414334,1.1803075184469765,1.165632656518081,1.2038690727849024,0.18413493453041652,0.17498565538317515,0.2054725309350315
saturation_boundary,B8,2467,32,0.13254965545196595,0.08979698785259023,0.227551324941205,0.15848386300478579,0.15210408381914595,0.1631598824027219,0.9608753779770042,0.9031637324501876,1.030091149607486,1.1751619512706093,1.1585515896802818,1.2108219900352133,0.1850800671335814,0.17428429534419485,0.208691968506413
baseline_excursion,B4,2320,32,0.01206896551724138,0.008269247703190584,0.015759761067418346,0.45848457904512,0.44358606729219896,0.47756871446395643,0.23177617880149448,0.20394634765486716,0.27005509383682386,0.7529235232382309,0.7314604736768509,0.7670543857442654,0.64110807281834,0.6272597759029868,0.6596502700044533
delayed_peak,B6,2306,32,0.50520381613183,0.4205484618118288,0.5801628382254774,0.3999596659643078,0.3898968600437496,0.4091482160975195,0.43647271047775077,0.41040830529570815,0.46560925835614725,1.4739629920069937,1.4587935166894548,1.4894219824406307,0.4052526182412702,0.40397478193954955,0.4065731931289982
dropout_subclass,B4,1397,32,0.0816034359341446,0.05280660091200469,0.1211191835387489,0.1809371560057059,0.17481156814903526,0.18748101990077992,0.3484244023991693,0.3271103903064028,0.36399945176850657,0.5156796910136817,0.4345791638448027,0.5690824502252421,1.204434521692827,1.1530047160742287,1.27433572549339
qtemplate_shift_proxy,B4,1267,32,0.08524072612470403,0.05339412531463502,0.14164586603937723,0.15259881857329063,0.14203216120663414,0.16358100823445834,0.38170295527968523,0.35886996419437,0.3981414410346325,0.5087445673137241,0.41345357990377113,0.5626954887495548,1.255616557085104,1.2080749585108321,1.323629697308124
delayed_peak,B8,1000,32,0.519,0.4341037789164343,0.598364106808835,0.4658068008756377,0.4489872290857312,0.4842326604452518,0.49812922102974083,0.45129453038293166,0.5429430574013642,1.4740247108174145,1.454315091532593,1.4918709918089996,0.38952295599737224,0.38691200969709355,0.3921579763061507
baseline_excursion,B6,909,32,0.019801980198019802,0.0064877715863657015,0.04239643075489824,0.4098714901877018,0.38844389538523827,0.42729575475386405,0.30315410874839954,0.2567468538453589,0.34563116762624585,0.780801443342863,0.7677702628153773,0.7998285049110656,0.6686392760960838,0.6438990500948025,0.6931087062391587
qtemplate_shift_proxy,B6,552,31,0.07789855072463768,0.04816461078700981,0.12820987654320987,0.15060959479517574,0.13797821357633971,0.15789346321412265,0.28143673745991005,0.24999409131486927,0.3165795854064964,0.5446964388358891,0.4942629644029148,0.5724512045776936,1.2338435889067307,1.207436829531873,1.2756579956595402
dropout_subclass,B6,548,31,0.07664233576642336,0.04604744759463127,0.13213342652997825,0.17562880339755058,0.15762392868570116,0.18535230336067895,0.26160594796593384,0.23112491416309852,0.2945230405528868,0.5304487126309814,0.4773952567572569,0.5542954545332163,1.2296070367112675,1.2007024120738898,1.2694646367215208
baseline_excursion,B8,546,30,0.020146520146520148,0.009389548972668126,0.04445470536499559,0.43836885613121357,0.4057007576584032,0.4568409754878174,0.38142194892372877,0.29040066667657194,0.4605097425458993,0.7612867714998663,0.7412090713492759,0.7785405595313076,0.609157117806606,0.5900754888345425,0.6538624340996609
dropout_subclass,B8,244,31,0.11065573770491803,0.0596933302238806,0.23229102896161993,0.1716683372154204,0.14396450586886744,0.19236579009256297,0.2641727283027734,0.19818155853388172,0.3297307829432411,0.47509221624105935,0.3820029048043564,0.5317701744070777,1.247721281198169,1.1865656677698533,1.3354479760294926
qtemplate_shift_proxy,B8,227,31,0.11894273127753303,0.06885499178458444,0.23076923076923078,0.13882160361117904,0.1093407323271044,0.16629079402832586,0.30057070809549885,0.23114476800982633,0.36624734840911244,0.4734929093386084,0.3895449863487808,0.5288443580292779,1.2851445069492113,1.2374115640231105,1.362192027625021
