blind_id,run,eventno,evt,event_index,group,stave,stave_index,channel,amplitude_adc,dup_amplitude_adc,dup_cfd20_sample,peak_sample,area_norm,late_fraction,early_fraction,width_half,baseline_mad,baseline_slope,raw_max_adc,saturation_count,secondary_peak,secondary_sep,post_peak_min,undershoot_area,cfd20_sample,timing_span_dup,amplitude_log,dup_amplitude_log,baseline_mad_log,baseline_slope_scaled,baseline_slope_abs_scaled,charge_bias_log,charge_bias_abs,dropout_depth,secondary_fraction,timing_tail_gt5,dropout_harm,cfd20_centered,n_selected_event,downstream_any,three_stave_event,current_group,current_nA,taxon,label_baseline_excursion,label_pileup_or_long_tail,q_template_rmse,template_bin,_row,subtype_true,ledger_subtype_visible_to_reviewer
P09I0010,48,85284,12520,20376,sample_i_analysis,B2,0,0,5873.5,6630.5,,3,2.9755685,0.055976845,0.3490297,3,2920.5,9027.0,15793.0,1,0.5306036,2,-0.1686388,-0.20601004,1.7185489,18.0,8.678376,8.799586,7.9798527,9.027,9.027,-0.1212101,0.1212101,0.1686388,0.029701514,True,False,-2.363078,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.5727018,4,289840,pretrigger_slope,False
P09I0011,45,13606,12253,9308,sample_i_analysis,B2,0,0,3420.5,4095.5,,3,3.0711884,0.04925463,0.28542563,4,2069.5,5753.0,12509.0,1,0.50767434,2,-0.40915072,-1.0726502,1.689344,18.0,8.137835,8.317888,7.6355453,5.753,5.753,-0.18005371,0.18005371,0.40915072,0.02500531,True,True,-2.392283,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.5551883,3,255333,early_sample_offset,False
P09I0012,48,90226,706,25318,sample_i_analysis,B2,0,0,5284.5,4470.5,,5,3.2214968,0.0,0.20406717,5,2446.0,6506.0,15719.0,1,0.54262465,2,-0.066136815,-0.24325858,1.7610275,18.0,8.572722,8.405479,7.802618,6.506,6.506,0.167243,0.167243,0.066136815,0.0,True,False,-2.3205996,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.5051192,4,292217,rising_edge_distortion,False
P09I0013,47,63119,8271,9183,sample_i_analysis,B2,0,0,4063.5,4653.5,,3,3.1861696,0.08432007,0.29965636,2,2264.0,6594.0,13409.0,1,0.47212994,2,-0.33382553,-0.67712563,1.7034293,18.0,8.310046,8.44559,7.72533,6.594,6.594,-0.13554382,0.13554382,0.33382553,0.039810028,True,True,-2.3781977,1,0,0,low_2nA,2.0,baseline_excursion,True,False,0.55806845,4,280288,early_sample_offset,False
P09I0014,57,358870,12391,1219,sample_i_analysis,B2,0,0,2778.5,4665.0,0.0,3,-2.0035992,0.0,0.55460197,3,2455.5,6275.0,13022.0,1,0.27874753,3,-0.8945474,-3.1646574,1.6302931,1.6302931,7.9300265,8.448057,7.806493,6.275,6.275,-0.51803064,0.51803064,0.8945474,0.0,False,True,-2.4513338,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.8338339,3,487712,early_sample_offset,False
P09I0015,45,21684,3429,17382,sample_i_analysis,B2,0,0,4641.5,5042.5,,5,-1.2325759,0.0,0.29986757,5,2887.5,7826.0,15978.0,1,0.83906066,2,-2.4424217,-3.8676078,1.686518,18.0,8.443008,8.525856,7.9684925,7.826,7.826,-0.082847595,0.082847595,2.4424217,0.0,True,True,-2.395109,1,0,0,high_20nA,20.0,baseline_excursion,True,False,1.0181127,4,259397,pretrigger_slope,False
P09I0016,45,6721,5864,2427,sample_i_analysis,B2,0,0,5264.0,6689.0,,4,-0.4057748,0.025340732,0.32147232,5,3078.5,8535.0,15460.0,1,0.81515956,3,-1.9369301,-3.8915274,1.6914182,18.0,8.568836,8.808369,8.032522,8.535,8.535,-0.23953247,0.23953247,1.9369301,0.02065674,True,True,-2.3902087,1,0,0,high_20nA,20.0,baseline_excursion,True,False,1.076689,4,252217,pretrigger_slope,False
P09I0017,50,141507,15240,12522,sample_i_analysis,B2,0,0,3015.5,4082.0,0.0,3,2.0888743,0.060205676,0.31313464,3,2262.5,5745.0,12526.0,1,0.49726415,2,-0.5695573,-1.5055547,1.6679476,1.6679476,8.011852,8.314588,7.7246675,5.745,5.745,-0.30273533,0.30273533,0.5695573,0.029938124,False,True,-2.4136791,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.6204395,3,319382,early_sample_offset,False
P09I0018,47,61161,6456,7225,sample_i_analysis,B2,0,0,4105.5,6094.0,0.0,3,-3.5676532,0.0,0.7108803,3,3422.0,9051.0,15824.0,1,0.080014616,2,-0.75569355,-4.041043,1.6499178,1.6499178,8.320327,8.715224,8.138272,9.051,9.051,-0.39489746,0.39489746,0.75569355,0.0,False,True,-2.431709,1,0,0,low_2nA,2.0,baseline_excursion,True,False,0.9236259,4,279269,pretrigger_slope,False
P09I0019,57,385066,3989,27413,sample_i_analysis,B2,0,0,6020.0,3938.0,,5,1.5679401,0.026614917,0.16380848,3,2068.0,5697.0,16274.0,1,0.8131229,2,-1.7033223,-1.7456812,1.8219252,18.0,8.703009,8.278682,7.6348205,5.697,5.697,0.4243269,0.4243269,1.7033223,0.0216412,True,True,-2.2597017,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.75759363,4,499121,tail_recovery_dropout,False
P09I0020,48,70272,14917,5365,sample_i_analysis,B2,0,0,4339.0,4689.0,,5,2.7047706,0.0,0.2549809,4,2566.0,6790.0,14918.0,1,0.69347775,2,-0.118921414,-0.5731735,1.7043806,18.0,8.375629,8.453188,7.850493,6.79,6.79,-0.07755852,0.07755852,0.118921414,0.0,True,False,-2.3772464,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.57866937,4,283288,rising_edge_distortion,False
P09I0021,50,166745,6102,37757,sample_i_analysis,B2,0,0,3230.5,4112.0,,3,3.887943,0.07791679,0.25404334,6,2046.5,5559.0,12295.0,1,0.63658875,2,-0.4072125,-0.93143475,1.683083,18.0,8.080702,8.321908,7.624375,5.559,5.559,-0.24120617,0.24120617,0.4072125,0.049600955,True,True,-2.3985438,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.54216427,3,339614,early_sample_offset,False
P09I0022,45,15297,13830,10999,sample_i_analysis,B2,0,0,4598.0,3166.5,,8,-4.341453,0.0,0.23308559,2,1834.5,6422.0,16066.0,1,0.80208784,3,-0.3123097,-1.3799477,1.7502317,18.0,8.433594,8.060698,7.5150723,6.422,6.422,0.3728962,0.3728962,0.3123097,0.0,True,True,-2.3313951,1,0,0,high_20nA,20.0,baseline_excursion,True,False,1.2685522,4,256096,peak_phase_late,False
P09I0023,47,63281,8424,9345,sample_i_analysis,B2,0,0,2879.0,4033.5,0.0,3,1.6606462,0.0022488756,0.31232113,3,2073.0,5321.0,12059.0,1,0.49044806,5,-0.6033345,-1.9961793,1.6689554,1.6689554,7.9655457,8.302638,7.637234,5.321,5.321,-0.3370924,0.3370924,0.6033345,0.0011029567,False,True,-2.4126716,1,0,0,low_2nA,2.0,baseline_excursion,True,False,0.63240284,3,280348,early_sample_offset,False
P09I0024,57,364113,895,6462,sample_i_analysis,B2,0,0,5690.5,6187.5,,3,3.8081012,0.09900435,0.29182705,3,2574.5,8455.0,15194.0,1,0.5678763,2,-0.14963536,-0.14963536,1.7386454,18.0,8.646729,8.730448,7.853799,8.455,8.455,-0.0837183,0.0837183,0.14963536,0.056222223,True,False,-2.3429813,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.53067625,4,489903,pretrigger_slope,False
P09I0025,50,141685,15409,12700,sample_i_analysis,B2,0,0,8874.0,6309.0,0.0,5,7.7418303,0.3408789,0.15336205,15,5490.0,-10980.0,14364.0,1,0.85327923,4,0.5166779,0.0,0.0,0.0,9.090994,8.749891,8.610866,-10.98,10.98,0.3411026,0.3411026,-0.0,0.29086488,False,False,-4.081627,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.3964686,5,319535,pretrigger_slope,False
P09I0026,49,108893,1262,12266,sample_i_analysis,B2,0,0,6764.0,5734.0,,3,-0.031933784,0.32025984,0.22740795,4,1601.5,8399.0,15177.0,1,0.83707863,5,-1.2437906,-4.9751625,1.9313775,18.0,8.819517,8.654343,7.37932,8.399,8.399,0.16517448,0.16517448,1.2437906,0.26808268,True,True,-2.1502495,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.97921836,4,301076,early_sample_offset,False
P09I0027,48,72596,692,7688,sample_i_analysis,B2,0,0,3513.0,6942.0,2.270407,1,-10.28665,0.0,1.0,2,2756.0,3998.0,15881.0,1,0.56902933,2,-3.5206378,-11.28665,0.49013063,1.7802763,8.164511,8.8454895,7.9218984,3.998,3.998,-0.6809788,0.6809788,3.5206378,0.0,False,True,-3.5914962,1,0,0,high_20nA,20.0,baseline_excursion,True,False,1.3651719,3,284245,early_sample_offset,False
P09I0028,45,48679,11743,44368,sample_i_analysis,B2,0,0,3576.0,5598.0,0.0,3,-2.7550335,0.0,0.6958843,3,3128.0,7874.0,14644.0,1,0.07270694,3,-0.7757271,-3.3176734,1.6334329,1.6334329,8.18228,8.630343,8.048469,7.874,7.874,-0.44806385,0.44806385,0.7757271,0.0,False,True,-2.448194,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.873264,3,273157,pretrigger_slope,False
P09I0029,57,386066,4910,28413,sample_i_analysis,B2,0,0,7913.5,5178.5,,4,6.407405,0.238184,0.1503785,3,1200.5,8016.0,15854.0,1,0.48328805,2,0.16522399,0.0,2.070739,18.0,8.976452,8.552464,7.091326,8.016,8.016,0.42398834,0.42398834,-0.0,0.115111485,True,False,-2.0108879,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.34661776,5,499598,tail_recovery_dropout,False
P09I0030,45,10581,9441,6283,sample_i_analysis,B2,0,0,6970.5,6411.0,,3,5.240657,0.1794083,0.22043909,3,2049.0,9083.0,15856.0,1,0.68223226,2,0.085718386,0.0,1.8510703,18.0,8.849586,8.765926,7.625595,9.083,9.083,0.08365917,0.08365917,-0.0,0.12239813,True,False,-2.2305565,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.4678443,4,253954,early_sample_offset,False
P09I0031,48,84296,11598,19388,sample_i_analysis,B2,0,0,6245.5,5502.5,,4,5.9167404,0.18997493,0.19270587,3,1663.0,7845.0,14697.0,1,0.4613722,3,0.014970779,0.0,1.8851681,18.0,8.739777,8.613139,7.41698,7.845,7.845,0.12663746,0.12663746,-0.0,0.08764915,True,False,-2.1964588,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.4345882,4,289284,tail_recovery_dropout,False
P09I0032,45,16784,15220,12484,sample_i_analysis,B2,0,0,3374.5,3775.0,0.0,6,-4.6519485,0.0,0.31440443,4,1929.5,7801.0,16354.0,1,0.6064602,4,-0.8737591,-5.9302115,1.6445712,1.6445712,8.124299,8.236421,7.565534,7.801,7.801,-0.11212158,0.11212158,0.8737591,0.0,False,True,-2.4370556,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.96809083,3,256826,rising_edge_distortion,False
P09I0033,45,6826,5959,2532,sample_i_analysis,B2,0,0,1742.5,5752.5,2.9623792,2,-29.399714,0.0,1.0,1,1242.5,6928.0,15483.0,1,0.0,2,-3.1337159,-26.849928,1.4390342,1.523345,7.4636497,8.657563,7.125685,6.928,6.928,-1.1939135,1.1939135,3.1337159,0.0,False,True,-2.6425927,1,0,0,high_20nA,20.0,baseline_excursion,True,False,2.3632412,2,252284,early_sample_offset,False
P09I0034,55,285022,9050,3620,sample_i_analysis,B2,0,0,5966.0,5666.0,,4,5.7836075,0.18390863,0.20240927,3,1882.0,7924.0,14687.0,2,0.4785451,3,0.017264498,0.0,1.8327384,18.0,8.693999,8.642415,7.5406218,7.924,7.924,0.051584244,0.051584244,-0.0,0.088008575,True,False,-2.2488885,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.4440333,4,432259,tail_recovery_dropout,False
P09I0035,50,165119,4558,36132,sample_i_analysis,B2,0,0,5579.5,4342.5,,7,-1.3054934,0.011936436,0.22759782,3,2331.0,6313.0,16071.0,1,0.71072674,3,-0.0755444,-0.19903217,1.7773801,18.0,8.627033,8.376435,7.7544813,6.313,6.313,0.25059795,0.25059795,0.0755444,0.008483545,True,False,-2.304247,1,0,0,high_20nA,20.0,baseline_excursion,True,False,1.0323825,4,338294,peak_phase_late,False
P09I0036,49,110900,3152,14271,sample_i_analysis,B2,0,0,8677.5,4281.0,,4,7.0978966,0.25365314,0.11424714,5,684.0,7193.0,16106.0,1,0.5917027,2,0.24275425,0.0,2.18057,18.0,9.0686035,8.362176,6.529419,7.193,7.193,0.7064276,0.7064276,-0.0,0.15008725,True,False,-1.901057,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.29945853,5,302034,rising_edge_distortion,False
P09I0037,50,145627,2752,16642,sample_i_analysis,B2,0,0,2440.5,4126.5,0.0,3,-1.4456052,0.0,0.45846105,3,2131.5,5471.0,12248.0,1,0.38619137,3,-0.9110838,-3.2671585,1.6339095,1.6339095,7.800368,8.325427,7.6650505,5.471,5.471,-0.5250592,0.5250592,0.9110838,0.0,False,True,-2.4477174,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.74938613,2,322766,early_sample_offset,False
P09I0038,45,25247,6710,20944,sample_i_analysis,B2,0,0,1561.0,5251.0,0.0,3,-19.861628,0.0,0.9345908,2,1536.0,6640.0,13703.0,1,0.0,3,-2.6438181,-17.745676,1.603309,1.603309,7.3537226,8.566364,7.337588,6.64,6.64,-1.2126417,1.2126417,2.6438181,0.0,False,True,-2.4783177,1,0,0,high_20nA,20.0,baseline_excursion,True,False,1.8662076,2,261315,early_sample_offset,False
P09I0039,45,23191,4812,18889,sample_i_analysis,B2,0,0,6528.0,4919.0,,4,6.386489,0.21521778,0.16167207,3,1378.5,7291.0,14693.0,1,0.48636642,3,0.06449142,0.0,1.9923077,18.0,8.784009,8.501063,7.2294765,7.291,7.291,0.28294563,0.28294563,-0.0,0.104674704,True,False,-2.0893192,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.3990997,4,260252,tail_recovery_dropout,False
P09I0040,45,44650,7951,40341,sample_i_analysis,B2,0,0,4067.0,5655.5,,3,1.1858865,0.0,0.37433848,5,3466.0,8444.0,15172.0,1,0.7553479,3,-0.22817802,-1.5866731,1.6419547,18.0,8.310906,8.64056,8.151045,8.444,8.444,-0.32965374,0.32965374,0.22817802,0.0,True,True,-2.4396722,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.69479686,4,271089,pretrigger_slope,False
P09I0041,52,198918,2939,4553,sample_i_analysis,B2,0,0,7186.0,3516.0,,6,5.454217,0.34981248,0.121523775,7,260.0,6580.0,14262.0,1,0.87712216,3,0.39576957,0.0,2.1970627,18.0,8.880029,8.165363,5.5645204,6.58,6.58,0.7146654,0.7146654,-0.0,0.3068283,True,False,-1.8845642,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.56748044,5,363049,rising_edge_distortion,False
P09I0042,53,229946,15637,25576,sample_i_analysis,B2,0,0,2561.5,4061.5,0.0,3,0.25688094,0.0,0.3606407,3,2161.5,5242.0,12013.0,1,0.46281475,3,-0.7524888,-2.688659,1.6454158,1.6454158,7.8487387,8.309554,7.6790204,5.242,5.242,-0.46081543,0.46081543,0.7524888,0.0,False,True,-2.436211,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.7155433,3,387708,early_sample_offset,False
P09I0043,50,141188,14944,12203,sample_i_analysis,B2,0,0,6898.0,4052.0,,4,7.52305,0.26036292,0.12594996,7,698.5,6717.0,14337.0,1,0.5562482,3,0.166715,0.0,2.1284962,18.0,8.839131,8.307213,6.550366,6.717,6.717,0.5319185,0.5319185,-0.0,0.1448264,True,False,-1.9531307,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.34846738,4,319146,rising_edge_distortion,False
P09I0044,45,17274,15674,12974,sample_i_analysis,B2,0,0,4748.0,5699.5,,3,1.7750633,0.02973387,0.41593376,3,2972.0,8110.0,14848.0,1,0.4113311,2,-0.3510952,-0.68470937,1.6838884,18.0,8.46569,8.648309,7.997327,8.11,8.11,-0.1826191,0.1826191,0.3510952,0.012230465,True,True,-2.3977385,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.62885195,4,257083,pretrigger_slope,False
P09I0045,45,47128,10278,42817,sample_i_analysis,B2,0,0,5129.5,5393.0,,3,0.24524796,0.014613428,0.39201987,2,2676.0,8596.0,15464.0,1,0.8707476,2,-2.0147188,-2.199922,1.7720499,18.0,8.542958,8.593042,7.8924522,8.596,8.596,-0.050084114,0.050084114,2.0147188,0.012724608,True,True,-2.309577,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.75029457,4,272374,pretrigger_slope,False
P09I0046,48,74144,2130,9236,sample_i_analysis,B2,0,0,7551.5,5225.5,,4,6.4573927,0.22822677,0.15508741,3,1275.0,8015.0,15597.0,1,0.49493477,2,0.13871416,0.0,2.0482707,18.0,8.929634,8.561497,7.1514854,8.015,8.015,0.36813736,0.36813736,-0.0,0.11295736,True,False,-2.0333562,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.3495828,5,284880,tail_recovery_dropout,False
P09I0047,52,196925,1079,2560,sample_i_analysis,B2,0,0,8348.5,7027.5,,4,6.172606,0.27345228,0.13082013,4,3904.0,-6752.0,15801.0,1,0.85135055,2,0.27819368,0.0,1.151272,18.0,9.029957,8.857729,8.270013,-6.752,6.752,0.17222786,0.17222786,-0.0,0.23280375,True,False,-2.9303548,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.38904655,5,361646,rising_edge_distortion,False
P09I0048,55,295581,2503,14177,sample_i_analysis,B2,0,0,3361.5,5361.5,0.0,3,-2.4164808,0.0,0.6389969,3,2917.5,7269.0,14066.0,1,0.12628292,3,-0.8122862,-3.2347167,1.6359005,1.6359005,8.1204405,8.587186,7.978825,7.269,7.269,-0.46674538,0.46674538,0.8122862,0.0,False,True,-2.4457264,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.84858656,3,439717,early_sample_offset,False
P09I0049,45,25434,6888,21131,sample_i_analysis,B2,0,0,5530.5,4262.5,,4,7.013833,0.2125399,0.15483588,7,1123.5,6430.0,13486.0,1,0.5700208,3,0.051261187,0.0,2.0049248,18.0,8.618215,8.357845,7.0250936,6.43,6.43,0.2603693,0.2603693,-0.0,0.12115216,True,False,-2.076702,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.38095188,4,261413,rising_edge_distortion,False
P09I0050,57,371722,8033,14069,sample_i_analysis,B2,0,0,3698.5,4709.5,0.0,4,1.634176,0.0019613712,0.33057413,3,2453.0,6883.0,14025.0,1,0.43869135,2,-0.4973638,-1.105989,1.7469783,1.7469783,8.215953,8.457549,7.8054748,6.883,6.883,-0.24159622,0.24159622,0.4973638,0.0008604366,False,True,-2.3346486,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.669461,3,493390,nominal_baseline_excursion,False
P09I0051,47,55674,1347,1741,sample_i_analysis,B2,0,0,3424.5,5490.0,0.0,3,-2.762447,0.0,0.66454726,3,2926.5,7565.0,14356.0,1,0.101182655,3,-0.82099575,-3.416119,1.641013,1.641013,8.139003,8.610866,7.981904,7.565,7.565,-0.4718628,0.4718628,0.82099575,0.0,False,True,-2.4406137,1,0,0,low_2nA,2.0,baseline_excursion,True,False,0.86949307,3,276614,early_sample_offset,False
P09I0052,57,372346,8618,14693,sample_i_analysis,B2,0,0,3689.0,5451.0,0.0,3,-1.8961778,0.0,0.614263,3,3096.5,7822.0,14580.0,1,0.14936297,2,-0.70669556,-2.8300352,1.6473243,1.6473243,8.213382,8.603738,8.038351,7.822,7.822,-0.39035606,0.39035606,0.70669556,0.0,False,True,-2.4343026,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.8240087,3,493655,pretrigger_slope,False
P09I0053,45,38701,2904,34392,sample_i_analysis,B2,0,0,5461.5,6315.0,,3,0.986542,0.0,0.4822679,3,3329.5,9246.0,16018.0,1,0.34779823,2,-0.33699533,-0.95907724,1.6899983,18.0,8.605661,8.750841,8.110878,9.246,9.246,-0.14517975,0.14517975,0.33699533,0.0,True,True,-2.3916287,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.6651557,4,268100,pretrigger_slope,False
P09I0054,53,220702,6898,16332,sample_i_analysis,B2,0,0,6634.0,3625.0,,5,3.7591195,0.16374056,0.10779979,4,2024.5,5039.0,15866.0,1,0.9546277,2,-1.391619,-1.391619,1.9238977,18.0,8.800114,8.195886,7.6135716,5.039,5.039,0.604228,0.604228,1.391619,0.15631127,True,True,-2.1577291,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.6374409,4,380189,rising_edge_distortion,False
P09I0055,57,388319,6992,30666,sample_i_analysis,B2,0,0,6534.0,5733.5,,4,5.8458834,0.1961828,0.19332948,3,1754.5,8168.0,15094.0,1,0.45821854,3,0.046678912,0.0,1.8839012,18.0,8.784927,8.654256,7.470509,8.168,8.168,0.1306715,0.1306715,-0.0,0.0898946,True,False,-2.1977258,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.4367733,4,500684,tail_recovery_dropout,False
P09I0056,55,300001,6615,18597,sample_i_analysis,B2,0,0,8143.5,5004.0,,4,6.387917,0.23669112,0.14538778,3,1086.5,7923.0,15980.0,1,0.4859704,2,0.15036532,0.0,2.0981216,18.0,9.005098,8.518192,6.9916368,7.923,7.923,0.48690605,0.48690605,-0.0,0.11502488,True,False,-1.9835052,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.34300685,5,442824,tail_recovery_dropout,False
P09I0057,48,80747,8307,15839,sample_i_analysis,B2,0,0,6942.5,4557.5,,4,8.320922,0.23795609,0.11779246,7,1058.5,7110.0,14775.0,1,0.9029168,2,0.29276198,0.0,2.0717003,18.0,8.845561,8.424749,6.9655523,7.11,7.11,0.42081165,0.42081165,-0.0,0.21485455,True,False,-2.0099266,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.33048803,4,287633,rising_edge_distortion,False
P09I0058,57,384727,3688,27074,sample_i_analysis,B2,0,0,2856.5,5966.0,0.0,3,-8.427796,0.0,0.81145984,2,2669.5,7879.0,14750.0,1,0.0,3,-1.2993174,-8.103798,1.6150655,1.6150655,7.9577026,8.693999,7.890021,7.879,7.879,-0.73629665,0.73629665,1.2993174,0.0,False,True,-2.4665613,1,0,0,high_20nA,20.0,baseline_excursion,True,False,1.1990571,3,498955,pretrigger_slope,False
