# NIST PSTAR proton stopping-power table for POLYSTYRENE (reference data).
# Source: NIST PSTAR database, https://physics.nist.gov/PhysRefData/Star/Text/PSTAR.html
# Queried: 2026-07-23. Material: Polystyrene (matno=226). Method: ICRU Report 49 / NISTIR 4999.
# Density used by NIST for polystyrene: rho = 1.060 g/cm^3.
# Columns are MASS stopping powers [MeV cm^2/g] and MASS ranges [g/cm^2].
# Fetched on Mac (network allowed); committed as static data so the LUNARC
# comparison script is strictly no-network (HARD RULE: no network from LUNARC).
# For deuterons, use velocity scaling: S_deuteron(E) ~= S_proton(E/2) (same z=1, same v).
energy_MeV,electronic_MeV_cm2_g,nuclear_MeV_cm2_g,total_MeV_cm2_g,csda_range_g_cm2,projected_range_g_cm2,detour_factor
0.0275,857.2,4.363,861.6,5.084e-05,4.281e-05,0.84190
0.03,878.7,4.072,882.8,5.371e-05,4.559e-05,0.84890
0.035,913.5,3.599,917.1,5.926e-05,5.101e-05,0.86070
0.04,939.2,3.232,942.4,6.463e-05,5.627e-05,0.87060
0.045,957.2,2.938,960.2,6.989e-05,6.142e-05,0.87890
0.05,969,2.696,971.7,7.506e-05,6.651e-05,0.88610
0.055,975.6,2.494,978.1,8.019e-05,7.156e-05,0.89250
0.06,978,2.322,980.3,8.529e-05,7.66e-05,0.89810
0.065,976.8,2.173,979,9.04e-05,8.164e-05,0.90310
0.07,972.8,2.044,974.8,9.551e-05,8.67e-05,0.90770
0.075,966.5,1.931,968.5,0.0001007,9.179e-05,0.91190
0.08,958.4,1.83,960.3,0.0001058,9.692e-05,0.91570
0.085,948.9,1.74,950.7,0.0001111,0.0001021,0.91920
0.09,938.3,1.658,940,0.0001164,0.0001073,0.92250
0.095,926.9,1.585,928.5,0.0001217,0.0001127,0.92550
0.1,914.9,1.518,916.4,0.0001271,0.000118,0.92840
0.125,851.3,1.258,852.6,0.0001554,0.0001461,0.94010
0.15,789.6,1.078,790.7,0.0001859,0.0001764,0.94900
0.175,734.2,0.9457,735.1,0.0002187,0.000209,0.95580
0.2,685.4,0.8437,686.3,0.0002539,0.0002441,0.96130
0.225,642.9,0.7626,643.7,0.0002915,0.0002815,0.96570
0.25,605.7,0.6966,606.4,0.0003316,0.0003214,0.96940
0.275,573,0.6412,573.6,0.000374,0.0003636,0.97240
0.3,543.9,0.5942,544.5,0.0004187,0.0004082,0.97500
0.35,499.5,0.5189,500,0.0005147,0.0005039,0.97900
0.4,465.2,0.4613,465.7,0.0006185,0.0006073,0.98200
0.45,435.8,0.4157,436.2,0.0007294,0.000718,0.98430
0.5,409.1,0.3787,409.4,0.0008478,0.000836,0.98610
0.55,384.6,0.348,384.9,0.0009738,0.0009616,0.98750
0.6,363.2,0.322,363.5,0.001108,0.001095,0.98870
0.65,344.6,0.2997,344.9,0.001249,0.001236,0.98970
0.7,328.1,0.2804,328.4,0.001397,0.001384,0.99050
0.75,313.3,0.2635,313.6,0.001553,0.00154,0.99120
0.8,300,0.2486,300.3,0.001716,0.001702,0.99180
0.85,288,0.2354,288.3,0.001886,0.001872,0.99230
0.9,277,0.2235,277.2,0.002063,0.002048,0.99280
0.95,266.8,0.2129,267,0.002247,0.002232,0.99320
1,257.5,0.2032,257.7,0.002438,0.002422,0.99360
1.25,220.4,0.166,220.5,0.00349,0.003472,0.99490
1.5,193.6,0.1405,193.7,0.004703,0.004682,0.99570
1.75,173.2,0.1221,173.3,0.00607,0.006047,0.99620
2,157,0.108,157.2,0.007587,0.007561,0.99660
2.25,143.9,0.09692,144,0.00925,0.009221,0.99690
2.5,133.1,0.08795,133.2,0.01106,0.01102,0.99710
2.75,123.9,0.08055,123.9,0.013,0.01297,0.99730
3,116,0.07433,116.1,0.01509,0.01505,0.99740
3.5,103.1,0.06444,103.2,0.01967,0.01962,0.99760
4,93.01,0.05692,93.06,0.02478,0.02472,0.99780
4.5,84.87,0.05102,84.92,0.03041,0.03035,0.99790
5,78.15,0.04625,78.2,0.03655,0.03648,0.99800
5.5,72.5,0.04231,72.54,0.0432,0.04311,0.99810
6,67.68,0.03901,67.72,0.05033,0.05024,0.99810
6.5,63.52,0.03619,63.56,0.05796,0.05785,0.99820
7,59.88,0.03377,59.91,0.06607,0.06595,0.99820
7.5,56.67,0.03165,56.7,0.07465,0.07452,0.99830
8,53.81,0.02979,53.84,0.0837,0.08356,0.99830
8.5,51.27,0.02814,51.29,0.09322,0.09306,0.99830
9,48.96,0.02667,48.99,0.1032,0.103,0.99840
9.5,46.88,0.02535,46.9,0.1136,0.1134,0.99840
10,44.98,0.02416,45,0.1245,0.1243,0.99840
12,38.81,0.02034,38.83,0.1725,0.1722,0.99850
12.5,37.54,0.01958,37.56,0.1856,0.1853,0.99850
15,32.37,0.01648,32.39,0.2575,0.2571,0.99850
17.5,28.55,0.01425,28.57,0.3399,0.3394,0.99860
20,25.61,0.01256,25.62,0.4324,0.4318,0.99860
25,21.35,0.01016,21.36,0.6472,0.6463,0.99870
27.5,19.76,0.009286,19.77,0.7689,0.7679,0.99870
30,18.41,0.00855,18.42,0.9001,0.8989,0.99870
35,16.25,0.007387,16.26,1.19,1.188,0.99870
40,14.59,0.006507,14.6,1.515,1.513,0.99880
45,13.27,0.005818,13.28,1.874,1.872,0.99880
50,12.2,0.005263,12.21,2.268,2.265,0.99880
55,11.31,0.004807,11.32,2.693,2.69,0.99880
60,10.56,0.004425,10.57,3.151,3.147,0.99880
65,9.922,0.004101,9.926,3.639,3.635,0.99890
70,9.365,0.003822,9.369,4.158,4.153,0.99890
75,8.879,0.003579,8.882,4.706,4.701,0.99890
80,8.449,0.003365,8.452,5.284,5.278,0.99890
85,8.067,0.003177,8.07,5.889,5.883,0.99890
90,7.725,0.003008,7.728,6.523,6.515,0.99890
95,7.417,0.002858,7.42,7.183,7.175,0.99890
100,7.138,0.002721,7.14,7.87,7.862,0.99890
110,6.652,0.002485,6.654,9.322,9.312,0.99890
120,6.243,0.002288,6.245,10.87,10.86,0.99900
125,6.062,0.0022,6.064,11.69,11.67,0.99900
130,5.894,0.00212,5.896,12.52,12.51,0.99900
140,5.592,0.001975,5.594,14.27,14.25,0.99900
150,5.329,0.00185,5.331,16.1,16.08,0.99900
160,5.098,0.001739,5.099,18.02,18,0.99900
170,4.892,0.001642,4.894,20.02,20,0.99900
175,4.798,0.001597,4.8,21.05,21.03,0.99900
180,4.709,0.001555,4.71,22.1,22.08,0.99900
190,4.544,0.001477,4.546,24.26,24.24,0.99900
200,4.395,0.001406,4.397,26.5,26.48,0.99900
225,4.08,0.001257,4.081,32.41,32.38,0.99910
250,3.826,0.001137,3.827,38.74,38.71,0.99910
275,3.617,0.001038,3.618,45.47,45.42,0.99910
300,3.443,0.0009559,3.444,52.55,52.51,0.99910
350,3.17,0.0008255,3.17,67.71,67.65,0.99910
400,2.965,0.0007271,2.966,84.04,83.97,0.99920
450,2.807,0.00065,2.808,101.4,101.3,0.99920
500,2.682,0.0005881,2.683,119.6,119.5,0.99920
550,2.581,0.0005372,2.582,138.6,138.5,0.99920
600,2.498,0.0004946,2.499,158.3,158.2,0.99930
650,2.429,0.0004584,2.43,178.6,178.5,0.99930
700,2.371,0.0004273,2.372,199.5,199.3,0.99930
750,2.321,0.0004003,2.322,220.8,220.6,0.99930
800,2.278,0.0003765,2.278,242.5,242.4,0.99930
850,2.24,0.0003555,2.24,264.7,264.5,0.99930
900,2.207,0.0003368,2.207,287.1,287,0.99930
950,2.178,0.00032,2.179,309.9,309.8,0.99940
1000,2.153,0.0003048,2.153,333,332.8,0.99940
1500,2.01,0.0002078,2.01,574.8,574.5,0.99950
2000,1.96,0.0001584,1.96,827.2,826.8,0.99950
2500,1.942,0.0001284,1.942,1084,1083,0.99960
3000,1.939,0.0001082,1.939,1341,1341,0.99960
4000,1.951,8.256e-05,1.951,1856,1855,0.99970
5000,1.97,6.697e-05,1.97,2366,2365,0.99970
6000,1.991,5.645e-05,1.991,2871,2870,0.99970
7000,2.011,4.886e-05,2.011,3371,3370,0.99980
8000,2.031,4.312e-05,2.031,3865,3864,0.99980
9000,2.049,3.861e-05,2.049,4356,4355,0.99980
10000,2.066,3.499e-05,2.066,4842,4841,0.99980
