split_name,endpoint,method,kind,n,positives,metric_value,ci_low,ci_high,average_precision
particle_heldout,saturation_clipping,gradient_boosted_trees,classification,462,16,1.0,0.9999999999999999,1.0,1.0
particle_heldout,saturation_clipping,spectral_transformer_new,classification,462,16,0.8643497757847534,0.7764439193326782,0.9713515963556386,0.5184417631133087
particle_heldout,saturation_clipping,1d_cnn,classification,462,16,0.8448710762331839,0.741344463579743,0.9611889893152629,0.3099065971333098
particle_heldout,saturation_clipping,ridge,classification,462,16,0.7935818385650224,0.6706669500090553,0.9429398827669612,0.5753388619033518
particle_heldout,saturation_clipping,traditional_dE_E_tail_pedestal_likelihood,classification,462,16,0.790779147982063,0.6344071337503785,0.9586708489250859,0.5665605287962614
particle_heldout,saturation_clipping,mlp,classification,462,16,0.65625,0.5499404761904763,0.7857142857142857,0.33630952380952384
particle_heldout,pedestal_noise_color,spectral_transformer_new,classification,462,25,0.6353318077803204,0.5221261018387418,0.7562405813246543,0.09231176210239384
particle_heldout,pedestal_noise_color,gradient_boosted_trees,classification,462,25,0.6132723112128147,0.45376367047357086,0.7299636966904528,0.16305600567507159
particle_heldout,pedestal_noise_color,ridge,classification,462,25,0.5961556064073226,0.5024049094697617,0.7031218068862799,0.08248748575665761
particle_heldout,pedestal_noise_color,traditional_dE_E_tail_pedestal_likelihood,classification,462,25,0.5853546910755149,0.49351389260185313,0.6811880619735026,0.08075230882669912
particle_heldout,pedestal_noise_color,mlp,classification,462,25,0.4977116704805492,0.4949582235791304,0.5,0.05411255411255411
particle_heldout,pedestal_noise_color,1d_cnn,classification,462,25,0.4750572082379863,0.37931414120115614,0.5719184207052856,0.04965578180970069
particle_heldout,pulse_shape_harmonics,gradient_boosted_trees,classification,462,305,1.0,1.0,1.0,1.0
particle_heldout,pulse_shape_harmonics,traditional_dE_E_tail_pedestal_likelihood,classification,462,305,0.8834290487626605,0.8478871670657628,0.9143887434269474,0.9257899015026178
particle_heldout,pulse_shape_harmonics,ridge,classification,462,305,0.8816539626187742,0.8354774641395362,0.9144651237439179,0.9230900310373947
particle_heldout,pulse_shape_harmonics,1d_cnn,classification,462,305,0.7114127597368696,0.6618637188770611,0.7498899763992903,0.79278861489236
particle_heldout,pulse_shape_harmonics,mlp,classification,462,305,0.6834708154954579,0.6496763402359809,0.7220848471936985,0.7723216880037171
particle_heldout,pulse_shape_harmonics,spectral_transformer_new,classification,462,305,0.6188994465907904,0.5771611726397688,0.6693240821887703,0.7497047977660293
