method,axis,stratum,nominal_coverage,n_runs,n_pair_rows,coverage,coverage_ci_low,coverage_ci_high,coverage_error,abs_coverage_error,mean_interval_width_ns,interval_width_ci_low_ns,interval_width_ci_high_ns,fallback_fraction
gradient_boosted_trees,current_group,low_current_2nA,0.95,1,156,0.8974358974358975,0.8974358974358975,0.8974358974358975,-0.05256410256410249,0.05256410256410249,56.23383282621467,56.23383282621467,56.23383282621467,1.0
gradient_boosted_trees,current_group,nominal_current_20nA,0.68,19,65315,0.6865191762994718,0.6206994978717861,0.7308899283559885,0.006519176299471741,0.006519176299471741,7.802746495414753,7.694636942138513,7.918724958522114,0.0
gradient_boosted_trees,current_group,nominal_current_20nA,0.95,19,65315,0.9503330016075939,0.9099909275669442,0.9701643580081977,0.00033300160759397457,0.00033300160759397457,58.720263889809296,57.044577227862156,59.66491541038029,0.0
gradient_boosted_trees,rate_residual_quantile,high_rate_residual,0.68,6,5617,0.6781199928787609,0.6403879489901714,0.7129960775020515,-0.0018800071212391467,0.0018800071212391467,10.066070735981528,9.744319901161743,10.33029744462794,0.0
gradient_boosted_trees,rate_residual_quantile,high_rate_residual,0.95,6,5617,0.9476588926473206,0.9313669880884855,0.9615729050305176,-0.002341107352679339,0.002341107352679339,91.76213890356456,88.31068472881292,95.10536605075265,0.0
gradient_boosted_trees,rate_residual_quantile,low_rate_residual,0.68,7,16712,0.759992819530876,0.4861586419978982,0.8269249686436168,0.079992819530876,0.079992819530876,11.778800188877558,8.434803475238244,12.947897525823251,0.0
gradient_boosted_trees,rate_residual_quantile,low_rate_residual,0.95,7,16712,0.9559597893729057,0.8473169760527967,0.9826775832582936,0.005959789372905755,0.005959789372905755,81.00091513587131,60.145437774400435,87.61027993523469,0.0
gradient_boosted_trees,rate_residual_quantile,mid_rate_residual,0.68,7,43142,0.6877752538129897,0.5720221334595892,0.7601932689868652,0.007775253812989602,0.007775253812989602,7.390884336575137,7.191510725499351,7.616751372018791,0.0
gradient_boosted_trees,rate_residual_quantile,mid_rate_residual,0.95,7,43142,0.9485420240137221,0.8802853184299768,0.9716776349482992,-0.0014579759862778374,0.0014579759862778374,49.97905911127463,42.423911976270524,51.94890400630569,0.0
gradient_boosted_trees,topology,B2_containing,0.68,20,43946,0.6924407227051381,0.5797605813521962,0.7639290624426325,0.012440722705138074,0.012440722705138074,8.229281876740757,8.012166387276316,8.407651886219767,0.0
gradient_boosted_trees,topology,B2_containing,0.95,20,43946,0.9499158057616165,0.8978922483599133,0.9689466782660766,-8.419423838346152e-05,8.419423838346152e-05,72.20468782850823,70.26692486195954,73.02389402248018,0.0
gradient_boosted_trees,topology,downstream_only,0.68,20,21525,0.6754471544715447,0.6622072100392654,0.6982992498534962,-0.004552845528455363,0.004552845528455363,6.406074753536886,6.377707721582965,6.441851852591095,0.0
gradient_boosted_trees,topology,downstream_only,0.95,20,21525,0.9485714285714286,0.9302664136602591,0.9633599437184504,-0.0014285714285713347,0.0014285714285713347,12.904305299315007,12.722711445248756,13.116691158436605,0.0
ml_shuffled_target_control,current_group,low_current_2nA,0.68,1,156,0.6217948717948718,0.6217948717948718,0.6217948717948718,-0.05820512820512824,0.05820512820512824,9.912188942524349,9.912188942524349,9.912188942524349,1.0
ml_shuffled_target_control,current_group,low_current_2nA,0.95,1,156,0.8974358974358975,0.8974358974358975,0.8974358974358975,-0.05256410256410249,0.05256410256410249,86.94572857955482,86.94572857955482,86.94572857955482,1.0
ml_shuffled_target_control,current_group,nominal_current_20nA,0.68,19,65315,0.6861517262497129,0.6071884272270586,0.7272446839212748,0.00615172624971283,0.00615172624971283,10.08609229017682,9.82343204108397,10.22655104373822,0.0
ml_shuffled_target_control,current_group,nominal_current_20nA,0.95,19,65315,0.9497358952767359,0.895085902352522,0.9705595660721014,-0.0002641047232641025,0.0002641047232641025,98.11066682199764,90.73512708291062,101.82278150150957,0.0
ml_shuffled_target_control,rate_residual_quantile,high_rate_residual,0.68,6,5617,0.6585365853658537,0.5325813882941032,0.76036421846984,-0.02146341463414636,0.02146341463414636,13.741272572551393,12.454450626954616,14.859465257723175,0.0
ml_shuffled_target_control,rate_residual_quantile,high_rate_residual,0.95,6,5617,0.9499732953533915,0.942711287577992,0.9555100732163245,-2.670464660847749e-05,2.670464660847749e-05,185.57783027327787,183.25224761305822,187.9619773050523,0.0
ml_shuffled_target_control,rate_residual_quantile,low_rate_residual,0.68,7,16712,0.7478458592628052,0.5496844726506365,0.7982338274264225,0.06784585926280517,0.06784585926280517,15.537705405107243,11.607558130900319,16.868117625732083,0.0
ml_shuffled_target_control,rate_residual_quantile,low_rate_residual,0.95,7,16712,0.9489588319770225,0.7841483838672768,0.9801990254317283,-0.00104116802297749,0.00104116802297749,161.2621066142162,93.37506460899617,178.6301300440266,0.0
ml_shuffled_target_control,rate_residual_quantile,mid_rate_residual,0.68,7,43142,0.683046683046683,0.6034815621848139,0.7173324643147205,0.0030466830466829853,0.0030466830466829853,9.225198456298589,9.060261638408345,9.339490656681093,0.0
