b2_signed_cov_ns2,downstream_signed_cov_ns2,b2_minus_downstream_cov_ns2,b2_mean_abs_cov_ns2,downstream_mean_abs_cov_ns2,b2_minus_downstream_abs_cov_ns2,inferred_correlated_fraction,method,axis,stratum,n_b2_pair_rows,n_downstream_pair_rows,n_b2_runs,n_downstream_runs,control_mode,delta_ci_low_ns2,delta_ci_high_ns2,interval_excludes_zero
155.18189119262325,50.09461268943243,105.08727850319082,155.18189119262325,50.795961367135384,104.38592982548786,0.6771877678223982,traditional_s05d_static_priors,topology,all,43956,21528,21,21,same_rate_atom_downstream,71.74069201284696,133.45098418570893,True
166.4530012072999,74.78205045046997,91.67095075682994,166.4530012072999,74.78205045046997,91.67095075682994,0.5507317386405265,ridge,rate_residual_quantile,high_rate_residual,4069,1561,7,7,same_rate_atom_downstream,27.20776845403587,174.9205975921976,True
134.39747197625158,58.40676036787363,75.99071160837795,134.39747197625158,58.40676036787363,75.99071160837795,0.5654177157573748,ridge,rate_residual_quantile,low_rate_residual,11415,5297,7,7,same_rate_atom_downstream,43.367736260277006,113.7420616009898,True
111.25688156744101,34.29971720693428,76.95716436050674,111.25688156744101,36.373817443952525,74.88306412348848,0.6917070052323668,ridge,rate_residual_quantile,mid_rate_residual,28472,14670,7,7,same_rate_atom_downstream,26.725645807798486,137.80227064168002,True
83.27239107570615,39.841922605955865,43.43046846975029,83.27239107570615,39.841922605955865,43.43046846975029,0.5215470326805672,ridge,current_group,low_current_2nA,122,47,2,2,same_rate_atom_downstream,43.43046846975029,43.43046846975029,True
138.68558373547063,55.67345911160628,83.01212462386435,138.68558373547063,56.43760130419195,82.24798243127867,0.5985634727701905,ridge,current_group,nominal_current_20nA,43834,21481,19,19,same_rate_atom_downstream,51.0656039213591,113.37849726965929,True
135.9149241024824,54.88188228632376,81.03304181615863,135.9149241024824,55.60781736928014,80.30710673320225,0.5962041501421743,ridge,topology,all,43956,21528,21,21,same_rate_atom_downstream,48.970762302415004,101.82219635226083,True
373.25842486873097,3.716780466994594,369.5416444017364,373.25842486873097,4.219666475062243,369.03875839366873,0.9900423400535387,gradient_boosted_trees,rate_residual_quantile,high_rate_residual,4069,1561,7,7,same_rate_atom_downstream,290.5401760488972,429.53296139346475,True
279.3217916185009,26.51092724089295,252.81086437760797,279.3217916185009,26.70870091619374,252.61309070230718,0.9050882242761005,gradient_boosted_trees,rate_residual_quantile,low_rate_residual,11415,5297,7,7,same_rate_atom_downstream,192.2578637010674,304.4900559102987,True
199.39666101679018,6.50866674288253,192.88799427390765,199.39666101679018,7.15189625568721,192.24476476110297,0.9673581959211721,gradient_boosted_trees,rate_residual_quantile,mid_rate_residual,28472,14670,7,7,same_rate_atom_downstream,83.87344245637958,314.7165045773125,True
375.97338014396956,0.2776216241448896,375.69575851982466,375.97338014396956,0.7992821614466953,375.1740979825229,0.9992615923392273,gradient_boosted_trees,current_group,low_current_2nA,122,47,2,2,same_rate_atom_downstream,375.69575851982466,375.69575851982466,True
274.4529651323923,13.324222056013213,261.1287430763791,274.4529651323923,13.765415625899657,260.68754950649264,0.9514517103155152,gradient_boosted_trees,current_group,nominal_current_20nA,43834,21481,19,19,same_rate_atom_downstream,205.3922544725209,331.001530363165,True
279.52898588297114,12.671892034419797,266.85709384855136,279.52898588297114,13.117108952677006,266.4118769302941,0.9546669838392894,gradient_boosted_trees,topology,all,43956,21528,21,21,same_rate_atom_downstream,194.8110441972014,330.964990348594,True
174.3902251660719,7.726934323408953,166.66329084266295,174.3902251660719,7.756147550840765,166.63407761523115,0.9556917005179012,extra_trees_s05e_dynamic,rate_residual_quantile,high_rate_residual,4069,1561,7,7,same_rate_atom_downstream,112.80528113378148,226.95375590001697,True
108.69036609671561,29.892149620282783,78.79821647643283,110.70488073191522,29.907923039146308,80.79695769276891,0.7249788486894603,extra_trees_s05e_dynamic,rate_residual_quantile,low_rate_residual,11415,5297,7,7,same_rate_atom_downstream,9.775784566788937,143.94509910720896,True
79.24053169338077,9.062438607918036,70.17809308546273,79.24053169338077,9.66522812716189,69.57530356621888,0.8856337985844805,extra_trees_s05e_dynamic,rate_residual_quantile,mid_rate_residual,28472,14670,7,7,same_rate_atom_downstream,33.67926716768881,102.64561637152524,True
149.06951459838749,8.554014111277732,140.51550048710976,149.06951459838749,8.554014111277732,140.51550048710976,0.9426172807074381,extra_trees_s05e_dynamic,current_group,low_current_2nA,122,47,2,2,same_rate_atom_downstream,140.51550048710976,140.51550048710976,True
116.46253268045885,16.34156365403062,100.12096902642823,117.20472228290082,16.57868049252233,100.62604179037848,0.8596839405951494,extra_trees_s05e_dynamic,current_group,nominal_current_20nA,43834,21481,19,19,same_rate_atom_downstream,64.03184728544018,131.88978802185332,True
118.09288177635531,15.952186176892976,102.14069559946233,118.79796189867517,16.177447173460102,102.62051472521506,0.8649183089027899,extra_trees_s05e_dynamic,topology,all,43956,21528,21,21,same_rate_atom_downstream,68.7879239914037,136.4274158588055,True
1205.8835613967349,6.294939076173501,1199.5886223205614,1205.8835613967349,6.338627160104187,1199.5449342366308,0.994779811851086,mlp,rate_residual_quantile,high_rate_residual,4069,1561,7,7,same_rate_atom_downstream,878.0466450593341,1541.3849589035326,True
922.5466418016714,28.120586172195573,894.4260556294759,922.5466418016714,28.241048598312855,894.3055932033585,0.9695185209093842,mlp,rate_residual_quantile,low_rate_residual,11415,5297,7,7,same_rate_atom_downstream,540.0097504885944,1246.0468878646898,True
654.9141176789295,13.341942376004903,641.5721753029246,654.9141176789295,13.777132778005605,641.136984900924,0.9796279511834469,mlp,rate_residual_quantile,mid_rate_residual,28472,14670,7,7,same_rate_atom_downstream,148.49599468003177,1000.5865883202035,True
1831.3449062096458,2.8496803132769997,1828.4952258963688,1831.3449062096458,2.8496803132769997,1828.4952258963688,0.9984439412239526,mlp,current_group,low_current_2nA,122,47,2,2,same_rate_atom_downstream,1828.4952258963688,1828.4952258963688,True
865.5885146597352,17.113560735850914,848.4749539238843,865.5885146597352,17.3320711727146,848.2564434870206,0.9802289882016534,mlp,current_group,nominal_current_20nA,43834,21481,19,19,same_rate_atom_downstream,648.34528537394,1055.9526207553854,True
913.8763342372308,16.400366714722217,897.4759675225087,913.8763342372308,16.607951629742715,897.2683826074881,0.9820540634434847,mlp,topology,all,43956,21528,21,21,same_rate_atom_downstream,699.2070056371426,1188.5606774919202,True
1345.4141954811794,6.04621822018607,1339.3679772609933,1345.4141954811794,6.268332416601207,1339.1458630645782,0.9955060543879398,cnn_1d,rate_residual_quantile,high_rate_residual,4069,1561,7,7,same_rate_atom_downstream,1031.7417079463123,1747.84563624551,True
1041.5931521030197,29.21854206415659,1012.3746100388631,1041.5931521030197,29.413278203755095,1012.1798738992646,0.9719482198926105,cnn_1d,rate_residual_quantile,low_rate_residual,11415,5297,7,7,same_rate_atom_downstream,548.3263460710747,1350.744213144877,True
752.296309567901,13.895785470908098,738.4005240969929,752.296309567901,14.377872018313772,737.9184375495872,0.9815288400405826,cnn_1d,rate_residual_quantile,mid_rate_residual,28472,14670,7,7,same_rate_atom_downstream,271.3870020071551,1337.3324234450051,True
2062.574894184994,7.654540361563366,2054.9203538234306,2062.574894184994,7.654540361563366,2054.9203538234306,0.9962888424642695,cnn_1d,current_group,low_current_2nA,122,47,2,2,same_rate_atom_downstream,2054.9203538234306,2054.9203538234306,True
977.217711073607,17.3906874581582,959.8270236154488,977.217711073607,17.710184510132944,959.507526563474,0.9822038761055075,cnn_1d,current_group,nominal_current_20nA,43834,21481,19,19,same_rate_atom_downstream,744.4536823353812,1195.6253553975857,True
1031.4855702291763,16.90388010332846,1014.5816901258479,1031.4855702291763,17.207402302704466,1014.2781679264718,0.9836121022036471,cnn_1d,topology,all,43956,21528,21,21,same_rate_atom_downstream,792.848814914051,1287.0089954938048,True
1357.432972155835,4.878767046871792,1352.554205108963,1357.432972155835,5.300443000921213,1352.1325291549138,0.9964058873278114,support_gated_cnn_new,rate_residual_quantile,high_rate_residual,4069,1561,7,7,same_rate_atom_downstream,999.3173477612156,1853.800264442557,True
1031.489173044781,27.299279599787702,1004.1898934449932,1031.489173044781,27.482693746555952,1004.006479298225,0.9735341094088221,support_gated_cnn_new,rate_residual_quantile,low_rate_residual,11415,5297,7,7,same_rate_atom_downstream,648.1705445154835,1372.558915149313,True
748.1889456501724,13.134709012051845,735.0542366381205,748.1889456501724,13.827353976301067,734.3615916738713,0.9824446630915699,support_gated_cnn_new,rate_residual_quantile,mid_rate_residual,28472,14670,7,7,same_rate_atom_downstream,277.2326756659986,1290.5539426137593,True
2144.0465376967704,1.9078641757010775,2142.1386735210694,2144.0465376967704,1.9078641757010775,2142.1386735210694,0.9991101572926908,support_gated_cnn_new,current_group,low_current_2nA,122,47,2,2,same_rate_atom_downstream,2142.1386735210694,2142.1386735210694,True
971.4893750580479,16.336982020442445,955.1523930376055,971.4893750580479,16.792901467885542,954.6964735901624,0.983183571081808,support_gated_cnn_new,current_group,nominal_current_20nA,43834,21481,19,19,same_rate_atom_downstream,716.5044699457322,1194.938318877547,True
1030.1172331899843,15.615526128205378,1014.5017070617789,1030.1172331899843,16.04864960327632,1014.068583586708,0.9848410203954666,support_gated_cnn_new,topology,all,43956,21528,21,21,same_rate_atom_downstream,703.3643793721856,1246.564843677776,True
