method,method_alias,stratum,value,n_events,pid_purity,pid_efficiency,pid_specificity,pid_balanced_accuracy,energy_fractional_bias_proxy,timing_separation_sigma68_ns,pileup_recovery_efficiency
joint_sequence_transformer,sequence_transformer,pid_truth,deuteron,328,1.0,0.4420731707317073,0.0,0.22103658536585366,1.696388570399121e-16,2.192969978880088,0.43292682926829273
joint_sequence_transformer,sequence_transformer,pid_truth,proton,332,0.0,0.0,0.5873493975903614,0.2936746987951807,1.2356642431279894e-16,2.126183333669348,0.45481927710843373
mlp,mlp,spacing_bin,merged_lt2,182,0.675,0.6206896551724138,0.7263157894736842,0.673502722323049,1.144769447097449e-16,3.092963831696733,0.6153846153846154
mlp,mlp,spacing_bin,close_2_6,148,0.75,0.5769230769230769,0.7857142857142857,0.6813186813186813,1.7221243606345155e-16,2.1934140603251175,0.8108108108108107
mlp,mlp,pedestal_bin,"(-4320.819, -170.068]",220,0.7291666666666666,0.660377358490566,0.7719298245614035,0.7161535915259847,0.0019765366799132885,3.5322172260242324,0.5636363636363637
mlp,mlp,pedestal_bin,"(-170.068, -8.932]",220,0.7282608695652174,0.6203703703703703,0.7767857142857143,0.6985780423280423,1.1600895399526408e-16,3.0832418360465477,0.40454545454545454
mlp,mlp,pedestal_bin,"(-8.932, 609.332]",220,0.7446808510638298,0.6140350877192983,0.7735849056603774,0.6938099966898379,1.2406738832111712e-16,3.0525484838659835,0.5227272727272727
mlp,mlp,saturation_bin,saturated,240,0.689922480620155,0.7542372881355932,0.6721311475409836,0.7131842178382883,0.10455387600178997,3.229055954098781,0.6
mlp,mlp,saturation_bin,unsaturated,420,0.7712418300653595,0.5619047619047619,0.8333333333333334,0.6976190476190476,0.0,3.4466510445809417,0.4380952380952381
mlp,mlp,pid_truth,deuteron,328,1.0,0.6310975609756098,0.0,0.3155487804878049,1.696388570399121e-16,3.2714073116218247,0.47560975609756095
mlp,mlp,pid_truth,proton,332,0.0,0.0,0.7740963855421686,0.3870481927710843,1.2356642431279894e-16,3.3353361165035595,0.5180722891566265
ridge,ridge,spacing_bin,merged_lt2,182,0.7142857142857143,0.632183908045977,0.7684210526315789,0.700302480338778,1.144769447097449e-16,1.4742066735513872,0.6428571428571428
ridge,ridge,spacing_bin,close_2_6,148,0.8382352941176471,0.7307692307692307,0.8428571428571429,0.7868131868131868,1.7221243606345155e-16,1.5442825797585105,0.8040540540540541
ridge,ridge,pedestal_bin,"(-4320.819, -170.068]",220,0.7916666666666666,0.7169811320754716,0.8245614035087719,0.7707712677921218,0.0019765366799132885,2.352667339031574,0.5636363636363637
ridge,ridge,pedestal_bin,"(-170.068, -8.932]",220,0.78125,0.6944444444444444,0.8125,0.7534722222222222,1.1600895399526408e-16,1.4726536432022104,0.4136363636363637
ridge,ridge,pedestal_bin,"(-8.932, 609.332]",220,0.7777777777777778,0.6754385964912281,0.7924528301886793,0.7339457133399536,1.2406738832111712e-16,1.5686905024201052,0.5181818181818182
ridge,ridge,saturation_bin,saturated,240,0.7431192660550459,0.6864406779661016,0.7704918032786885,0.7284662406223951,0.10455387600178997,1.839533681025864,0.6458333333333333
ridge,ridge,saturation_bin,unsaturated,420,0.8076923076923077,0.7,0.8333333333333334,0.7666666666666666,0.0,1.7164782523795639,0.41428571428571426
ridge,ridge,pid_truth,deuteron,328,1.0,0.6951219512195121,0.0,0.3475609756097561,1.696388570399121e-16,1.894439575947391,0.47865853658536583
ridge,ridge,pid_truth,proton,332,0.0,0.0,0.8102409638554217,0.40512048192771083,1.2356642431279894e-16,1.6813598706129762,0.5180722891566265
template_residual_boosted_stack_new,causal_template_residual_boosted_stack_new,spacing_bin,merged_lt2,182,0.7263157894736842,0.7931034482758621,0.7263157894736842,0.7597096188747732,1.144769447097449e-16,1.2368393338246682,0.5714285714285714
template_residual_boosted_stack_new,causal_template_residual_boosted_stack_new,spacing_bin,close_2_6,148,0.8928571428571429,0.9615384615384616,0.8714285714285714,0.9164835164835166,1.7221243606345155e-16,1.3704954274280836,0.7702702702702703
template_residual_boosted_stack_new,causal_template_residual_boosted_stack_new,pedestal_bin,"(-4320.819, -170.068]",220,0.8034188034188035,0.8867924528301887,0.7982456140350878,0.8425190334326382,0.0019765366799132885,1.797006830289904,0.5636363636363637
template_residual_boosted_stack_new,causal_template_residual_boosted_stack_new,pedestal_bin,"(-170.068, -8.932]",220,0.8181818181818182,0.9166666666666666,0.8035714285714286,0.8601190476190477,1.1600895399526408e-16,1.3712645339536491,0.3954545454545455
template_residual_boosted_stack_new,causal_template_residual_boosted_stack_new,pedestal_bin,"(-8.932, 609.332]",220,0.8125,0.9122807017543859,0.7735849056603774,0.8429328037073817,1.2406738832111712e-16,1.360443122007056,0.40454545454545454
template_residual_boosted_stack_new,causal_template_residual_boosted_stack_new,saturation_bin,saturated,240,0.7762237762237763,0.940677966101695,0.7377049180327869,0.839191442067241,0.10455387600178997,1.7917237271996003,0.6416666666666666
template_residual_boosted_stack_new,causal_template_residual_boosted_stack_new,saturation_bin,unsaturated,420,0.8340807174887892,0.8857142857142857,0.8238095238095238,0.8547619047619047,0.0,1.395129257909331,0.3476190476190476
template_residual_boosted_stack_new,causal_template_residual_boosted_stack_new,pid_truth,deuteron,328,1.0,0.9054878048780488,0.0,0.4527439024390244,1.696388570399121e-16,1.450638325845135,0.44207317073170727
template_residual_boosted_stack_new,causal_template_residual_boosted_stack_new,pid_truth,proton,332,0.0,0.0,0.7921686746987951,0.3960843373493976,1.2356642431279894e-16,1.591342552730577,0.4668674698795181
