energy_bin_mev,energy_lo_mev,energy_hi_mev,method,n,median_truth_target_mev,bias_frac,res68_frac,mae_mev,res68_ci95,bias_ci95,mae_mev_ci95
"[21.297, 24.077)",21.297208999452813,24.07708026981923,mlp,66568,22.75174669728805,-0.5913241231937524,0.6192571309444977,13.114452910178919,"[0.6104537484436279, 0.6247817276961832]","[-0.5971656598710747, -0.5831279568160064]","[12.788808175732797, 13.32981587166844]"
"[21.297, 24.077)",21.297208999452813,24.07708026981923,1d_cnn,66568,22.75174669728805,-0.03967439587849006,0.12413925516818153,2.381499946116457,"[0.10982496956737514, 0.156658978918897]","[-0.046159178545521366, -0.03085317711602447]","[2.3131366143391934, 2.582387874142676]"
"[21.297, 24.077)",21.297208999452813,24.07708026981923,transformer,66568,22.75174669728805,0.10238194401643486,0.1302589511441454,2.4134183060772747,"[0.12623493605638855, 0.14111923347714]","[0.09917297305187256, 0.10740408214159745]","[2.315126945126274, 2.6652616041671284]"
"[21.297, 24.077)",21.297208999452813,24.07708026981923,physics_residual_mlp,66568,22.75174669728805,0.0001972829145620736,0.04370460726530122,0.869718084832563,"[0.04235048692176233, 0.04760266313899315]","[-0.00405376449184666, 0.006367219867976737]","[0.792009435666209, 1.071122261711447]"
"[24.077, 76.126]",24.07708026981923,76.126068118855,old_power_law,66573,25.487702031607288,-0.4620264438555892,0.4764715556766252,13.112928944106226,"[0.4700011804156847, 0.5019700811063734]","[-0.4724444339960726, -0.45784325934668496]","[12.454236829462562, 14.421841544036935]"
"[24.077, 76.126]",24.07708026981923,76.126068118855,geant4_birks_lookup,66573,25.487702031607288,-0.04329077404701972,0.05124783678998154,1.4442083061698046,"[0.05059797491443111, 0.05185753770665273]","[-0.045564398245953056, -0.03718457333289673]","[1.3442741391974238, 1.6097706354085235]"
"[24.077, 76.126]",24.07708026981923,76.126068118855,ridge,66573,25.487702031607288,-0.032063669355547775,0.06124252534757445,1.5867665214942794,"[0.057570008953910685, 0.06977362979419306]","[-0.03489433991726215, -0.027853053232513986]","[1.3130371621464931, 2.000423142477579]"
"[24.077, 76.126]",24.07708026981923,76.126068118855,gradient_boosted_trees,66573,25.487702031607288,-0.05897275835332469,0.07715221118249091,2.433098166672143,"[0.06809293666581404, 0.1186292906334984]","[-0.07137416346122843, -0.05383041593764719]","[1.966060523668018, 3.2328227151138123]"
"[24.077, 76.126]",24.07708026981923,76.126068118855,mlp,66573,25.487702031607288,-0.5851128459925864,0.609925412814388,15.095824128117883,"[0.6066598291782032, 0.6126460750586747]","[-0.5887332527638348, -0.5756935839858717]","[14.97789647505418, 15.175688829511756]"
"[24.077, 76.126]",24.07708026981923,76.126068118855,1d_cnn,66573,25.487702031607288,-0.07226818087702826,0.11076455742365379,2.9851885264178253,"[0.09913574319154905, 0.13422627595804773]","[-0.07893290203778973, -0.06844750026947967]","[2.6519064388753515, 3.566739414213993]"
"[24.077, 76.126]",24.07708026981923,76.126068118855,transformer,66573,25.487702031607288,0.055467833970606215,0.0909739339117494,2.428204569232067,"[0.08365310972822405, 0.10938407642817392]","[0.036995447462106854, 0.061049627446662806]","[2.0463654396525404, 3.1646560658884932]"
"[24.077, 76.126]",24.07708026981923,76.126068118855,physics_residual_mlp,66573,25.487702031607288,-0.019069043253418707,0.06273025709866187,1.4706667536148803,"[0.05546582008376877, 0.07431969762203323]","[-0.02199681945751841, -0.0149587512084189]","[1.2165062647761078, 1.947831784859717]"
