method,run,group,n_events,coverage,accepted_secondary_fraction_mean,accepted_secondary_contribution,bad_proxy_contribution,mean_probability
mlp,47,low_2nA,464,0.8857758620689655,0.08236449612389081,0.07295648255801535,0.008620689655172414,0.07049088635607303
cnn_1d_dual_head,47,low_2nA,464,0.0,,0.0,0.0,0.2584439516067505
consensus_abstention_ensemble,47,low_2nA,464,0.021551724137931036,0.23259984236272233,0.005012927637127637,0.0021551724137931034,0.1831195932098924
traditional_template_fit,48,high_20nA,640,0.43125,0.517784262635038,0.2232944632613601,0.003125,0.42072921832529264
ridge_linear,48,high_20nA,640,0.0359375,0.653525703617088,0.023486079973739103,0.00625,0.21906852489996015
gradient_boosted_trees,48,high_20nA,640,1.0,0.08318555797616937,0.08318555797616937,0.0234375,0.24517181075693376
mlp,48,high_20nA,640,0.9921875,0.06832453856436863,0.0677907531068345,0.0234375,0.1525266959237112
cnn_1d_dual_head,48,high_20nA,640,0.0453125,0.6438332200050354,0.02917369268834591,0.0,0.2991786003112793
consensus_abstention_ensemble,48,high_20nA,640,0.0671875,0.18555073948415315,0.012466690309091541,0.0109375,0.2322923665525863
traditional_template_fit,49,high_20nA,640,0.4484375,0.5212661497867894,0.23375528904501333,0.0,0.4338389185753243
ridge_linear,49,high_20nA,640,0.0609375,0.49998127850217683,0.030467609158726393,0.0,0.2509796193844396
gradient_boosted_trees,49,high_20nA,640,1.0,0.09721623470833099,0.09721623470833099,0.01875,0.2712261226844244
mlp,49,high_20nA,640,0.971875,0.09332805883159564,0.09070320717695701,0.0171875,0.1426047360006272
cnn_1d_dual_head,49,high_20nA,640,0.0015625,0.35298463702201843,0.0005515384837053716,0.0,0.31380996108055115
consensus_abstention_ensemble,49,high_20nA,640,0.103125,0.15430532187439278,0.015912736318296757,0.0015625,0.24254694332119495
traditional_template_fit,50,high_20nA,602,0.38704318936877075,0.5306095747301083,0.20536882211314825,0.0016611295681063123,0.37759781359214695
ridge_linear,50,high_20nA,602,0.03820598006644518,0.5678717871742741,0.02169609818107691,0.0,0.22803549630972092
gradient_boosted_trees,50,high_20nA,602,1.0,0.08893372587827991,0.08893372587827991,0.016611295681063124,0.2767795188747271
mlp,50,high_20nA,602,0.9933554817275747,0.06357977969116309,0.06315732268324838,0.016611295681063124,0.1851192761741165
cnn_1d_dual_head,50,high_20nA,602,0.0033222591362126247,0.5704445838928223,0.0018951647216454148,0.0,0.25155705213546753
consensus_abstention_ensemble,50,high_20nA,602,0.11794019933554817,0.125566495454224,0.014809337503737386,0.0,0.2378186201010912
traditional_template_fit,51,high_20nA,600,0.4066666666666667,0.5320471801646974,0.21636585326697694,0.006666666666666667,0.3935106007653934
ridge_linear,51,high_20nA,600,0.03333333333333333,0.6004560851205336,0.02001520283735112,0.0033333333333333335,0.22437296805573367
gradient_boosted_trees,51,high_20nA,600,1.0,0.0930236437094273,0.0930236437094273,0.03333333333333333,0.2588948411389286
mlp,51,high_20nA,600,0.97,0.0736028338401246,0.07139474882492088,0.03333333333333333,0.12989914024916682
cnn_1d_dual_head,51,high_20nA,600,0.0,,0.0,0.0,0.46482107043266296
consensus_abstention_ensemble,51,high_20nA,600,0.08833333333333333,0.15945963890266684,0.014085601436402237,0.011666666666666667,0.2845383556174349
traditional_template_fit,52,high_20nA,485,0.4288659793814433,0.5143953594018045,0.22060666959912437,0.002061855670103093,0.41601350866322445
ridge_linear,52,high_20nA,485,0.030927835051546393,0.6004920528769743,0.018571919161143532,0.004123711340206186,0.18107895097756713
gradient_boosted_trees,52,high_20nA,485,1.0,0.08321547296424277,0.08321547296424277,0.02268041237113402,0.23681459657296736
mlp,52,high_20nA,485,0.9958762886597938,0.12531373275698945,0.12479697509613588,0.02268041237113402,0.21383604028562697
cnn_1d_dual_head,52,high_20nA,485,0.002061855670103093,0.3928489685058594,0.00080999790225178,0.0,0.29645052552223206
consensus_abstention_ensemble,52,high_20nA,485,0.0577319587628866,0.16721419543596822,0.009653603035478577,0.004123711340206186,0.24903372604229962
traditional_template_fit,53,high_20nA,576,0.4322916666666667,0.5289403523527206,0.22865650648581154,0.003472222222222222,0.417442760966971
ridge_linear,53,high_20nA,576,0.03993055555555555,0.40799804855244654,0.016291588744281715,0.001736111111111111,0.24363461587030757
gradient_boosted_trees,53,high_20nA,576,1.0,0.08760140800635402,0.08760140800635402,0.015625,0.26382750682188605
mlp,53,high_20nA,576,0.9722222222222222,0.12758629084312956,0.12404222720859817,0.015625,0.19629517629936052
cnn_1d_dual_head,53,high_20nA,576,0.0,,0.0,0.0,0.24133814871311188
consensus_abstention_ensemble,53,high_20nA,576,0.078125,0.15150552103028891,0.01183636883049132,0.003472222222222222,0.23382027703477912
traditional_template_fit,54,high_20nA,596,0.40604026845637586,0.5255460401455548,0.21339285522688642,0.003355704697986577,0.39470023834364126
ridge_linear,54,high_20nA,596,0.040268456375838924,0.27852804104574824,0.011215894270298586,0.0,0.20119832774280505
gradient_boosted_trees,54,high_20nA,596,1.0,0.07799532324341056,0.07799532324341056,0.016778523489932886,0.23312122993260714
mlp,54,high_20nA,596,0.9614093959731543,0.09830054000106854,0.0945070627862622,0.016778523489932886,0.11488718768762586
cnn_1d_dual_head,54,high_20nA,596,0.964765100671141,0.08352495729923248,0.08058196306228638,0.015100671140939598,0.2556591033935547
consensus_abstention_ensemble,54,high_20nA,596,0.03355704697986577,0.17417491145306013,0.0058447956863443,0.0,0.20122250902115926
traditional_template_fit,55,high_20nA,597,0.423785594639866,0.5221621520658163,0.22128479811164403,0.008375209380234505,0.40966048767756386
ridge_linear,55,high_20nA,597,0.02680067001675042,0.3751601925219028,0.010054544523200076,0.0016750418760469012,0.19184207941143958
gradient_boosted_trees,55,high_20nA,597,1.0,0.0975707545708946,0.0975707545708946,0.02512562814070352,0.26298103424505626
mlp,55,high_20nA,597,0.998324958123953,0.07805201098353336,0.07792127059662628,0.02512562814070352,0.15841349025518744
cnn_1d_dual_head,55,high_20nA,597,0.0033500837520938024,0.11170519143342972,0.0003742217377293855,0.0,0.36090877652168274
consensus_abstention_ensemble,55,high_20nA,597,0.09882747068676717,0.13039743090299188,0.012886848280195179,0.0016750418760469012,0.2607677749529308
traditional_template_fit,56,high_20nA,632,0.3987341772151899,0.5422816010068868,0.21622620799641692,0.0015822784810126582,0.39210268669674553
ridge_linear,56,high_20nA,632,0.04430379746835443,0.35319096993831656,0.015647701199798834,0.0,0.2284950301238114
gradient_boosted_trees,56,high_20nA,632,1.0,0.07824131991220425,0.07824131991220425,0.028481012658227847,0.25109242042937097
mlp,56,high_20nA,632,0.9509493670886076,0.137845243758024,0.13108384730786776,0.028481012658227847,0.14602164597655268
cnn_1d_dual_head,56,high_20nA,632,0.0015822784810126582,0.37442082166671753,0.0005924379802308977,0.0,0.3010112941265106
consensus_abstention_ensemble,56,high_20nA,632,0.03481012658227848,0.15350821572327136,0.005343640420746789,0.0,0.23270845466022858
traditional_template_fit,57,high_20nA,640,0.43125,0.5383196954520344,0.23215036866368982,0.0015625,0.4216305387606104
ridge_linear,57,high_20nA,640,0.071875,0.41060037321852105,0.029511901825081194,0.00625,0.24705901504204925
gradient_boosted_trees,57,high_20nA,640,1.0,0.08742879337692486,0.08742879337692486,0.0265625,0.26411085378285454
mlp,57,high_20nA,640,1.0,0.2057712519096293,0.2057712519096293,0.0265625,0.10259042380322007
cnn_1d_dual_head,57,high_20nA,640,0.0046875,0.38177335262298584,0.0017895626369863749,0.0,0.29577580094337463
consensus_abstention_ensemble,57,high_20nA,640,0.0375,0.24466667297073674,0.00917500023640263,0.0,0.22082569669770957
