method,disagreement_class,covariate,level,fraction,n_class
mlp,neither,ref_stave,B6,0.015957446808510637,188
mlp,neither,ref_stave,B4,0.005319148936170213,188
mlp,traditional_only,amp_bin,amp_1000_2500,0.5714285714285714,7
mlp,traditional_only,amp_bin,amp_2500_4500,0.42857142857142855,7
mlp,traditional_only,baseline_bin,s16_no_lowering,1.0,7
mlp,traditional_only,p02_topology,p02_broad_late,1.0,7
mlp,traditional_only,ref_stave,B2,0.7142857142857143,7
mlp,traditional_only,ref_stave,B6,0.14285714285714285,7
mlp,traditional_only,ref_stave,B4,0.14285714285714285,7
ridge_linear,joint,amp_bin,amp_2500_4500,0.45,20
ridge_linear,joint,amp_bin,amp_1000_2500,0.35,20
ridge_linear,joint,amp_bin,amp_ge_4500,0.2,20
ridge_linear,joint,baseline_bin,s16_no_lowering,0.7,20
ridge_linear,joint,baseline_bin,s16_mild_lowering,0.2,20
ridge_linear,joint,baseline_bin,s16_large_lowering,0.1,20
ridge_linear,joint,p02_topology,p02_broad_late,1.0,20
ridge_linear,joint,ref_stave,B2,0.8,20
ridge_linear,joint,ref_stave,B4,0.15,20
ridge_linear,joint,ref_stave,B8,0.05,20
ridge_linear,ml_only,amp_bin,amp_ge_4500,0.4389438943894389,303
ridge_linear,ml_only,amp_bin,amp_1000_2500,0.35313531353135313,303
ridge_linear,ml_only,amp_bin,amp_2500_4500,0.2079207920792079,303
ridge_linear,ml_only,baseline_bin,s16_large_lowering,0.9537953795379538,303
ridge_linear,ml_only,baseline_bin,s16_no_lowering,0.0429042904290429,303
ridge_linear,ml_only,baseline_bin,s16_mild_lowering,0.0033003300330033004,303
ridge_linear,ml_only,p02_topology,p02_early_pathology,0.6534653465346535,303
ridge_linear,ml_only,p02_topology,p02_broad_late,0.3465346534653465,303
ridge_linear,ml_only,ref_stave,B2,0.9603960396039604,303
ridge_linear,ml_only,ref_stave,B4,0.033003300330033,303
ridge_linear,ml_only,ref_stave,B6,0.006600660066006601,303
ridge_linear,neither,amp_bin,amp_ge_4500,0.4881240911294232,4126
ridge_linear,neither,amp_bin,amp_2500_4500,0.2687833252544838,4126
ridge_linear,neither,amp_bin,amp_1000_2500,0.24309258361609307,4126
ridge_linear,neither,baseline_bin,s16_large_lowering,0.7513330101793505,4126
ridge_linear,neither,baseline_bin,s16_no_lowering,0.23897237033446436,4126
ridge_linear,neither,baseline_bin,s16_mild_lowering,0.009694619486185167,4126
ridge_linear,neither,p02_topology,p02_early_pathology,0.6049442559379544,4126
ridge_linear,neither,p02_topology,p02_broad_late,0.3950557440620456,4126
ridge_linear,neither,ref_stave,B2,0.9777023751817742,4126
ridge_linear,neither,ref_stave,B4,0.013330101793504604,4126
ridge_linear,neither,ref_stave,B6,0.0060591371788657295,4126
ridge_linear,neither,ref_stave,B8,0.00290838584585555,4126
ridge_linear,traditional_only,amp_bin,amp_1000_2500,0.518375815056313,3374
ridge_linear,traditional_only,amp_bin,amp_2500_4500,0.26111440426793125,3374
ridge_linear,traditional_only,amp_bin,amp_ge_4500,0.22050978067575577,3374
ridge_linear,traditional_only,baseline_bin,s16_no_lowering,0.6956135151155898,3374
ridge_linear,traditional_only,baseline_bin,s16_mild_lowering,0.1896858328393598,3374
ridge_linear,traditional_only,baseline_bin,s16_large_lowering,0.11470065204505038,3374
ridge_linear,traditional_only,p02_topology,p02_broad_late,0.9493183165382335,3374
ridge_linear,traditional_only,p02_topology,p02_early_pathology,0.05068168346176645,3374
ridge_linear,traditional_only,ref_stave,B2,0.9742145820983995,3374
ridge_linear,traditional_only,ref_stave,B6,0.014226437462951986,3374
ridge_linear,traditional_only,ref_stave,B8,0.005927682276229994,3374
ridge_linear,traditional_only,ref_stave,B4,0.005631298162418494,3374
