method,disagreement_class,group,n,downstream_rate,median_ref_amp_adc,median_lowering_adc,trad_delay_median_ns,trad_delay_iqr_ns,secondary_area_proxy_median,secondary_area_proxy_iqr,ml_secondary_fraction_median,ml_secondary_fraction_iqr
consensus_abstention_ensemble,neither,low_2nA,333,0.036036036036036036,4299.5,713.0424999999996,30.0,9.999999999999996,0.04957840404638619,0.03695318761024827,0.04957840404638619,0.03695318761024827
consensus_abstention_ensemble,traditional_only,high_20nA,2908,0.045048143053645115,2429.0,0.0,20.0,10.0,0.586971038707063,0.10288924313248415,0.1939242585746798,0.04349146580520202
consensus_abstention_ensemble,traditional_only,low_2nA,389,0.02056555269922879,2554.0,0.0,20.0,10.0,0.5851441903301488,0.08118765992183496,0.1896093768986082,0.03682826669824868
gradient_boosted_trees,joint,high_20nA,2998,0.04836557705136758,2436.5,0.0,20.0,10.0,0.5873677611697581,0.101849431505458,0.06080182311064225,0.07073014923403612
gradient_boosted_trees,joint,low_2nA,6,0.0,2479.5,0.0,29.999999999999993,7.5,0.600360755849171,0.10527044510609318,0.2183943813313523,0.04472071131500763
gradient_boosted_trees,ml_only,high_20nA,4083,0.07714915503306392,4341.5,1413.9025000000001,30.0,20.0,0.09392746673316651,0.07690017300850331,0.09392746673316651,0.07690017300850331
gradient_boosted_trees,ml_only,low_2nA,3,0.6666666666666666,7119.0,6628.935,,,0.29945094268589956,0.09839090852382537,0.29945094268589956,0.09839090852382537
gradient_boosted_trees,neither,low_2nA,343,0.03498542274052478,4065.0,778.4324999999999,30.0,9.999999999999996,0.07991761436561033,0.08439191167514411,0.07991761436561033,0.08439191167514411
gradient_boosted_trees,traditional_only,low_2nA,390,0.020512820512820513,2547.75,0.0,20.0,10.0,0.58550013257995,0.07920002560324302,0.040522657895755036,0.04213525545189492
mlp,joint,high_20nA,2991,0.04747576061517887,2435.5,0.0,20.0,10.0,0.5871445260239898,0.10203096367119036,0.025498380880097527,0.06807142052765246
mlp,joint,low_2nA,396,0.020202020202020204,2547.75,0.0,20.0,10.0,0.5858566064845558,0.08039703048482505,0.01883333201015059,0.05554789838701263
mlp,ml_only,high_20nA,3948,0.07750759878419453,4423.0,1307.3337499999998,30.0,20.0,0.043669743795862304,0.18116302271033502,0.043669743795862304,0.18116302271033502
mlp,ml_only,low_2nA,293,0.04436860068259386,4872.0,286.3874999999998,30.0,10.0,0.02745124436658071,0.12312006470452404,0.02745124436658071,0.12312006470452404
mlp,neither,high_20nA,135,0.06666666666666667,1672.0,3804.5,50.0,7.500000000000007,0.0031426277718546447,0.3778407243904349,0.0031426277718546447,0.3778407243904349
mlp,neither,low_2nA,53,0.018867924528301886,1401.5,4233.5,50.0,0.0,0.0,0.0,0.0,0.0
mlp,traditional_only,high_20nA,7,0.42857142857142855,2449.5,0.0,30.0,5.000000000000007,0.6150372590071321,0.01568888068779184,0.17070498735850972,0.1509469072054691
ridge_linear,joint,high_20nA,18,0.3333333333333333,3280.0,0.0,30.0,7.105427357601002e-15,0.5906937089405786,0.09103497539208871,0.3941180034347901,0.18256918051393728
ridge_linear,joint,low_2nA,2,0.5,3508.5,0.0,40.0,10.000000000000007,0.5624409681965,0.07232398414172114,0.35098623917305605,0.08601377559470597
ridge_linear,ml_only,high_20nA,293,0.12286689419795221,3794.0,4589.0,40.0,12.500000000000007,0.5243956789400634,0.4235371030138838,0.5243956789400634,0.4235371030138838
ridge_linear,ml_only,low_2nA,10,0.1,1911.0,2289.8737499999997,50.0,0.0,0.4524498908410485,0.3418967136621435,0.4524498908410485,0.3418967136621435
ridge_linear,neither,high_20nA,3790,0.07361477572559366,4370.75,1223.1524999999997,30.0,20.0,0.05871587636976536,0.125016272583667,0.05871587636976536,0.125016272583667
ridge_linear,neither,low_2nA,336,0.03869047619047619,4254.0,714.0299999999997,30.0,10.0,0.050281804333219875,0.10327393585017305,0.050281804333219875,0.10327393585017305
ridge_linear,traditional_only,high_20nA,2980,0.046644295302013423,2433.0,0.0,20.0,10.0,0.5873677611697581,0.10191717647749299,0.07674764126671262,0.10356385654978702
ridge_linear,traditional_only,low_2nA,394,0.017766497461928935,2533.75,0.0,20.0,10.0,0.5858566064845558,0.07920002560324302,0.04831737234340665,0.08119438711765808
