method,run,group,n_events,coverage,accepted_secondary_fraction_mean,accepted_secondary_contribution,bad_proxy_contribution,mean_probability
gradient_boosted_trees,53,high_20nA,636,0.02830188679245283,0.27931821378491833,0.007905232465610895,0.0,0.24913619480528704
mlp,53,high_20nA,636,0.10849056603773585,0.3133530369748105,0.033995848351040754,0.0047169811320754715,0.2376922054718508
cnn_1d_dual_head,53,high_20nA,636,0.0031446540880503146,0.37326574325561523,0.0011737915920093656,0.0,0.28834131360054016
consensus_abstention_ensemble,53,high_20nA,636,0.12735849056603774,0.18402069718593025,0.023436598226509984,0.0015723270440251573,0.25838991002736833
traditional_template_fit,54,high_20nA,656,0.573170731707317,0.47755703004388006,0.2737217123422239,0.012195121951219513,0.5513672936742035
ridge_linear,54,high_20nA,656,0.006097560975609756,0.3735635253241357,0.002277826373927657,0.0,0.20733966774422796
gradient_boosted_trees,54,high_20nA,656,1.0,0.08442781378348078,0.08442781378348078,0.01676829268292683,0.2366367799294855
mlp,54,high_20nA,656,1.0,0.10961180758184293,0.10961180758184293,0.01676829268292683,0.08545145595631126
cnn_1d_dual_head,54,high_20nA,656,0.003048780487804878,0.318444162607193,0.000970866356510669,0.001524390243902439,0.2652471661567688
consensus_abstention_ensemble,54,high_20nA,656,0.024390243902439025,0.20684146087807553,0.0050449136799530616,0.003048780487804878,0.19577846101140498
traditional_template_fit,55,high_20nA,657,0.5525114155251142,0.48361631617079,0.26720353541856434,0.0213089802130898,0.5334752605444143
ridge_linear,55,high_20nA,657,0.0410958904109589,0.39770393777228347,0.016343997442696583,0.0015220700152207,0.20667979617622348
gradient_boosted_trees,55,high_20nA,657,1.0,0.08262317935404276,0.08262317935404276,0.0334855403348554,0.22939247809468816
mlp,55,high_20nA,657,0.9984779299847792,0.07609079046460743,0.0759749749540068,0.0334855403348554,0.14019980248281888
cnn_1d_dual_head,55,high_20nA,657,0.0,,0.0,0.0,0.2893761396408081
consensus_abstention_ensemble,55,high_20nA,657,0.045662100456621,0.14312239046101355,0.006535268970822536,0.0,0.2196561375689268
traditional_template_fit,56,high_20nA,702,0.5754985754985755,0.49363041126490204,0.2840835985057271,0.011396011396011397,0.5527178074469753
ridge_linear,56,high_20nA,702,0.045584045584045586,0.38105421331803735,0.017369992629882043,0.0,0.2000508045945491
gradient_boosted_trees,56,high_20nA,702,0.011396011396011397,0.2671362340757289,0.003044287567814574,0.0,0.2182655913627589
mlp,56,high_20nA,702,0.9358974358974359,0.09068480907339181,0.08487168028663593,0.021367521367521368,0.11821292009346904
cnn_1d_dual_head,56,high_20nA,702,0.0014245014245014246,0.40144243836402893,0.0005718553438782692,0.0,0.2817403972148895
consensus_abstention_ensemble,56,high_20nA,702,0.04985754985754986,0.19304517130975396,0.00962475925333531,0.0,0.2060729775329812
traditional_template_fit,57,high_20nA,720,0.5791666666666667,0.48745391782660147,0.2823170607412401,0.011111111111111112,0.5656527883208742
ridge_linear,57,high_20nA,720,0.04027777777777778,0.4499151044404126,0.01812158059551662,0.005555555555555556,0.26188201961339935
gradient_boosted_trees,57,high_20nA,720,0.06944444444444445,0.23622047832872195,0.01640419988393902,0.008333333333333333,0.2521185353376938
mlp,57,high_20nA,720,0.9777777777777777,0.131420138199421,0.12849969068387831,0.027777777777777776,0.15767445482806441
cnn_1d_dual_head,57,high_20nA,720,0.0,,0.0,0.0,0.25846368074417114
consensus_abstention_ensemble,57,high_20nA,720,0.03888888888888889,0.2175623215689128,0.008460756949902164,0.004166666666666667,0.2227522169828607
