branch,detector_group,typename,interpretation
ProtoTPC_LayerID1,ProtoTPC,std::vector<int32_t>,"AsJagged(AsDtype('>i4'), header_bytes=10)"
ProtoTPC_LayerID2,ProtoTPC,std::vector<int32_t>,"AsJagged(AsDtype('>i4'), header_bytes=10)"
ProtoTPC_PDG,ProtoTPC,std::vector<int32_t>,"AsJagged(AsDtype('>i4'), header_bytes=10)"
ProtoTPC_EDep,ProtoTPC,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
ProtoTPC_Time,ProtoTPC,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
ProtoTPC_TrackLength,ProtoTPC,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
ProtoTPC_Position_X,ProtoTPC,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
ProtoTPC_Position_Y,ProtoTPC,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
ProtoTPC_Position_Z,ProtoTPC,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
ProtoTPC_GlobalPosition_X,ProtoTPC,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
ProtoTPC_GlobalPosition_Y,ProtoTPC,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
ProtoTPC_GlobalPosition_Z,ProtoTPC,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
ProtoTPC_Momentum_X,ProtoTPC,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
ProtoTPC_Momentum_Y,ProtoTPC,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
ProtoTPC_Momentum_Z,ProtoTPC,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
Sci_bar_TrackID,Sci,std::vector<int32_t>,"AsJagged(AsDtype('>i4'), header_bytes=10)"
Sci_bar_LayerID,Sci,std::vector<int32_t>,"AsJagged(AsDtype('>i4'), header_bytes=10)"
Sci_bar_LayerID1,Sci,std::vector<int32_t>,"AsJagged(AsDtype('>i4'), header_bytes=10)"
Sci_bar_LayerID2,Sci,std::vector<int32_t>,"AsJagged(AsDtype('>i4'), header_bytes=10)"
Sci_bar_PDG,Sci,std::vector<int32_t>,"AsJagged(AsDtype('>i4'), header_bytes=10)"
Sci_bar_EDep,Sci,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
Sci_bar_Time,Sci,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
Sci_bar_TrackLength,Sci,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
Sci_bar_Position_X,Sci,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
Sci_bar_Position_Y,Sci,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
Sci_bar_Position_Z,Sci,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
Sci_bar_GlobalPosition_X,Sci,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
Sci_bar_GlobalPosition_Y,Sci,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
Sci_bar_GlobalPosition_Z,Sci,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
Sci_bar_Momentum_X,Sci,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
Sci_bar_Momentum_Y,Sci,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
Sci_bar_Momentum_Z,Sci,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
