severity,code,path,line,message,evidence
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/g4_07_domain_gap.py,40,Committed absolute path reduces portability,"""/home/billy/ccb-geant4/output_30k.root"
P0,MC_WEIGHT_NOT_DECLARED,/Users/billy/ccb-pr/scripts/g4_1783771803_run_keyed_electronics_transfer.py,1,MC truth reader has no PrimaryWeight or explicit unweighted justification,
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/g4_1783771803_run_keyed_electronics_transfer.py,475,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/g4_1783771803_run_keyed_electronics_transfer.py --config {cfg.get("
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/g4_1783771803_run_keyed_electronics_transfer.py,552,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/g4_1783771803_run_keyed_electronics_transfer.py --config {args.config}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/g4_followup_1783692400_14526_10306e70_waveform_response_tuning.py,710,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python"
P0,MC_WEIGHT_NOT_DECLARED,/Users/billy/ccb-pr/scripts/gap_closure_analysis.py,1,MC truth reader has no PrimaryWeight or explicit unweighted justification,
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/gap_closure_analysis.py,208,Argument --data-table appears declared but unused,
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/gap_closure_quick.py,11,Committed absolute path reduces portability,"""/tmp/gap_closure_quick"
P0,MC_WEIGHT_NOT_DECLARED,/Users/billy/ccb-pr/scripts/mc01_trigger_split_truth.py,1,MC truth reader has no PrimaryWeight or explicit unweighted justification,
P0,INDEX_PARITY_SPLIT,/Users/billy/ccb-pr/scripts/mc01_trigger_split_truth.py,1,Index-parity split may leak correlated rows/events,
P1,UNSEEDED_RANDOMNESS,/Users/billy/ccb-pr/scripts/mc01_trigger_split_truth.py,1,Random sampling found without an obvious fixed seed,
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/mc_validation/run_pipeline.py,128,Argument --log-level appears declared but unused,
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/mc_validation/run_pipeline.py,58,Argument --explain appears declared but unused,
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/mc_validation/run_pipeline.py,1,Argument --validate-slurm appears declared but unused,
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/mc_validation/run_pipeline.py,1,Argument --compare-to appears declared but unused,
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/mc_validation/run_pipeline.py,1,Argument --max-files appears declared but unused,
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/mc_validation/run_pipeline.py,1,Argument --max-events appears declared but unused,
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/mc_validation/run_pipeline.py,111,Argument --backend appears declared but unused,
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/mc_validation/run_pipeline.py,94,Argument --verbose appears declared but unused,
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/multistave_covariance.py,11,Committed absolute path reduces portability,"""/tmp/multistave_covariance"
P0,MC_WEIGHT_NOT_DECLARED,/Users/billy/ccb-pr/scripts/mv0_calibrate_from_data.py,1,MC truth reader has no PrimaryWeight or explicit unweighted justification,
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/mv0_calibrate_from_data.py,182,Argument --truth-npz appears declared but unused,
P0,MC_WEIGHT_NOT_DECLARED,/Users/billy/ccb-pr/scripts/mv1_mv2_truth_pid_energy.py,1,MC truth reader has no PrimaryWeight or explicit unweighted justification,
P0,INDEX_PARITY_SPLIT,/Users/billy/ccb-pr/scripts/mv1_mv2_truth_pid_energy.py,1,Index-parity split may leak correlated rows/events,
P0,INDEX_PARITY_SPLIT,/Users/billy/ccb-pr/scripts/mv1_pid_validation.py,45,Index-parity split may leak correlated rows/events,
P0,INDEX_PARITY_SPLIT,/Users/billy/ccb-pr/scripts/mv2_energy_validation.py,45,Index-parity split may leak correlated rows/events,
P0,AMPLITUDE_SCHEMA_DOUBLE_SUBTRACTION,/Users/billy/ccb-pr/scripts/mv3_stopping_v2.py,103,amplitude_adc and baseline_adc are subtracted; verify PulseTableContract,
P0,MC_WEIGHT_NOT_DECLARED,/Users/billy/ccb-pr/scripts/mv3_stopping_v2.py,1,MC truth reader has no PrimaryWeight or explicit unweighted justification,
P0,AMPLITUDE_SCHEMA_DOUBLE_SUBTRACTION,/Users/billy/ccb-pr/scripts/mv3_stopping_v3.py,114,amplitude_adc and baseline_adc are subtracted; verify PulseTableContract,
P0,MC_WEIGHT_NOT_DECLARED,/Users/billy/ccb-pr/scripts/mv3_stopping_v3.py,1,MC truth reader has no PrimaryWeight or explicit unweighted justification,
P0,MC_WEIGHT_NOT_DECLARED,/Users/billy/ccb-pr/scripts/mv4_timing_study.py,1,MC truth reader has no PrimaryWeight or explicit unweighted justification,
P0,INDEX_PARITY_SPLIT,/Users/billy/ccb-pr/scripts/mv4_timing_study.py,1,Index-parity split may leak correlated rows/events,
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/mv5_pileup_study.py,181,Argument --n-overlap appears declared but unused,
P0,MC_WEIGHT_NOT_DECLARED,/Users/billy/ccb-pr/scripts/mv6_representation_study.py,1,MC truth reader has no PrimaryWeight or explicit unweighted justification,
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/mv6_representation_study.py,181,Argument --max-events appears declared but unused,
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/mv6_representation_study.py,208,Argument --max-tracks appears declared but unused,
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/notebooks/build_and_execute.py,1,Argument --export-html appears declared but unused,
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p01c_1781016530_1346_4e7f7ee0_loader_checks.py,443,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p01c_1781016530_1346_4e7f7ee0_loader_checks.py --config configs/p01c_1781016530_1346_4e7f7ee0_loader_checks.json"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p01d_promote_p01b_canonical_artifact.py,29,Committed absolute path reduces portability,"""/home/billy/.tb-workers/testbeam-laptop-2/artifacts/"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p01d_promote_p01b_canonical_artifact.py,33,Committed absolute path reduces portability,"""/home/billy/ccb-data/artifacts/p01b_full_data_embedding_artifact/1781005204.1292.46e43fb0"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p01d_promote_p01b_canonical_artifact.py,34,Committed absolute path reduces portability,"""/projects/hep/fs9/shared/nnbar/billy/ccb-testbeam/data/artifacts/p01b_full_data_embedding_artifact/1781005204.1292.46e43fb0"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p01d_promote_p01b_canonical_artifact.py,39,Committed absolute path reduces portability,"""/home/billy/ccb-data/extracted/root/root"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p01d_promote_p01b_canonical_artifact.py,40,Committed absolute path reduces portability,"""/home/billy/Desktop/test_beam/data/root/root"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p01e_1781017385_1212_733932fe_control_stratum_permutation_null.py,759,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p01e_1781017385_1212_733932fe_control_stratum_permutation_null.py --config {}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p01f_1781017209_1606_4c562bce_domain_residualized_latent.py,814,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python {} --config {}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p01g_1781039488_1122_04bc6ecf_latent_baseline_contamination_atom_map.py,942,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python {} --config {}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p01i_1781042380_684_5b13726c_domain_score_consumer_leakage.py,23,Committed absolute path reduces portability,"""/tmp/matplotlib-p01i-1781042380"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p01i_1781042380_684_5b13726c_domain_score_consumer_leakage.py,625,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p01i_1781042380_684_5b13726c_domain_score_consumer_leakage.py --config {config["
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p01i_1781042380_684_5b13726c_domain_score_consumer_leakage.py,816,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python {__file__} --config {config_path}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p01k_1781048235_687_33ce5940_event_block_timing_leakage_atomizer.py,25,Committed absolute path reduces portability,"""/tmp/matplotlib-p01k"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p01l_1781049810_1116_3eb03e19_sample6_smoothing_causality.py,26,Committed absolute path reduces portability,"""/tmp/matplotlib-p01l-1781049810"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p01l_1781049810_1116_3eb03e19_sample6_smoothing_causality.py,1137,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python {Path(__file__)} --config {config_path}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p02c_p01b_embedding_consumer.py,481,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p02c_p01b_embedding_consumer.py --config configs/p02c_p01b_embedding_consumer.json"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p02c_p01b_embedding_consumer.py,748,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p02c_p01b_embedding_consumer.py --config {}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p02d_1781026939_1565_7fb34a7e_run_heldout_latent_distance_artifact.py,370,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p02d_1781026939_1565_7fb34a7e_run_heldout_latent_distance_artifact.py --config configs/p02d_1781026939_1565_7fb34a7e_r"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p02d_1781026939_1565_7fb34a7e_run_heldout_latent_distance_artifact.py,646,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p02d_1781026939_1565_7fb34a7e_run_heldout_latent_distance_artifact.py --config {}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p02e_1781016529_1278_4216653c_loro_embedding_consumer.py,330,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p02e_1781016529_1278_4216653c_loro_embedding_consumer.py --config configs/p02e_1781016529_1278_4216653c_loro_embedding"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p02e_1781016529_1278_4216653c_loro_embedding_consumer.py,603,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p02e_1781016529_1278_4216653c_loro_embedding_consumer.py --config {}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p02g_1781042380_620_56983544_timing_tail_label_source_split.py,26,Committed absolute path reduces portability,"""/tmp/matplotlib-p02g-1781042380"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p02h_1781043998_641_6ef93138_consensus_failures.py,594,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p02h_1781043998_641_6ef93138_consensus_failures.py --config configs/p02h_1781043998_641_6ef93138_consensus_failures.js"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p02h_1781043998_641_6ef93138_consensus_failures.py,996,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p02h_1781043998_641_6ef93138_consensus_failures.py --config {}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p02i_1781136861_2262_76ed62c5_fresh_consensus_replication.py,342,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p02i_1781136861_2262_76ed62c5_fresh_consensus_replication.py --config configs/p02i_1781136861_2262_76ed62c5_fresh_cons"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p02i_1781136861_2262_76ed62c5_fresh_consensus_replication.py,555,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p02i_1781136861_2262_76ed62c5_fresh_consensus_replication.py --config {}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03a_18_sample_mlp_timing.py,23,Committed absolute path reduces portability,"""/tmp/matplotlib-p03a"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03a_18_sample_mlp_timing.py,575,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p03a_18_sample_mlp_timing.py --config configs/p03a_18_sample_mlp_timing.yaml"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03b_leave_one_run_waveform_mlp_timing.py,17,Committed absolute path reduces portability,"""/tmp/matplotlib-p03b"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03b_leave_one_run_waveform_mlp_timing.py,300,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p03b_leave_one_run_waveform_mlp_timing.py --config configs/p03b_leave_one_run_waveform_mlp_timing.yaml"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03c_1781015093_889_4aa141a8_cnn_vs_mlp_loro.py,18,Committed absolute path reduces portability,"""/tmp/matplotlib-p03c-loro"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03c_cnn_vs_mlp_analytic_residual.py,21,Committed absolute path reduces portability,"""/tmp/matplotlib-p03c"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03d_1781015093_954_4d504688_per_stave_mlp_failure.py,23,Committed absolute path reduces portability,"""/tmp/matplotlib-p03d"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03d_1781015093_954_4d504688_per_stave_mlp_failure.py,451,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p03d_1781015093_954_4d504688_per_stave_mlp_failure.py --config configs/p03d_1781015093_954_4d504688.yaml"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03d_1781016668_1163_37da5572_epoch_score_timing.py,495,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p03d_1781016668_1163_37da5572_epoch_score_timing.py --config configs/p03d_1781016668_1163_37da5572_epoch_score_timing."
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03d_1781016668_1163_37da5572_epoch_score_timing.py,650,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python {__file__} --config {config_path}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03e_stave_blind_residual_ablation.py,16,Committed absolute path reduces portability,"""/tmp/matplotlib-p03e"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03f_1781015703_804_44f56714_early_peak_window.py,25,Committed absolute path reduces portability,"""/tmp/matplotlib-p03f"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03f_1781031083_1848_21e023a2_early_sample_multimodel.py,25,Committed absolute path reduces portability,"""/tmp/matplotlib-p03f-1781031083"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03f_1781031083_1848_21e023a2_early_sample_multimodel.py,893,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python {Path(__file__)} --config {config_path}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03f_1781034623_1381_12086ef0_loro_feature_multimodel.py,23,Committed absolute path reduces portability,"""/tmp/matplotlib-p03f-1781034623"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03f_1781034623_1381_12086ef0_loro_feature_multimodel.py,950,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python {Path(__file__)} --config {config_path}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03f_1781034869_1093_1ffd40cb_b46_pair_asymmetry_closure.py,24,Committed absolute path reduces portability,"""/tmp/matplotlib-p03f-b46"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03f_1781034869_1093_1ffd40cb_b46_pair_asymmetry_closure.py,800,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p03f_1781034869_1093_1ffd40cb_b46_pair_asymmetry_closure.py --config configs/p03f_1781034869_1093_1ffd40cb_b46_pair_as"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03g_1781015703_872_41e940b8_negative_control_registry.py,25,Committed absolute path reduces portability,"""/tmp/matplotlib-p03g"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03g_1781034623_1447_4a243444_detector_label_permutation.py,18,Committed absolute path reduces portability,"""/tmp/matplotlib-p03g-labelperm"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03g_1781097097_1022_02db7832_pedestal_residualized_samples.py,25,Committed absolute path reduces portability,"""/tmp/matplotlib-p03g-1781097097"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03g_1781097097_1022_02db7832_pedestal_residualized_samples.py,1062,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python {Path(__file__)} --config {config_path}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03h_1783548269_15632_5bd03538_external_pedestal_proxy_validation.py,27,Committed absolute path reduces portability,"""/tmp/matplotlib-p03h-1783548269"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03h_1783548269_15632_5bd03538_external_pedestal_proxy_validation.py,1151,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python {Path(__file__)} --config {config_path}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03i_1781038014_1254_657842ac_phase_local_failure_map.py,633,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python {} --config {}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03j_1781123335_1223_1d162b44_blinded_qtemplate_baseline_veto.py,23,Committed absolute path reduces portability,"""/tmp/matplotlib-p03j-1781123335"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p03j_1781123335_1223_1d162b44_blinded_qtemplate_baseline_veto.py,687,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python {} --config {}"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p04_amplitude_charge_regression.py,432,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p04_amplitude_charge_regression.py --config configs/p04_amplitude_charge_regression.yaml"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p04_amplitude_charge_regression.py,596,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p04_amplitude_charge_regression.py --config configs/p04_amplitude_charge_regression.yaml"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p04d_adaptive_template_scale_pathology.py,574,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p04d_adaptive_template_scale_pathology.py --config configs/p04d_adaptive_template_scale_pathology.json"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p04d_adaptive_template_scale_pathology.py,827,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p04d_adaptive_template_scale_pathology.py --config configs/p04d_adaptive_template_scale_pathology.json"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p04e_1781011912_1282_2f0f1825_externalized_duplicate_readout.py,537,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p04e_1781011912_1282_2f0f1825_externalized_duplicate_readout.py --config configs/p04e_1781011912_1282_2f0f1825_externa"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p04e_1781011912_1282_2f0f1825_externalized_duplicate_readout.py,680,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p04e_1781011912_1282_2f0f1825_externalized_duplicate_readout.py --config configs/p04e_1781011912_1282_2f0f1825_externa"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p04g_1781018820_3891_20547ebd_dropout_charge_recovery.py,500,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p04g_1781018820_3891_20547ebd_dropout_charge_recovery.py --config configs/p04g_1781018820_3891_20547ebd_dropout_charge"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p04g_1781018820_3891_20547ebd_dropout_charge_recovery.py,734,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p04g_1781018820_3891_20547ebd_dropout_charge_recovery.py --config configs/p04g_1781018820_3891_20547ebd_dropout_charge"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p04g_1781033470_1723_1a366adc_external_anomaly_charge_proxy_validation.py,982,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/{Path(__file__).name} --config configs/{Path(config["
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p04i_1781024791_1539_3ba15c1d_sample_causality.py,501,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p04i_1781024791_1539_3ba15c1d_sample_causality.py --config configs/p04i_1781024791_1539_3ba15c1d_sample_causality.json"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p04i_1781024791_1539_3ba15c1d_sample_causality.py,792,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p04i_1781024791_1539_3ba15c1d_sample_causality.py --config configs/p04i_1781024791_1539_3ba15c1d_sample_causality.json"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p04i_1781033028_1821_007252a9_causality_bakeoff.py,687,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p04i_1781033028_1821_007252a9_causality_bakeoff.py --config configs/p04i_1781033028_1821_007252a9_causality_bakeoff.js"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/p04i_1781033028_1821_007252a9_causality_bakeoff.py,915,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/p04i_1781033028_1821_007252a9_causality_bakeoff.py --config configs/p04i_1781033028_1821_007252a9_causality_bakeoff.js"
