geometry,current_family,depth_stave,saturated_stave,method,n_saturated,n_runs,matched_unsat_control_rows,energy_res68,energy_res68_ci95,sat_minus_unsat_log_charge_delta,sat_minus_unsat_log_charge_delta_ci95,passes_res68_margin,passes_log_delta_limit
center_2cm,high_20nA,B4,B4,p07_p04_corrected,73,16,107403,0.016052934419629038,"[0.012164965260931127, 0.02523598076543147]",-0.5331855083026377,"[-0.7598885452749343, -0.4590954315448129]",True,False
center_2cm,high_20nA,B4,B4,ridge,73,16,107403,0.029516132756178357,"[0.02345692729559721, 0.039698580069311915]",-0.040381222995222496,"[-0.10424457296690569, -0.005274033780203334]",True,True
center_2cm,high_20nA,B4,B4,gradient_boosted_trees,73,16,107403,0.01058815095826568,"[0.007398780790192083, 0.015332372836517257]",-0.1455928836846933,"[-0.24857752088730006, -0.13789754305923185]",True,True
center_2cm,high_20nA,B4,B4,mlp,73,16,107403,0.0519899385090216,"[0.03725209313983914, 0.05493951935562244]",-0.15365112837105344,"[-0.18924463102409966, -0.061834696355533285]",False,True
center_2cm,high_20nA,B4,B4,1d_cnn,73,16,107403,0.09950717403527988,"[0.07542164815527234, 0.11825968383840837]",-0.5292777938340736,"[-0.7152370548105086, -0.44373020750780984]",False,False
center_2cm,high_20nA,B4,B4,template_residual_mlp,73,16,107403,0.028094288593408893,"[0.0234607730758849, 0.03395603780157476]",0.06633947899772671,"[-0.008417784233905358, 0.10823596331008621]",True,True
center_2cm,high_20nA,B6,B2,observed_even_charge,703,19,292905,0.011001773581672498,"[0.008931679478176528, 0.012129778573771004]",-1.019273523029971,"[-1.0532296243016448, -0.8826703920544405]",True,False
center_2cm,high_20nA,B6,B2,traditional_template_corrected,703,19,292905,0.014189801126360957,"[0.012797853885777739, 0.015556490376081141]",-1.002068529215389,"[-1.0327483901302676, -0.8847885858821987]",True,False
center_2cm,high_20nA,B6,B2,p07_p04_corrected,703,19,292905,0.010853853964106836,"[0.009379817356851746, 0.012621007241009468]",-1.0147272942502825,"[-1.047455766637531, -0.8936251693961635]",True,False
center_2cm,high_20nA,B6,B2,ridge,703,19,292905,0.010275551313936251,"[0.009233828858326572, 0.011583794970784331]",0.03484561274385247,"[-0.010807321425866578, 0.09489349347630488]",True,True
center_2cm,high_20nA,B6,B2,gradient_boosted_trees,703,19,292905,0.00930059464805266,"[0.008557049811358906, 0.010114381649805217]",-0.1701837330719982,"[-0.19060539498435186, -0.15036919721211317]",True,True
center_2cm,high_20nA,B6,B2,mlp,703,19,292905,0.030382773017690663,"[0.02764789394699473, 0.034267260560532836]",-0.12517241670446377,"[-0.29535971541150374, -0.08265178636279205]",True,True
center_2cm,high_20nA,B6,B2,1d_cnn,703,19,292905,0.08318080559511586,"[0.08003932847728454, 0.08780222061073933]",-0.5010115900383629,"[-0.9118250529040907, -0.3341531099636418]",False,False
center_2cm,high_20nA,B6,B2,template_residual_mlp,703,19,292905,0.011521107032743465,"[0.010499321999525508, 0.012982412520432831]",-0.05279765186080748,"[-0.07536271085171065, -0.03726757272505446]",True,True
center_2cm,high_20nA,B8,B2,observed_even_charge,354,19,82161,0.008741273717410864,"[0.00806030889043606, 0.009611554572510705]",-0.9103445614803359,"[-1.0400945676814708, -0.7820937374911444]",True,False
center_2cm,high_20nA,B8,B2,traditional_template_corrected,354,19,82161,0.01482554499900558,"[0.010122708186927868, 0.02139304889112387]",-0.8995008011102362,"[-1.0202711760135852, -0.8019589273493207]",True,False
center_2cm,high_20nA,B8,B2,p07_p04_corrected,354,19,82161,0.009309620528018661,"[0.007581403690523238, 0.010690020848535008]",-0.9062186607434082,"[-1.0383398062308513, -0.8201978933981842]",True,False
center_2cm,high_20nA,B8,B2,ridge,354,19,82161,0.00956374186893176,"[0.00956374186893176, 0.00956374186893176]",0.013682643662319388,"[-0.03607679214121621, 0.037961895491227964]",True,True
center_2cm,high_20nA,B8,B2,gradient_boosted_trees,354,19,82161,0.007695981357600318,"[0.007445527399564051, 0.008953610022596743]",-0.21741522666832375,"[-0.2600755948701049, -0.1869932276395599]",True,False
center_2cm,high_20nA,B8,B2,mlp,354,19,82161,0.03013273980019787,"[0.021001452412661013, 0.03559075345173165]",-0.16341426434293785,"[-0.20492339080302424, -0.13478287573005338]",True,True
center_2cm,high_20nA,B8,B2,1d_cnn,354,19,82161,0.05474699619861129,"[0.0504824937991744, 0.05964335927300188]",0.06284017997141705,"[-0.3346973592618072, 0.32426152668959046]",False,True
center_2cm,high_20nA,B8,B2,template_residual_mlp,354,19,82161,0.01403860008080924,"[0.013083650610098169, 0.015128161351947052]",-0.08251109482443529,"[-0.10208956675174007, -0.057623753503243585]",True,True
center_2cm,low_2nA,B2,B2,observed_even_charge,1389,2,4800201,0.034056352439682455,"[0.03319964235617718, 0.03980266742405157]",-0.6672014138378368,"[-0.6803094971098604, -0.6668307126411672]",True,False
center_2cm,low_2nA,B2,B2,traditional_template_corrected,1389,2,4800201,0.08736278688352547,"[0.083516320130701, 0.0879954244395813]",-0.6530374627870396,"[-0.664770646256829, -0.6530374627870396]",False,False
center_2cm,low_2nA,B2,B2,p07_p04_corrected,1389,2,4800201,0.025444109754307387,"[0.025059949156780975, 0.02944706924418823]",-0.6636804545692875,"[-0.6759373791474792, -0.6634192742110141]",True,False
center_2cm,low_2nA,B2,B2,ridge,1389,2,4800201,0.04661015976196196,"[0.046432548915262745, 0.04722849773627823]",0.06224756977993029,"[0.061980856296673076, 0.06227481090843043]",True,True
center_2cm,low_2nA,B2,B2,gradient_boosted_trees,1389,2,4800201,0.02217039924947525,"[0.02217039924947525, 0.024374039243120284]",-0.05759135242960459,"[-0.0626102321421706, -0.057304767229619094]",True,True
center_2cm,low_2nA,B2,B2,mlp,1389,2,4800201,0.04336482701714219,"[0.04314198990266281, 0.04853251919969635]",0.005031653478905182,"[-0.0027212561149558925, 0.0069305497241787094]",False,True
center_2cm,low_2nA,B2,B2,1d_cnn,1389,2,4800201,0.17008952906260466,"[0.16363252710330717, 0.17030444901729622]",0.07030373714518752,"[0.05902326793032388, 0.07111612753679715]",False,True
center_2cm,low_2nA,B2,B2,template_residual_mlp,1389,2,4800201,0.03020035542943887,"[0.029433390622599236, 0.030286020055178477]",-0.024289319113890883,"[-0.02685707810745912, -0.023898446987841215]",False,True
center_4cm,high_20nA,B2,B2,observed_even_charge,102060,19,1389157839,0.020458738212810273,"[0.018622331423235553, 0.02540237653401254]",-0.2536140979724337,"[-0.28350244048707696, -0.20759687712245792]",True,False
center_4cm,high_20nA,B2,B2,traditional_template_corrected,102060,19,1389157839,0.08245541446894483,"[0.08089366372470158, 0.08495867548045183]",-0.2436397099067975,"[-0.2716873923531744, -0.19718773121065084]",False,False
center_4cm,high_20nA,B2,B2,p07_p04_corrected,102060,19,1389157839,0.02710012923213233,"[0.02655197497057523, 0.028624439613597525]",-0.25169457582671273,"[-0.282300683205286, -0.2043787710902222]",True,False
center_4cm,high_20nA,B2,B2,ridge,102060,19,1389157839,0.05284129477028005,"[0.05147681340679162, 0.05578019705060561]",0.037324173192716255,"[0.03358701090368873, 0.050549729287052474]",True,True
center_4cm,high_20nA,B2,B2,gradient_boosted_trees,102060,19,1389157839,0.018345763662299775,"[0.017042270080515936, 0.020963662303477043]",-0.030504630439513316,"[-0.033247527892506706, -0.021970106405488965]",True,True
center_4cm,high_20nA,B2,B2,mlp,102060,19,1389157839,0.04618818523999639,"[0.04339744474412735, 0.05022725271110784]",0.004672328300037706,"[-0.004455089068959901, 0.0164047365107232]",True,True
center_4cm,high_20nA,B2,B2,1d_cnn,102060,19,1389157839,0.1520148937934365,"[0.14555771520573654, 0.16296910900599845]",-0.03311342455241097,"[-0.04532858611689337, -0.02478422782736192]",False,True
center_4cm,high_20nA,B2,B2,template_residual_mlp,102060,19,1389157839,0.0305458251090243,"[0.029212878084865637, 0.03351560419776676]",-0.014448633353538657,"[-0.017167608708629992, -0.011258773712964342]",True,True
center_4cm,high_20nA,B4,B2,observed_even_charge,1564,19,993061,0.02579645173582772,"[0.024236923488980173, 0.027001232546962628]",-0.6750049995165086,"[-0.7660371253761322, -0.6189824930395383]",True,False
center_4cm,high_20nA,B4,B2,traditional_template_corrected,1564,19,993061,0.029641628066030122,"[0.025976973649597123, 0.032681228488037284]",-0.6640016214257833,"[-0.7533644104921027, -0.6189496799370321]",True,False
center_4cm,high_20nA,B4,B2,p07_p04_corrected,1564,19,993061,0.026254487636601532,"[0.02447571799542426, 0.027621798029190132]",-0.6714623901155063,"[-0.7703309768016029, -0.588618507232992]",True,False
center_4cm,high_20nA,B4,B2,ridge,1564,19,993061,0.022312844023174887,"[0.01922110017533007, 0.02540138670950853]",0.03878334560659248,"[0.0036567739606027556, 0.06520719043357141]",True,True
center_4cm,high_20nA,B4,B2,gradient_boosted_trees,1564,19,993061,0.015425272398118249,"[0.014220433206772765, 0.017183357637574934]",-0.11779123305017852,"[-0.14226249002140556, -0.10469836575371362]",True,True
center_4cm,high_20nA,B4,B2,mlp,1564,19,993061,0.04675748273608389,"[0.043726275373492954, 0.05017958669642697]",-0.0442955331240737,"[-0.06918064563603189, -0.030688428244727412]",True,True
center_4cm,high_20nA,B4,B2,1d_cnn,1564,19,993061,0.147083760720378,"[0.13947767688568877, 0.1527977716037642]",-0.7759519829142887,"[-0.8647013985028126, -0.6310849796475632]",False,False
center_4cm,high_20nA,B4,B2,template_residual_mlp,1564,19,993061,0.018411702935130357,"[0.01734363173638757, 0.019578029938535527]",-0.0010112206175061506,"[-0.014989210298904078, 0.010441892670939056]",True,True
center_4cm,high_20nA,B4,B4,observed_even_charge,73,16,107403,0.013185699311355886,"[0.009902901292411923, 0.02943457328713635]",-0.5351764453648967,"[-0.8105508767805919, -0.46320230105594545]",True,False
center_4cm,high_20nA,B4,B4,traditional_template_corrected,73,16,107403,0.02735743181393032,"[0.019172324290452077, 0.060361212335765246]",-0.5261401198414759,"[-0.7615441605292885, -0.4502386892578554]",True,False
center_4cm,high_20nA,B4,B4,p07_p04_corrected,73,16,107403,0.01667429439797012,"[0.012633324264762467, 0.03465602780830135]",-0.5331855083026377,"[-0.7837536149747127, -0.45390083244644136]",True,False
center_4cm,high_20nA,B4,B4,ridge,73,16,107403,0.030605642556284774,"[0.024316747453701798, 0.041932886392862065]",-0.040381222995222496,"[-0.1062076049448228, -0.00643916138261198]",True,True
center_4cm,high_20nA,B4,B4,gradient_boosted_trees,73,16,107403,0.010984744921061924,"[0.007949680028138506, 0.017019188865209086]",-0.1455928836846933,"[-0.2496415246446331, -0.13789754305923185]",True,True
center_4cm,high_20nA,B4,B4,mlp,73,16,107403,0.05397187801007856,"[0.03756233125772507, 0.058215253624723344]",-0.15365112837105344,"[-0.191039136047249, -0.05808154014744066]",False,True
center_4cm,high_20nA,B4,B4,1d_cnn,73,16,107403,0.10315655980827185,"[0.0786617158363366, 0.12261811951908301]",-0.5292777938340736,"[-0.743049766853319, -0.44373020750780984]",False,False
center_4cm,high_20nA,B4,B4,template_residual_mlp,73,16,107403,0.029206576764881805,"[0.020654792959376615, 0.03645554907579243]",0.06633947899772671,"[-0.017894787004489782, 0.11613640494701606]",True,True
center_4cm,high_20nA,B6,B2,observed_even_charge,703,19,292905,0.011175475840741874,"[0.009686738472236238, 0.012300709336519087]",-1.019273523029971,"[-1.0498723865161552, -0.8651998401126612]",True,False
center_4cm,high_20nA,B6,B2,traditional_template_corrected,703,19,292905,0.014403725624569975,"[0.01256033779804584, 0.016227811334454997]",-1.002068529215389,"[-1.0379141747174752, -0.8779812904345956]",True,False
center_4cm,high_20nA,B6,B2,p07_p04_corrected,703,19,292905,0.011019242483319104,"[0.00981898849111895, 0.012711022238277596]",-1.0147272942502825,"[-1.0474613760921692, -0.8836592445704762]",True,False
center_4cm,high_20nA,B6,B2,ridge,703,19,292905,0.01042844327089367,"[0.009418298370107742, 0.0117875251624959]",0.03484561274385247,"[-0.008168897934382125, 0.09515256273129871]",True,True
center_4cm,high_20nA,B6,B2,gradient_boosted_trees,703,19,292905,0.009442111567396638,"[0.00876692374314169, 0.010367987597654246]",-0.1701837330719982,"[-0.1901200305463357, -0.14658816932813395]",True,True
center_4cm,high_20nA,B6,B2,mlp,703,19,292905,0.030837076699440486,"[0.027907129275996465, 0.03448033467720543]",-0.12517241670446377,"[-0.2538390506384076, -0.08373064955387603]",True,True
center_4cm,high_20nA,B6,B2,1d_cnn,703,19,292905,0.08445833125436569,"[0.08080760749502065, 0.08886346987388322]",-0.5010115900383629,"[-0.9289806403030317, -0.33304719176152664]",False,False
center_4cm,high_20nA,B6,B2,template_residual_mlp,703,19,292905,0.01169938231877353,"[0.010606300560579464, 0.012841668380433366]",-0.05279765186080748,"[-0.07535444447284997, -0.03385939700779021]",True,True
center_4cm,high_20nA,B8,B2,observed_even_charge,354,19,82161,0.008796592756684792,"[0.007845950683003611, 0.009861245183538186]",-0.9103445614803359,"[-1.033510880270546, -0.8240420052153816]",True,False
center_4cm,high_20nA,B8,B2,traditional_template_corrected,354,19,82161,0.014918874789043935,"[0.011079225695326225, 0.020257556896952845]",-0.8995008011102362,"[-1.0216487032359354, -0.8001976470891403]",True,False
center_4cm,high_20nA,B8,B2,p07_p04_corrected,354,19,82161,0.009368716258410499,"[0.007651898527032909, 0.010756964501861118]",-0.9062186607434082,"[-1.021734148751475, -0.811539877481446]",True,False
center_4cm,high_20nA,B8,B2,ridge,354,19,82161,0.009622637648930763,"[0.009622637648930763, 0.009622637648930763]",0.013682643662319388,"[-0.039140753035173836, 0.03272426500582911]",True,True
center_4cm,high_20nA,B8,B2,gradient_boosted_trees,354,19,82161,0.007746747348872886,"[0.007411521871683645, 0.009181155536678089]",-0.21741522666832375,"[-0.26684535981132723, -0.17425835944295545]",True,False
center_4cm,high_20nA,B8,B2,mlp,354,19,82161,0.03033097390057678,"[0.021143664467257225, 0.036768048973670746]",-0.16341426434293785,"[-0.20351940006731858, -0.13901128637264418]",True,True
center_4cm,high_20nA,B8,B2,1d_cnn,354,19,82161,0.0550916904170481,"[0.05124849333762298, 0.06015830851539049]",0.06284017997141705,"[-0.33006872800027565, 0.3194262932910839]",False,True
center_4cm,high_20nA,B8,B2,template_residual_mlp,354,19,82161,0.014125416210205721,"[0.013166419494051316, 0.015298370002769669]",-0.08251109482443529,"[-0.10113118353391001, -0.05747301603625018]",True,True
center_4cm,low_2nA,B2,B2,observed_even_charge,1389,2,4800201,0.03653616654091812,"[0.035618362638843326, 0.04247520115562825]",-0.6672014138378368,"[-0.6803094971098604, -0.6668307126411672]",True,False
center_4cm,low_2nA,B2,B2,traditional_template_corrected,1389,2,4800201,0.09352067918093099,"[0.0898695171138242, 0.09408665130060763]",-0.6530374627870396,"[-0.664770646256829, -0.6530374627870396]",False,False
center_4cm,low_2nA,B2,B2,p07_p04_corrected,1389,2,4800201,0.027252511565997777,"[0.026717923781840267, 0.03136835556509109]",-0.6636804545692875,"[-0.6759373791474792, -0.6634192742110141]",True,False
center_4cm,low_2nA,B2,B2,ridge,1389,2,4800201,0.04983924873966407,"[0.04966373439696666, 0.05085895791644629]",0.06224756977993029,"[0.061980856296673076, 0.06227481090843043]",True,True
center_4cm,low_2nA,B2,B2,gradient_boosted_trees,1389,2,4800201,0.023598368312191895,"[0.023598368312191895, 0.02610715812099642]",-0.05759135242960459,"[-0.0626102321421706, -0.057304767229619094]",True,True
center_4cm,low_2nA,B2,B2,mlp,1389,2,4800201,0.04653008484359754,"[0.04629493465626079, 0.051993070096179525]",0.005031653478905182,"[-0.0027212561149558925, 0.0069305497241787094]",False,True
center_4cm,low_2nA,B2,B2,1d_cnn,1389,2,4800201,0.18177776954918656,"[0.17719681283414773, 0.18307572571695732]",0.07030373714518752,"[0.05902326793032388, 0.07111612753679715]",False,True
center_4cm,low_2nA,B2,B2,template_residual_mlp,1389,2,4800201,0.03229190637408905,"[0.031364961604366665, 0.03246261861416338]",-0.024289319113890883,"[-0.02685707810745912, -0.023898446987841215]",False,True
zero_4cm,high_20nA,B2,B2,observed_even_charge,102060,19,1389157839,0.03748156759191879,"[0.03427794437895053, 0.0504008622226999]",-0.2536140979724337,"[-0.2937607446855106, -0.2070040027301471]",True,False
zero_4cm,high_20nA,B2,B2,traditional_template_corrected,102060,19,1389157839,0.1471825628005152,"[0.14420276086477365, 0.15070682384941952]",-0.2436397099067975,"[-0.27111479938929617, -0.19535419093139902]",False,False
zero_4cm,high_20nA,B2,B2,p07_p04_corrected,102060,19,1389157839,0.04821388212565496,"[0.047027694535945665, 0.05095959576027944]",-0.25169457582671273,"[-0.2824927502856219, -0.2058909700685692]",True,False
zero_4cm,high_20nA,B2,B2,ridge,102060,19,1389157839,0.09489025013215037,"[0.09231993830897847, 0.10038382672116898]",0.037324173192716255,"[0.033889948146668646, 0.05050845757226246]",True,True
zero_4cm,high_20nA,B2,B2,gradient_boosted_trees,102060,19,1389157839,0.03296687265695846,"[0.030901415248889643, 0.037388912945974045]",-0.030504630439513316,"[-0.03346557857238637, -0.021983412034290876]",True,True
zero_4cm,high_20nA,B2,B2,mlp,102060,19,1389157839,0.08356342840495412,"[0.07753940141512344, 0.09147852043444292]",0.004672328300037706,"[-0.005540058565132323, 0.01706455952502571]",True,True
zero_4cm,high_20nA,B2,B2,1d_cnn,102060,19,1389157839,0.28363726213210355,"[0.2722929538181907, 0.3093419465012291]",-0.03311342455241097,"[-0.045921941450831616, -0.024451133983597967]",False,True
zero_4cm,high_20nA,B2,B2,template_residual_mlp,102060,19,1389157839,0.055175666013240796,"[0.052885741176255704, 0.06217345616015418]",-0.014448633353538657,"[-0.01674773137738436, -0.010050472300030254]",False,True
zero_4cm,high_20nA,B4,B2,observed_even_charge,1564,19,993061,0.036043516050011305,"[0.03394150020203956, 0.037352037089574804]",-0.6750049995165086,"[-0.7715396266277399, -0.6383555535304027]",True,False
zero_4cm,high_20nA,B4,B2,traditional_template_corrected,1564,19,993061,0.040757198155767074,"[0.03581151209559178, 0.04505044750232133]",-0.6640016214257833,"[-0.7597514059480982, -0.6204429176157846]",True,False
zero_4cm,high_20nA,B4,B2,p07_p04_corrected,1564,19,993061,0.036720838349116595,"[0.03389779480932432, 0.03867012502242319]",-0.6714623901155063,"[-0.7761138922068541, -0.626508079071883]",True,False
zero_4cm,high_20nA,B4,B2,ridge,1564,19,993061,0.030838278532320927,"[0.025731138050901207, 0.03543059180098568]",0.03878334560659248,"[0.004372923371845089, 0.06765625935356828]",True,True
zero_4cm,high_20nA,B4,B2,gradient_boosted_trees,1564,19,993061,0.021381024252124747,"[0.019829805721654103, 0.02350471750835999]",-0.11779123305017852,"[-0.14717095210954415, -0.10261914855263844]",True,True
zero_4cm,high_20nA,B4,B2,mlp,1564,19,993061,0.06492688939252296,"[0.060335206165769296, 0.07026970974475504]",-0.0442955331240737,"[-0.06964939251453017, -0.032827549166722515]",False,True
zero_4cm,high_20nA,B4,B2,1d_cnn,1564,19,993061,0.203232709768273,"[0.1929801953625404, 0.2110930091056647]",-0.7759519829142887,"[-0.8485256913279663, -0.6268402339547067]",False,False
zero_4cm,high_20nA,B4,B2,template_residual_mlp,1564,19,993061,0.025569026397414922,"[0.02382057146669322, 0.026835753594354837]",-0.0010112206175061506,"[-0.016790802779340634, 0.009601631324033836]",True,True
zero_4cm,high_20nA,B4,B4,observed_even_charge,73,16,107403,0.01832495460969023,"[0.014232796856360015, 0.04403600549842965]",-0.5351764453648967,"[-0.782166266512058, -0.46536816172318257]",True,False
zero_4cm,high_20nA,B4,B4,traditional_template_corrected,73,16,107403,0.037972413206457625,"[0.025167574567104844, 0.09189962233556448]",-0.5261401198414759,"[-0.7695703194506753, -0.4467995611250517]",True,False
zero_4cm,high_20nA,B4,B4,p07_p04_corrected,73,16,107403,0.02313966157288265,"[0.017246683061126394, 0.03890150288928866]",-0.5331855083026377,"[-0.7577499066521813, -0.45903699209424925]",True,False
zero_4cm,high_20nA,B4,B4,ridge,73,16,107403,0.04216076822226073,"[0.033024500262677545, 0.05503437347041283]",-0.040381222995222496,"[-0.08930437226743927, -0.0018594523793705098]",True,True
zero_4cm,high_20nA,B4,B4,gradient_boosted_trees,73,16,107403,0.015153569406770706,"[0.010567333198012573, 0.02323246905967519]",-0.1455928836846933,"[-0.2472093950714911, -0.13789754305923185]",True,True
zero_4cm,high_20nA,B4,B4,mlp,73,16,107403,0.07348957468235445,"[0.05297214380797262, 0.07995879266874235]",-0.15365112837105344,"[-0.191039136047249, -0.06381997179465125]",False,True
zero_4cm,high_20nA,B4,B4,1d_cnn,73,16,107403,0.14029640225025075,"[0.10601474577595812, 0.1699643882160166]",-0.5292777938340736,"[-0.7200905554101152, -0.44292111495726627]",False,False
zero_4cm,high_20nA,B4,B4,template_residual_mlp,73,16,107403,0.044294595949825995,"[0.033897995570191325, 0.05196861273022648]",0.06633947899772671,"[-0.0107265501015482, 0.10454894504456026]",False,True
zero_4cm,high_20nA,B6,B2,observed_even_charge,703,19,292905,0.013989095195236237,"[0.011608364919254646, 0.015389686589176855]",-1.019273523029971,"[-1.0498257807911695, -0.9010381442561048]",True,False
zero_4cm,high_20nA,B6,B2,traditional_template_corrected,703,19,292905,0.017834368275553732,"[0.015292310112575263, 0.020410770365164706]",-1.002068529215389,"[-1.03051825297806, -0.877842714897018]",True,False
zero_4cm,high_20nA,B6,B2,p07_p04_corrected,703,19,292905,0.013653343784234773,"[0.01190165947829598, 0.01522123704774245]",-1.0147272942502825,"[-1.0479629587698058, -0.8916060967550994]",True,False
zero_4cm,high_20nA,B6,B2,ridge,703,19,292905,0.012890672533273143,"[0.01169706390380315, 0.014706568410145945]",0.03484561274385247,"[-0.008979356113776205, 0.09888349280291729]",True,True
zero_4cm,high_20nA,B6,B2,gradient_boosted_trees,703,19,292905,0.011693845859468553,"[0.01085532195170714, 0.012711082414148854]",-0.1701837330719982,"[-0.19014294494291092, -0.14358559830655238]",True,True
zero_4cm,high_20nA,B6,B2,mlp,703,19,292905,0.038208427564035585,"[0.03260738204964551, 0.0433430298048452]",-0.12517241670446377,"[-0.29257684213284035, -0.08575209903687568]",True,True
zero_4cm,high_20nA,B6,B2,1d_cnn,703,19,292905,0.1048078302232485,"[0.09939684818488106, 0.1102507515777156]",-0.5010115900383629,"[-0.9470508531377033, -0.33990622579941276]",False,False
zero_4cm,high_20nA,B6,B2,template_residual_mlp,703,19,292905,0.014559344472485103,"[0.012913965509342904, 0.01550511964312456]",-0.05279765186080748,"[-0.07532832856332435, -0.033020174786139195]",True,True
zero_4cm,high_20nA,B8,B2,observed_even_charge,354,19,82161,0.010285816091917104,"[0.009021006851363757, 0.011725403164375273]",-0.9103445614803359,"[-1.0360258221694438, -0.8042205403225134]",True,False
zero_4cm,high_20nA,B8,B2,traditional_template_corrected,354,19,82161,0.017429016629583797,"[0.011626147557686732, 0.02405893783007656]",-0.8995008011102362,"[-1.017659826902405, -0.804682167581666]",True,False
zero_4cm,high_20nA,B8,B2,p07_p04_corrected,354,19,82161,0.0109604443287628,"[0.008948120023979066, 0.012501812426385586]",-0.9062186607434082,"[-1.0262928498974675, -0.7971266680709869]",True,False
zero_4cm,high_20nA,B8,B2,ridge,354,19,82161,0.011200670290942929,"[0.011200670290942929, 0.011200670290942929]",0.013682643662319388,"[-0.036345263450811634, 0.032709444725102746]",True,True
zero_4cm,high_20nA,B8,B2,gradient_boosted_trees,354,19,82161,0.009118301272132291,"[0.008696816413919945, 0.010479069617636035]",-0.21741522666832375,"[-0.26201510294359326, -0.1848842647734992]",True,False
zero_4cm,high_20nA,B8,B2,mlp,354,19,82161,0.03570493607283633,"[0.024289372017181725, 0.043310520050694336]",-0.16341426434293785,"[-0.20720254457246062, -0.1361449736748032]",True,True
zero_4cm,high_20nA,B8,B2,1d_cnn,354,19,82161,0.06436910543331795,"[0.05936152317097566, 0.0698372740402321]",0.06284017997141705,"[-0.31488357524089544, 0.32090688542349494]",False,True
