heldout_run,topology,method,epochs,final_loss,train_rows,log_prediction_clip
36,A1_only,cnn1d_waveform,8,0.38439831137657166,145,"[6.245473861694336, 11.406219482421875]"
36,A1_only,hybrid_support_gate_cnn,8,0.38051751255989075,145,"[6.245473861694336, 11.406219482421875]"
36,A3_only,cnn1d_waveform,8,0.4678279757499695,2370,"[7.378570556640625, 11.304651260375977]"
36,A3_only,hybrid_support_gate_cnn,8,0.5172526836395264,2370,"[7.378570556640625, 11.304651260375977]"
37,A1A3,cnn1d_waveform,8,0.4297899603843689,1238,"[8.269859313964844, 11.909085273742676]"
37,A1A3,hybrid_support_gate_cnn,8,0.36329594254493713,1238,"[8.269859313964844, 11.909085273742676]"
37,A1_only,cnn1d_waveform,8,0.3940763771533966,146,"[6.2459917068481445, 11.405949592590332]"
37,A1_only,hybrid_support_gate_cnn,8,0.38052093982696533,146,"[6.2459917068481445, 11.405949592590332]"
37,A3_only,cnn1d_waveform,8,0.4694236218929291,2379,"[7.378751754760742, 11.303857803344727]"
37,A3_only,hybrid_support_gate_cnn,8,0.4371497631072998,2379,"[7.378751754760742, 11.303857803344727]"
39,A1A3,cnn1d_waveform,8,0.3871358633041382,1222,"[8.27167797088623, 11.909505844116211]"
39,A1A3,hybrid_support_gate_cnn,8,0.41157254576683044,1222,"[8.27167797088623, 11.909505844116211]"
39,A1_only,cnn1d_waveform,8,0.3846041262149811,140,"[6.242884159088135, 11.407567977905273]"
39,A1_only,hybrid_support_gate_cnn,8,0.3973917067050934,140,"[6.242884159088135, 11.407567977905273]"
39,A3_only,cnn1d_waveform,8,0.5222376585006714,2369,"[7.372190475463867, 11.303895950317383]"
39,A3_only,hybrid_support_gate_cnn,8,0.48787203431129456,2369,"[7.372190475463867, 11.303895950317383]"
40,A1A3,cnn1d_waveform,8,0.3963924050331116,1259,"[8.272552490234375, 11.908533096313477]"
40,A1A3,hybrid_support_gate_cnn,8,0.3769564628601074,1259,"[8.272552490234375, 11.908533096313477]"
40,A1_only,cnn1d_waveform,8,0.3822230100631714,143,"[6.244438171386719, 11.406758308410645]"
40,A1_only,hybrid_support_gate_cnn,8,0.3782428503036499,143,"[6.244438171386719, 11.406758308410645]"
40,A3_only,cnn1d_waveform,8,0.4111407995223999,2388,"[7.373958587646484, 11.304588317871094]"
40,A3_only,hybrid_support_gate_cnn,8,0.37490716576576233,2388,"[7.373958587646484, 11.304588317871094]"
41,A1A3,cnn1d_waveform,8,0.4351939857006073,1229,"[8.268704414367676, 11.899168014526367]"
41,A1A3,hybrid_support_gate_cnn,8,0.43540120124816895,1229,"[8.268704414367676, 11.899168014526367]"
41,A1_only,cnn1d_waveform,8,0.38677316904067993,142,"[6.243919849395752, 11.407028198242188]"
41,A1_only,hybrid_support_gate_cnn,8,0.3941973149776459,142,"[6.243919849395752, 11.407028198242188]"
41,A3_only,cnn1d_waveform,8,0.3299318552017212,2389,"[7.378952980041504, 11.304584503173828]"
41,A3_only,hybrid_support_gate_cnn,8,0.42767980694770813,2389,"[7.378952980041504, 11.304584503173828]"
42,A1A3,cnn1d_waveform,8,0.41597238183021545,1250,"[8.271398544311523, 11.90343189239502]"
42,A1A3,hybrid_support_gate_cnn,8,0.37127381563186646,1250,"[8.271398544311523, 11.90343189239502]"
42,A1_only,cnn1d_waveform,8,0.392819344997406,142,"[6.243919849395752, 11.407028198242188]"
42,A1_only,hybrid_support_gate_cnn,8,0.39185065031051636,142,"[6.243919849395752, 11.407028198242188]"
42,A3_only,cnn1d_waveform,8,0.46419668197631836,2384,"[7.378851890563965, 11.30460262298584]"
42,A3_only,hybrid_support_gate_cnn,8,0.4473699629306793,2384,"[7.378851890563965, 11.30460262298584]"
44,A1A3,cnn1d_waveform,8,0.46766558289527893,1331,"[8.28178882598877, 11.90664005279541]"
44,A1A3,hybrid_support_gate_cnn,8,0.4826860725879669,1331,"[8.28178882598877, 11.90664005279541]"
44,A1_only,cnn1d_waveform,8,0.3855135440826416,148,"[6.24702787399292, 11.405409812927246]"
44,A1_only,hybrid_support_gate_cnn,8,0.386540025472641,148,"[6.24702787399292, 11.405409812927246]"
44,A3_only,cnn1d_waveform,8,0.3906833231449127,2500,"[7.379818916320801, 11.30094051361084]"
44,A3_only,hybrid_support_gate_cnn,8,0.38648107647895813,2500,"[7.377161026000977, 11.303457260131836]"
45,A1A3,cnn1d_waveform,8,0.39860111474990845,1251,"[8.299983978271484, 11.908742904663086]"
45,A1A3,hybrid_support_gate_cnn,8,0.4112195670604706,1251,"[8.299983978271484, 11.908742904663086]"
45,A1_only,cnn1d_waveform,8,0.38934212923049927,139,"[6.242366313934326, 11.407837867736816]"
45,A1_only,hybrid_support_gate_cnn,8,0.3844696283340454,139,"[6.242366313934326, 11.407837867736816]"
45,A3_only,cnn1d_waveform,8,0.5683138370513916,2363,"[7.3716325759887695, 11.303918838500977]"
45,A3_only,hybrid_support_gate_cnn,8,0.37647825479507446,2363,"[7.3716325759887695, 11.303918838500977]"
47,A1A3,cnn1d_waveform,8,0.455307275056839,1312,"[8.279351234436035, 11.907139778137207]"
47,A1A3,hybrid_support_gate_cnn,8,0.3933182656764984,1312,"[8.279351234436035, 11.907139778137207]"
47,A3_only,cnn1d_waveform,8,0.4408552348613739,2500,"[7.377161026000977, 11.30416202545166]"
47,A3_only,hybrid_support_gate_cnn,8,0.3734510838985443,2500,"[7.377161026000977, 11.30416202545166]"
48,A1A3,cnn1d_waveform,8,0.4323350489139557,1244,"[8.330587387084961, 11.908926963806152]"
48,A1A3,hybrid_support_gate_cnn,8,0.41339659690856934,1244,"[8.330587387084961, 11.908926963806152]"
48,A1_only,cnn1d_waveform,8,0.38373640179634094,138,"[6.241848468780518, 11.408106803894043]"
48,A1_only,hybrid_support_gate_cnn,8,0.38094139099121094,138,"[6.241848468780518, 11.408106803894043]"
48,A3_only,cnn1d_waveform,8,0.42014291882514954,2413,"[7.375410079956055, 11.30286979675293]"
48,A3_only,hybrid_support_gate_cnn,8,0.42414161562919617,2413,"[7.375410079956055, 11.30286979675293]"
49,A1A3,cnn1d_waveform,8,0.4619959890842438,1239,"[8.269987106323242, 11.909058570861816]"
49,A1A3,hybrid_support_gate_cnn,8,0.3314843475818634,1239,"[8.269987106323242, 11.909058570861816]"
49,A1_only,cnn1d_waveform,8,0.4073198437690735,135,"[6.240294456481934, 11.408916473388672]"
49,A1_only,hybrid_support_gate_cnn,8,0.37721458077430725,135,"[6.240294456481934, 11.408916473388672]"
49,A3_only,cnn1d_waveform,8,0.4230908453464508,2393,"[7.374423980712891, 11.30316162109375]"
49,A3_only,hybrid_support_gate_cnn,8,0.42850974202156067,2393,"[7.374423980712891, 11.30316162109375]"
50,A1A3,cnn1d_waveform,8,0.37671390175819397,1327,"[8.281275749206543, 11.906744956970215]"
50,A1A3,hybrid_support_gate_cnn,8,0.35589900612831116,1327,"[8.281275749206543, 11.906744956970215]"
50,A1_only,cnn1d_waveform,8,0.3800707757472992,143,"[6.244438171386719, 11.406758308410645]"
50,A1_only,hybrid_support_gate_cnn,8,0.3919127285480499,143,"[6.244438171386719, 11.406758308410645]"
50,A3_only,cnn1d_waveform,8,0.4236803650856018,2500,"[7.377161026000977, 11.303457260131836]"
50,A3_only,hybrid_support_gate_cnn,8,0.4048473834991455,2500,"[7.377161026000977, 11.30416202545166]"
51,A1A3,cnn1d_waveform,8,0.3310636579990387,1340,"[8.282942771911621, 11.900919914245605]"
51,A1A3,hybrid_support_gate_cnn,8,0.40078404545783997,1340,"[8.282942771911621, 11.900919914245605]"
51,A1_only,cnn1d_waveform,8,0.38999903202056885,144,"[6.244956016540527, 11.406489372253418]"
51,A1_only,hybrid_support_gate_cnn,8,0.3790965974330902,144,"[6.244956016540527, 11.406489372253418]"
51,A3_only,cnn1d_waveform,8,0.4319137930870056,2500,"[7.377161026000977, 11.303457260131836]"
51,A3_only,hybrid_support_gate_cnn,8,0.4430348873138428,2500,"[7.377161026000977, 11.30094051361084]"
52,A1A3,cnn1d_waveform,8,0.3461032807826996,1340,"[8.282942771911621, 11.906403541564941]"
52,A1A3,hybrid_support_gate_cnn,8,0.3255571722984314,1340,"[8.282942771911621, 11.906403541564941]"
52,A3_only,cnn1d_waveform,8,0.4060269296169281,2500,"[7.379818916320801, 11.303457260131836]"
52,A3_only,hybrid_support_gate_cnn,8,0.46086564660072327,2500,"[7.379818916320801, 11.30416202545166]"
53,A1A3,cnn1d_waveform,8,0.46562838554382324,1339,"[8.282814979553223, 11.906429290771484]"
53,A1A3,hybrid_support_gate_cnn,8,0.4198840260505676,1339,"[8.282814979553223, 11.906429290771484]"
53,A1_only,cnn1d_waveform,8,0.3792708218097687,143,"[6.244438171386719, 11.406758308410645]"
53,A1_only,hybrid_support_gate_cnn,8,0.391407310962677,143,"[6.244438171386719, 11.406758308410645]"
53,A3_only,cnn1d_waveform,8,0.41793304681777954,2500,"[7.395612716674805, 11.30416202545166]"
53,A3_only,hybrid_support_gate_cnn,8,0.41307535767555237,2500,"[7.395612716674805, 11.30416202545166]"
54,A1A3,cnn1d_waveform,8,0.45086735486984253,1341,"[8.283071517944336, 11.906376838684082]"
54,A1A3,hybrid_support_gate_cnn,8,0.35766318440437317,1341,"[8.283071517944336, 11.906376838684082]"
54,A1_only,cnn1d_waveform,8,0.38896507024765015,136,"[6.240812301635742, 11.408646583557129]"
54,A1_only,hybrid_support_gate_cnn,8,0.3890919089317322,136,"[6.240812301635742, 11.408646583557129]"
54,A3_only,cnn1d_waveform,8,0.47676217555999756,2500,"[7.377786636352539, 11.30416202545166]"
54,A3_only,hybrid_support_gate_cnn,8,0.44004836678504944,2500,"[7.377161026000977, 11.30416202545166]"
55,A1A3,cnn1d_waveform,8,0.3544556200504303,1340,"[8.282942771911621, 11.906403541564941]"
55,A1A3,hybrid_support_gate_cnn,8,0.4735861122608185,1340,"[8.282942771911621, 11.906403541564941]"
55,A1_only,cnn1d_waveform,8,0.376658171415329,142,"[6.243919849395752, 11.364919662475586]"
55,A1_only,hybrid_support_gate_cnn,8,0.37256771326065063,142,"[6.243919849395752, 11.364919662475586]"
55,A3_only,cnn1d_waveform,8,0.44027137756347656,2500,"[7.379818916320801, 11.296979904174805]"
55,A3_only,hybrid_support_gate_cnn,8,0.46836191415786743,2500,"[7.379818916320801, 11.296979904174805]"
56,A1A3,cnn1d_waveform,8,0.40508875250816345,1322,"[8.280633926391602, 11.901422500610352]"
56,A1A3,hybrid_support_gate_cnn,8,0.39363470673561096,1322,"[8.280633926391602, 11.901422500610352]"
56,A1_only,cnn1d_waveform,8,0.3835814893245697,147,"[6.250545978546143, 11.405679702758789]"
56,A1_only,hybrid_support_gate_cnn,8,0.39252763986587524,147,"[6.250545978546143, 11.405679702758789]"
56,A3_only,cnn1d_waveform,8,0.3923856019973755,2500,"[7.379818916320801, 11.303457260131836]"
56,A3_only,hybrid_support_gate_cnn,8,0.4325394928455353,2500,"[7.377161026000977, 11.303457260131836]"
57,A1A3,cnn1d_waveform,8,0.3881780803203583,1232,"[8.29648208618164, 11.908323287963867]"
57,A1A3,hybrid_support_gate_cnn,8,0.33332541584968567,1232,"[8.29648208618164, 11.908323287963867]"
57,A1_only,cnn1d_waveform,8,0.4051806628704071,142,"[6.243919849395752, 11.380831718444824]"
57,A1_only,hybrid_support_gate_cnn,8,0.38698190450668335,142,"[6.243919849395752, 11.380831718444824]"
57,A3_only,cnn1d_waveform,8,0.5397152900695801,2405,"[7.379274368286133, 11.304527282714844]"
57,A3_only,hybrid_support_gate_cnn,8,0.3583642840385437,2405,"[7.379274368286133, 11.304527282714844]"
58,A1A3,cnn1d_waveform,8,0.4781321585178375,1336,"[8.282429695129395, 11.906508445739746]"
58,A1A3,hybrid_support_gate_cnn,8,0.3249899446964264,1336,"[8.282429695129395, 11.906508445739746]"
58,A3_only,cnn1d_waveform,8,0.445024698972702,2500,"[7.377161026000977, 11.30416202545166]"
58,A3_only,hybrid_support_gate_cnn,8,0.43613678216934204,2500,"[7.377161026000977, 11.30416202545166]"
59,A1A3,cnn1d_waveform,8,0.43135836720466614,1340,"[8.282942771911621, 11.906403541564941]"
59,A1A3,hybrid_support_gate_cnn,8,0.33875688910484314,1340,"[8.282942771911621, 11.906403541564941]"
59,A3_only,cnn1d_waveform,8,0.4527873992919922,2500,"[7.379818916320801, 11.303457260131836]"
59,A3_only,hybrid_support_gate_cnn,8,0.45086556673049927,2500,"[7.377161026000977, 11.303457260131836]"
60,A1A3,cnn1d_waveform,8,0.5571284890174866,1341,"[8.283071517944336, 11.906376838684082]"
60,A1A3,hybrid_support_gate_cnn,8,0.3682112693786621,1341,"[8.283071517944336, 11.906376838684082]"
60,A3_only,cnn1d_waveform,8,0.4371785819530487,2500,"[7.395612716674805, 11.30416202545166]"
60,A3_only,hybrid_support_gate_cnn,8,0.47173312306404114,2500,"[7.414687156677246, 11.30416202545166]"
61,A3_only,cnn1d_waveform,8,0.43708574771881104,2500,"[7.379818916320801, 11.30416202545166]"
61,A3_only,hybrid_support_gate_cnn,8,0.4567817449569702,2500,"[7.379818916320801, 11.303457260131836]"
62,A1A3,cnn1d_waveform,8,0.4794978201389313,1341,"[8.283071517944336, 11.906376838684082]"
62,A1A3,hybrid_support_gate_cnn,8,0.3337938189506531,1341,"[8.283071517944336, 11.906376838684082]"
62,A1_only,cnn1d_waveform,8,0.4032447338104248,147,"[6.246510028839111, 11.405679702758789]"
62,A1_only,hybrid_support_gate_cnn,8,0.3801586329936981,147,"[6.246510028839111, 11.405679702758789]"
62,A3_only,cnn1d_waveform,8,0.38975831866264343,2500,"[7.379818916320801, 11.30416202545166]"
62,A3_only,hybrid_support_gate_cnn,8,0.4181021749973297,2500,"[7.377161026000977, 11.30416202545166]"
63,A1A3,cnn1d_waveform,8,0.3784846365451813,1335,"[8.282301902770996, 11.906535148620605]"
63,A1A3,hybrid_support_gate_cnn,8,0.38237276673316956,1335,"[8.282301902770996, 11.906535148620605]"
63,A3_only,cnn1d_waveform,8,0.43311262130737305,2500,"[7.377161026000977, 11.30384635925293]"
63,A3_only,hybrid_support_gate_cnn,8,0.42733025550842285,2500,"[7.377161026000977, 11.30416202545166]"
64,A1A3,cnn1d_waveform,8,0.33918634057044983,1340,"[8.282942771911621, 11.906403541564941]"
64,A1A3,hybrid_support_gate_cnn,8,0.39095157384872437,1340,"[8.282942771911621, 11.906403541564941]"
64,A1_only,cnn1d_waveform,8,0.3885514438152313,148,"[6.24702787399292, 11.405409812927246]"
64,A1_only,hybrid_support_gate_cnn,8,0.40922489762306213,148,"[6.24702787399292, 11.405409812927246]"
64,A3_only,cnn1d_waveform,8,0.39988353848457336,2500,"[7.379818916320801, 11.30416202545166]"
64,A3_only,hybrid_support_gate_cnn,8,0.4018585681915283,2500,"[7.379818916320801, 11.30416202545166]"
65,A1A3,cnn1d_waveform,8,0.46487030386924744,1341,"[8.283071517944336, 11.906376838684082]"
65,A1A3,hybrid_support_gate_cnn,8,0.38793808221817017,1341,"[8.283071517944336, 11.906376838684082]"
65,A1_only,cnn1d_waveform,8,0.3863860070705414,148,"[6.24702787399292, 11.405409812927246]"
65,A1_only,hybrid_support_gate_cnn,8,0.38744401931762695,148,"[6.24702787399292, 11.405409812927246]"
65,A3_only,cnn1d_waveform,8,0.4669184684753418,2500,"[7.379818916320801, 11.30416202545166]"
65,A3_only,hybrid_support_gate_cnn,8,0.4847489893436432,2500,"[7.377161026000977, 11.30416202545166]"
