mode,direction,n_bins,fold,sigma68_ns,n_pair_residuals,heldout_run
monotonic,decreasing,12,-1,1.595554418501249,0,59
monotonic,decreasing,4,0,1.9806517500908711,2799,60
monotonic,decreasing,4,1,1.3872489164559954,2838,60
monotonic,decreasing,4,2,1.3888969024612476,3399,60
monotonic,decreasing,4,-1,1.5855991896693713,0,60
monotonic,decreasing,6,0,1.9806517500908676,2799,60
monotonic,decreasing,6,1,1.3293544143642437,2838,60
monotonic,decreasing,6,2,1.2932691605746292,3399,60
monotonic,decreasing,6,-1,1.5344251083432467,0,60
monotonic,decreasing,8,0,1.9806517500908676,2799,60
monotonic,decreasing,8,1,1.2500000000000036,2838,60
monotonic,decreasing,8,2,1.2708481192334986,3399,60
monotonic,decreasing,8,-1,1.5004999564414565,0,60
monotonic,decreasing,10,0,1.9806517500908676,2799,60
monotonic,decreasing,10,1,1.3064375525342524,2838,60
monotonic,decreasing,10,2,1.3128410887968578,3399,60
monotonic,decreasing,10,-1,1.5333101304739927,0,60
monotonic,decreasing,12,0,1.9806517500908676,2799,60
monotonic,decreasing,12,1,1.2980956987924974,2838,60
monotonic,decreasing,12,2,1.277975769939376,3399,60
monotonic,decreasing,12,-1,1.5189077396075803,0,60
monotonic,decreasing,4,0,1.6017565135411367,2622,61
monotonic,decreasing,4,1,1.6944633146125234,2640,61
monotonic,decreasing,4,2,1.5000000000000107,3399,61
monotonic,decreasing,4,-1,1.5987399427178903,0,61
monotonic,decreasing,6,0,1.4817307342783919,2622,61
monotonic,decreasing,6,1,1.659679097015325,2640,61
monotonic,decreasing,6,2,1.500294211564715,3399,61
monotonic,decreasing,6,-1,1.5472346809528108,0,61
monotonic,decreasing,8,0,1.4072931989286204,2622,61
monotonic,decreasing,8,1,1.678331650016772,2640,61
monotonic,decreasing,8,2,1.5000000000000047,3399,61
monotonic,decreasing,8,-1,1.5285416163151322,0,61
monotonic,decreasing,10,0,1.4273661922013232,2622,61
monotonic,decreasing,10,1,1.5764221358045252,2640,61
monotonic,decreasing,10,2,1.5000000000000036,3399,61
monotonic,decreasing,10,-1,1.5012627760019506,0,61
monotonic,decreasing,12,0,1.4278453040178443,2622,61
monotonic,decreasing,12,1,1.5665485945718878,2640,61
monotonic,decreasing,12,2,1.5000000000000036,3399,61
monotonic,decreasing,12,-1,1.4981312995299119,0,61
monotonic,decreasing,4,0,2.0940955546561626,2799,62
monotonic,decreasing,4,1,1.437430026970695,2841,62
monotonic,decreasing,4,2,1.4608541245645559,3399,62
monotonic,decreasing,4,-1,1.6641265687304712,0,62
monotonic,decreasing,6,0,2.0755856505466888,2799,62
monotonic,decreasing,6,1,1.3822446412149687,2841,62
monotonic,decreasing,6,2,1.4856786270933129,3399,62
monotonic,decreasing,6,-1,1.6478363062849901,0,62
monotonic,decreasing,8,0,2.0755856505466888,2799,62
monotonic,decreasing,8,1,1.3099152730055508,2841,62
monotonic,decreasing,8,2,1.4374300269706985,3399,62
monotonic,decreasing,8,-1,1.6076436501743128,0,62
monotonic,decreasing,10,0,2.0755856505466888,2799,62
monotonic,decreasing,10,1,1.3130614491914159,2841,62
monotonic,decreasing,10,2,1.4422259171814047,3399,62
monotonic,decreasing,10,-1,1.6102910056398365,0,62
monotonic,decreasing,12,0,2.0755856505466888,2799,62
monotonic,decreasing,12,1,1.3598587016768915,2841,62
monotonic,decreasing,12,2,1.4374300269706985,3399,62
monotonic,decreasing,12,-1,1.6242914597314264,0,62
monotonic,decreasing,4,0,2.089975648599835,2799,63
monotonic,decreasing,4,1,1.4331122575496842,2841,63
monotonic,decreasing,4,2,1.5606416550909903,4710,63
monotonic,decreasing,4,-1,1.6945765204135033,0,63
monotonic,decreasing,6,0,2.0643583449090115,2799,63
monotonic,decreasing,6,1,1.381622761545548,2841,63
monotonic,decreasing,6,2,1.5,4710,63
monotonic,decreasing,6,-1,1.6486603688181865,0,63
monotonic,decreasing,8,0,2.06435834490901,2799,63
monotonic,decreasing,8,1,1.3143583449090173,2841,63
monotonic,decreasing,8,2,1.5,4710,63
monotonic,decreasing,8,-1,1.626238896606009,0,63
monotonic,decreasing,10,0,2.0643583449090137,2799,63
monotonic,decreasing,10,1,1.3143583449090208,2841,63
monotonic,decreasing,10,2,1.4999999999999964,4710,63
monotonic,decreasing,10,-1,1.6262388966060104,0,63
monotonic,decreasing,12,0,2.06435834490901,2799,63
monotonic,decreasing,12,1,1.3696484069316277,2841,63
monotonic,decreasing,12,2,1.4763038754057745,4710,63
monotonic,decreasing,12,-1,1.6367702090821374,0,63
monotonic,decreasing,4,0,2.106847516090439,3018,65
monotonic,decreasing,4,1,1.4432963751216057,3534,65
monotonic,decreasing,4,2,1.536717884609652,4710,65
monotonic,decreasing,4,-1,1.6956205919405658,0,65
monotonic,decreasing,6,0,2.0149496794771475,3018,65
monotonic,decreasing,6,1,1.4098978278001557,3534,65
monotonic,decreasing,6,2,1.4960571407456005,4710,65
monotonic,decreasing,6,-1,1.640301549340968,0,65
monotonic,decreasing,8,0,1.9131501441117162,3018,65
monotonic,decreasing,8,1,1.4121397105354943,3534,65
monotonic,decreasing,8,2,1.430984426796119,4710,65
monotonic,decreasing,8,-1,1.5854247604811098,0,65
monotonic,decreasing,10,0,1.8885919557442037,3018,65
monotonic,decreasing,10,1,1.3195763825403155,3534,65
monotonic,decreasing,10,2,1.430984426796119,4710,65
monotonic,decreasing,10,-1,1.5463842550268794,0,65
monotonic,decreasing,12,0,1.8885919557442037,3018,65
monotonic,decreasing,12,1,1.4309844267961154,3534,65
monotonic,decreasing,12,2,1.4309844267961225,4710,65
monotonic,decreasing,12,-1,1.5835202697788138,0,65
