method,heldout_run,pileup_ap,pileup_auc,pid_auc,pid_efficiency,pid_purity,pid_balanced_accuracy,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
joint_sequence_transformer,64,0.7954984500400009,0.8248393021120294,0.5113425925925927,0.4305555555555556,0.5636363636363636,0.5152777777777777,0.9502292203066842,13.492542534447844,0.2666666666666666,0.3181818181818182,0.1666666666666666,0.0604460734810258,0.122240031285496,132,66
joint_sequence_transformer,65,0.8229814665929955,0.838613406795225,0.5656565656565656,0.5454545454545454,0.6,0.5909090909090908,-0.0642990681863908,12.063291309159162,0.2444444444444444,0.3181818181818182,0.1515151515151515,0.0616938140100357,0.1206463816918232,132,66
mlp,58,0.7241306908284048,0.7672176308539945,0.7956841138659321,0.5909090909090909,0.7647058823529411,0.7045454545454546,2.159742794048456,16.77817316082919,0.3958333333333333,0.2727272727272727,0.3636363636363636,-0.0705365861552495,0.1676685702991641,132,66
mlp,60,0.7052669217524707,0.7015610651974289,0.7997695852534562,0.6129032258064516,0.7307692307692307,0.7064516129032259,-2.3671737756479683,16.167118524980403,0.3777777777777777,0.3181818181818182,0.3636363636363636,-0.0091052504564631,0.1625706941021149,132,66
mlp,62,0.7129062012608076,0.751147842056933,0.8209677419354838,0.6774193548387096,0.75,0.7387096774193549,-0.5536423359937892,13.28684326607937,0.2857142857142857,0.3636363636363636,0.3181818181818182,-0.0550161644974485,0.1224505823863178,132,66
mlp,64,0.7674233195700852,0.8030303030303031,0.7201388888888889,0.6944444444444444,0.746268656716418,0.7055555555555555,-1.8351377041228911,13.676592011448296,0.2826086956521739,0.303030303030303,0.2121212121212121,-0.047360364199198,0.2108202540569613,132,66
mlp,65,0.8553762226417931,0.8491735537190083,0.7047750229568411,0.5757575757575758,0.6785714285714286,0.6515151515151516,-0.0411642912416887,13.89683391606523,0.3039215686274509,0.2272727272727272,0.1969696969696969,-0.0503674056713342,0.1400644400734334,132,66
ridge,58,0.7979648831296093,0.7970615243342516,0.8627180899908173,0.6515151515151515,0.8269230769230769,0.7575757575757576,-1.527763215292115,10.25092564548391,0.173076923076923,0.2121212121212121,0.3181818181818182,-0.0244946677214742,0.0806266028049642,132,66
ridge,60,0.7083207645029574,0.7215335169880625,0.9140552995391704,0.7419354838709677,0.8363636363636363,0.8066820276497696,-0.075562898031376,11.208053551464715,0.1363636363636363,0.3333333333333333,0.3636363636363636,-0.0088009878678709,0.1021803465670332,132,66
ridge,62,0.6836137681946977,0.7408172635445363,0.8642857142857143,0.6774193548387096,0.7924528301886793,0.7601382488479262,-0.5597483551468141,8.093532590262548,0.1463414634146341,0.3787878787878788,0.2727272727272727,-0.0263814659431907,0.0692798546759498,132,66
ridge,64,0.805470483055429,0.794077134986226,0.7416666666666667,0.7361111111111112,0.7361111111111112,0.7097222222222223,-0.0543479383515554,10.951741694644532,0.1938775510204081,0.2575757575757575,0.2575757575757575,-0.025527473142396,0.1147482008454049,132,66
ridge,65,0.7872287763272641,0.8287419651056016,0.7890266299357208,0.6666666666666666,0.7457627118644068,0.7196969696969697,-0.35364485103623,9.951154209131918,0.16,0.2424242424242424,0.1969696969696969,-0.0297716421644129,0.0923854563176656,132,66
template_residual_boosted_stack_new,58,0.8401506722371623,0.8269054178145088,0.922635445362718,0.9090909090909092,0.8695652173913043,0.8863636363636364,0.91329694774827,7.747896463255834,0.13,0.2424242424242424,0.3333333333333333,-0.0111516275972188,0.0674585533999995,132,66
template_residual_boosted_stack_new,60,0.7433697746031729,0.7224517906336089,0.9370967741935484,0.8709677419354839,0.8571428571428571,0.8711981566820277,-0.1112549874458235,7.378714617070129,0.0952380952380952,0.3636363636363636,0.3333333333333333,0.0036813489853757,0.0929311566452896,132,66
template_residual_boosted_stack_new,62,0.8248995798264966,0.7954545454545456,0.8838709677419355,0.9032258064516128,0.7887323943661971,0.8444700460829493,-0.3605523355818185,9.06234391287935,0.1341463414634146,0.3787878787878788,0.2272727272727272,-0.0193978386433777,0.0669120671621686,132,66
template_residual_boosted_stack_new,64,0.8228150002692266,0.8011937557392103,0.8365740740740741,0.8888888888888888,0.7619047619047619,0.7777777777777777,-0.7579431974884088,7.39840112204752,0.1375,0.3939393939393939,0.1666666666666666,0.0090786455680916,0.0877382044354258,132,66
template_residual_boosted_stack_new,65,0.8506660324128482,0.8328741965105599,0.9292929292929292,0.9545454545454546,0.7974683544303798,0.8560606060606061,0.6224748365162691,9.03397223915482,0.1,0.3181818181818182,0.1818181818181818,-0.0002609104249359,0.0934278713255595,132,66
