method,bin,prob_low,prob_high,n,mean_predicted_probability,observed_positive_fraction,abs_calibration_error
gradient_boosted_trees,2,0.2,0.30000000000000004,2229,0.25043998641683723,0.3319874383131449,0.08154745189630769
gradient_boosted_trees,3,0.30000000000000004,0.4,3116,0.352157680925318,0.39120667522464697,0.039048994299328954
gradient_boosted_trees,4,0.4,0.5,6869,0.4633455251815497,0.3876837967680885,0.0756617284134612
gradient_boosted_trees,5,0.5,0.6000000000000001,148137,0.5218419738231885,0.3953164975664419,0.12652547625674665
gradient_boosted_trees,6,0.6000000000000001,0.7000000000000001,7,0.6135655291047516,0.14285714285714285,0.47070838624760875
manifold_gated_residual_cnn_new,0,0.0,0.1,5272,0.06233948161191348,0.2329286798179059,0.17058919820599244
manifold_gated_residual_cnn_new,1,0.1,0.2,3510,0.1451489267568303,0.3074074074074074,0.1622584806505771
manifold_gated_residual_cnn_new,2,0.2,0.30000000000000004,3479,0.2496763354798575,0.22851394078758264,0.02116239469227485
manifold_gated_residual_cnn_new,3,0.30000000000000004,0.4,3041,0.3548832469984561,0.3844130220322262,0.029529775033770134
manifold_gated_residual_cnn_new,4,0.4,0.5,12727,0.4711963320257078,0.3373143710222362,0.1338819610034716
manifold_gated_residual_cnn_new,5,0.5,0.6000000000000001,137801,0.5288709797989543,0.40367631584676456,0.1251946639521897
manifold_gated_residual_cnn_new,6,0.6000000000000001,0.7000000000000001,1607,0.6414047319397989,0.5532047293092719,0.08820000263052696
manifold_gated_residual_cnn_new,7,0.7000000000000001,0.8,197,0.7285873623668845,0.30456852791878175,0.42401883444810273
manifold_gated_residual_cnn_new,8,0.8,0.9,42,0.8391758941468739,0.11904761904761904,0.7201282750992548
manifold_gated_residual_cnn_new,9,0.9,1.0,7,0.9120087708745684,0.0,0.9120087708745684
mlp,0,0.0,0.1,4922,0.05206143470333544,0.23973994311255586,0.18767850840922043
mlp,1,0.1,0.2,2418,0.15014992157618204,0.314722911497105,0.16457298992092298
mlp,2,0.2,0.30000000000000004,2310,0.24960913020165967,0.2943722943722944,0.04476316417063472
mlp,3,0.30000000000000004,0.4,2736,0.35333259677111406,0.3658625730994152,0.012529976328301162
mlp,4,0.4,0.5,9484,0.4682978155246167,0.4283002952340784,0.03999752029053827
mlp,5,0.5,0.6000000000000001,144551,0.522697325125599,0.39159189490214524,0.13110543022345372
mlp,6,0.6000000000000001,0.7000000000000001,1262,0.6214738934996011,0.6782884310618067,0.05681453756220556
ridge,0,0.0,0.1,2870,0.06623106290703211,0.48606271777003485,0.4198316548630027
ridge,1,0.1,0.2,6547,0.14851270369355946,0.26806170765235987,0.11954900395880041
ridge,2,0.2,0.30000000000000004,4327,0.24671467129488558,0.23711578460827362,0.009598886686611963
ridge,3,0.30000000000000004,0.4,3673,0.35444295996327463,0.3648243942281514,0.010381434264876754
ridge,4,0.4,0.5,30828,0.4747172675140417,0.2952186324120929,0.1794986351019488
ridge,5,0.5,0.6000000000000001,109260,0.5373513748895118,0.381017755811825,0.15633361907768678
ridge,6,0.6000000000000001,0.7000000000000001,9790,0.6353886457164597,0.8837589376915219,0.24837029197506222
ridge,7,0.7000000000000001,0.8,335,0.7240432175970571,0.6447761194029851,0.07926709819407207
ridge,8,0.8,0.9,52,0.8407580130406268,0.5576923076923077,0.2830657053483191
ridge,9,0.9,1.0,1,0.9084735316796386,1.0,0.09152646832036138
traditional_optimal_transport_template_likelihood,2,0.2,0.30000000000000004,6628,0.24335591748464463,0.48928786964393484,0.2459319521592902
traditional_optimal_transport_template_likelihood,3,0.30000000000000004,0.4,2689,0.3564929722807843,0.21643733730011155,0.14005563498067275
traditional_optimal_transport_template_likelihood,4,0.4,0.5,10552,0.47041797968675303,0.33254359363153907,0.13787438605521396
traditional_optimal_transport_template_likelihood,5,0.5,0.6000000000000001,147814,0.5121056972442823,0.39110639046369083,0.12099930678059151
