method,n,positives,roc_auc,auc_ci_low,auc_ci_high,average_precision,role,family
traditional_scalar__fft_k1_fraction,9745,2021,0.8450290591974325,0.8176867767573396,0.8682300441611326,0.6852963994248297,traditional_scalar,frequency_domain_fft
traditional_scalar__fft_high_over_low,9745,2021,0.832116159404451,0.797929046305004,0.8558405192746372,0.7123923754980477,traditional_scalar,frequency_domain_fft
traditional_scalar__haar_l0_d06,9745,2021,0.8200719542166137,0.7779289033203097,0.8550239926783051,0.716832426147967,traditional_scalar,wavelet_haar
traditional_scalar__haar_l2_d00,9745,2021,0.8175281053341776,0.7311101900852267,0.88038167922262,0.7327848283898827,traditional_scalar,wavelet_haar
traditional_scalar__haar_l1_d03,9745,2021,0.810951733878686,0.7710112992751322,0.8392310361106606,0.7180176966329345,traditional_scalar,wavelet_haar
traditional_scalar__haar_l2_d01,9745,2021,0.7598351373242783,0.6727398435148747,0.8242141673187201,0.7276628209448475,traditional_scalar,wavelet_haar
traditional_scalar__time_kurtosis,9745,2021,0.7458387795572691,0.6704821888589935,0.8045086204970205,0.7139208070611952,traditional_scalar,mean_time_moments
traditional_scalar__haar_l0_d07,9745,2021,0.7272877087320575,0.6954941539916719,0.7553920276333629,0.5960331132900565,traditional_scalar,wavelet_haar
traditional_scalar__tail_14_17_over_total,9745,2021,0.7171188794201537,0.6031506889075348,0.7928960093864066,0.7557246511688354,traditional_scalar,charge_comparison_psd
traditional_scalar__tail_12_17_over_total,9745,2021,0.7126728773051269,0.6057846101505927,0.7969599067887613,0.7537195857903658,traditional_scalar,charge_comparison_psd
traditional_scalar__haar_l0_d03,9745,2021,0.7081791820273456,0.6172133869043487,0.7782062927783315,0.3334209370451475,traditional_scalar,wavelet_haar
traditional_scalar__final_sample,9745,2021,0.708123032857226,0.6113447106000145,0.7858419351154576,0.7334074994222828,traditional_scalar,traditional_scalar
traditional_scalar__mean_time,9745,2021,0.705902562195856,0.6103086340912899,0.7867339910016131,0.7450581880256841,traditional_scalar,mean_time_moments
traditional_scalar__haar_l3_d00,9745,2021,0.7056599964997254,0.6455227507647002,0.7658024629219696,0.4978165856645911,traditional_scalar,wavelet_haar
traditional_scalar__tail_10_17_over_total,9745,2021,0.7056561208296829,0.6116821144492978,0.7835396408268028,0.7427675269607039,traditional_scalar,charge_comparison_psd
traditional_scalar__peak_sample,9745,2021,0.7053073425561895,0.5896424936366118,0.7855674877838346,0.7543953975342557,traditional_scalar,traditional_scalar
traditional_scalar__late_minus_early_asym,9745,2021,0.6995798389309966,0.5975247688943669,0.7830789097557752,0.7367647826386742,traditional_scalar,charge_comparison_psd
traditional_scalar__zero_crossings_derivative,9745,2021,0.6983584263216548,0.6289878009536142,0.7393355470499868,0.48632788379349573,traditional_scalar,zero_crossing_derivative
traditional_scalar__cfd50_time,9745,2021,0.6966500245608578,0.5980747066874087,0.7712103140440997,0.7427626216331664,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__cfd20_time,9745,2021,0.694928266152063,0.5911627968563026,0.7730856865093247,0.7394478707465096,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__haar_l0_d05,9745,2021,0.6939662351625898,0.6137633295667929,0.76291546005596,0.49074093147482545,traditional_scalar,wavelet_haar
traditional_scalar__haar_l1_d02,9745,2021,0.6531913035857827,0.5729934036928118,0.6974213131125385,0.3508886377494124,traditional_scalar,wavelet_haar
traditional_scalar__max_fall_step,9745,2021,0.6385316296955503,0.5518490311771177,0.7036674616037176,0.6383162276034944,traditional_scalar,zero_crossing_derivative
traditional_scalar__rise_20_80,9745,2021,0.6284157465206732,0.5639349319516072,0.6976819635297593,0.47039886664586344,traditional_scalar,rise_time_width
traditional_scalar__max_rise_step,9745,2021,0.6145081448006702,0.553746019045711,0.6937639415210046,0.48225249980442453,traditional_scalar,zero_crossing_derivative
traditional_scalar__rise_10_50,9745,2021,0.6124402025751874,0.542745863360144,0.6829974326309385,0.4635624146299903,traditional_scalar,rise_time_width
traditional_scalar__fft_k2_fraction,9745,2021,0.5991045985049266,0.5597114195548756,0.6293559333435809,0.2699714860434964,traditional_scalar,frequency_domain_fft
traditional_scalar__cf_ratio_s6_s8,9745,2021,0.5970517745956427,0.5034277156596588,0.6562861264157458,0.5763840596948281,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__haar_l0_d00,9745,2021,0.5816536093954954,0.5362339996968083,0.6419199231947472,0.41824289480192656,traditional_scalar,wavelet_haar
traditional_scalar__haar_l0_d04,9745,2021,0.576546437189418,0.5178297146563492,0.6153008554810534,0.23959057449458232,traditional_scalar,wavelet_haar
traditional_scalar__le_ratio_s5_s7,9745,2021,0.5583231968012718,0.47529053527555426,0.6126779279735515,0.5297787938751581,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__haar_l0_d01,9745,2021,0.5413457441043051,0.4869934455791903,0.5911115137655738,0.30413380742622953,traditional_scalar,wavelet_haar
traditional_scalar__haar_l1_d00,9745,2021,0.49492895800721115,0.4073851190294254,0.5526540410448123,0.26922421130102253,traditional_scalar,wavelet_haar
traditional_scalar__le_ratio_s4_s7,9745,2021,0.4920059020368984,0.4316617681979504,0.5398063609721013,0.5000313213003486,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__early_0_4_over_total,9745,2021,0.46374342705578986,0.3551554727685052,0.5632115680744002,0.19454484569393282,traditional_scalar,charge_comparison_psd
