method,family,baseline,n_events,n_pair_residuals,sigma68_ns,full_rms_ns,abs_residual_p95_ns,tail_frac_vs_traditional_p95,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high,heldout_run,train_runs
analytic_template_mask_no_3_6,traditional,analytic_template_phase,933,2799,2.5413490976964965,3.896466464868065,6.88361613061794,0.12218649517684887,2.4316184474832587,2.655880607921637,0.4113847041564629,0.26884423483931674,0.6083100158943022,61,"58,59,60,62,63,65"
template_phase_uncorrected,traditional,analytic_template_phase,933,2799,2.7035130270822876,3.207161448714155,4.907026054164582,0.07466952483029654,2.7035130270822876,2.7035130270822876,0.5735486335422539,0.4930023196388745,0.7189641119005156,61,"58,59,60,62,63,65"
mlp_no_window_3_6,ml,analytic_template_phase,807,2421,1.1997114543464342,2.3779681335833547,2.9028481799245966,0.032631144155307726,1.141697941135085,1.249757374436694,-0.26929341808346985,-0.33355871614829286,-0.20174900222922984,62,"58,59,60,61,63,65"
cnn_window_3_6,ml,analytic_template_phase,807,2421,1.2675148978355828,2.457334096932145,3.083934295449069,0.042131350681536554,1.1931867526764564,1.3187640035084707,-0.20148997459432127,-0.287535942000836,-0.13166813282182238,62,"58,59,60,61,63,65"
cnn_no_window_3_6,ml,analytic_template_phase,807,2421,1.3078892847899048,2.453757870827331,3.133506656269752,0.04378356051218505,1.2392886086100154,1.3765183798425162,-0.16111558763999922,-0.23305159823087174,-0.0812059833133219,62,"58,59,60,61,63,65"
mlp_window_3_6,ml,analytic_template_phase,807,2421,1.3270253016299045,2.4220050029852715,3.0792421864400623,0.04006608839322594,1.2428582013012017,1.379764132265269,-0.14197957079999957,-0.23249368405232862,-0.07249409113621616,62,"58,59,60,61,63,65"
analytic_template_phase,traditional,analytic_template_phase,807,2421,1.469004872429904,2.5841895829635635,3.313688579964108,0.049979347377116894,1.4057681056780562,1.517141317821777,0.0,0.0,0.0,62,"58,59,60,61,63,65"
analytic_template_window_3_6,traditional,analytic_template_phase,807,2421,1.5970062626987456,2.3690437367082646,3.4312670070527247,0.053696819496076,1.5499578754918295,1.6667562173415156,0.1280013902688415,0.07830241740942459,0.19112969918642056,62,"58,59,60,61,63,65"
analytic_template_mask_no_3_6,traditional,analytic_template_phase,807,2421,2.1647800312748267,3.231685093831321,6.041345352568364,0.14745972738537794,2.059337335288699,2.3349912512129842,0.6957751588449226,0.5726726876222491,0.8812957199553945,62,"58,59,60,61,63,65"
analytic_cfd20_mask_no_3_6,traditional,analytic_template_phase,807,2421,2.301096509963471,5.939510349106677,5.086307165859521,0.38372573316811237,2.293033395890875,2.3090331746052937,0.8320916375335667,0.782430827345998,0.8977170004299022,62,"58,59,60,61,63,65"
template_phase_uncorrected,traditional,analytic_template_phase,807,2421,2.9011713010933917,3.358911128134605,6.052622494303996,0.3077240809582817,2.901171301093388,3.026311247151998,1.4321664286634876,1.3852033696437218,1.5821905503264433,62,"58,59,60,61,63,65"
mlp_no_window_3_6,ml,analytic_template_phase,370,1110,1.1760328837487368,2.4304748412709776,3.081623087220303,0.03873873873873874,1.058100756274578,1.2822086854317554,-0.21528857690484116,-0.34871568294279287,-0.08544666406157671,63,"58,59,60,61,62,65"
mlp_window_3_6,ml,analytic_template_phase,370,1110,1.2955991668659794,2.4522172958096813,3.289669386235795,0.04864864864864865,1.1967300709654023,1.3924624504684955,-0.09572229378759856,-0.20375840352740834,0.03753852553734788,63,"58,59,60,61,62,65"
analytic_template_phase,traditional,analytic_template_phase,370,1110,1.391321460653578,2.628067512304926,3.3314456145216202,0.05045045045045045,1.2879537378571326,1.469123878742856,0.0,0.0,0.0,63,"58,59,60,61,62,65"
cnn_no_window_3_6,ml,analytic_template_phase,370,1110,1.415336354526029,2.5169533723917126,3.328502789275592,0.05045045045045045,1.2499734624022183,1.5023099677557428,0.024014893872450926,-0.14700682931008646,0.13455064003937312,63,"58,59,60,61,62,65"
cnn_window_3_6,ml,analytic_template_phase,370,1110,1.4705867963079977,2.561494746755289,3.3948870324869183,0.05765765765765766,1.3268475901427241,1.5326475111908575,0.07926533565441973,-0.07373498575485364,0.1863647146679283,63,"58,59,60,61,62,65"
analytic_template_window_3_6,traditional,analytic_template_phase,370,1110,1.4885688989713581,2.399759659606702,3.5495811196748916,0.06036036036036036,1.3994995629309424,1.576093640552903,0.09724743831778015,0.013794867844290876,0.19427563529059763,63,"58,59,60,61,62,65"
analytic_template_mask_no_3_6,traditional,analytic_template_phase,370,1110,2.2805296923841367,4.066485242701755,6.244511054506993,0.15945945945945947,2.0948812154821237,2.4908801483925576,0.8892082317305587,0.6877237490449367,1.1419744673071286,63,"58,59,60,61,62,65"
analytic_cfd20_mask_no_3_6,traditional,analytic_template_phase,370,1110,2.305879006343812,5.614941383327572,4.957185100997017,0.35765765765765767,2.2884974034831926,2.324685602467536,0.9145575456902342,0.8347651750581101,1.0199644610082543,63,"58,59,60,61,62,65"
template_phase_uncorrected,traditional,analytic_template_phase,370,1110,2.878716689818031,3.381787187237262,6.024984349437304,0.31891891891891894,2.878716689818024,3.012492174718652,1.487395229164453,1.403578848719064,1.7080623428329655,63,"58,59,60,61,62,65"
mlp_no_window_3_6,ml,analytic_template_phase,66,198,1.2785697459545133,1.3072101644977379,2.5018761404765693,0.015151515151515152,1.1247908988754218,1.4518585428812265,-0.21607033031516276,-0.399603608231027,0.01890815059991619,65,"58,59,60,61,62,63"
cnn_window_3_6,ml,analytic_template_phase,66,198,1.3003306161175927,1.3554835478598746,2.701363480715172,0.020202020202020204,0.9511034848607749,1.5377210028615744,-0.1943094601520834,-0.5523272406329665,0.07511555434681866,65,"58,59,60,61,62,63"
cnn_no_window_3_6,ml,analytic_template_phase,66,198,1.3231474986584386,1.372846917361998,2.7578865818650184,0.020202020202020204,1.067696251242674,1.5324708208838522,-0.17149257761123748,-0.45814247466194097,0.07135891458779699,65,"58,59,60,61,62,63"
mlp_window_3_6,ml,analytic_template_phase,66,198,1.4860354309995727,1.4692398484015643,2.666289465078104,0.015151515151515152,1.2878513846603779,1.690230249074606,-0.008604645270103406,-0.2642463475555189,0.26054926774177106,65,"58,59,60,61,62,63"
analytic_template_phase,traditional,analytic_template_phase,66,198,1.494640076269676,1.6991283591200679,3.5215661159231324,0.050505050505050504,1.3221932310567024,1.6605259688409595,0.0,0.0,0.0,65,"58,59,60,61,62,63"
analytic_template_window_3_6,traditional,analytic_template_phase,66,198,1.6188271001025074,1.6964174605284077,3.6374988210444075,0.05555555555555555,1.4266256812908642,1.9113208124740797,0.12418702383283131,-0.07379429523591373,0.38481374276542785,65,"58,59,60,61,62,63"
analytic_template_mask_no_3_6,traditional,analytic_template_phase,66,198,1.9396664137262867,3.496244302952795,4.2302645557168015,0.08080808080808081,1.745864079948448,2.176640966927806,0.4450263374566106,0.21548549801881464,0.7523156304142753,65,"58,59,60,61,62,63"
analytic_cfd20_mask_no_3_6,traditional,analytic_template_phase,66,198,2.350228823366909,2.156615772185371,4.323630444950414,0.30808080808080807,2.290939708976071,2.390987305669871,0.8555887470972328,0.6761361373441048,1.0257886367924933,65,"58,59,60,61,62,63"
template_phase_uncorrected,traditional,analytic_template_phase,66,198,2.889152765080617,2.5766948897254753,4.629367822976752,0.29797979797979796,2.6391527650806132,3.2771839114883843,1.3945126888109407,1.0774941827889322,1.8220264105778816,65,"58,59,60,61,62,63"
