run,event_id,pair,method,family,residual_ns,heldout_run
58,58:406766:7856:17781,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.009081544593101398,58
58,58:407215:8277:18230,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,1.599799516684456,58
58,58:407215:8277:18230,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.9773758902024667,58
58,58:407215:8277:18230,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,1.3775763735180107,58
58,58:407221:8283:18236,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,1.926287263000745,58
58,58:407221:8283:18236,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.1914961379565483,58
58,58:407221:8283:18236,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,0.26520887495580325,58
58,58:408610:9560:19622,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.0264786367780516,58
58,58:408610:9560:19622,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.8335855269905892,58
58,58:408610:9560:19622,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.19289310978746244,58
58,58:408871:9807:19882,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,4.026740146767054,58
58,58:408871:9807:19882,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,0.7059700277548941,58
58,58:408871:9807:19882,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-3.3207701190121597,58
58,58:408897:9829:19908,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,1.9158640638046762,58
58,58:408897:9829:19908,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.3116358361323535,58
58,58:408897:9829:19908,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.6042282276723228,58
58,58:409157:10061:20168,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,1.593291346978802,58
58,58:409157:10061:20168,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.08189423233118731,58
58,58:409157:10061:20168,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-1.6751855793099892,58
58,58:409234:10135:20245,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.058235814225341,58
58,58:409234:10135:20245,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.035285795796753,58
58,58:409234:10135:20245,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-1.0229500184285882,58
58,58:410177:11017:21186,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.1093118412661767,58
58,58:410177:11017:21186,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.2155806267458686,58
58,58:410177:11017:21186,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,0.10626878547969199,58
58,58:410621:11439:21629,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.1386220009852934,58
58,58:410621:11439:21629,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.078127587310945,58
58,58:410621:11439:21629,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.06049441367434838,58
58,58:412157:12844:23160,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.9735450486053168,58
58,58:412157:12844:23160,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.1484366840827818,58
58,58:412157:12844:23160,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-1.825108364522535,58
58,58:412546:13200:23548,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.081214864495486,58
58,58:412546:13200:23548,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.13764106962499767,58
58,58:412546:13200:23548,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-2.2188559341204837,58
58,58:413325:13961:24327,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.9948671796512585,58
58,58:413325:13961:24327,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.1082743439705425,58
58,58:413325:13961:24327,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-1.886592835680716,58
58,58:413638:14256:24640,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.062399069501353,58
58,58:413638:14256:24640,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.8320898247350783,58
58,58:413638:14256:24640,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.2303092447662749,58
58,58:413843:14451:24845,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.2020172090438948,58
58,58:413843:14451:24845,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.194025319795408,58
58,58:413843:14451:24845,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.007991889248486927,58
58,58:416328:373:27330,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,-1.9758508771148442,58
58,58:416328:373:27330,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.128117231338045,58
58,58:416328:373:27330,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,4.103968108452889,58
58,58:417165:1152:28167,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.087732840639717,58
58,58:417165:1152:28167,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.104252555692618,58
58,58:417165:1152:28167,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,0.016519715052901063,58
58,58:417278:1288:28280,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,4.596556166294178,58
58,58:417278:1288:28280,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.5169808461210508,58
58,58:417278:1288:28280,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-3.0795753201731273,58
58,58:417735:1712:28737,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,1.9138006470676743,58
58,58:417735:1712:28737,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.2739738725655343,58
58,58:417735:1712:28737,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,0.36017322549786,58
58,58:417804:1777:28806,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.075665634179117,58
58,58:417804:1777:28806,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.91710172545109,58
58,58:417804:1777:28806,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.15856390872802706,58
58,58:418054:2008:29056,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.125346206438593,58
58,58:418054:2008:29056,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.108846286195586,58
58,58:418054:2008:29056,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.016499920243006727,58
58,58:418720:2626:29722,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,1.0166339308358303,58
58,58:418720:2626:29722,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.1487196208856858,58
58,58:418720:2626:29722,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,0.1320856900498555,58
58,58:420237:4046:31237,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.1060192523177506,58
58,58:420237:4046:31237,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.0356932669781855,58
58,58:420237:4046:31237,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.07032598533956502,58
58,58:420245:4054:31245,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,0.02173921494382114,58
58,58:420245:4054:31245,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.629516024319308,58
58,58:420245:4054:31245,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,1.607776809375487,58
58,58:420334:4140:31334,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,1.9075488331230446,58
58,58:420334:4140:31334,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.7439206727030268,58
58,58:420334:4140:31334,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.16362816042001782,58
58,58:421027:4781:32023,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.379215069810762,58
58,58:421027:4781:32023,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.2532412983654595,58
58,58:421027:4781:32023,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.12597377144530242,58
58,58:421487:5218:32482,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.031758895989995,58
58,58:421487:5218:32482,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.25371658332935,58
58,58:421487:5218:32482,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,0.22195768733935495,58
58,58:421531:5255:32526,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,-1.9469329273120195,58
58,58:421531:5255:32526,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.09454132339797638,58
58,58:421531:5255:32526,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,1.8523916039140431,58
58,58:421877:5573:32871,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.0144942548769365,58
58,58:421877:5573:32871,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.9357741448377794,58
58,58:421877:5573:32871,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.07872011003915702,58
58,58:422340:6010:33333,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.0995486312247493,58
58,58:422340:6010:33333,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.981827307400991,58
58,58:422340:6010:33333,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.11772132382375844,58
58,58:391631:10103:2692,B4-B6,cnn_window_3_6_shuffled,ml_shuffled,3.197181934051315,58
58,58:391631:10103:2692,B4-B8,cnn_window_3_6_shuffled,ml_shuffled,1.4580157250017862,58
58,58:391631:10103:2692,B6-B8,cnn_window_3_6_shuffled,ml_shuffled,-1.7391662090495288,58
58,58:391841:10300:2900,B4-B6,cnn_window_3_6_shuffled,ml_shuffled,2.2427857820160426,58
58,58:391841:10300:2900,B4-B8,cnn_window_3_6_shuffled,ml_shuffled,1.6697289387585244,58
58,58:391841:10300:2900,B6-B8,cnn_window_3_6_shuffled,ml_shuffled,-0.5730568432575183,58
58,58:392066:10514:3123,B4-B6,cnn_window_3_6_shuffled,ml_shuffled,4.226800699606784,58
58,58:392066:10514:3123,B4-B8,cnn_window_3_6_shuffled,ml_shuffled,4.844700734465157,58
58,58:392066:10514:3123,B6-B8,cnn_window_3_6_shuffled,ml_shuffled,0.6179000348583727,58
58,58:392204:10642:3261,B4-B6,cnn_window_3_6_shuffled,ml_shuffled,3.285353487120588,58
58,58:392204:10642:3261,B4-B8,cnn_window_3_6_shuffled,ml_shuffled,1.1056297540402653,58
58,58:392204:10642:3261,B6-B8,cnn_window_3_6_shuffled,ml_shuffled,-2.1797237330803227,58
58,58:392294:10722:3348,B4-B6,cnn_window_3_6_shuffled,ml_shuffled,4.376235157136946,58
58,58:392294:10722:3348,B4-B8,cnn_window_3_6_shuffled,ml_shuffled,3.1908266935515286,58
58,58:392294:10722:3348,B6-B8,cnn_window_3_6_shuffled,ml_shuffled,-1.1854084635854178,58
58,58:392636:11042:3687,B4-B6,cnn_window_3_6_shuffled,ml_shuffled,0.8587126004029813,58
58,58:392636:11042:3687,B4-B8,cnn_window_3_6_shuffled,ml_shuffled,1.2307500545694836,58
58,58:392636:11042:3687,B6-B8,cnn_window_3_6_shuffled,ml_shuffled,0.37203745416650236,58
58,58:393248:11615:4294,B4-B6,cnn_window_3_6_shuffled,ml_shuffled,2.2480747535363292,58
58,58:393248:11615:4294,B4-B8,cnn_window_3_6_shuffled,ml_shuffled,1.931754390871589,58
58,58:393248:11615:4294,B6-B8,cnn_window_3_6_shuffled,ml_shuffled,-0.3163203626647402,58
58,58:394656:12923:5698,B4-B6,cnn_window_3_6_shuffled,ml_shuffled,2.8759811843663243,58
58,58:394656:12923:5698,B4-B8,cnn_window_3_6_shuffled,ml_shuffled,-0.002728932423330832,58
58,58:394656:12923:5698,B6-B8,cnn_window_3_6_shuffled,ml_shuffled,-2.878710116789655,58
58,58:394684:12945:5726,B4-B6,cnn_window_3_6_shuffled,ml_shuffled,2.2247416105650046,58
58,58:394684:12945:5726,B4-B8,cnn_window_3_6_shuffled,ml_shuffled,2.131986178434502,58
58,58:394684:12945:5726,B6-B8,cnn_window_3_6_shuffled,ml_shuffled,-0.09275543213050241,58
58,58:394786:13037:5828,B4-B6,cnn_window_3_6_shuffled,ml_shuffled,2.2514100224539675,58
58,58:394786:13037:5828,B4-B8,cnn_window_3_6_shuffled,ml_shuffled,2.0437337304537664,58
58,58:394786:13037:5828,B6-B8,cnn_window_3_6_shuffled,ml_shuffled,-0.2076762920002011,58
58,58:394965:13201:6007,B4-B6,cnn_window_3_6_shuffled,ml_shuffled,1.1797286649153307,58
58,58:394965:13201:6007,B4-B8,cnn_window_3_6_shuffled,ml_shuffled,2.3811408603705004,58
58,58:394965:13201:6007,B6-B8,cnn_window_3_6_shuffled,ml_shuffled,1.2014121954551698,58
58,58:395467:13673:6509,B4-B6,cnn_window_3_6_shuffled,ml_shuffled,3.347679646136136,58
58,58:395467:13673:6509,B4-B8,cnn_window_3_6_shuffled,ml_shuffled,3.8160959150343956,58
