run,fold,label_clean,traditional_span_q_score,q_template_only_score,rf_score,leaky_rf_score
31,1,0,0.3689619047185003,-0.5404173609593754,0.002399623008511852,0.007020278020633179
31,1,1,0.55281104879668,0.2013573986177625,0.9789646985734146,0.9885942110501001
31,1,0,-1.2513006611064794,-0.3863742278139252,0.01175722181266932,0.0034711770319996713
31,1,1,1.414687081221182,2.585616598599814,0.8700882475138876,0.972355112094711
31,1,1,0.17054431737868492,-0.34132043802291423,0.8736833353076093,0.9456693071095494
31,1,1,0.47404977524183395,0.06739078936393594,0.9697587532082618,0.9858751333230915
31,1,1,0.40102470100761267,-0.12190325773444664,0.9739949408703614,0.9926667273036397
31,1,1,0.24768967225324745,-0.3253079089500271,0.9813718069368493,0.9883158925395201
31,1,1,0.24622352222398386,-0.4347826799008964,0.9018377722746019,0.9303990527240839
31,1,0,-0.06663223418140549,-0.550950535784799,0.025462720703807902,0.028303996379486128
31,1,1,0.2349632883231894,-0.39288223584684695,0.9823348784724932,0.9792425509955852
31,1,0,-0.13433247719504832,-0.4342823410305526,0.0025289189432830274,0.0020443636498819993
31,1,1,0.1713435675767216,-0.3786757904090509,0.6156574250352402,0.8826492889864164
31,1,0,0.3732736239399637,-0.5375532383780336,0.011899100977881336,0.00482423296481504
31,1,0,-0.4214153328528039,-0.3841463813368589,0.012821795174953143,0.0033734801397059797
31,1,1,0.21253537183300703,-0.42244443362131473,0.8714994746797603,0.9745697902215581
31,1,0,-0.6429592024673221,-0.4548414317291294,0.0014545965173457084,0.0013339664807235708
31,1,1,-0.5498992783053523,-0.5082599429086411,0.20737230609158855,0.8246561671898329
31,1,0,-1.2981698034278073,-0.5872449192080362,0.0037729688321364845,0.008558073083988305
31,1,0,0.07723742962601671,-0.33736880075882875,0.00766609454259782,0.001279169678950278
31,1,0,-0.449066898319196,-0.5678000484469318,0.0017194657199396234,0.0013339664807235708
31,1,1,0.358623689332286,-0.2563929630254498,0.9538671045894966,0.9802325889990394
31,1,0,-1.5630380860923292,-0.5293376936100632,0.008911213195444084,0.004525170393407088
31,1,0,0.2463434565245095,-0.41635680103175154,0.002445968124445835,0.0022518073656124242
