search_root,path,kind,suffix,bytes,is_source_like,conversion_token_hit
data,data/sorted-a/hrda_run_0063-sorted.root,filesystem,.root,61228030,False,sort;sorted;root
data,data/sorted-a/hrda_run_0064-sorted.root,filesystem,.root,59537197,False,sort;sorted;root
data,data/sorted-a/hrda_run_0065-sorted.root,filesystem,.root,63398797,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0012-sorted.root,filesystem,.root,27709378,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0013-sorted.root,filesystem,.root,89641511,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0014-sorted.root,filesystem,.root,6523710,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0015-sorted.root,filesystem,.root,181287386,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0016-sorted.root,filesystem,.root,21615766,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0017-sorted.root,filesystem,.root,10598891,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0018-sorted.root,filesystem,.root,131636827,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0019-sorted.root,filesystem,.root,129698033,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0020-sorted.root,filesystem,.root,101954562,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0021-sorted.root,filesystem,.root,6795,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0022-sorted.root,filesystem,.root,6795,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0023-sorted.root,filesystem,.root,7048647,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0024-sorted.root,filesystem,.root,44948389,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0025-sorted.root,filesystem,.root,4988851,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0026-sorted.root,filesystem,.root,77124600,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0027-sorted.root,filesystem,.root,51179548,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0028-sorted.root,filesystem,.root,9709470,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0029-sorted.root,filesystem,.root,46514517,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0030-sorted.root,filesystem,.root,9802179,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0031-sorted.root,filesystem,.root,71297451,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0032-sorted.root,filesystem,.root,74522295,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0033-sorted.root,filesystem,.root,101173225,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0034-sorted.root,filesystem,.root,71345362,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0035-sorted.root,filesystem,.root,49348572,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0036-sorted.root,filesystem,.root,39412484,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0037-sorted.root,filesystem,.root,88499176,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0039-sorted.root,filesystem,.root,54129957,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0040-sorted.root,filesystem,.root,58089302,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0041-sorted.root,filesystem,.root,60575412,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0042-sorted.root,filesystem,.root,60890659,False,sort;sorted;root
