component,run,feature,coefficient_ns_per_raw_unit,standardized_coefficient_ns
run_deviation,55,stave_B8,1.1354123166777355,0.5352384990436994
run_deviation,55,log_amp,-2.8998822056802593,-0.9476737907879832
run_deviation,55,inv_amp_1000,-5.013105971865412,-0.6998913944466267
run_deviation,55,inv_sqrt_amp_1000,-0.7530362395652603,-0.07871930136309692
run_deviation,56,stave_B4,-2.338483155704481,-1.102371531392763
run_deviation,56,stave_B6,0.6526491267319753,0.30766174883177005
run_deviation,56,stave_B8,1.6858340289715255,0.7947097825605308
run_deviation,56,log_amp,-3.152741091180325,-1.0303074019349778
run_deviation,56,inv_amp_1000,-4.22916439562436,-0.5904434860961334
run_deviation,56,inv_sqrt_amp_1000,-1.9913339213156491,-0.20816583164324476
run_deviation,57,stave_B4,-2.103277914057029,-0.9914947171664078
run_deviation,57,stave_B6,1.0691110076378627,0.5039837622279403
run_deviation,57,stave_B8,1.0341669064185737,0.4875109549381882
run_deviation,57,log_amp,-2.0543964416814733,-0.6713712922049256
run_deviation,57,inv_amp_1000,-3.1454687909934655,-0.43914622006236453
run_deviation,57,inv_sqrt_amp_1000,-1.1267895488766622,-0.11778993016593456
