power,shrink_lambda,fold,sigma68_ns,n_pair_residuals,fit_status,heldout_run
0.5,1.0,1,1.604156713702781,2640,2,61
0.5,1.0,2,1.6365500194878404,3399,1,61
0.5,1.0,-1,1.6230093183534589,0,0,61
0.5,10.0,0,1.6073507322133347,2622,2,61
0.5,10.0,1,1.5575899442789567,2640,1,61
0.5,10.0,2,1.6045779751002727,3399,1,61
0.5,10.0,-1,1.5898395505308545,0,0,61
0.5,100.0,0,1.4641103931932395,2622,3,61
0.5,100.0,1,1.5418908988793127,2640,3,61
0.5,100.0,2,1.5230733292862595,3399,2,61
0.5,100.0,-1,1.5096915404529374,0,0,61
1.0,0.0,0,1.587973743285907,2622,2,61
1.0,0.0,1,1.508678046750807,2640,2,61
1.0,0.0,2,1.5048163816469746,3399,1,61
1.0,0.0,-1,1.5338227238945628,0,0,61
1.0,0.1,0,1.5310437257058545,2622,1,61
1.0,0.1,1,1.569034703845827,2640,1,61
1.0,0.1,2,1.6079916571847215,3399,2,61
1.0,0.1,-1,1.5693566955788008,0,0,61
1.0,1.0,0,1.5292896530524447,2622,1,61
1.0,1.0,1,1.567425790560069,2640,1,61
1.0,1.0,2,1.605557652207223,3399,1,61
1.0,1.0,-1,1.5674243652732454,0,0,61
1.0,10.0,0,1.5168974643895488,2622,1,61
1.0,10.0,1,1.561302531959362,2640,1,61
1.0,10.0,2,1.5953884106750718,3399,2,61
1.0,10.0,-1,1.5578628023413275,0,0,61
1.0,100.0,0,1.4526518819971512,2622,2,61
1.0,100.0,1,1.5336083708181405,2640,3,61
1.0,100.0,2,1.5231932096741168,3399,2,61
1.0,100.0,-1,1.5031511541631364,0,0,61
0.5,0.0,0,2.428476109483372,2799,2,62
0.5,0.0,1,1.7088815199806575,2841,1,62
0.5,0.0,2,1.934779724657218,3399,2,62
0.5,0.0,-1,2.0240457847070825,0,0,62
0.5,0.1,0,2.233315926678685,2799,1,62
0.5,0.1,1,1.4022794516174946,2841,1,62
0.5,0.1,2,1.5527971505319977,3399,2,62
0.5,0.1,-1,1.729464176276059,0,0,62
0.5,1.0,0,2.225226449408995,2799,1,62
0.5,1.0,1,1.403422828481986,2841,1,62
0.5,1.0,2,1.5465499535039573,3399,2,62
0.5,1.0,-1,1.7250664104649793,0,0,62
0.5,10.0,0,2.1817957692899475,2799,2,62
0.5,10.0,1,1.367886973763668,2841,1,62
0.5,10.0,2,1.4859042238753826,3399,1,62
0.5,10.0,-1,1.6785289889763328,0,0,62
0.5,100.0,0,2.1457311208734975,2799,3,62
0.5,100.0,1,1.251203624335113,2841,3,62
0.5,100.0,2,1.3225614299510746,3399,3,62
0.5,100.0,-1,1.5731653917198951,0,0,62
1.0,0.0,0,2.2199095012608923,2799,1,62
1.0,0.0,1,1.2738868877860257,2841,1,62
1.0,0.0,2,1.405880743105369,3399,1,62
1.0,0.0,-1,1.633225710717429,0,0,62
1.0,0.1,0,2.185831493948647,2799,1,62
1.0,0.1,1,1.370549764643064,2841,1,62
1.0,0.1,2,1.4874769432882604,3399,1,62
1.0,0.1,-1,1.6812860672933239,0,0,62
1.0,1.0,0,2.1844002939742553,2799,1,62
1.0,1.0,1,1.365012779921686,2841,1,62
1.0,1.0,2,1.485127829990101,3399,1,62
1.0,1.0,-1,1.6781803012953473,0,0,62
1.0,10.0,0,2.1748994680428537,2799,1,62
1.0,10.0,1,1.3543917088313697,2841,2,62
1.0,10.0,2,1.4620998606726896,3399,2,62
1.0,10.0,-1,1.6637970125156378,0,0,62
1.0,100.0,0,2.140675127883973,2799,3,62
1.0,100.0,1,1.2457392182723062,2841,1,62
1.0,100.0,2,1.3361139911589555,3399,1,62
1.0,100.0,-1,1.5741761124384113,0,0,62
0.5,0.0,0,2.6425675885530353,2799,2,63
0.5,0.0,1,1.8903585918905654,2841,1,63
0.5,0.0,2,1.8454103619219155,4710,1,63
0.5,0.0,-1,2.1261121807885055,0,0,63
0.5,0.1,0,2.2452671390163896,2799,1,63
0.5,0.1,1,1.3876457862350207,2841,1,63
0.5,0.1,2,1.5664053879723046,4710,1,63
0.5,0.1,-1,1.733106104407905,0,0,63
0.5,1.0,0,2.2433379410086993,2799,2,63
0.5,1.0,1,1.383519690066938,2841,2,63
0.5,1.0,2,1.5563593855234479,4710,1,63
0.5,1.0,-1,1.7277390055330286,0,0,63
0.5,10.0,0,2.200549141492152,2799,2,63
0.5,10.0,1,1.358294146870377,2841,1,63
0.5,10.0,2,1.4870741024175893,4710,1,63
0.5,10.0,-1,1.6819724635933728,0,0,63
0.5,100.0,0,2.1014701091592127,2799,3,63
0.5,100.0,1,1.2245572444972246,2841,1,63
0.5,100.0,2,1.375595320999548,4710,3,63
0.5,100.0,-1,1.5672075582186615,0,0,63
1.0,0.0,0,2.3049182179208767,2799,2,63
1.0,0.0,1,1.3477865869710022,2841,1,63
1.0,0.0,2,1.392905728685209,4710,1,63
1.0,0.0,-1,1.6818701778590295,0,0,63
1.0,0.1,0,2.1379508786739168,2799,1,63
1.0,0.1,1,1.3271707698360946,2841,1,63
1.0,0.1,2,1.491062557575247,4710,1,63
1.0,0.1,-1,1.6520614020284194,0,0,63
1.0,1.0,0,2.1387644253045157,2799,1,63
1.0,1.0,1,1.3274283919532257,2841,1,63
1.0,1.0,2,1.487142738694053,4710,1,63
1.0,1.0,-1,1.6511118519839314,0,0,63
1.0,10.0,0,2.1421504524072805,2799,1,63
1.0,10.0,1,1.315419489483824,2841,1,63
1.0,10.0,2,1.4680713300085855,4710,1,63
1.0,10.0,-1,1.6418804239665634,0,0,63
1.0,100.0,0,2.095331812734951,2799,2,63
1.0,100.0,1,1.2376838806789123,2841,1,63
1.0,100.0,2,1.4045145038480606,4710,1,63
1.0,100.0,-1,1.5791767324206416,0,0,63
0.5,0.0,0,2.640868682290522,3018,1,65
0.5,0.0,1,2.001495022922269,3534,1,65
0.5,0.0,2,1.8383387264022732,4710,1,65
0.5,0.0,-1,2.1602341438716883,0,0,65
0.5,0.1,0,2.2144256802287066,3018,1,65
0.5,0.1,1,1.4701917295812041,3534,1,65
0.5,0.1,2,1.567361817614183,4710,1,65
0.5,0.1,-1,1.7506597424746981,0,0,65
0.5,1.0,0,2.2147297262502503,3018,1,65
0.5,1.0,1,1.4674554926352923,3534,1,65
0.5,1.0,2,1.561708309095714,4710,2,65
0.5,1.0,-1,1.7479645093270857,0,0,65
0.5,10.0,0,2.2102899437681507,3018,2,65
0.5,10.0,1,1.4198795232566717,3534,1,65
0.5,10.0,2,1.5106954240037418,4710,1,65
0.5,10.0,-1,1.7136216303428549,0,0,65
0.5,100.0,0,2.1174762958301154,3018,3,65
0.5,100.0,1,1.2581001848847846,3534,1,65
0.5,100.0,2,1.378269209484457,4710,3,65
0.5,100.0,-1,1.5846152300664524,0,0,65
1.0,0.0,0,2.190265575858234,3018,1,65
1.0,0.0,1,1.4291501630125356,3534,1,65
1.0,0.0,2,1.400343753062816,4710,1,65
1.0,0.0,-1,1.673253163977862,0,0,65
1.0,0.1,0,2.1806640640148816,3018,1,65
1.0,0.1,1,1.3816684629408296,3534,1,65
1.0,0.1,2,1.5138157296413455,4710,1,65
1.0,0.1,-1,1.6920494188656854,0,0,65
1.0,1.0,0,2.1800857674219594,3018,1,65
1.0,1.0,1,1.3753428102316916,3534,2,65
1.0,1.0,2,1.510018050536227,4710,1,65
1.0,1.0,-1,1.688482209396626,0,0,65
1.0,10.0,0,2.1746741462286137,3018,1,65
1.0,10.0,1,1.3434783949991802,3534,1,65
1.0,10.0,2,1.4949376344010588,4710,1,65
1.0,10.0,-1,1.671030058542951,0,0,65
1.0,100.0,0,2.1168993245107215,3018,3,65
1.0,100.0,1,1.2621265444641896,3534,1,65
1.0,100.0,2,1.3987245331625868,4710,1,65
1.0,100.0,-1,1.592583467379166,0,0,65
