feature,coefficient,lower_bound,at_positive_bound,power,shrink_lambda,fit_status,heldout_run
slope_run_58_B6,0.37762931513018194,0.0,False,1.0,100.0,2,61
slope_run_58_B8,1.084500384635671,0.0,False,1.0,100.0,2,61
slope_run_59_B4,0.008501781594152517,0.0,False,1.0,100.0,2,61
slope_run_59_B6,0.29205865446886775,0.0,False,1.0,100.0,2,61
slope_run_59_B8,1.3356868145151837,0.0,False,1.0,100.0,2,61
slope_run_60_B4,0.12214649161284019,0.0,False,1.0,100.0,2,61
slope_run_60_B6,0.5534731283152224,0.0,False,1.0,100.0,2,61
slope_run_60_B8,1.0450680402321737,0.0,False,1.0,100.0,2,61
slope_run_62_B4,0.0038302777422100937,0.0,False,1.0,100.0,2,61
slope_run_62_B6,0.20766045971991776,0.0,False,1.0,100.0,2,61
slope_run_62_B8,1.0006795595290545,0.0,False,1.0,100.0,2,61
slope_run_63_B4,4.118235782850802e-11,0.0,True,1.0,100.0,2,61
slope_run_63_B6,0.3330006163454244,0.0,False,1.0,100.0,2,61
slope_run_63_B8,1.155882609356169,0.0,False,1.0,100.0,2,61
slope_run_65_B4,0.037833805119484226,0.0,False,1.0,100.0,2,61
slope_run_65_B6,0.33709500191237246,0.0,False,1.0,100.0,2,61
slope_run_65_B8,1.08705161768468,0.0,False,1.0,100.0,2,61
intercept_B4,-4.504759653371424,,False,0.5,100.0,3,62
intercept_B6,1.7925869264563277,,False,0.5,100.0,3,62
intercept_B8,0.44810945237816346,,False,0.5,100.0,3,62
run_offset_59,-0.03496790636037139,,False,0.5,100.0,3,62
run_offset_60,-0.006372183189361225,,False,0.5,100.0,3,62
run_offset_61,-0.029642088166031644,,False,0.5,100.0,3,62
run_offset_63,-0.011587480274539902,,False,0.5,100.0,3,62
run_offset_65,-0.045388629278486886,,False,0.5,100.0,3,62
slope_global,1.268456109377813,0.0,False,0.5,100.0,3,62
slope_stave_B4,0.6311942287416763,0.0,False,0.5,100.0,3,62
slope_stave_B6,1.2079993917857133,0.0,False,0.5,100.0,3,62
slope_stave_B8,1.9661747076060536,0.0,False,0.5,100.0,3,62
slope_run_58_B4,0.40812177276677597,0.0,False,0.5,100.0,3,62
slope_run_58_B6,1.2470724922189174,0.0,False,0.5,100.0,3,62
slope_run_58_B8,2.0689311643660737,0.0,False,0.5,100.0,3,62
slope_run_59_B4,0.2516314786058118,0.0,False,0.5,100.0,3,62
slope_run_59_B6,1.2417294665182523,0.0,False,0.5,100.0,3,62
slope_run_59_B8,2.363407529843333,0.0,False,0.5,100.0,3,62
slope_run_60_B4,0.38985898888397746,0.0,False,0.5,100.0,3,62
slope_run_60_B6,1.4597615619634359,0.0,False,0.5,100.0,3,62
slope_run_60_B8,2.0574549278124086,0.0,False,0.5,100.0,3,62
slope_run_61_B4,1.326040227130465,0.0,False,0.5,100.0,3,62
slope_run_61_B6,0.8027570352661804,0.0,False,0.5,100.0,3,62
slope_run_61_B8,1.7255220358009693,0.0,False,0.5,100.0,3,62
slope_run_63_B4,0.27543283953963715,0.0,False,0.5,100.0,3,62
slope_run_63_B6,1.250538913237755,0.0,False,0.5,100.0,3,62
slope_run_63_B8,2.201083161059635,0.0,False,0.5,100.0,3,62
slope_run_65_B4,0.4988181848872542,0.0,False,0.5,100.0,3,62
slope_run_65_B6,1.1856801639176362,0.0,False,0.5,100.0,3,62
slope_run_65_B8,2.0783680249821352,0.0,False,0.5,100.0,3,62
intercept_B4,-4.25565971678573,,False,0.5,100.0,1,63
intercept_B6,1.9346093360674554,,False,0.5,100.0,1,63
intercept_B8,0.49478988989380757,,False,0.5,100.0,1,63
run_offset_59,-0.04588005365896748,,False,0.5,100.0,1,63
run_offset_60,-0.01982459982168907,,False,0.5,100.0,1,63
run_offset_61,-0.03839590078415491,,False,0.5,100.0,1,63
run_offset_62,0.046560424407371646,,False,0.5,100.0,1,63
run_offset_65,-0.036857022732322116,,False,0.5,100.0,1,63
slope_global,1.0387312974875245,0.0,False,0.5,100.0,1,63
slope_stave_B4,0.3709308582746975,0.0,False,0.5,100.0,1,63
slope_stave_B6,0.9283253490715236,0.0,False,0.5,100.0,1,63
slope_stave_B8,1.8169376851163523,0.0,False,0.5,100.0,1,63
slope_run_58_B4,0.14192233928194722,0.0,False,0.5,100.0,1,63
slope_run_58_B6,0.9784247118162567,0.0,False,0.5,100.0,1,63
slope_run_58_B8,1.9196741694236967,0.0,False,0.5,100.0,1,63
slope_run_59_B4,5e-324,0.0,True,0.5,100.0,1,63
slope_run_59_B6,0.9818618633597316,0.0,False,0.5,100.0,1,63
slope_run_59_B8,2.2688654138700923,0.0,False,0.5,100.0,1,63
slope_run_60_B4,0.10272210662702148,0.0,False,0.5,100.0,1,63
slope_run_60_B6,1.1943712065099772,0.0,False,0.5,100.0,1,63
slope_run_60_B8,1.9691155765984065,0.0,False,0.5,100.0,1,63
slope_run_61_B4,1.074361352257028,0.0,False,0.5,100.0,1,63
slope_run_61_B6,0.5121678831301961,0.0,False,0.5,100.0,1,63
slope_run_61_B8,1.6215812561305691,0.0,False,0.5,100.0,1,63
slope_run_62_B4,1.546400237854079e-17,0.0,True,0.5,100.0,1,63
slope_run_62_B6,0.8949445748760281,0.0,False,0.5,100.0,1,63
slope_run_62_B8,1.959193210318186,0.0,False,0.5,100.0,1,63
slope_run_65_B4,0.23877891226936193,0.0,False,0.5,100.0,1,63
slope_run_65_B6,0.8977759063209514,0.0,False,0.5,100.0,1,63
slope_run_65_B8,1.9414028719859908,0.0,False,0.5,100.0,1,63
intercept_B4,-4.340665989030432,,False,0.5,100.0,1,65
intercept_B6,2.0229790662965392,,False,0.5,100.0,1,65
intercept_B8,0.594942619791146,,False,0.5,100.0,1,65
run_offset_59,-0.04503764349820095,,False,0.5,100.0,1,65
run_offset_60,-0.020560292420067055,,False,0.5,100.0,1,65
run_offset_61,-0.04190845865321717,,False,0.5,100.0,1,65
run_offset_62,0.04225066850537268,,False,0.5,100.0,1,65
run_offset_63,-0.010592357136210533,,False,0.5,100.0,1,65
slope_global,0.9838080698439368,0.0,False,0.5,100.0,1,65
slope_stave_B4,0.33047254597048564,0.0,False,0.5,100.0,1,65
slope_stave_B6,0.858452936335384,0.0,False,0.5,100.0,1,65
slope_stave_B8,1.762498727225941,0.0,False,0.5,100.0,1,65
slope_run_58_B4,0.11189682147996466,0.0,False,0.5,100.0,1,65
slope_run_58_B6,0.8938834910956973,0.0,False,0.5,100.0,1,65
slope_run_58_B8,1.8701287122022312,0.0,False,0.5,100.0,1,65
slope_run_59_B4,1.6039428813490912e-14,0.0,True,0.5,100.0,1,65
slope_run_59_B6,0.8965616130944296,0.0,False,0.5,100.0,1,65
slope_run_59_B8,2.1850681866778574,0.0,False,0.5,100.0,1,65
slope_run_60_B4,0.1218957752246887,0.0,False,0.5,100.0,1,65
slope_run_60_B6,1.0891674789723065,0.0,False,0.5,100.0,1,65
slope_run_60_B8,1.8811942413561693,0.0,False,0.5,100.0,1,65
slope_run_61_B4,1.079770627443815,0.0,False,0.5,100.0,1,65
slope_run_61_B6,0.42935195380835545,0.0,False,0.5,100.0,1,65
slope_run_61_B8,1.5423975032499255,0.0,False,0.5,100.0,1,65
slope_run_62_B4,3.9232433780513543e-11,0.0,True,0.5,100.0,1,65
slope_run_62_B6,0.8255673048018387,0.0,False,0.5,100.0,1,65
slope_run_62_B8,1.879037429936848,0.0,False,0.5,100.0,1,65
slope_run_63_B4,0.015936527761777994,0.0,False,0.5,100.0,1,65
slope_run_63_B6,0.890830642731124,0.0,False,0.5,100.0,1,65
slope_run_63_B8,1.9958569473146184,0.0,False,0.5,100.0,1,65
