method,run,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns
derivative_gate_transformer_new,42,657,0.4374006458002597,4.781614086217419,5.227134744612511,0.2694063926940639,0.0136986301369863
derivative_gate_transformer_new,50,680,-2.0921511484283295,12.750258596537684,11.925519571309694,0.4147058823529412,0.27205882352941174
derivative_gate_transformer_new,57,670,-0.39562633547238324,6.0157375997446225,5.86113325259089,0.42686567164179107,0.07014925373134329
derivative_gate_transformer_new,58,654,-2.978429753690367,4.9906418510591015,5.082810817744117,0.3730886850152905,0.10550458715596331
derivative_gate_transformer_new,60,720,-1.05173738532433,3.852764408165519,3.6166224526989708,0.21666666666666667,0.004166666666666667
derivative_gate_transformer_new,62,720,-1.5898053402488053,4.323521460208525,4.854263601384799,0.24027777777777778,0.011111111111111112
derivative_gate_transformer_new,64,720,-3.066147574931054,3.521181471542702,3.9085701440997127,0.25833333333333336,0.018055555555555554
derivative_gate_transformer_new,65,645,-2.452402667957559,3.967520391801325,5.1629613592552195,0.28837209302325584,0.04496124031007752
gradient_boosted_trees,42,657,1.7337609899073296,3.0322828649426707,3.5226432729981187,0.1963470319634703,0.0213089802130898
gradient_boosted_trees,50,680,0.8916252643008702,11.379568456203616,11.305857145175079,0.31176470588235294,0.27058823529411763
gradient_boosted_trees,57,670,0.08934279182590354,4.491449310921086,4.206622682192995,0.2507462686567164,0.019402985074626865
gradient_boosted_trees,58,654,-2.811591168332921,3.983894632272481,4.183080687470852,0.2492354740061162,0.012232415902140673
gradient_boosted_trees,60,720,0.48475962295478814,3.3005144487441926,3.1111463426172343,0.12916666666666668,0.006944444444444444
gradient_boosted_trees,62,720,-0.4021331436039346,3.2036663864253594,3.272189585924024,0.09305555555555556,0.002777777777777778
gradient_boosted_trees,64,720,-1.3945068326461252,2.6276500512792027,3.043472486212136,0.06805555555555555,0.005555555555555556
gradient_boosted_trees,65,645,-1.754103307176301,3.976018564782024,3.716449026606143,0.16434108527131783,0.0015503875968992248
mlp,42,657,1.2530710174235633,3.7160888375331016,3.5400879028898937,0.258751902587519,0.0091324200913242
mlp,50,680,0.06099706058406196,11.198451775262388,10.887238206363373,0.3029411764705882,0.27058823529411763
mlp,57,670,-0.03793659529834914,5.3959498370099865,4.859592621322702,0.382089552238806,0.011940298507462687
mlp,58,654,-2.4773442854452923,4.976631082020516,4.4795289119351445,0.3119266055045872,0.02599388379204893
