method,run,event_index,eventno,evt,stave,amplitude_adc,taxon,traditional_score,ml_score,q_template_rmse,pca_recon_mse,ae_recon_mse,isolation_anomaly_score,peak_sample,late_fraction,baseline_mad,saturation_count,secondary_peak,post_peak_min,timing_span_dup
traditional_robust_template,57,18517,376170,12171,B6,1895.5,novel_early_pretrigger,464.97583,4.782325,0.88970184,0.00947907,0.02758602,0.60597426,3,0.0,1697.0,1,0.4407808,-1.2210499,1.6264931
traditional_robust_template,57,11248,368900,5387,B6,2006.0,novel_early_pretrigger,420.94342,3.1128302,0.7230738,0.006059196,0.019164823,0.5597906,3,0.0,1537.0,1,0.75373876,-0.82652044,1.6651028
traditional_robust_template,57,11699,369352,5806,B6,1609.5,novel_early_pretrigger,395.58078,5.510673,0.9210559,0.010386238,0.03400404,0.612265,3,0.0,1444.0,1,0.6545511,-1.3187325,1.6258897
traditional_robust_template,57,5014,362665,15940,B6,1537.5,novel_early_pretrigger,382.19962,4.306072,1.0305272,0.008599965,0.022018027,0.6185451,3,0.0,1395.0,1,0.6078049,-1.4442277,1.6227545
traditional_robust_template,57,5337,362988,16236,B6,1812.0,novel_early_pretrigger,321.65802,2.1225066,0.7280735,0.005926569,0.009164565,0.54367137,3,0.0,1175.0,1,0.95916116,-0.7257174,1.700221
traditional_robust_template,57,7600,365251,1967,B6,2175.0,novel_early_pretrigger,288.5175,2.187945,0.584876,0.0067468337,0.010522255,0.5250137,3,0.0,1054.5,1,0.9278161,-0.46896553,1.7558824
traditional_robust_template,57,9834,367485,4086,B6,3747.5,novel_early_pretrigger,253.49051,4.195857,0.43822727,0.00970129,0.032223225,0.50004524,3,0.14406568,927.5,2,0.8086724,-0.032421615,18.0
traditional_robust_template,57,24439,382092,1240,B6,2085.5,unassigned_common,217.92049,1.5463477,0.5774948,0.00561193,0.006728452,0.50905806,4,0.0,797.0,2,0.997123,-0.3800048,1.8355591
traditional_robust_template,57,30799,388452,7118,B8,2902.0,baseline_excursion,556.2949,5.9586377,0.63162524,0.009924714,0.047263995,0.5528146,3,0.07408623,2031.0,1,0.4831151,-0.47415575,18.0
traditional_robust_template,57,16756,374409,10534,B8,1822.5,novel_early_pretrigger,423.5569,14.412978,1.5590061,0.010496695,0.13009888,0.7218152,2,0.0,1544.5,1,0.0,-2.084225,1.5280026
traditional_robust_template,57,6345,363996,789,B8,1431.0,novel_early_pretrigger,323.82962,3.027163,0.8668093,0.0037354873,0.01823624,0.59797204,3,0.0,1182.5,1,0.9147449,-1.193571,1.653212
traditional_robust_template,57,16639,374292,10428,B8,1300.5,novel_early_pretrigger,310.3345,3.9098635,1.0111669,0.0038426179,0.025101008,0.6302419,3,0.0,1133.0,1,0.8508266,-1.4828912,1.6346971
traditional_robust_template,57,18058,375711,11747,B8,1535.5,unassigned_common,308.2295,1.7861929,0.7916319,0.0026107011,0.0092990985,0.5628739,6,0.0,1126.0,1,0.9648323,-0.8808206,1.6992862
traditional_robust_template,57,21224,378877,14656,B8,1099.5,novel_early_pretrigger,267.66,5.3427677,1.1916775,0.003246511,0.041151736,0.6531915,3,0.0,977.0,1,0.96816736,-1.7694407,1.6286718
traditional_robust_template,57,20416,378069,13909,B8,1840.5,unassigned_common,204.01834,1.1645209,0.56611603,0.003722849,0.005460482,0.51148856,4,0.0,746.5,1,0.9641402,-0.43819615,1.8127443
traditional_robust_template,57,6623,364274,1049,B8,1458.0,unassigned_common,192.79184,1.4594848,0.5953192,0.0014609562,0.011615079,0.5276697,4,0.0,705.5,1,0.76954734,-0.6282579,1.7809249
