abstention_budget,run,method,n,n_events,n_runs,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,calibration_loss,mean_sigma_hat_ns,accepted_fraction
0.0,60,gradient_boosted_trees,2424,808,1,1.3859876921461796,2.118473175625646,0.02103960396039604,0.7083514603695245,0.7516501650165016,0.9653465346534653,0.12531858238781415,2.0956621118946903,1.0
0.0,60,mlp,2424,808,1,1.551666383560403,2.2289070149253245,0.019389438943894388,0.7807296039377111,0.6967821782178217,0.9537953795379538,0.07905282056035483,2.150690641617033,1.0
0.0,60,phase_conformal_gated_cnn,2424,808,1,1.3166927928106096,2.162551516791561,0.012376237623762377,0.7577751928760238,0.7372112211221122,0.9711221122112211,0.10595621610676986,1.9172715742648287,1.0
0.0,60,ridge,2424,808,1,1.4042479283503588,2.329377396885256,0.019389438943894388,0.6670595061350701,0.75,0.9723597359735974,0.1408702459005091,2.2178626758536213,1.0
0.0,60,traditional,2424,808,1,1.3437044382667396,2.3952884674835904,0.018151815181518153,1.1372712108324488,0.6872937293729373,0.8242574257425742,0.08920600744193725,2.484730617825931,1.0
0.0,61,cnn1d,2799,933,1,1.86024403408094,2.6705439052630733,0.02965344765987853,1.041960601439102,0.5083958556627367,0.94140764558771,0.0749488641085518,2.0197615904526764,1.0
0.0,61,gradient_boosted_trees,2799,933,1,1.9275565211044423,2.5968040045588845,0.03751339764201501,1.1376224957091974,0.49446230796713114,0.8553054662379421,0.14018140454704137,1.8366816608093544,1.0
0.0,61,mlp,2799,933,1,1.8756360570088941,2.681183273547199,0.03572704537334762,0.9904286460282782,0.5426938192211505,0.9128260092890318,0.06224700586617985,2.0294437852962655,1.0
0.0,61,phase_conformal_gated_cnn,2799,933,1,1.7710332922433571,2.7098546545106146,0.02465166130760986,0.8903140500113665,0.587352625937835,0.9696320114326545,0.07488494254015103,2.083945480731156,1.0
0.0,61,ridge,2799,933,1,2.0680650027088747,2.8773965062498568,0.06037870668095748,0.9865697036267465,0.4769560557341908,0.8856734548052876,0.09449675932359171,1.953714062165334,1.0
0.0,61,traditional,2799,933,1,2.1299643935400336,3.008059720087321,0.08252947481243302,1.5947141074022328,0.45444801714898175,0.68345837799214,0.36316573479937037,2.1033240479944357,1.0
0.0,62,cnn1d,2421,807,1,1.4473126984541544,2.413602232717287,0.011565468814539447,0.7579207360893465,0.8000826104915324,0.9760429574555969,0.12850511324026093,2.2115497765908616,1.0
0.0,62,gradient_boosted_trees,2421,807,1,1.4706176246548182,2.369418979112128,0.01321767864518794,0.6565092552712493,0.7967781908302355,0.9706732755059893,0.15941757297599182,2.3390310584451055,1.0
0.0,62,mlp,2421,807,1,1.6085161822173086,2.397383674791914,0.017761255679471292,0.7190150399139379,0.768690623709211,0.9669558033870301,0.12798063168176776,2.5027968816570407,1.0
0.0,62,phase_conformal_gated_cnn,2421,807,1,1.4410042893076662,2.3541895155764774,0.008261049153242462,0.792878362354333,0.7802560925237505,0.9603469640644362,0.10501173403228459,2.0805067410040152,1.0
0.0,62,ridge,2421,807,1,1.500270736808412,2.491431794835978,0.01486988847583643,0.6029586911883558,0.8203221809169765,0.9772821148285832,0.187318704140068,2.5244910562521437,1.0
0.0,62,traditional,2421,807,1,1.4690048724299039,2.5841895829635635,0.014456836018174308,1.0070860687237224,0.7067327550598926,0.8479966955803387,0.04437754535542541,2.9085202157798022,1.0
0.0,63,cnn1d,1110,370,1,1.3404231889318217,2.3116141234636807,0.018018018018018018,0.7388662662030134,0.7414414414414414,0.9738738738738739,0.1145865189917673,1.9462440182200378,1.0
0.0,63,gradient_boosted_trees,1110,370,1,1.4293823911254206,2.100882664953975,0.014414414414414415,0.6864164369037621,0.7720720720720721,0.9702702702702702,0.1410788044338601,2.242068124567664,1.0
0.0,63,mlp,1110,370,1,1.5148343668541755,2.2971904326075023,0.017117117117117116,0.6549681288628255,0.781981981981982,0.9684684684684685,0.15426427648354166,2.397671405832425,1.0
0.0,63,phase_conformal_gated_cnn,1110,370,1,1.4780787022184088,2.265799674694941,0.02072072072072072,0.8996292050681663,0.663963963963964,0.9702702702702702,0.04645553112504667,2.0375276691043984,1.0
0.0,63,ridge,1110,370,1,1.4392275144807094,2.4826062340666035,0.018018018018018018,0.6451652833789867,0.8063063063063063,0.9693693693693693,0.16594030005322966,2.3629020871269253,1.0
0.0,63,traditional,1110,370,1,1.3913214606535784,2.6280675123049266,0.01891891891891892,1.0089035519426894,0.7279279279279279,0.8495495495495495,0.05153081272802259,3.147407726054406,1.0
0.0,65,cnn1d,198,66,1,1.4547422594666517,1.5507573766559857,0.010101010101010102,0.8781471933814751,0.6868686868686869,0.9797979797979798,0.05194332704939719,1.7838807022268774,1.0
0.0,65,gradient_boosted_trees,198,66,1,1.4532458185519155,1.5745546547704874,0.010101010101010102,0.5826950550681144,0.7575757575757576,0.9646464646464646,0.16894589167236929,2.127778487962687,1.0
0.0,65,mlp,198,66,1,1.606488103353983,1.6033598206435267,0.010101010101010102,0.7199818909196615,0.7424242424242424,0.9494949494949495,0.11341930329087713,2.2269953391669017,1.0
0.0,65,phase_conformal_gated_cnn,198,66,1,1.5222827683138629,1.5662122085422348,0.005050505050505051,0.7910545863164815,0.797979797979798,0.9949494949494949,0.12306173815860381,2.029019790665662,1.0
0.0,65,ridge,198,66,1,1.4421521832672937,1.594497991652986,0.005050505050505051,0.6757740370724015,0.7070707070707071,0.9595959595959596,0.11940104581908839,1.96440459493504,1.0
0.0,65,traditional,198,66,1,1.494640076269676,1.6991283591200679,0.015151515151515152,0.9884724160338783,0.7575757575757576,0.8636363636363636,0.05759249525617186,3.337848051411286,1.0
0.05,58,cnn1d,205,73,1,1.3654320600454244,1.4765983080898024,0.00975609756097561,0.8219243902673803,0.6829268292682927,1.0,0.07610431562130415,1.9107768763014323,0.9360730593607306
0.05,58,gradient_boosted_trees,213,73,1,1.4542735563894562,1.6561465958950015,0.014084507042253521,0.680142402439529,0.6948356807511737,0.9906103286384976,0.12420470493771414,2.1409740830314483,0.9726027397260274
0.05,58,mlp,207,73,1,1.5602281914890692,1.4370637175488465,0.0,0.6595796665545027,0.6570048309178744,0.9951690821256038,0.1370913589300756,2.203913616028851,0.9452054794520548
0.05,58,phase_conformal_gated_cnn,209,73,1,1.4412451415787466,2.1963206600760317,0.014354066985645933,0.8557826097224899,0.6363636363636364,1.0,0.08018108201695795,2.0614770843840775,0.954337899543379
0.05,58,ridge,206,72,1,1.279491435236233,1.2087801511416367,0.0,0.6551674550895299,0.6893203883495146,1.0,0.1338211470409949,1.8818965878080045,0.9406392694063926
0.05,58,traditional,184,73,1,1.211005897593263,1.6233767368778171,0.005434782608695652,0.727130141807545,0.7771739130434783,0.8967391304347826,0.14020504955471688,3.0726771861184408,0.8401826484018264
0.05,59,cnn1d,2116,762,1,1.4150278919629882,1.6803794443645028,0.008979206049149339,0.7583949232524797,0.7069943289224953,1.0,0.10530330451100518,1.8948116444481,0.9244211446046309
0.05,59,gradient_boosted_trees,2208,763,1,1.389365508109688,1.720771743240801,0.006793478260869565,0.7455736170339564,0.7065217391304348,0.9836956521739131,0.1039847607111305,1.9003630506664855,0.9646133682830931
0.05,59,mlp,2175,762,1,1.4670739814944607,1.6479835535762437,0.004597701149425287,0.7290881733525361,0.7351724137931035,0.9917241379310345,0.121706295411534,2.0812860243025026,0.9501965923984272
0.05,59,phase_conformal_gated_cnn,2098,763,1,1.3998453680982355,1.752547467090211,0.008102955195424213,0.7779404531984426,0.7507149666348903,1.0,0.11336167376648258,1.9803375736638242,0.9165574486675404
0.05,59,ridge,2149,760,1,1.4112294769094635,1.372893891866136,0.0037226617031177293,0.7500779152732504,0.6724057701256398,0.996742671009772,0.10231615924929394,1.8619906020805956,0.9388379204892966
0.05,59,traditional,2066,762,1,1.5095973176374142,1.8783253891516927,0.01452081316553727,0.6459331535345779,0.8165537270087125,0.9327202323330106,0.168403616334708,3.5513831991172897,0.9025775447793797
0.05,60,cnn1d,2261,808,1,1.3575830998605374,2.0025546934162035,0.01238390092879257,0.6439539060673333,0.8558160106147722,1.0,0.1930575374701463,2.1653935743853823,0.9327557755775577
0.05,60,gradient_boosted_trees,2340,808,1,1.343739377436021,1.7290728264960546,0.01623931623931624,0.6640168394034257,0.7786324786324786,0.9961538461538462,0.15935999774863305,2.117730323705228,0.9653465346534653
0.05,60,mlp,2291,808,1,1.4612431030520616,1.8099017498614207,0.013967699694456569,0.6896931593645166,0.7372326494980358,0.9978175469227412,0.13755584830642012,2.1959198499948123,0.9451320132013201
0.05,60,phase_conformal_gated_cnn,2267,808,1,1.2889223060545425,1.737391877148879,0.0070577856197618,0.6856931935128812,0.788266431407146,1.0,0.15662791525242162,1.9760562204312586,0.9352310231023102
0.05,60,ridge,2331,808,1,1.3423582464309212,1.6922912359315323,0.009867009867009866,0.6098361804788243,0.7799227799227799,0.9982839982839983,0.17856036853031798,2.2333745238198457,0.9616336633663366
0.05,60,traditional,2152,806,1,1.3720790997636862,1.5408812090911361,0.008828996282527882,0.7282346703863573,0.7741635687732342,0.9191449814126395,0.13136480827907915,2.7355432214319095,0.8877887788778878
0.05,61,cnn1d,2497,932,1,1.7960230844312575,1.7399556632472442,0.023628354024829795,0.8368273282211965,0.5698838606327593,1.0,0.1086594344276814,2.126821667883929,0.8921043229724902
0.05,61,gradient_boosted_trees,2426,927,1,1.680819690538403,1.8991846314280236,0.011953833470733718,0.9543096668122723,0.5704863973619126,0.9674361088211046,0.05844317892797327,1.8840186216768324,0.8667381207574134
0.05,61,mlp,2562,929,1,1.7325081134930376,1.7800954329587553,0.01288056206088993,0.8554290439182353,0.592896174863388,0.9863387978142076,0.09023435705652816,2.064289667718234,0.9153269024651661
0.05,61,phase_conformal_gated_cnn,2621,932,1,1.7276502640537807,1.8020754227435314,0.01564288439526898,0.8019956517070275,0.6272415108737123,1.0,0.10115077651875344,2.1259179665011856,0.9364058592354412
0.05,61,ridge,2434,929,1,1.7668644209994306,1.6737507382472234,0.013968775677896467,0.7889452810548552,0.5484798685291701,0.9926047658175843,0.12928970279018637,1.982611627965408,0.8695962843872812
0.05,61,traditional,2510,931,1,2.207173454653259,2.328789405850403,0.07888446215139443,1.2863381530515257,0.5067729083665339,0.7601593625498008,0.217365124757397,2.2788503693384667,0.8967488388710254
0.05,62,cnn1d,2279,806,1,1.4291699378821365,1.9898553921463094,0.007459412022817025,0.7030482872496722,0.8499341816586222,1.0,0.1713988007573167,2.2793221926049814,0.9413465510119785
0.05,62,gradient_boosted_trees,2336,807,1,1.4283887991290318,1.8173994854572841,0.007705479452054794,0.6200463216869316,0.8257705479452054,0.997431506849315,0.19015541365686295,2.3639208254917405,0.9648905410987195
0.05,62,mlp,2332,807,1,1.5591722243163066,1.7015740174015885,0.011578044596912522,0.6695487905019658,0.7980274442538593,0.9969982847341338,0.16426248211634242,2.539538789098781,0.963238331268071
0.05,62,phase_conformal_gated_cnn,2223,807,1,1.3932380740973467,1.7950468803283413,0.004048582995951417,0.6894728928300833,0.8497525865946919,1.0,0.1758634005425362,2.1785454556203203,0.9182156133828996
0.05,62,ridge,2341,807,1,1.4471934097144055,1.5843593373044007,0.007689021785561726,0.5633601032162138,0.8483554036736437,0.9995728321230244,0.2172928801478181,2.5417534804059874,0.9669558033870301
0.05,62,traditional,2172,805,1,1.5354797874606116,1.8204812437103408,0.008747697974217311,0.6748952990218303,0.7877532228360957,0.930939226519337,0.1497430683859761,3.1655287719346332,0.8971499380421314
0.05,63,cnn1d,1044,369,1,1.3061126951238768,2.0767153389570736,0.01532567049808429,0.6750597069808408,0.7883141762452107,1.0,0.1601883257091233,1.9970755596670526,0.9405405405405406
0.05,63,gradient_boosted_trees,1076,370,1,1.3926282937903167,1.7441899432624608,0.00929368029739777,0.6435616030498519,0.7964684014869888,0.9972118959107806,0.17247640073697254,2.2586462506899325,0.9693693693693693
0.05,63,mlp,1072,370,1,1.4674954040120813,1.6347898943573145,0.009328358208955223,0.6074729012158406,0.8097014925373134,0.9981343283582089,0.18922447584756055,2.4229782594322367,0.9657657657657658
0.05,63,phase_conformal_gated_cnn,1024,369,1,1.412341157573431,2.224350350837999,0.017578125,0.7746258752129361,0.7197265625,1.0,0.1041370650500213,2.1445308236511202,0.9225225225225225
0.05,63,ridge,1069,369,1,1.3665473196544162,1.775871568429193,0.009354536950420954,0.5941930462512512,0.8372310570626754,1.0,0.20344950622480806,2.3803494198983017,0.9630630630630631
0.05,63,traditional,991,369,1,1.4092266454540319,1.7489458652657468,0.011099899091826439,0.6324743929229097,0.8153380423814329,0.9364278506559032,0.17124876888854,3.444327476455556,0.8927927927927928
0.05,65,cnn1d,186,66,1,1.3958276630221682,1.4379970743499295,0.010752688172043012,0.7442131535136398,0.7311827956989247,1.0,0.11809338334942832,1.8440601441549949,0.9393939393939394
0.05,65,gradient_boosted_trees,191,66,1,1.3923846472900905,1.4024577480863658,0.005235602094240838,0.5354872539111069,0.7853403141361257,0.9895287958115183,0.2022307879665124,2.1563378422748056,0.9646464646464646
0.05,65,mlp,188,66,1,1.5022988029644093,1.4709210718922423,0.010638297872340425,0.6227869395196359,0.7819148936170213,0.9893617021276596,0.17193338802934832,2.294580525243775,0.9494949494949495
0.05,65,phase_conformal_gated_cnn,193,66,1,1.5052197876857183,1.539075554012115,0.0051813471502590676,0.7763905108562241,0.8186528497409327,1.0,0.13652428224923618,2.0561921989818317,0.9747474747474747
0.05,65,ridge,189,66,1,1.3998678339117006,1.4266927106729332,0.005291005291005291,0.629492329470163,0.7407407407407407,0.9947089947089947,0.15775597128085747,2.0076431451341135,0.9545454545454546
0.05,65,traditional,176,66,1,1.6005959259444147,1.7599971157727086,0.017045454545454544,0.5501823262110657,0.8522727272727273,0.9488636363636364,0.20684575752034173,3.6833388245315954,0.8888888888888888
