heldout_run,method,family,baseline,n_heldout_events,n_pair_residuals,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,bias_vs_log_amp_slope_ns,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
60,traditional_proxy_dynamic_boundary,traditional_proxy,traditional_global_no_proxy,808,2424,1.3526525961879488,2.209500098378223,0.010726072607260726,-0.7378011194886607,1.3103343058177515,1.4025208892689787,-0.11924443130969609,-0.13740939380971928,-0.09811423271577886
60,ml_ridge_all_root_proxies,ml,traditional_global_no_proxy,808,2424,1.416649646047939,2.2621808810057327,0.010313531353135313,-0.8625273413437216,1.357375364182699,1.4862186379989055,-0.05524738144970587,-0.12914862567871213,0.014363075163826488
60,ml_gated_proxy_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,808,2424,1.4351464650577093,2.2497883310128337,0.010726072607260726,-0.8727343214031774,1.3805359567524125,1.4764315288162269,-0.036750562439935575,-0.059066232660059614,-0.019814586530954442
60,ml_ridge_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,808,2424,1.438015055352892,2.2573928616923244,0.010726072607260726,-0.8625273673510372,1.400518939275376,1.4901055161657728,-0.03388197214475275,-0.04236406270088132,-0.02012016840666409
60,ml_cnn1d_proxy_all_root_proxies,ml,traditional_global_no_proxy,808,2424,1.4430920028711407,2.263472712673498,0.010726072607260726,-0.9012923738690946,1.3750731916401884,1.527292170706966,-0.02880502462650414,-0.10225826613869318,0.06656927543438683
60,ml_mlp_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,808,2424,1.4473804439569748,2.2613952914114686,0.010726072607260726,-0.8644755699583259,1.404589323539021,1.4930322477412774,-0.02451658354066999,-0.03590700636707232,-0.008202873462159423
60,ml_hgb_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,808,2424,1.456376282328661,2.2669799286995826,0.010726072607260726,-0.8329683853094565,1.4265294119488117,1.5093508598160343,-0.01552074516898383,-0.024162106746262117,0.010182987077959157
60,traditional_proxy_baseline_rate,traditional_proxy,traditional_global_no_proxy,808,2424,1.462421127440353,2.2661458892689224,0.010726072607260726,-0.8610970721913724,1.4210576921974039,1.510189781760961,-0.00947590005729193,-0.011320196441272596,0.0017636593727417228
60,traditional_global_no_proxy,traditional,traditional_global_no_proxy,808,2424,1.4718970274976448,2.27149402288583,0.010726072607260726,-0.8625273672229937,1.4265016249630365,1.5250183142891505,0.0,0.0,0.0
60,ml_cnn1d_proxy_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,808,2424,1.473903711963847,2.271991660597834,0.010726072607260726,-0.8626083552903127,1.4221872299575238,1.5206532809036353,0.0020066844662021133,-0.0018973207191481322,0.0023573702794623566
60,traditional_binned_no_proxy,traditional,traditional_global_no_proxy,808,2424,2.127410063722653,2.5748043950725394,0.038366336633663366,-2.2742666074622835,2.039742693198429,2.1989194651101247,0.6555130362250083,0.5673974383419634,0.7244978896840644
61,ml_cnn1d_proxy_all_root_proxies,ml,traditional_global_no_proxy,933,2799,1.2737744514670801,2.49322044366413,0.01607717041800643,0.9195580693108601,1.2246777360649534,1.3337046219275246,-0.9146432759415837,-0.9710285085942031,-0.8260837646913326
61,ml_ridge_all_root_proxies,ml,traditional_global_no_proxy,933,2799,1.2769966975397709,2.4528980622449605,0.015005359056806002,0.9750560172511223,1.2104328343567463,1.3349012311710826,-0.911421029868893,-0.98199295093661,-0.8213578463115068
61,ml_mlp_all_root_proxies,ml,traditional_global_no_proxy,933,2799,1.2819604535289986,2.4557142751420153,0.015005359056806002,0.9727263908527032,1.226822342323428,1.347798276517597,-0.9064572738796652,-0.9805073075070676,-0.818157853289792
61,ml_hgb_all_root_proxies,ml,traditional_global_no_proxy,933,2799,1.3028848495354037,2.4764831442118616,0.015362629510539478,0.9838539039637924,1.2543466632943407,1.3842060501707907,-0.8855328778732601,-0.9587381384247422,-0.7958733933518928
61,ml_gated_proxy_all_root_proxies,ml,traditional_global_no_proxy,933,2799,1.3076383584710147,2.46007634277493,0.014648088603072526,0.9771871412636854,1.2532344219477778,1.360575461778953,-0.8807793689376491,-0.9510180774507594,-0.7900645586220431
61,ml_mlp_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,933,2799,2.044044259175535,2.8610128202104463,0.023222579492675956,0.9827296659741825,1.9675065496829647,2.133707522466473,-0.14437346823312902,-0.16645239840187648,-0.10513924040311752
61,ml_ridge_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,933,2799,2.10067651782222,2.8933633134382806,0.025008931761343337,0.9750560261300003,2.01787347064235,2.1855200139970843,-0.0877412095864436,-0.0936273709373269,-0.0628511318329307
61,ml_gated_proxy_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,933,2799,2.1039439077684956,2.8980801230749,0.02536620221507681,0.9740663615383062,2.011881290688052,2.2032065230968967,-0.0844738196401682,-0.10465431586716897,-0.05199567584147636
61,traditional_proxy_dynamic_boundary,traditional_proxy,traditional_global_no_proxy,933,2799,2.1821046594779827,2.936486719617831,0.027152554483744193,0.9914276490507041,2.0830086243305663,2.268219648421985,-0.006313067930681093,-0.015906604746228025,0.013802186990049082
61,traditional_proxy_all_root_proxies,traditional_proxy,traditional_global_no_proxy,933,2799,2.1821046638208963,2.9364867219311224,0.027152554483744193,0.9914276483336601,2.09766768181363,2.2628390822552684,-0.006313063587767509,-0.015770990287915176,0.017058157063662573
61,traditional_proxy_baseline_rate,traditional_proxy,traditional_global_no_proxy,933,2799,2.1871621241347454,2.9356156054869595,0.02750982493747767,0.9727212047310809,2.081745032381608,2.2781851334378067,-0.001255603273918382,-0.005615799246350739,0.003275868508057367
61,ml_cnn1d_proxy_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,933,2799,2.1875162312951955,2.935628090435535,0.02750982493747767,0.9748605836183204,2.0864963189089005,2.267553965277346,-0.0009014961134683475,-0.0045917721242840995,0.0025692215973244347
61,traditional_global_no_proxy,traditional,traditional_global_no_proxy,933,2799,2.188417727408664,2.9361812514532506,0.02750982493747767,0.975056025974005,2.1000781786719496,2.267841078208648,0.0,0.0,0.0
61,ml_hgb_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,933,2799,2.2229111622336366,2.9857308689476127,0.03036798856734548,0.9630974347367979,2.1283956499176844,2.3381223078370104,0.0344934348249728,0.01713072194060363,0.07874183344435695
61,traditional_binned_no_proxy,traditional,traditional_global_no_proxy,933,2799,3.069041160571558,3.727755243807139,0.11039657020364416,-1.4018819448550814,2.9376232148097863,3.1948164220019137,0.8806234331628944,0.7415823724383823,0.9996071674258293
62,ml_hgb_all_root_proxies,ml,traditional_global_no_proxy,807,2421,1.2511233013861776,2.306446730851712,0.009913258983890954,-0.22891245886325065,1.1790272582471932,1.3146043783561332,-0.37882181249110003,-0.4533619464778041,-0.30467203229929435
62,ml_ridge_all_root_proxies,ml,traditional_global_no_proxy,807,2421,1.3356219057943057,2.35998418374267,0.0107393638992152,-0.20849908328446073,1.2764237749091258,1.3936583322272758,-0.29432320808297185,-0.36288458169898535,-0.21581960553033389
62,ml_gated_proxy_all_root_proxies,ml,traditional_global_no_proxy,807,2421,1.3437625195712328,2.3608314984998304,0.0107393638992152,-0.19816355473819938,1.2935389380655393,1.4205800137642466,-0.28618259430604476,-0.3522309425619236,-0.20334704440310902
62,ml_cnn1d_proxy_all_root_proxies,ml,traditional_global_no_proxy,807,2421,1.4010302078479997,2.377551554790528,0.010326311441553077,-0.2116657652107008,1.342358799463814,1.452200997526536,-0.2289149060292779,-0.30501934195998504,-0.15323366263649507
62,ml_mlp_all_root_proxies,ml,traditional_global_no_proxy,807,2421,1.520731254859824,2.427472989365812,0.0107393638992152,-0.19210869878501582,1.454298222549951,1.5875959388492211,-0.10921385901745362,-0.18754261366671154,-0.041256898870964544
62,traditional_proxy_all_root_proxies,traditional_proxy,traditional_global_no_proxy,807,2421,1.576285301285362,2.4691187179326723,0.011152416356877323,-0.11769505562645845,1.5245770715850473,1.633300560633404,-0.05365981259191566,-0.06943748945570988,-0.03716628724934761
62,traditional_proxy_dynamic_boundary,traditional_proxy,traditional_global_no_proxy,807,2421,1.5762853016163008,2.469118717793757,0.011152416356877323,-0.117695056839038,1.524077753872156,1.6222164442158762,-0.053659812260976825,-0.06712671104044567,-0.034535553636585184
62,ml_ridge_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,807,2421,1.609607320631698,2.4892188604259133,0.011152416356877323,-0.20849908315839194,1.5589188158830285,1.6553499724922587,-0.020337793245579494,-0.0312187851996365,-0.010631699909054841
62,ml_gated_proxy_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,807,2421,1.610574363644868,2.495244669458774,0.0107393638992152,-0.2194049173184818,1.5638799656754188,1.6667435770945456,-0.01937075023240964,-0.0350505758392606,0.0026004482212083255
62,traditional_proxy_baseline_rate,traditional_proxy,traditional_global_no_proxy,807,2421,1.6277405343026339,2.4961315073598884,0.011565468814539447,-0.21007417014658458,1.5744835233146124,1.6736175651343743,-0.002204579574643706,-0.01101969654187116,0.0003980786883286917
62,ml_cnn1d_proxy_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,807,2421,1.6299451138772776,2.500743320539831,0.011152416356877323,-0.20849908328446143,1.5796163036500444,1.6762251870097424,0.0,0.0,0.0
62,traditional_global_no_proxy,traditional,traditional_global_no_proxy,807,2421,1.6299451138772776,2.500743320539831,0.011152416356877323,-0.20849908328446143,1.5809233466407215,1.6725452658491875,0.0,0.0,0.0
62,ml_hgb_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,807,2421,1.6568385767863214,2.5198000870046915,0.011565468814539447,-0.22101263320803274,1.6129872937994785,1.703743881316261,0.02689346290904382,0.006957842357566641,0.040148081439073995
62,ml_mlp_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,807,2421,1.6598517193934057,2.522377817516881,0.011152416356877323,-0.2129972617931215,1.6116764474297036,1.705867658728646,0.029906605516128115,0.013875703925426724,0.04636394264665936
62,traditional_binned_no_proxy,traditional,traditional_global_no_proxy,807,2421,2.9620022014266674,3.4404537744497588,0.0912845931433292,-2.150141340723321,2.8293455824277385,3.097881131386058,1.3320570875493898,1.2107675254386172,1.4681629896404444
63,ml_gated_proxy_all_root_proxies,ml,traditional_global_no_proxy,370,1110,1.129578052481236,2.3361829230090243,0.016216216216216217,-0.6484844409705267,1.034760192595098,1.2708540139298774,-0.41134035711317085,-0.48678007296591974,-0.2995088758679545
