method,n,harm_rate,flag_rate,precision,recall,f1,accepted_coverage,accepted_charge_bias_frac,accepted_charge_res68_frac,accepted_timing_abs68_ns,accepted_timing_tail_frac_gt5ns,calibration_ece,precision_ci95,recall_ci95,accepted_coverage_ci95,accepted_charge_res68_frac_ci95,accepted_timing_abs68_ns_ci95,accepted_timing_tail_frac_gt5ns_ci95,flag_rate_ci95,run
mlp,13563,0.46177099461770993,0.46413035464130353,0.9493248610007943,0.9541753153440843,0.9517439082656475,0.5358696453586964,0.010341845435083076,0.04953080228805915,0.24236664982915404,0.09892680242157402,0.007652373873259325,"[0.9493248610007943, 0.9493248610007943]","[0.9541753153440843, 0.9541753153440843]","[0.5358696453586964, 0.5358696453586964]","[0.04953080228805915, 0.04953080228805915]","[0.24236664982915404, 0.24236664982915404]","[0.09892680242157402, 0.09892680242157402]","[0.46413035464130353, 0.46413035464130353]",59
cnn_1d,13563,0.46177099461770993,0.6135810661358106,0.6705118961788031,0.8909468305923679,0.7651696948920124,0.38641893386418935,-0.004656777920895137,0.051931997863181756,0.08689715699143936,0.038923869490555235,0.12856279075868643,"[0.6705118961788031, 0.6705118961788031]","[0.8909468305923679, 0.8909468305923679]","[0.38641893386418935, 0.38641893386418935]","[0.051931997863181756, 0.051931997863181756]","[0.08689715699143936, 0.08689715699143936]","[0.038923869490555235, 0.038923869490555235]","[0.6135810661358106, 0.6135810661358106]",59
wavegate_resnet,13563,0.46177099461770993,0.5610115756101157,0.7003548429491392,0.85087019000479,0.7683102652825836,0.4389884243898842,0.00309638514380921,0.058191723802197365,0.09539806717718649,0.04299630500503863,0.10534826638711091,"[0.7003548429491392, 0.7003548429491392]","[0.85087019000479, 0.85087019000479]","[0.4389884243898842, 0.4389884243898842]","[0.058191723802197365, 0.058191723802197365]","[0.09539806717718649, 0.09539806717718649]","[0.04299630500503863, 0.04299630500503863]","[0.5610115756101157, 0.5610115756101157]",59
shuffled_target_gbt,13563,0.46177099461770993,0.0,0.0,0.0,0.0,1.0,0.025675004865239666,0.19968205824321536,0.24446635395221092,0.1369903413699034,0.10859850235930893,"[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.19968205824321536, 0.19968205824321536]","[0.24446635395221092, 0.24446635395221092]","[0.1369903413699034, 0.1369903413699034]","[0.0, 0.0]",59
traditional_rule,9866,0.4585444962497466,0.21072369754713155,0.8037518037518038,0.3693633952254642,0.506133575647433,0.7892763024528684,0.004058495584282499,0.08144975457051006,0.04897388568029798,0.013740850134840119,0.12986519359416177,"[0.8037518037518038, 0.8037518037518038]","[0.3693633952254642, 0.3693633952254642]","[0.7892763024528684, 0.7892763024528684]","[0.08144975457051006, 0.08144975457051006]","[0.04897388568029798, 0.04897388568029798]","[0.013740850134840119, 0.013740850134840119]","[0.21072369754713155, 0.21072369754713155]",60
ridge,9866,0.4585444962497466,0.5939590512872491,0.6906143344709897,0.8945623342175066,0.7794684129429893,0.40604094871275087,-0.0025965098339586156,0.04436138312323897,0.0509433849521777,0.0127309036445332,0.18359990760505787,"[0.6906143344709897, 0.6906143344709897]","[0.8945623342175066, 0.8945623342175066]","[0.40604094871275087, 0.40604094871275087]","[0.04436138312323897, 0.04436138312323897]","[0.0509433849521777, 0.0509433849521777]","[0.0127309036445332, 0.0127309036445332]","[0.5939590512872491, 0.5939590512872491]",60
gradient_boosted_trees,9866,0.4585444962497466,0.5106426109872289,0.85192536720921,0.9487179487179487,0.8977201422296591,0.48935738901277115,0.003729608154858721,0.03956773451708569,0.04928933761567167,0.02009113504556752,0.07616287343867796,"[0.85192536720921, 0.85192536720921]","[0.9487179487179487, 0.9487179487179487]","[0.48935738901277115, 0.48935738901277115]","[0.03956773451708569, 0.03956773451708569]","[0.04928933761567167, 0.04928933761567167]","[0.02009113504556752, 0.02009113504556752]","[0.5106426109872289, 0.5106426109872289]",60
mlp,9866,0.4585444962497466,0.45793634705047637,0.9606020362992475,0.9593280282935456,0.9599646095996461,0.5420636529495236,0.005597194429873465,0.041550978676317386,0.054960519127503604,0.031600598354525056,0.005251750736644429,"[0.9606020362992475, 0.9606020362992475]","[0.9593280282935456, 0.9593280282935456]","[0.5420636529495236, 0.5420636529495236]","[0.041550978676317386, 0.041550978676317386]","[0.054960519127503604, 0.054960519127503604]","[0.031600598354525056, 0.031600598354525056]","[0.45793634705047637, 0.45793634705047637]",60
cnn_1d,9866,0.4585444962497466,0.6008514088789783,0.6992240215924427,0.9162245800176835,0.7931496364332186,0.3991485911210217,-0.00439650247273835,0.042515273947067285,0.04976218670286117,0.01015744032503809,0.13794479829959835,"[0.6992240215924427, 0.6992240215924427]","[0.9162245800176835, 0.9162245800176835]","[0.3991485911210217, 0.3991485911210217]","[0.042515273947067285, 0.042515273947067285]","[0.04976218670286117, 0.04976218670286117]","[0.01015744032503809, 0.01015744032503809]","[0.6008514088789783, 0.6008514088789783]",60
wavegate_resnet,9866,0.4585444962497466,0.5438881005473343,0.7478568766306374,0.8870468611847923,0.8115267947421638,0.4561118994526657,0.0006751211621585272,0.0438095335961064,0.04945771622223974,0.003777777777777778,0.12308009153389572,"[0.7478568766306374, 0.7478568766306374]","[0.8870468611847923, 0.8870468611847923]","[0.4561118994526657, 0.4561118994526657]","[0.0438095335961064, 0.0438095335961064]","[0.04945771622223974, 0.04945771622223974]","[0.003777777777777778, 0.003777777777777778]","[0.5438881005473343, 0.5438881005473343]",60
shuffled_target_gbt,9866,0.4585444962497466,0.0,0.0,0.0,0.0,1.0,0.023061370326829277,0.14965845400463218,0.1009591720830409,0.11149401986620718,0.1060584302147185,"[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.14965845400463218, 0.14965845400463218]","[0.1009591720830409, 0.1009591720830409]","[0.11149401986620718, 0.11149401986620718]","[0.0, 0.0]",60
traditional_rule,11015,0.45901044030867,0.21343622333182025,0.7711612079965972,0.35858386075949367,0.4895369245308492,0.7865637766681798,0.007403442375141278,0.08127532164396718,0.048135517187710954,0.012003693444136657,0.13161597821152973,"[0.7711612079965972, 0.7711612079965972]","[0.35858386075949367, 0.35858386075949367]","[0.7865637766681798, 0.7865637766681798]","[0.08127532164396718, 0.08127532164396718]","[0.048135517187710954, 0.048135517187710954]","[0.012003693444136657, 0.012003693444136657]","[0.21343622333182025, 0.21343622333182025]",61
ridge,11015,0.45901044030867,0.5858374943259193,0.6892918022625135,0.879746835443038,0.7729602919454341,0.4141625056740808,-0.0008085507484202446,0.04776395368988528,0.04955273373761131,0.02367382726874178,0.169203201781145,"[0.6892918022625135, 0.6892918022625135]","[0.879746835443038, 0.879746835443038]","[0.4141625056740808, 0.4141625056740808]","[0.04776395368988528, 0.04776395368988528]","[0.04955273373761131, 0.04955273373761131]","[0.02367382726874178, 0.02367382726874178]","[0.5858374943259193, 0.5858374943259193]",61
gradient_boosted_trees,11015,0.45901044030867,0.5200181570585565,0.838163407821229,0.9495648734177216,0.8903931750741839,0.47998184294144347,0.005190034108235278,0.04014799385018528,0.04844041573525223,0.020994893134102514,0.08035672894471346,"[0.838163407821229, 0.838163407821229]","[0.9495648734177216, 0.9495648734177216]","[0.47998184294144347, 0.47998184294144347]","[0.04014799385018528, 0.04014799385018528]","[0.04844041573525223, 0.04844041573525223]","[0.020994893134102514, 0.020994893134102514]","[0.5200181570585565, 0.5200181570585565]",61
