method,true_pid_proxy,pred_pid_proxy,n
ridge,B8:highE,B8:highE,25
ridge,B8:lowE,B8:abstain,18
ridge,B8:lowE,B8:lowE,5
ridge,B8:lowE,B8:midE,2
ridge,B8:midE,B8:abstain,7
ridge,B8:midE,B8:highE,1
ridge,B8:midE,B8:lowE,1
ridge,B8:midE,B8:midE,16
template_residual_boosted_stack_new,B2:highE,B2:abstain,3
template_residual_boosted_stack_new,B2:highE,B2:highE,34
template_residual_boosted_stack_new,B2:highE,B2:midE,2
template_residual_boosted_stack_new,B2:lowE,B2:abstain,20
template_residual_boosted_stack_new,B2:lowE,B2:lowE,3
template_residual_boosted_stack_new,B2:midE,B2:abstain,10
template_residual_boosted_stack_new,B2:midE,B2:highE,2
template_residual_boosted_stack_new,B2:midE,B2:lowE,2
template_residual_boosted_stack_new,B2:midE,B2:midE,9
template_residual_boosted_stack_new,B4:highE,B4:abstain,1
template_residual_boosted_stack_new,B4:highE,B4:highE,27
template_residual_boosted_stack_new,B4:highE,B4:midE,1
template_residual_boosted_stack_new,B4:lowE,B4:abstain,21
template_residual_boosted_stack_new,B4:lowE,B4:lowE,5
template_residual_boosted_stack_new,B4:lowE,B4:midE,3
template_residual_boosted_stack_new,B4:midE,B4:abstain,4
template_residual_boosted_stack_new,B4:midE,B4:highE,1
template_residual_boosted_stack_new,B4:midE,B4:lowE,1
template_residual_boosted_stack_new,B4:midE,B4:midE,30
template_residual_boosted_stack_new,B6:highE,B6:highE,23
template_residual_boosted_stack_new,B6:highE,B6:midE,3
template_residual_boosted_stack_new,B6:lowE,B6:abstain,30
template_residual_boosted_stack_new,B6:lowE,B6:lowE,12
template_residual_boosted_stack_new,B6:lowE,B6:nan,1
template_residual_boosted_stack_new,B6:midE,B6:abstain,4
template_residual_boosted_stack_new,B6:midE,B6:lowE,4
template_residual_boosted_stack_new,B6:midE,B6:midE,28
template_residual_boosted_stack_new,B8:highE,B8:highE,25
template_residual_boosted_stack_new,B8:highE,B8:midE,1
template_residual_boosted_stack_new,B8:lowE,B8:abstain,18
template_residual_boosted_stack_new,B8:lowE,B8:lowE,3
template_residual_boosted_stack_new,B8:lowE,B8:midE,4
template_residual_boosted_stack_new,B8:midE,B8:abstain,7
template_residual_boosted_stack_new,B8:midE,B8:highE,2
template_residual_boosted_stack_new,B8:midE,B8:lowE,1
template_residual_boosted_stack_new,B8:midE,B8:midE,15
tiny_sequence_transformer,B2:highE,B2:abstain,8
tiny_sequence_transformer,B2:highE,B2:highE,27
tiny_sequence_transformer,B2:highE,B2:midE,4
tiny_sequence_transformer,B2:lowE,B2:abstain,21
tiny_sequence_transformer,B2:lowE,B2:lowE,2
tiny_sequence_transformer,B2:midE,B2:abstain,14
tiny_sequence_transformer,B2:midE,B2:highE,3
tiny_sequence_transformer,B2:midE,B2:lowE,1
tiny_sequence_transformer,B2:midE,B2:midE,5
tiny_sequence_transformer,B4:highE,B4:abstain,4
tiny_sequence_transformer,B4:highE,B4:highE,22
tiny_sequence_transformer,B4:highE,B4:midE,3
tiny_sequence_transformer,B4:lowE,B4:abstain,16
tiny_sequence_transformer,B4:lowE,B4:lowE,10
tiny_sequence_transformer,B4:lowE,B4:midE,3
tiny_sequence_transformer,B4:midE,B4:abstain,11
tiny_sequence_transformer,B4:midE,B4:highE,4
tiny_sequence_transformer,B4:midE,B4:lowE,5
tiny_sequence_transformer,B4:midE,B4:midE,16
tiny_sequence_transformer,B6:highE,B6:highE,21
tiny_sequence_transformer,B6:highE,B6:midE,5
tiny_sequence_transformer,B6:lowE,B6:abstain,22
tiny_sequence_transformer,B6:lowE,B6:lowE,19
tiny_sequence_transformer,B6:lowE,B6:midE,1
tiny_sequence_transformer,B6:lowE,B6:nan,1
tiny_sequence_transformer,B6:midE,B6:abstain,3
tiny_sequence_transformer,B6:midE,B6:highE,2
tiny_sequence_transformer,B6:midE,B6:lowE,7
tiny_sequence_transformer,B6:midE,B6:midE,24
tiny_sequence_transformer,B8:highE,B8:abstain,4
tiny_sequence_transformer,B8:highE,B8:highE,17
tiny_sequence_transformer,B8:highE,B8:midE,5
tiny_sequence_transformer,B8:lowE,B8:abstain,11
tiny_sequence_transformer,B8:lowE,B8:lowE,12
tiny_sequence_transformer,B8:lowE,B8:midE,2
tiny_sequence_transformer,B8:midE,B8:abstain,7
tiny_sequence_transformer,B8:midE,B8:lowE,2
tiny_sequence_transformer,B8:midE,B8:midE,16
two_pulse_template_cfd_baseline,B2:highE,B2:abstain,23
two_pulse_template_cfd_baseline,B2:highE,B2:highE,16
two_pulse_template_cfd_baseline,B2:lowE,B2:abstain,20
two_pulse_template_cfd_baseline,B2:lowE,B2:lowE,3
two_pulse_template_cfd_baseline,B2:midE,B2:abstain,16
two_pulse_template_cfd_baseline,B2:midE,B2:highE,3
two_pulse_template_cfd_baseline,B2:midE,B2:midE,4
two_pulse_template_cfd_baseline,B4:highE,B4:abstain,20
two_pulse_template_cfd_baseline,B4:highE,B4:highE,9
two_pulse_template_cfd_baseline,B4:lowE,B4:abstain,22
two_pulse_template_cfd_baseline,B4:lowE,B4:lowE,7
two_pulse_template_cfd_baseline,B4:midE,B4:abstain,31
two_pulse_template_cfd_baseline,B4:midE,B4:lowE,1
two_pulse_template_cfd_baseline,B4:midE,B4:midE,4
two_pulse_template_cfd_baseline,B6:highE,B6:abstain,12
two_pulse_template_cfd_baseline,B6:highE,B6:highE,11
two_pulse_template_cfd_baseline,B6:highE,B6:midE,3
two_pulse_template_cfd_baseline,B6:lowE,B6:abstain,27
two_pulse_template_cfd_baseline,B6:lowE,B6:lowE,15
two_pulse_template_cfd_baseline,B6:lowE,B6:nan,1
two_pulse_template_cfd_baseline,B6:midE,B6:abstain,21
two_pulse_template_cfd_baseline,B6:midE,B6:lowE,4
two_pulse_template_cfd_baseline,B6:midE,B6:midE,11
two_pulse_template_cfd_baseline,B8:highE,B8:abstain,2
two_pulse_template_cfd_baseline,B8:highE,B8:highE,24
two_pulse_template_cfd_baseline,B8:lowE,B8:abstain,12
two_pulse_template_cfd_baseline,B8:lowE,B8:lowE,9
two_pulse_template_cfd_baseline,B8:lowE,B8:midE,4
two_pulse_template_cfd_baseline,B8:midE,B8:abstain,8
two_pulse_template_cfd_baseline,B8:midE,B8:highE,2
two_pulse_template_cfd_baseline,B8:midE,B8:lowE,1
two_pulse_template_cfd_baseline,B8:midE,B8:midE,14
