row_id,event_key,pair_id,run,eventno,evt,variant,label_injected,target_stave,base_d_t_ns,d_t_ns,taxon_consensus,score_traditional_atom_rubric,action_traditional_atom_rubric,score_ridge,action_ridge,score_gradient_boosted_trees,action_gradient_boosted_trees,score_mlp,action_mlp,score_cnn1d,action_cnn1d,score_atom_gated_cnn,action_atom_gated_cnn,score_mlp_rank,score_gbt_rank,score_rubric_rank,in_failure_gallery,in_dttail_gallery,reviewer_a_ml_mask,reviewer_b_rubric,reviewer_c_hybrid,reviewer_votes,reviewer_consensus,unanimous_review
63:583711:8590:194697:injected_two_pulse,63:583711:8590:194697,1943,63,583711,8590,injected_two_pulse,1,B8,1.4857170265312831,0.4569034865769374,template_mismatch,1.396396390459527,0,3.593480348587036,1,0.5430867937338221,0,0.9691311120986938,1,0.2407315820455551,0,0.2484527081251144,0,0.8015463917525774,0.6082474226804123,0.6237113402061856,False,False,1,1,0,2,1,0
63:583944:8804:194930:raw_clean,63:583944:8804:194930,1944,63,583944,8804,raw_clean,0,,2.349251822316773,2.349251822316773,nominal_shape,0.0181614325740093,0,0.423553466796875,0,0.3693303402584824,0,0.1471897810697555,0,0.5330682396888733,0,0.576907753944397,0,0.422680412371134,0.47164948453608246,0.03865979381443299,False,False,0,0,0,0,0,1
63:583944:8804:194930:injected_two_pulse,63:583944:8804:194930,1944,63,583944,8804,injected_two_pulse,1,B6,2.349251822316773,2.3398893586773823,nominal_shape,0.0206588314627508,0,0.7364242076873779,0,0.6019463296616708,0,0.494729995727539,0,0.5494645237922668,0,0.5977925062179565,0,0.5670103092783505,0.6494845360824743,0.05154639175257732,False,False,0,0,0,0,0,1
63:584459:9292:195445:raw_clean,63:584459:9292:195445,1945,63,584459,9292,raw_clean,0,,2.937624858496747,2.937624858496747,template_mismatch,1.3783643967402794,0,-2.889157056808472,0,0.1089994498065963,0,0.028678148984909,0,0.4310459792613983,0,0.4295869171619415,0,0.24484536082474226,0.09278350515463918,0.5902061855670103,False,False,0,1,0,1,0,0
63:584459:9292:195445:injected_two_pulse,63:584459:9292:195445,1945,63,584459,9292,injected_two_pulse,1,B6,2.937624858496747,3.216087781792261,delayed_peak_or_tail,3.6477107727361417,0,-0.1164786890149116,0,0.9436808687892564,1,0.995703399181366,1,0.8475901484489441,1,0.8501842617988586,1,0.8505154639175257,0.8865979381443299,0.904639175257732,False,False,1,1,1,3,1,1
63:584495:9326:195481:raw_clean,63:584495:9326:195481,1946,63,584495,9326,raw_clean,0,,2.1196492005842917,2.1196492005842917,nominal_shape,0.0042997168710162,0,-1.0596041679382324,0,0.1180633330457226,0,0.1467864066362381,0,0.3300593793392181,0,0.3176174759864807,0,0.42010309278350516,0.1211340206185567,0.010309278350515464,False,False,0,0,0,0,0,1
63:584495:9326:195481:injected_two_pulse,63:584495:9326:195481,1946,63,584495,9326,injected_two_pulse,1,B8,2.1196492005842917,2.1196492005842917,nominal_shape,0.0083063770060202,0,-0.4713034629821777,0,0.485935122202791,0,0.5850608944892883,0,0.3931710124015808,0,0.3841587901115417,0,0.6134020618556701,0.5747422680412371,0.02577319587628866,True,False,1,0,1,2,1,0
63:584593:9418:195579:raw_clean,63:584593:9418:195579,1947,63,584593,9418,raw_clean,0,,2.8600145429848567,2.8600145429848567,nominal_shape,1.3141323978130317,0,-0.4919581413269043,0,0.3427634884054534,0,0.0352241061627864,0,0.3735138773918152,0,0.3846151530742645,0,0.2757731958762887,0.4381443298969072,0.27319587628865977,False,False,0,0,0,0,0,1
63:584593:9418:195579:injected_two_pulse,63:584593:9418:195579,1947,63,584593,9418,injected_two_pulse,1,B4,2.8600145429848567,2.864310998409124,nominal_shape,1.3170181684152495,0,1.1145076751708984,1,0.901401712280115,1,0.9996102452278136,1,0.7116933465003967,1,0.714419960975647,1,0.9175257731958762,0.8582474226804123,0.32216494845360827,False,False,1,0,1,2,1,0
63:584630:9455:195616:raw_clean,63:584630:9455:195616,1948,63,584630,9455,raw_clean,0,,2.398978119413009,2.398978119413009,template_mismatch,2.222321088221477,0,0.222449779510498,0,0.2830951724762114,0,0.262637048959732,0,0.814761221408844,1,0.7563897967338562,1,0.49742268041237114,0.37371134020618557,0.8015463917525774,False,False,0,1,0,1,0,0
