method,axis,stratum,n_atoms,n_pair_rows,weighted_abs_coverage_error_95,worst_undercoverage_95,mean_interval_width_ns
mlp,topology,downstream_only,3,21277,0.025955256850119842,-0.029898331307326775,11.33497641562375
pair_median,topology,B2_containing,7,43473,0.004424585374830312,-0.18706896551724128,88.67316476976609
pair_median,topology,downstream_only,3,21277,0.0008906330779714751,-0.008419243986254266,7.340133296336897
ridge,topology,B2_containing,7,43473,0.0009948703793159531,-0.061111111111111116,42.396703968080125
ridge,topology,downstream_only,3,21277,0.0027329980730365767,-0.12869415807560136,29.714371446302465
support_gated_cnn_new,topology,B2_containing,7,43473,0.005054861638258182,-0.2689655172413793,85.82522129287746
support_gated_cnn_new,topology,downstream_only,3,21277,0.026749541758706502,-0.26615120274914084,14.145471501524403
traditional_s05d_static_priors,topology,B2_containing,7,43473,0.001066179007659917,-0.06229946524064167,44.01603091409897
traditional_s05d_static_priors,topology,downstream_only,3,21277,0.003531982892324966,-0.12525773195876289,30.525066135297102
cnn_1d,b2_saturation_depth_bin,deep,1,232,0.040517241379310336,-0.04051724137931034,25.77103033507617
cnn_1d,b2_saturation_depth_bin,mild,1,9,0.061111111111111116,-0.061111111111111116,171.66800882148516
cnn_1d,b2_saturation_depth_bin,moderate,1,12,0.050000000000000044,0.050000000000000044,45.855507777260414
cnn_1d,b2_saturation_depth_bin,none,7,64497,0.0245864148720095,-0.07658857332301905,63.82833968606248
extra_trees_s05e_dynamic,b2_saturation_depth_bin,deep,1,232,0.09224137931034482,-0.09224137931034482,16.019826593430526
extra_trees_s05e_dynamic,b2_saturation_depth_bin,mild,1,9,0.061111111111111116,-0.061111111111111116,97.29695212973674
extra_trees_s05e_dynamic,b2_saturation_depth_bin,moderate,1,12,0.050000000000000044,0.050000000000000044,25.7556757242548
extra_trees_s05e_dynamic,b2_saturation_depth_bin,none,7,64497,0.001844271826596572,-0.05309278350515456,30.8702264116807
gradient_boosted_trees,b2_saturation_depth_bin,deep,1,232,0.1396551724137931,-0.1396551724137931,20.442228793600776
gradient_boosted_trees,b2_saturation_depth_bin,mild,1,9,0.061111111111111116,-0.061111111111111116,92.05138913489151
gradient_boosted_trees,b2_saturation_depth_bin,moderate,1,12,0.050000000000000044,0.050000000000000044,38.89949909874681
gradient_boosted_trees,b2_saturation_depth_bin,none,7,64497,0.00181481309208175,-0.0034759358288769526,43.71824133150087
mlp,b2_saturation_depth_bin,deep,1,232,0.1396551724137931,-0.1396551724137931,22.032447593779658
mlp,b2_saturation_depth_bin,mild,1,9,0.061111111111111116,-0.061111111111111116,168.44137962178868
mlp,b2_saturation_depth_bin,moderate,1,12,0.050000000000000044,0.050000000000000044,44.478844438925876
mlp,b2_saturation_depth_bin,none,7,64497,0.010937718033396843,-0.029898331307326775,60.07941229833989
pair_median,b2_saturation_depth_bin,deep,1,232,0.18706896551724128,-0.18706896551724128,19.938028899225802
pair_median,b2_saturation_depth_bin,mild,1,9,0.061111111111111116,-0.061111111111111116,173.38903477491692
pair_median,b2_saturation_depth_bin,moderate,1,12,0.050000000000000044,0.050000000000000044,48.08566102653339
pair_median,b2_saturation_depth_bin,none,7,64497,0.0025853915686000466,-0.008419243986254266,62.085079247597385
ridge,b2_saturation_depth_bin,deep,1,232,0.053448275862068906,-0.053448275862068906,33.07763810779342
ridge,b2_saturation_depth_bin,mild,1,9,0.061111111111111116,-0.061111111111111116,96.56493885295542
ridge,b2_saturation_depth_bin,moderate,1,12,0.033333333333333326,-0.033333333333333326,41.770960313348134
ridge,b2_saturation_depth_bin,none,7,64497,0.0013651797758035518,-0.12869415807560136,38.238991656245716
support_gated_cnn_new,b2_saturation_depth_bin,deep,1,232,0.2689655172413793,-0.2689655172413793,18.679358135086883
support_gated_cnn_new,b2_saturation_depth_bin,mild,1,9,0.061111111111111116,-0.061111111111111116,166.97572253212215
support_gated_cnn_new,b2_saturation_depth_bin,moderate,1,12,0.050000000000000044,0.050000000000000044,47.60943037461022
support_gated_cnn_new,b2_saturation_depth_bin,none,7,64497,0.01124625951594642,-0.26615120274914084,62.41600906474056
traditional_s05d_static_priors,b2_saturation_depth_bin,deep,1,232,0.0060344827586206184,-0.0060344827586206184,37.561554516822376
traditional_s05d_static_priors,b2_saturation_depth_bin,mild,1,9,0.061111111111111116,-0.061111111111111116,95.16853780153723
traditional_s05d_static_priors,b2_saturation_depth_bin,moderate,1,12,0.050000000000000044,0.050000000000000044,34.5743387762422
traditional_s05d_static_priors,b2_saturation_depth_bin,none,7,64497,0.0018442718265965531,-0.12525773195876289,39.58331479814425
cnn_1d,q_template_shift_bin,all,10,64750,0.024653281853281802,-0.07658857332301905,63.70363833115722
extra_trees_s05e_dynamic,q_template_shift_bin,all,10,64750,0.002185328185328172,-0.09224137931034482,30.82530244512285
gradient_boosted_trees,q_template_shift_bin,all,10,64750,0.002325868725868674,-0.1396551724137931,43.640668181147895
mlp,q_template_shift_bin,all,10,64750,0.011413127413127354,-0.1396551724137931,59.955260253245534
pair_median,q_template_shift_bin,all,10,64750,0.00326332046332042,-0.18706896551724128,61.94694221130813
ridge,q_template_shift_bin,all,10,64750,0.001566023166023192,-0.12869415807560136,38.22926012150309
support_gated_cnn_new,q_template_shift_bin,all,10,64750,0.012183783783783726,-0.2689655172413793,62.27108945796442
traditional_s05d_static_priors,q_template_shift_bin,all,10,64750,0.0018764478764478436,-0.12525773195876289,39.582868634584415
cnn_1d,amplitude_bin,all,10,64750,0.024653281853281802,-0.07658857332301905,63.70363833115722
extra_trees_s05e_dynamic,amplitude_bin,all,10,64750,0.002185328185328172,-0.09224137931034482,30.82530244512285
gradient_boosted_trees,amplitude_bin,all,10,64750,0.002325868725868674,-0.1396551724137931,43.640668181147895
mlp,amplitude_bin,all,10,64750,0.011413127413127354,-0.1396551724137931,59.955260253245534
pair_median,amplitude_bin,all,10,64750,0.00326332046332042,-0.18706896551724128,61.94694221130813
ridge,amplitude_bin,all,10,64750,0.001566023166023192,-0.12869415807560136,38.22926012150309
support_gated_cnn_new,amplitude_bin,all,10,64750,0.012183783783783726,-0.2689655172413793,62.27108945796442
traditional_s05d_static_priors,amplitude_bin,all,10,64750,0.0018764478764478436,-0.12525773195876289,39.582868634584415
cnn_1d,baseline_bin,low_baseline,4,63484,0.024801524793648742,-0.07658857332301905,63.60360990921692
cnn_1d,baseline_bin,nominal_baseline,6,1266,0.017219589257503977,-0.061111111111111116,68.71959752425205
extra_trees_s05e_dynamic,baseline_bin,low_baseline,4,63484,0.0015531472497006989,-0.003670360110803239,30.477305636410524
extra_trees_s05e_dynamic,baseline_bin,nominal_baseline,6,1266,0.03388625592417058,-0.09224137931034482,48.27572061597078
gradient_boosted_trees,baseline_bin,low_baseline,4,63484,0.0017138176548421118,-0.0025743396010416975,43.456220344782984
gradient_boosted_trees,baseline_bin,nominal_baseline,6,1266,0.03301737756714061,-0.1396551724137931,52.88986758382544
mlp,baseline_bin,low_baseline,4,63484,0.010960241950727681,-0.029898331307326775,59.793065607786474
mlp,baseline_bin,nominal_baseline,6,1266,0.03412322274881521,-0.1396551724137931,68.08856583959856
pair_median,baseline_bin,low_baseline,4,63484,0.0024982672799445096,-0.0037191265275750007,61.86470656461179
pair_median,baseline_bin,nominal_baseline,6,1266,0.041627172195892556,-0.18706896551724128,66.0706766464351
ridge,baseline_bin,low_baseline,4,63484,0.0004867368155756047,-0.0026315789473684292,37.75015804262999
ridge,baseline_bin,nominal_baseline,6,1266,0.05568720379146919,-0.12869415807560136,62.25399659478877
support_gated_cnn_new,baseline_bin,low_baseline,4,63484,0.010030873920987905,-0.03102493074792234,62.167532253104106
support_gated_cnn_new,baseline_bin,nominal_baseline,6,1266,0.12014218009478675,-0.2689655172413793,67.46400066914289
traditional_s05d_static_priors,baseline_bin,low_baseline,4,63484,0.0008632096276226746,-0.0019946955464691385,39.20627522590572
traditional_s05d_static_priors,baseline_bin,nominal_baseline,6,1266,0.052685624012638224,-0.12525773195876289,58.46727302365076
cnn_1d,pileup_bin,not_pileup_like,8,64393,0.02471308993213543,-0.07658857332301905,63.11674656320851
cnn_1d,pileup_bin,pileup_like,2,357,0.013865546218487455,-0.061111111111111116,169.56280251469093
extra_trees_s05e_dynamic,pileup_bin,not_pileup_like,8,64393,0.0021795847374714507,-0.09224137931034482,30.265770376448184
extra_trees_s05e_dynamic,pileup_bin,pileup_like,2,357,0.003221288515406112,-0.061111111111111116,131.7495279301872
gradient_boosted_trees,pileup_bin,not_pileup_like,8,64393,0.0023240103737983417,-0.1396551724137931,43.18687779368703
gradient_boosted_trees,pileup_bin,pileup_like,2,357,0.002661064425770383,-0.061111111111111116,125.49199708805766
mlp,pileup_bin,not_pileup_like,8,64393,0.01141506064323756,-0.1396551724137931,59.375398129501775
mlp,pileup_bin,pileup_like,2,357,0.01106442577030816,-0.061111111111111116,164.5464695928309
pair_median,pileup_bin,not_pileup_like,8,64393,0.0031890112279284576,-0.18706896551724128,61.33972936414039
pair_median,pileup_bin,pileup_like,2,357,0.016666666666666753,-0.061111111111111116,171.47147125240704
ridge,pileup_bin,not_pileup_like,8,64393,0.0015288928920845694,-0.12869415807560136,37.62377959140139
ridge,pileup_bin,pileup_like,2,357,0.008263305322128864,-0.061111111111111116,147.44132671769054
support_gated_cnn_new,pileup_bin,not_pileup_like,8,64393,0.012112341403568653,-0.2689655172413793,61.67559181805338
support_gated_cnn_new,pileup_bin,pileup_like,2,357,0.025070028011204528,-0.061111111111111116,169.68251670387977
traditional_s05d_static_priors,pileup_bin,not_pileup_like,8,64393,0.001809979345581008,-0.12525773195876289,39.03707436047898
traditional_s05d_static_priors,pileup_bin,pileup_like,2,357,0.013865546218487455,-0.061111111111111116,138.02917309528917
