heldout_run,method,family,baseline,n_events,n_pair_residuals,sigma68_ns,full_rms_ns,abs_residual_p95_ns,tail_frac_vs_traditional_p95,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
60,hgb_no_samples_0_3,ml,s02b_global_template_timewalk,649,1947,1.22128791344733,1.565705218740291,2.708346559715034,0.029789419619928096,1.1599542495917616,1.2875367517383662,-0.2260355333913604,-0.3124213363227618,-0.15207132508834537
60,hgb_full,ml,s02b_global_template_timewalk,649,1947,1.2468055670920644,1.566756691879164,2.658709008637859,0.028762198253723677,1.1797989202936001,1.300610645197024,-0.20051787974662605,-0.2983095133716775,-0.1412544914795085
60,mlp_only_samples_0_3,ml,s02b_global_template_timewalk,649,1947,1.26085434429876,1.6894103551132071,2.6942169866786227,0.03133025166923472,1.1936525784978183,1.336435996401066,-0.18646910253993032,-0.26454420190221906,-0.12557956694976702
60,hgb_only_samples_0_3,ml,s02b_global_template_timewalk,649,1947,1.296289906889446,1.6495077569485543,2.8068331671120372,0.03287108371854135,1.2420742948815462,1.3920749349978556,-0.1510335399492444,-0.24107097863572965,-0.05977258848887691
60,hgb_run_family_control,run_family_control,s02b_global_template_timewalk,649,1947,1.3304474268666624,1.6987426737038924,2.8506576678567934,0.036466358500256806,1.275776544400913,1.3959663945891794,-0.11687601997202801,-0.2070643221102689,-0.04509315225574673
60,mlp_no_samples_0_3,ml,s02b_global_template_timewalk,649,1947,1.3386864485739995,1.6906087901110483,2.699518908197434,0.03287108371854135,1.276522732313263,1.3936715004947717,-0.10863699826469086,-0.19475132770370523,-0.04974259613650698
60,early_late_gated_only_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,649,1947,1.436160579798184,1.8341208114347969,2.965064945716189,0.04725218284540318,1.383777637344457,1.4956514264779426,-0.011162867040506397,-0.0451723595911738,0.0005217285445328245
60,mlp_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,649,1947,1.4369904284615471,1.8437190998572741,2.9940974775150195,0.04879301489470981,1.3912678818880269,1.4968841574429503,-0.010333018377143288,-0.02790290082785914,-0.0005346264873957985
60,cnn1d_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,649,1947,1.4397226671310464,1.8441381717071361,3.0726541822356976,0.05290190035952748,1.3810577544277995,1.506641941056664,-0.007600779707644056,-0.04352461967952468,0.01355426741865402
60,s02b_global_template_timewalk,traditional,s02b_global_template_timewalk,649,1947,1.4473234468386904,1.8444814246998906,3.020170423146146,0.050333846944016436,1.402455455035173,1.523849947689033,0.0,0.0,0.0
60,ridge_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,649,1947,1.4491368236999178,1.84260988387512,2.9896171699430814,0.04879301489470981,1.386562856846575,1.5093270461718953,0.0018133768612274004,-0.03303947201297894,0.021130506615069433
60,early_late_gated_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,649,1947,1.4531623451169433,1.8330421894516358,3.0115905088112984,0.049820236260914225,1.398169569577847,1.5113849996950177,0.005838898278252902,-0.025065831943395338,0.020597178671675678
60,mlp_no_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,649,1947,1.4568735906175496,1.8492330709154088,3.0145163386239604,0.049820236260914225,1.4104895128977533,1.5246824324141317,0.00955014377885921,-0.01511636105337319,0.028289737959729937
60,mlp_only_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,649,1947,1.4597445972241627,1.8486610047581689,3.005188912044612,0.049820236260914225,1.411870022233797,1.5226105938714625,0.012421150385472313,-0.007966615660633686,0.020982397387862724
60,ridge_only_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,649,1947,1.4597455035477154,1.851830513063012,3.0181914683929074,0.050333846944016436,1.3926002968328077,1.5379269479329025,0.012422056709024965,-0.02024757448811885,0.03471215532001763
60,ridge_no_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,649,1947,1.4597533964225071,1.85083066124908,3.0299035966471606,0.05084745762711865,1.4144876526408,1.520642083165253,0.012429949583816713,-0.016719732909167728,0.025596748650541987
60,hgb_only_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,649,1947,1.476208612258192,1.8683664471057433,3.039227791569097,0.05136106831022085,1.432890922344229,1.5371221803695965,0.0288851654195017,-0.01430508793307066,0.05987937777897515
60,early_late_gated_no_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,649,1947,1.4883568808849992,1.866394993984553,3.081563971280652,0.05341551104262968,1.4198137993172006,1.5414308537537982,0.04103343404630877,0.0014616364233511537,0.05365270701168411
60,cnn1d_full,ml,s02b_global_template_timewalk,649,1947,1.4891707458213266,1.8158947902103473,3.057995581019994,0.053929121725731895,1.4159832046577667,1.565786041195632,0.04184729898263617,-0.06354296351759602,0.11601268139852106
60,cnn1d_only_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,649,1947,1.4990332756228189,1.861681589505841,3.0716177128862188,0.05341551104262968,1.4468925034191975,1.5729735300002017,0.05170982878412844,0.03033051630123771,0.0681268459178464
60,cnn1d_only_samples_0_3,ml,s02b_global_template_timewalk,649,1947,1.4993592924388475,1.8142657805995575,3.1409293286593725,0.05855161787365177,1.431918697254093,1.5779701768371592,0.05203584560015706,-0.03408370479758261,0.13403414164772706
60,hgb_no_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,649,1947,1.5068714034823938,1.8882991502608544,3.0869980527786547,0.05341551104262968,1.4566151899661173,1.5702687948379825,0.05954795664370338,0.0173248820058517,0.08857719592274044
60,hgb_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,649,1947,1.50857746722546,1.8767953746675814,3.0223644399569194,0.05084745762711865,1.458475539597019,1.5724223920601441,0.061254020386769525,0.01433047270626761,0.09111667432185727
60,early_late_gated_full,ml,s02b_global_template_timewalk,649,1947,1.5103575946276961,1.8271589828006518,3.0175799829078156,0.04930662557781202,1.4423798705303026,1.5790415390073766,0.06303414778900573,-0.03179152072949158,0.1410664485682805
