method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,table,candidate,alpha,fold,n_features,feature,coefficient_ns_per_raw_unit,standardized_coefficient_ns,analytic_candidate,analytic_alpha,heldout_run,model,target_rmse_ns,variant,n_train_pulses,feature_policy,feature_set_sha256,max_iter,hidden,channels
template_phase,2.0,heldout,219.0,-3.807085546556088,2.6428031039120548,3.543970158355157,0.0776255707762557,0.8960284820863262,4.517988351741272,traditional_scan,,,,,,,,,,58,,,,,,,,,
of_1_9,2.0,train,11241.0,-3.275691101073207,3.408950315456943,3.82585751498904,0.1579930611155591,169.9367735673292,15.138916911501232,traditional_scan,,,,,,,,,,58,,,,,,,,,
of_1_9,2.0,heldout,219.0,-2.7254299704992917,3.787073076585547,3.8436762889382075,0.2191780821917808,147.27750175076315,1.310775888934887,traditional_scan,,,,,,,,,,58,,,,,,,,,
of_2_10,2.0,train,11241.0,-3.4169277757412715,3.4530525013568223,3.867925437799859,0.16377546481629748,116.90921766550764,14.458587097283612,traditional_scan,,,,,,,,,,58,,,,,,,,,
of_2_10,2.0,heldout,219.0,-2.8119158217956084,4.1277865578322155,4.114774514145117,0.228310502283105,0.33396327433500256,1.7406681270563569,traditional_scan,,,,,,,,,,58,,,,,,,,,
of_3_11,2.0,train,11241.0,-3.5912125935204813,3.4329308867688577,3.877314289969081,0.16377546481629748,6.387514108963451,14.478969027870594,traditional_scan,,,,,,,,,,58,,,,,,,,,
of_3_11,2.0,heldout,219.0,-3.4036542039113584,3.799286121279896,4.056331067482309,0.1689497716894977,0.5934065423506967,1.4797520696619983,traditional_scan,,,,,,,,,,58,,,,,,,,,
of_4_12,2.0,train,11241.0,-3.6264520355216376,3.3638287975829777,4.016044994111914,0.16377546481629748,142.27210100405895,11.834839443786109,traditional_scan,,,,,,,,,,58,,,,,,,,,
of_4_12,2.0,heldout,219.0,-3.247545121356488,3.1982519114302943,4.2456646994082865,0.1598173515981735,2.1660125855258046,1.3126753355917766,traditional_scan,,,,,,,,,,58,,,,,,,,,
,,,2997.0,,2.1121381469353757,,,,,analytic_cv,amp_only,0.0,0.0,6.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.3627183983693998,,,,,analytic_cv,amp_only,0.0,1.0,6.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.3750005998963033,,,,,analytic_cv,amp_only,0.0,2.0,6.0,,,,,,58,,,,,,,,,
,,,0.0,,1.6166190484003595,,,,,analytic_cv,amp_only,0.0,-1.0,6.0,,,,,,58,,,,,,,,,
,,,2997.0,,2.1094853336862256,,,,,analytic_cv,amp_only,0.01,0.0,6.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.3629660442030622,,,,,analytic_cv,amp_only,0.01,1.0,6.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.375433424927048,,,,,analytic_cv,amp_only,0.01,2.0,6.0,,,,,,58,,,,,,,,,
,,,0.0,,1.6159616009387785,,,,,analytic_cv,amp_only,0.01,-1.0,6.0,,,,,,58,,,,,,,,,
,,,2997.0,,2.1069396537927316,,,,,analytic_cv,amp_only,0.1,0.0,6.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.3633954870649796,,,,,analytic_cv,amp_only,0.1,1.0,6.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.3747899597288828,,,,,analytic_cv,amp_only,0.1,2.0,6.0,,,,,,58,,,,,,,,,
,,,0.0,,1.6150417001955315,,,,,analytic_cv,amp_only,0.1,-1.0,6.0,,,,,,58,,,,,,,,,
,,,2997.0,,2.1109655096414413,,,,,analytic_cv,amp_only,1.0,0.0,6.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.379677454793276,,,,,analytic_cv,amp_only,1.0,1.0,6.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.4203893932851956,,,,,analytic_cv,amp_only,1.0,2.0,6.0,,,,,,58,,,,,,,,,
,,,0.0,,1.6370107859066376,,,,,analytic_cv,amp_only,1.0,-1.0,6.0,,,,,,58,,,,,,,,,
,,,2997.0,,2.1008577099035497,,,,,analytic_cv,amp_only,10.0,0.0,6.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.374014550682853,,,,,analytic_cv,amp_only,10.0,1.0,6.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.4439956764566717,,,,,analytic_cv,amp_only,10.0,2.0,6.0,,,,,,58,,,,,,,,,
,,,0.0,,1.639622645681025,,,,,analytic_cv,amp_only,10.0,-1.0,6.0,,,,,,58,,,,,,,,,
,,,2997.0,,2.070948021628114,,,,,analytic_cv,amp_only,100.0,0.0,6.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.312389246288859,,,,,analytic_cv,amp_only,100.0,1.0,6.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.3992276237939008,,,,,analytic_cv,amp_only,100.0,2.0,6.0,,,,,,58,,,,,,,,,
,,,0.0,,1.5941882972369579,,,,,analytic_cv,amp_only,100.0,-1.0,6.0,,,,,,58,,,,,,,,,
,,,2997.0,,2.0619749970082863,,,,,analytic_cv,amp_rise_shape,0.0,0.0,14.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.3731399195611864,,,,,analytic_cv,amp_rise_shape,0.0,1.0,14.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.4154505471212695,,,,,analytic_cv,amp_rise_shape,0.0,2.0,14.0,,,,,,58,,,,,,,,,
,,,0.0,,1.6168551545635808,,,,,analytic_cv,amp_rise_shape,0.0,-1.0,14.0,,,,,,58,,,,,,,,,
,,,2997.0,,2.0619575874994616,,,,,analytic_cv,amp_rise_shape,0.01,0.0,14.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.3716692838644091,,,,,analytic_cv,amp_rise_shape,0.01,1.0,14.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.4150749920356445,,,,,analytic_cv,amp_rise_shape,0.01,2.0,14.0,,,,,,58,,,,,,,,,
,,,0.0,,1.6162339544665052,,,,,analytic_cv,amp_rise_shape,0.01,-1.0,14.0,,,,,,58,,,,,,,,,
,,,2997.0,,2.058541278063389,,,,,analytic_cv,amp_rise_shape,0.1,0.0,14.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.3737419883201578,,,,,analytic_cv,amp_rise_shape,0.1,1.0,14.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.410897979567081,,,,,analytic_cv,amp_rise_shape,0.1,2.0,14.0,,,,,,58,,,,,,,,,
,,,0.0,,1.6143937486502093,,,,,analytic_cv,amp_rise_shape,0.1,-1.0,14.0,,,,,,58,,,,,,,,,
,,,2997.0,,2.0585647571513066,,,,,analytic_cv,amp_rise_shape,1.0,0.0,14.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.3755111993428815,,,,,analytic_cv,amp_rise_shape,1.0,1.0,14.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.423332898971222,,,,,analytic_cv,amp_rise_shape,1.0,2.0,14.0,,,,,,58,,,,,,,,,
,,,0.0,,1.6191362851551367,,,,,analytic_cv,amp_rise_shape,1.0,-1.0,14.0,,,,,,58,,,,,,,,,
,,,2997.0,,2.0501519244704083,,,,,analytic_cv,amp_rise_shape,10.0,0.0,14.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.3861459411651316,,,,,analytic_cv,amp_rise_shape,10.0,1.0,14.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.4433737300290885,,,,,analytic_cv,amp_rise_shape,10.0,2.0,14.0,,,,,,58,,,,,,,,,
,,,0.0,,1.6265571985548763,,,,,analytic_cv,amp_rise_shape,10.0,-1.0,14.0,,,,,,58,,,,,,,,,
,,,2997.0,,2.0329624740636767,,,,,analytic_cv,amp_rise_shape,100.0,0.0,14.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.3488171374342763,,,,,analytic_cv,amp_rise_shape,100.0,1.0,14.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.4242318913080747,,,,,analytic_cv,amp_rise_shape,100.0,2.0,14.0,,,,,,58,,,,,,,,,
,,,0.0,,1.602003834268676,,,,,analytic_cv,amp_rise_shape,100.0,-1.0,14.0,,,,,,58,,,,,,,,,
,,,2997.0,,2.2224835322505387,,,,,analytic_cv,amp_rise_shape_by_stave,0.0,0.0,47.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.4782798528530199,,,,,analytic_cv,amp_rise_shape_by_stave,0.0,1.0,47.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.544319192472812,,,,,analytic_cv,amp_rise_shape_by_stave,0.0,2.0,47.0,,,,,,58,,,,,,,,,
,,,0.0,,1.7483608591921236,,,,,analytic_cv,amp_rise_shape_by_stave,0.0,-1.0,47.0,,,,,,58,,,,,,,,,
,,,2997.0,,2.2255974255132034,,,,,analytic_cv,amp_rise_shape_by_stave,0.01,0.0,47.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.479419972135286,,,,,analytic_cv,amp_rise_shape_by_stave,0.01,1.0,47.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.5613542355568137,,,,,analytic_cv,amp_rise_shape_by_stave,0.01,2.0,47.0,,,,,,58,,,,,,,,,
,,,0.0,,1.7554572110684343,,,,,analytic_cv,amp_rise_shape_by_stave,0.01,-1.0,47.0,,,,,,58,,,,,,,,,
,,,2997.0,,2.2283920615509536,,,,,analytic_cv,amp_rise_shape_by_stave,0.1,0.0,47.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.4763482706343953,,,,,analytic_cv,amp_rise_shape_by_stave,0.1,1.0,47.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.5694214963871587,,,,,analytic_cv,amp_rise_shape_by_stave,0.1,2.0,47.0,,,,,,58,,,,,,,,,
,,,0.0,,1.7580539428575026,,,,,analytic_cv,amp_rise_shape_by_stave,0.1,-1.0,47.0,,,,,,58,,,,,,,,,
,,,2997.0,,2.220819520283992,,,,,analytic_cv,amp_rise_shape_by_stave,1.0,0.0,47.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.4407521307380566,,,,,analytic_cv,amp_rise_shape_by_stave,1.0,1.0,47.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.5351435711164358,,,,,analytic_cv,amp_rise_shape_by_stave,1.0,2.0,47.0,,,,,,58,,,,,,,,,
,,,0.0,,1.732238407379495,,,,,analytic_cv,amp_rise_shape_by_stave,1.0,-1.0,47.0,,,,,,58,,,,,,,,,
,,,2997.0,,2.187784830328063,,,,,analytic_cv,amp_rise_shape_by_stave,10.0,0.0,47.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.4384078647067535,,,,,analytic_cv,amp_rise_shape_by_stave,10.0,1.0,47.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.5162347032883903,,,,,analytic_cv,amp_rise_shape_by_stave,10.0,2.0,47.0,,,,,,58,,,,,,,,,
,,,0.0,,1.7141424661077356,,,,,analytic_cv,amp_rise_shape_by_stave,10.0,-1.0,47.0,,,,,,58,,,,,,,,,
,,,2997.0,,2.156685960065417,,,,,analytic_cv,amp_rise_shape_by_stave,100.0,0.0,47.0,,,,,,58,,,,,,,,,
,,,3534.0,,1.4395567332409176,,,,,analytic_cv,amp_rise_shape_by_stave,100.0,1.0,47.0,,,,,,58,,,,,,,,,
,,,4710.0,,1.5228021528304858,,,,,analytic_cv,amp_rise_shape_by_stave,100.0,2.0,47.0,,,,,,58,,,,,,,,,
,,,0.0,,1.7063482820456066,,,,,analytic_cv,amp_rise_shape_by_stave,100.0,-1.0,47.0,,,,,,58,,,,,,,,,
,,,,,,,,,,analytic_coefficients,,,,,stave_B4,-4.2190059226054615,-1.9888584651603254,,,58,,,,,,,,,
,,,,,,,,,,analytic_coefficients,,,,,stave_B6,2.4309784083477277,1.14597421164049,,,58,,,,,,,,,
,,,,,,,,,,analytic_coefficients,,,,,log_amp,-2.5746586533136875,-0.8449228881837207,,,58,,,,,,,,,
,,,,,,,,,,analytic_coefficients,,,,,stave_B8,1.7880275142601756,0.8428842535209862,,,58,,,,,,,,,
,,,,,,,,,,analytic_coefficients,,,,,inv_amp_1000,-4.634330634470754,-0.642728749154338,,,58,,,,,,,,,
,,,,,,,,,,analytic_coefficients,,,,,inv_sqrt_amp_1000,-0.606075447556517,-0.06325029483360833,,,58,,,,,,,,,
,,,,,,,,,,analytic_choice,,,,,,,,amp_only,100.0,58,,,,,,,,,
,,,,,,,,,,,,0.01,0.0,,,,,,,58,ridge,2.825397375471215,waveform_only,,,,,,
,,,,,,,,,,,,0.01,1.0,,,,,,,58,ridge,2.354087435265398,waveform_only,,,,,,
,,,,,,,,,,,,0.01,2.0,,,,,,,58,ridge,2.3845551059440955,waveform_only,,,,,,
,,,,,,,,,,,,0.01,-1.0,,,,,,,58,ridge,2.52134663889357,waveform_only,,,,,,
,,,,,,,,,,,,0.1,0.0,,,,,,,58,ridge,2.8253954817202325,waveform_only,,,,,,
,,,,,,,,,,,,0.1,1.0,,,,,,,58,ridge,2.3540158671036386,waveform_only,,,,,,
,,,,,,,,,,,,0.1,2.0,,,,,,,58,ridge,2.384521610452712,waveform_only,,,,,,
,,,,,,,,,,,,0.1,-1.0,,,,,,,58,ridge,2.5213109864255276,waveform_only,,,,,,
,,,,,,,,,,,,1.0,0.0,,,,,,,58,ridge,2.825383802169375,waveform_only,,,,,,
,,,,,,,,,,,,1.0,1.0,,,,,,,58,ridge,2.3533507420223003,waveform_only,,,,,,
,,,,,,,,,,,,1.0,2.0,,,,,,,58,ridge,2.384211958020569,waveform_only,,,,,,
,,,,,,,,,,,,1.0,-1.0,,,,,,,58,ridge,2.5209821674040813,waveform_only,,,,,,
,,,,,,,,,,,,10.0,0.0,,,,,,,58,ridge,2.825661730088325,waveform_only,,,,,,
,,,,,,,,,,,,10.0,1.0,,,,,,,58,ridge,2.3490311103974193,waveform_only,,,,,,
,,,,,,,,,,,,10.0,2.0,,,,,,,58,ridge,2.3823998985179937,waveform_only,,,,,,
,,,,,,,,,,,,10.0,-1.0,,,,,,,58,ridge,2.519030913001246,waveform_only,,,,,,
,,,,,,,,,,,,100.0,0.0,,,,,,,58,ridge,2.8310027054170344,waveform_only,,,,,,
,,,,,,,,,,,,100.0,1.0,,,,,,,58,ridge,2.3399363396047144,waveform_only,,,,,,
,,,,,,,,,,,,100.0,2.0,,,,,,,58,ridge,2.381223763775769,waveform_only,,,,,,
,,,,,,,,,,,,100.0,-1.0,,,,,,,58,ridge,2.517387602932506,waveform_only,,,,,,
,,,,,,,,,,,,0.01,0.0,,,,,,,58,ridge,2.220218205504591,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,0.01,1.0,,,,,,,58,ridge,1.9817171438955603,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,0.01,2.0,,,,,,,58,ridge,2.030792644402665,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,0.01,-1.0,,,,,,,58,ridge,2.077575997934272,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,0.1,0.0,,,,,,,58,ridge,2.220198549279776,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,0.1,1.0,,,,,,,58,ridge,1.9816772320704226,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,0.1,2.0,,,,,,,58,ridge,2.0307899209891516,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,0.1,-1.0,,,,,,,58,ridge,2.0775552341131167,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,1.0,0.0,,,,,,,58,ridge,2.2200168724171867,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,1.0,1.0,,,,,,,58,ridge,1.9813021852737485,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,1.0,2.0,,,,,,,58,ridge,2.0307643894209204,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,1.0,-1.0,,,,,,,58,ridge,2.0773611490372854,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,10.0,0.0,,,,,,,58,ridge,2.219150899393917,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,10.0,1.0,,,,,,,58,ridge,1.978737349245843,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,10.0,2.0,,,,,,,58,ridge,2.0305887343156073,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,10.0,-1.0,,,,,,,58,ridge,2.076158994318456,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,100.0,0.0,,,,,,,58,ridge,2.220549665095725,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,100.0,1.0,,,,,,,58,ridge,1.971201580292192,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,100.0,2.0,,,,,,,58,ridge,2.029597432580665,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,100.0,-1.0,,,,,,,58,ridge,2.073782892656194,waveform_stave_onehot,,,,,,
,,,,,,,,,,,,0.01,0.0,,,,,,,58,ridge,2.814226840378428,waveform_amp_shape,,,,,,
,,,,,,,,,,,,0.01,1.0,,,,,,,58,ridge,2.234867375286342,waveform_amp_shape,,,,,,
,,,,,,,,,,,,0.01,2.0,,,,,,,58,ridge,2.341965632301572,waveform_amp_shape,,,,,,
,,,,,,,,,,,,0.01,-1.0,,,,,,,58,ridge,2.4636866159887805,waveform_amp_shape,,,,,,
,,,,,,,,,,,,0.1,0.0,,,,,,,58,ridge,2.8139033770422985,waveform_amp_shape,,,,,,
,,,,,,,,,,,,0.1,1.0,,,,,,,58,ridge,2.235159006258351,waveform_amp_shape,,,,,,
,,,,,,,,,,,,0.1,2.0,,,,,,,58,ridge,2.341657704513826,waveform_amp_shape,,,,,,
,,,,,,,,,,,,0.1,-1.0,,,,,,,58,ridge,2.463573362604825,waveform_amp_shape,,,,,,
,,,,,,,,,,,,1.0,0.0,,,,,,,58,ridge,2.8136790167054677,waveform_amp_shape,,,,,,
,,,,,,,,,,,,1.0,1.0,,,,,,,58,ridge,2.2362433716214487,waveform_amp_shape,,,,,,
,,,,,,,,,,,,1.0,2.0,,,,,,,58,ridge,2.3411398074672816,waveform_amp_shape,,,,,,
,,,,,,,,,,,,1.0,-1.0,,,,,,,58,ridge,2.463687398598066,waveform_amp_shape,,,,,,
,,,,,,,,,,,,10.0,0.0,,,,,,,58,ridge,2.8174124702449,waveform_amp_shape,,,,,,
,,,,,,,,,,,,10.0,1.0,,,,,,,58,ridge,2.2365931464586795,waveform_amp_shape,,,,,,
,,,,,,,,,,,,10.0,2.0,,,,,,,58,ridge,2.336910225638374,waveform_amp_shape,,,,,,
,,,,,,,,,,,,10.0,-1.0,,,,,,,58,ridge,2.463638614113984,waveform_amp_shape,,,,,,
,,,,,,,,,,,,100.0,0.0,,,,,,,58,ridge,2.8354460171429032,waveform_amp_shape,,,,,,
,,,,,,,,,,,,100.0,1.0,,,,,,,58,ridge,2.2391942211910414,waveform_amp_shape,,,,,,
,,,,,,,,,,,,100.0,2.0,,,,,,,58,ridge,2.3251894170604475,waveform_amp_shape,,,,,,
,,,,,,,,,,,,100.0,-1.0,,,,,,,58,ridge,2.466609885131464,waveform_amp_shape,,,,,,
,,,,,,,,,,,,0.01,0.0,,,,,,,58,ridge,2.3721108710229566,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,0.01,1.0,,,,,,,58,ridge,1.9426058296639948,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,0.01,2.0,,,,,,,58,ridge,2.015324821176888,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,0.01,-1.0,,,,,,,58,ridge,2.1100138406212796,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,0.1,0.0,,,,,,,58,ridge,2.3721298576010446,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,0.1,1.0,,,,,,,58,ridge,1.9431842576713685,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,0.1,2.0,,,,,,,58,ridge,2.0136559213375684,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,0.1,-1.0,,,,,,,58,ridge,2.1096566788699938,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,1.0,0.0,,,,,,,58,ridge,2.37341915514346,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,1.0,1.0,,,,,,,58,ridge,1.9461808614162324,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,1.0,2.0,,,,,,,58,ridge,2.012380456414601,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,1.0,-1.0,,,,,,,58,ridge,2.110660157658098,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,10.0,0.0,,,,,,,58,ridge,2.3754715053596875,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,10.0,1.0,,,,,,,58,ridge,1.9469377206697056,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,10.0,2.0,,,,,,,58,ridge,2.012770153032804,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,10.0,-1.0,,,,,,,58,ridge,2.111726459687399,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,100.0,0.0,,,,,,,58,ridge,2.3767968165181146,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,100.0,1.0,,,,,,,58,ridge,1.942451737633448,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,100.0,2.0,,,,,,,58,ridge,2.011287353611773,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,100.0,-1.0,,,,,,,58,ridge,2.110178635921112,waveform_amp_shape_stave,,,,,,
,,,,,,,,,,,,100.0,,19.0,,,,,,58,ridge,,waveform_only,11241.0,"18 normalized same-pulse waveform samples only; no run, event id, event order, stave id, amplitude scalar, other-stave time, or held-out target",1dd9aa193d718a970ca0a7dbc196ddd14b04ed1217a485a1ae278e70b475482e,,,
,,,,,,,,,,,,,,19.0,,,,,,58,hgb,,waveform_only,11241.0,"18 normalized same-pulse waveform samples only; no run, event id, event order, stave id, amplitude scalar, other-stave time, or held-out target",1dd9aa193d718a970ca0a7dbc196ddd14b04ed1217a485a1ae278e70b475482e,80.0,,
,,,,,,,,,,,,,,19.0,,,,,,58,mlp,,waveform_only,11241.0,"18 normalized same-pulse waveform samples only; no run, event id, event order, stave id, amplitude scalar, other-stave time, or held-out target",1dd9aa193d718a970ca0a7dbc196ddd14b04ed1217a485a1ae278e70b475482e,,32.0,
,,,,,,,,,,,,,,19.0,,,,,,58,cnn1d,,waveform_only,11241.0,"18 normalized same-pulse waveform samples only; no run, event id, event order, stave id, amplitude scalar, other-stave time, or held-out target",1dd9aa193d718a970ca0a7dbc196ddd14b04ed1217a485a1ae278e70b475482e,,,8.0
,,,,,,,,,,,,,,19.0,,,,,,58,feature_gated,,waveform_only,11241.0,"18 normalized same-pulse waveform samples only; no run, event id, event order, stave id, amplitude scalar, other-stave time, or held-out target",1dd9aa193d718a970ca0a7dbc196ddd14b04ed1217a485a1ae278e70b475482e,,24.0,
,,,,,,,,,,,,100.0,,21.0,,,,,,58,ridge,,waveform_stave_onehot,11241.0,"same as waveform_only, except explicit downstream stave one-hot is intentionally included",cbf03c9a9ad8c9f415612c044d28da4811f6dfbc37f300acd65a1bd92b884a17,,,
,,,,,,,,,,,,,,21.0,,,,,,58,hgb,,waveform_stave_onehot,11241.0,"same as waveform_only, except explicit downstream stave one-hot is intentionally included",cbf03c9a9ad8c9f415612c044d28da4811f6dfbc37f300acd65a1bd92b884a17,80.0,,
,,,,,,,,,,,,,,21.0,,,,,,58,mlp,,waveform_stave_onehot,11241.0,"same as waveform_only, except explicit downstream stave one-hot is intentionally included",cbf03c9a9ad8c9f415612c044d28da4811f6dfbc37f300acd65a1bd92b884a17,,32.0,
,,,,,,,,,,,,,,21.0,,,,,,58,cnn1d,,waveform_stave_onehot,11241.0,"same as waveform_only, except explicit downstream stave one-hot is intentionally included",cbf03c9a9ad8c9f415612c044d28da4811f6dfbc37f300acd65a1bd92b884a17,,,8.0
,,,,,,,,,,,,,,21.0,,,,,,58,feature_gated,,waveform_stave_onehot,11241.0,"same as waveform_only, except explicit downstream stave one-hot is intentionally included",cbf03c9a9ad8c9f415612c044d28da4811f6dfbc37f300acd65a1bd92b884a17,,24.0,
,,,,,,,,,,,,0.1,,29.0,,,,,,58,ridge,,waveform_amp_shape,11241.0,"same-pulse waveform plus amplitude and shape summaries; no run, event id, event order, stave id, other-stave time, or held-out target",4832d5f233dfabc3ec99b70743a809b087adb570d4691ed52d742efdd2ed9307,,,
,,,,,,,,,,,,,,29.0,,,,,,58,hgb,,waveform_amp_shape,11241.0,"same-pulse waveform plus amplitude and shape summaries; no run, event id, event order, stave id, other-stave time, or held-out target",4832d5f233dfabc3ec99b70743a809b087adb570d4691ed52d742efdd2ed9307,80.0,,
,,,,,,,,,,,,,,29.0,,,,,,58,mlp,,waveform_amp_shape,11241.0,"same-pulse waveform plus amplitude and shape summaries; no run, event id, event order, stave id, other-stave time, or held-out target",4832d5f233dfabc3ec99b70743a809b087adb570d4691ed52d742efdd2ed9307,,32.0,
