run,event,stave,channel,baseline,amplitude,duplicate_amplitude,peak_sample,area,positive_area,tail_fraction,pretrigger_slope,cfd20_sample,cfd50_sample,cfd80_sample,rise_time_sample,late_peak_sample,pileup_separation_sample,late_peak_prominence,flat_top_samples,w00,w01,w02,w03,w04,w05,w06,w07,w08,w09,w10,w11,w12,w13,w14,w15,w16,w17,target_onset_residual_ns,raw_cfd50_residual_ns,split,energy_bin,pedestal_drift_abs,pedestal_drift_bin,pulse_shape_class,pileup_separation_bin,saturation_onset_bin,pid_sideband,target_timing_ns,target_log_amp_residual,target_energy_residual,pid_identity_label,pid_low_sideband,pedestal_memory_score
31,14797,B2,0,6747.0,7577.0,5.0,6,59310.0,59317.0,0.3386213058650977,2.0,4.003750966744006,4.443252126836813,4.882753286929621,0.8790023201856147,9,3,0.584268180018477,1,0.00039593506664906955,-0.0005279134221987594,-0.00039593506664906955,0.0006598917777484492,0.19743961990233602,0.880031674805332,1.0,0.8139105186749374,0.5638115349082751,0.584268180018477,0.5676389072192161,0.5694866041969117,0.4862082618450574,0.4241784347367032,0.4045136597597994,0.4264220667810479,0.4771017553121288,0.4324930711363336,3.0637543835789316,0.8752744662879586,train,q4_high,4.0,low,nominal,close,near_saturation,low_duplicate,3.0637543835789316,0.06490830372652212,-0.2089795827862293,0,1,60.0
31,11496,B2,0,6745.0,6523.0,0.5,7,53204.0,53208.0,0.3718237858968576,4.0,4.454636785162288,5.151108033240997,5.693185595567867,1.2385488104055788,9,2,0.6592058868618734,1,-0.0006132147784761613,0.0,0.00015330369461904033,0.0,0.01962287291123716,0.4163728345853135,0.9697991721600491,1.0,0.7970259083243906,0.6592058868618734,0.638663191782922,0.6231795186263989,0.5972711942357811,0.5293576575195462,0.48520619346926264,0.4510194695692166,0.5146405028361184,0.4554652767131688,7.572612567761752,7.953833530329799,train,q4_high,6.0,low,nominal,close,near_saturation,low_duplicate,7.572612567761752,-0.08485332411111912,0.1197539180730871,0,1,102.0
31,912,B2,0,6734.0,6540.0,3.5,6,54375.0,54380.0,0.3559212945936006,1.0,4.132486388384755,4.577586206896552,5.0710227272727275,0.9385363388879728,9,3,0.6470948012232416,1,0.0003058103975535168,-0.00045871559633027525,-0.0003058103975535168,0.00045871559633027525,0.11070336391437309,0.7847094801223241,1.0,0.872782874617737,0.6720183486238532,0.6470948012232416,0.6356269113149847,0.6318042813455658,0.5536697247706422,0.5027522935779817,0.47889908256880737,0.48577981651376145,0.5368501529051988,0.40152905198776756,4.35110859998642,2.218615266885342,train,q4_high,17.0,mid,nominal,close,near_saturation,low_duplicate,4.35110859998642,-0.0822509498908115,0.2776043330479041,0,1,165.0
31,14048,B2,0,6743.0,7556.0,114.0,6,62588.0,62594.0,0.3218519346902259,230.0,3.3456597688793335,3.954850846546627,4.593384223918575,1.2477244550392412,9,3,0.5927739544732663,2,-0.0006617257808364214,-0.00013234515616728428,0.00013234515616728428,0.029777660137638964,0.5222339862361037,0.9903388035997882,1.0,0.7587347803070408,0.6147432503970355,0.5927739544732663,0.5667019587083113,0.542350449973531,0.4621492853361567,0.42734250926416095,0.3939915299100053,0.45076760190577025,0.48438327157226047,0.44759131815775544,-3.5171575950677925,-4.008738336613904,train,q4_high,8.0,low,nominal,close,near_saturation,central,-3.5171575950677925,0.06213327716869621,0.24660278375965383,0,0,2832.0
31,10120,B2,0,6739.0,1247.0,26.0,7,9125.0,9131.0,0.1697513963421312,54.0,3.5894117647058823,4.466202783300199,5.357966101694915,1.7685543369890326,9,2,0.8372093023255814,1,-0.00400962309542903,-0.0008019246190858059,0.0008019246190858059,0.03929430633520449,0.3119486768243785,0.7153167602245389,0.9518845228548516,1.0,0.946271050521251,0.8372093023255814,0.7056936647955092,0.5709703287890938,0.4322373696872494,0.3063352044907779,0.19165998396150763,0.12750601443464316,0.09623095429029671,0.08901363271852446,-1.0796376368023042,1.1047810309218153,train,q1_low,12.0,mid,compact,close,linear,central,-1.0796376368023042,-1.7387987389226511,-0.7190537012803553,0,0,756.0
31,3258,B2,0,6769.0,2234.0,15.0,7,16464.0,16477.0,0.23317351459610366,-13.0,4.299882766705744,5.084785133565622,5.863182346109175,1.5632995794034308,9,2,0.8616830796777082,1,0.0,0.0017905102954341987,0.0,-0.005819158460161146,0.085496866606983,0.4673231871083259,0.8527305282005372,1.0,0.9650850492390332,0.8616830796777082,0.7627573858549687,0.6589077887197852,0.5402864816472694,0.40778871978513875,0.28603401969561326,0.20143240823634737,0.15085049239033124,0.13339301700984782,6.025072383196317,7.290604533576044,train,q1_low,18.0,mid,compact,close,linear,central,6.025072383196317,-1.1560997808043556,-0.6668754744311718,0,0,318.0
31,3390,B2,0,6776.5,8221.5,95.0,6,65369.0,65387.0,0.3116368697141634,167.0,3.3831206043240427,4.024416003976143,4.637350894632207,1.2542302903081644,9,3,0.5706379614425592,1,0.0007906099860122849,-0.0007906099860122849,-0.0013987715137140425,0.02110320501125099,0.4880496259806605,0.977498023475035,1.0,0.7918871252204586,0.5528796448336678,0.5706379614425592,0.5398649881408502,0.5319588882807273,0.4415860852642462,0.38697318007662834,0.36045733746883174,0.4059478197409232,0.4440187313750532,0.4395183360700602,-3.1425492406207,-3.31308676231874,train,q4_high,25.5,high,nominal,close,near_saturation,central,-3.1425492406207,0.14653329021118822,-0.08563366957109597,0,0,2233.5
31,279,B2,0,6843.0,9523.0,1204.0,5,69506.0,69548.0,0.2864640248461494,2394.0,2.8038265306122447,3.4083702693487896,3.8953972042277534,1.0915706736155086,9,4,0.4757954426126221,1,-0.002940249921243306,-0.001470124960621653,0.001470124960621653,0.24845111834505934,0.8644334768455318,1.0,0.7739157828415415,0.5281948965662081,0.49490706710070353,0.4757954426126221,0.43515698834400923,0.3887430431586685,0.3364485981308411,0.323637509188281,0.31313661661241204,0.3706815079281739,0.3756169274388323,0.37257166859183033,-8.93548997773868,-9.473544108592279,train,q4_high,92.0,high,nominal,mid,near_saturation,central,-8.93548997773868,0.2934739197547298,-0.7378654566548626,1,0,29556.0
31,13587,B2,0,6726.0,6304.0,6.0,6,52867.0,52874.0,0.36403525362181793,-12.0,4.208678934358693,4.72809667673716,5.416836262719705,1.208157328361012,9,3,0.6779822335025381,1,0.0017449238578680203,0.00015862944162436547,-0.0009517766497461929,-0.00015862944162436547,0.07947335025380711,0.6570431472081218,1.0,0.9122779187817259,0.7111357868020305,0.6779822335025381,0.6518083756345178,0.6424492385786802,0.5809010152284264,0.5307741116751269,0.5009517766497462,0.49524111675126903,0.5472715736040609,0.3981598984771574,5.113034059725798,3.72371996529143,train,q4_high,25.0,mid,nominal,close,linear,low_duplicate,5.113034059725798,-0.11899803945300391,0.3496468399169963,0,1,369.0
31,11412,B2,0,6771.0,6929.0,5.0,6,55513.0,55521.0,0.34871490066821564,-12.0,4.063920208152645,4.514635732870772,4.965351257588899,0.9014310494362539,9,3,0.6083128878626064,1,0.001010246788858421,0.00043296290951075193,-0.00043296290951075193,-0.0007216048491845865,0.1574541780920768,0.8230624909799393,1.0,0.8285466878337422,0.5938807908789147,0.6083128878626064,0.6019627651897821,0.6039832587674989,0.5273488237840959,0.46081685668927697,0.4429210564294992,0.4637032760860153,0.5110405541925241,0.3883677298311445,3.6654467976653216,1.5891105266275485,train,q4_high,20.0,mid,nominal,close,near_saturation,low_duplicate,3.6654467976653216,-0.024481195668075273,-0.024925851881544503,0,1,324.0
