method,run,n,amplitude_sigma68,timing_res68_ns,energy_bias,energy_sigma68,saturation_interaction_energy_sigma68,pid_auc,pid_ap,pid_log_loss,pid_ece
mlp,65,615,0.17554156487542377,3.816417495522196,0.17032641288538852,0.7162796865007068,0.6633832779481326,0.9997966928706967,0.9991680286276139,0.023806591139238904,0.01257178912663725
pedestal_memory_transformer_new,42,627,0.34234962038222255,6.754341834709193,-0.48763802312540516,1.2627589859488721,1.2259465845238844,0.9977778454232747,0.9909597467389029,0.07396017800497591,0.03535221653368079
pedestal_memory_transformer_new,50,650,0.3166117430958958,10.368388916321456,-0.18538319225950417,0.9289425519441894,0.9873590530458141,0.9902819460607174,0.9786417614108679,0.05432268784430311,0.02260147935567567
pedestal_memory_transformer_new,57,640,0.3016329063763582,6.83575547728349,0.0019526968131762246,1.4361428615802725,1.493676455525851,0.9848432357526415,0.9809396215957301,0.08757443289099551,0.022794667896232572
pedestal_memory_transformer_new,58,624,0.2915319804177348,6.338678545472662,-0.2029091566105916,1.457295034725495,1.4494360362748855,0.9954548869356172,0.9899936142628519,0.053107519340632424,0.017803575995061785
pedestal_memory_transformer_new,60,680,0.22230593269633098,6.261873220248011,-1.1457133242896305,0.833807654939237,0.6336129303830453,0.9998786354208041,0.9996782467759067,0.05109042655257554,0.03581840400036205
pedestal_memory_transformer_new,62,680,0.21524117351316052,5.605172394523452,-0.9223352073907138,0.6441067604708761,0.7039534557609437,0.9997421592986734,0.999295052550628,0.044292764517448055,0.03105593928450937
pedestal_memory_transformer_new,64,680,0.25344600537635775,5.541874863006733,-0.5421102492023704,0.7881362801521572,0.710251161368029,0.9997306449130369,0.9990852559480894,0.04097287512268365,0.026770810150842678
pedestal_memory_transformer_new,65,615,0.3086630011210933,5.0998729926417905,-0.07769463569356283,0.6299587169281449,0.5999343627418703,0.9976619680130117,0.993544612884532,0.06451711821299082,0.030538789642505285
ridge,42,627,0.19668940149714553,4.363610494631503,-0.09771328708929516,0.7924901064296487,0.714174818300596,0.9905482329305043,0.9853215650717385,0.28326936111317436,0.21067780233130953
ridge,50,650,0.24302910413613377,8.517891024741061,0.18952865707679611,0.2962845599472955,0.24599226137631858,0.9874441109818093,0.9680139557026709,0.26345262363528593,0.20602751574071512
ridge,57,640,0.16317972941364348,4.719450089314923,0.07189657645905223,0.6752011260594464,0.6257349747990791,0.98260580864946,0.9661518739643381,0.28810037145749884,0.20412216816107998
ridge,58,624,0.1535118300967489,4.930773565932566,0.001423459043769837,0.6607905717525914,0.6033726437331643,0.9945345954473744,0.9874479806312613,0.24708619694384007,0.20061336142155034
ridge,60,680,0.19311716766301368,4.849312821994715,-1.277448108300359,1.0101755969415402,1.012350962670408,0.9976389072774615,0.995279299954894,0.2639095471059673,0.2123830949124121
ridge,62,680,0.18316434722309416,3.434746092758584,-0.8299966215410396,0.7261646503257922,0.7025367260402332,0.9932609816698701,0.9910545147270464,0.26468449048468107,0.20021371669679286
ridge,64,680,0.19565008309399307,4.45587007333399,-0.2782880777884561,0.7287290070475425,0.7595135987670475,0.9985762659689087,0.995739541386749,0.2584759709795272,0.2090255434111341
ridge,65,615,0.23489647828238222,3.798214881270653,0.3677126390697054,0.6413336599648974,0.6479891415268122,0.9937483057739226,0.9901446587795201,0.26115526331767097,0.2058762287488257
traditional_pedestal_scorecard,42,627,0.2434949427808829,1.6034886346295694,0.47285967684309027,2.8963782550997195,2.154004539891749,0.43300051748805213,0.4643245611228876,0.6735970750504734,0.32535427134401196
traditional_pedestal_scorecard,50,650,0.3178414317320752,1.0302803667933498,0.392234070382274,2.5828803992065885,1.7023684342174457,0.5674649353831076,0.5283708039873389,0.6787593020510496,0.4016975105447661
traditional_pedestal_scorecard,57,640,0.17298264968322788,1.2390739261819543,0.35590936169326315,2.6562289371925676,2.287114508587721,0.44852474161325706,0.47320828089179956,0.6790681945566611,0.32846376405369265
traditional_pedestal_scorecard,58,624,0.1876122236869739,0.9453899934511103,-0.05416018659560412,2.527531371580616,2.160603176745524,0.5598752911126136,0.526654198496091,0.6840718594251276,0.3835362837705764
traditional_pedestal_scorecard,60,680,0.11331717697661907,1.2703458016911724,0.39392069588429757,1.0731251157456105,0.9276154499525835,0.5134383688600557,0.5581978737515656,0.669278885112856,0.28329584868322083
traditional_pedestal_scorecard,62,680,0.12265220835592744,1.002078146564481,0.5483481633755378,0.9133508591141946,0.7215932457954628,0.5334958511087149,0.5758124799664273,0.6703911165178611,0.31364833432705214
traditional_pedestal_scorecard,64,680,0.12957874457622753,0.6801018470895188,0.8691492998908731,1.1889347367758634,0.9317047304448163,0.6238905135703658,0.6575436294836288,0.6650358140899714,0.356532567947278
traditional_pedestal_scorecard,65,615,0.14282061794135348,1.0907523451619778,1.2580207871196916,2.141506380364333,1.2544060923812579,0.5033715098942804,0.5284305921052465,0.684579261419171,0.3554993842112051
