dataset,stratum,method,n,bias_median_frac,res68_abs_frac,full_rms_frac,high_bias_tail_fraction,within_10pct,within_25pct,bias_ci95,res68_ci95,full_rms_ci95,high_bias_tail_ci95
p04b_downstream,normal_control_pool,mlp,3682,-0.02216748543477291,0.3566945722021212,9.562274766981304,0.477729494839761,0.22216186854970124,0.522270505160239,"[-0.05919579648752485, 0.02150463566033588]","[0.330424503001924, 0.3811567902819238]","[1.5080040433402313, 16.852716342787094]","[0.44887726586860577, 0.5210873469929105]"
p04b_downstream,normal_control_pool,cnn1d,3682,-0.011094405058763392,0.21021178761019535,0.3057292865113649,0.23112438891906573,0.35632808256382403,0.7688756110809343,"[-0.05465931920195325, 0.036146258766119696]","[0.20143491085702755, 0.22513267049036]","[0.2594845809083761, 0.3679652846956024]","[0.20807415328645318, 0.26176068434018124]"
p04b_downstream,normal_control_pool,residual_cnn_meta,3682,-0.00814003903534892,0.21164181974404944,0.32914174220675857,0.23356871265616513,0.3533405757740358,0.7664312873438349,"[-0.04813190309112301, 0.04359123057387184]","[0.19975671264024883, 0.2274058448755119]","[0.2787802155137097, 0.4066148504284647]","[0.20521152657458358, 0.2759235707364341]"
p04b_downstream,normal_control_pool,shuffled_target_gbt,3682,-0.06608629835877847,0.2761957681295834,0.6091094772912568,0.3709940249864204,0.2634437805540467,0.6290059750135796,"[-0.12083648095337397, 0.01893126211339779]","[0.2565704031716943, 0.2922566542169085]","[0.5210929222521377, 0.740645011670574]","[0.33440586060413613, 0.4055245796091501]"
p04b_downstream,baseline_excursion,traditional_strong,18,-0.2083845177347004,0.2945054564054726,0.343223382919902,0.3888888888888889,0.2222222222222222,0.6111111111111112,"[-0.3267203416360997, -0.04420842060448501]","[0.2137950343891135, 0.42368964244041485]","[0.21433805815445656, 0.4116313083619401]","[0.21428571428571427, 0.5457070707070705]"
p04b_downstream,baseline_excursion,ridge,18,-0.07790065945159413,0.3208906694723853,0.4351664425581925,0.3888888888888889,0.2222222222222222,0.6111111111111112,"[-0.24717848044272078, 0.17792370465836546]","[0.21844462871058765, 0.3668683293127518]","[0.3269069379704865, 0.4724424234138638]","[0.23076923076923078, 0.5555555555555556]"
p04b_downstream,baseline_excursion,gradient_boosted_trees,18,-0.07184430146679031,0.20111269893593425,0.1768138060029736,0.2222222222222222,0.4444444444444444,0.7777777777777778,"[-0.20091907444851276, 0.018975961345355848]","[0.1282804279250926, 0.2831867277239434]","[0.13313940940110408, 0.23023690723657486]","[0.037037037037037035, 0.5454545454545454]"
p04b_downstream,baseline_excursion,mlp,18,-0.19370495702557794,0.8911724566670786,2.4635522940893053,0.6666666666666666,0.1111111111111111,0.3333333333333333,"[-0.4782690029225449, 0.8998441093923758]","[0.5260373757895053, 3.5355971243057143]","[0.6479142675836422, 4.002023175318237]","[0.5555555555555556, 0.7503676470588232]"
p04b_downstream,baseline_excursion,cnn1d,18,-0.0013834556196569234,0.20645935187894462,0.607708245629072,0.2222222222222222,0.3333333333333333,0.7777777777777778,"[-0.10951710710621844, 0.04981446299602204]","[0.17731187900966153, 0.2945328020958698]","[0.1916759084114288, 0.82869750703613]","[0.06666666666666667, 0.35714285714285715]"
p04b_downstream,baseline_excursion,residual_cnn_meta,18,-0.01767328888951502,0.2534507683547426,0.2751008171302131,0.3333333333333333,0.2222222222222222,0.6666666666666666,"[-0.2523977927439355, 0.1257346762670987]","[0.15160217329887266, 0.3650341817925734]","[0.15325488961697234, 0.4007309163837748]","[0.07692307692307693, 0.6933333333333324]"
