candidate,alpha,fold,sigma68_ns,n_pair_residuals,n_features,heldout_run
amp_only,0.0,2,1.5856495039668363,3399,6,61
amp_only,0.0,-1,1.531305992857743,0,6,61
amp_only,0.01,0,1.4773979840022484,2622,6,61
amp_only,0.01,1,1.532271485928891,2640,6,61
amp_only,0.01,2,1.5860753962088614,3399,6,61
amp_only,0.01,-1,1.5319149553800002,0,6,61
amp_only,0.1,0,1.4784057266955903,2622,6,61
amp_only,0.1,1,1.5371802897805704,2640,6,61
amp_only,0.1,2,1.5903669213201115,3399,6,61
amp_only,0.1,-1,1.5353176459320907,0,6,61
amp_only,1.0,0,1.4834696598520782,2622,6,61
amp_only,1.0,1,1.5686654707749967,2640,6,61
amp_only,1.0,2,1.6007747437362168,3399,6,61
amp_only,1.0,-1,1.5509699581210974,0,6,61
amp_only,10.0,0,1.4788179776967223,2622,6,61
amp_only,10.0,1,1.5713696747362575,2640,6,61
amp_only,10.0,2,1.5942608373478793,3399,6,61
amp_only,10.0,-1,1.5481494965936198,0,6,61
amp_only,100.0,0,1.4271665884093654,2622,6,61
amp_only,100.0,1,1.5165144764107599,2640,6,61
amp_only,100.0,2,1.534389012644507,3399,6,61
amp_only,100.0,-1,1.4926900258215439,0,6,61
amp_only,0.0,0,2.12911762406726,2799,6,62
amp_only,0.0,1,1.311592582140475,2841,6,62
amp_only,0.0,2,1.3532868190065894,3399,6,62
amp_only,0.0,-1,1.5979990084047746,0,6,62
amp_only,0.01,0,2.1309372285583206,2799,6,62
amp_only,0.01,1,1.3088315932367691,2841,6,62
amp_only,0.01,2,1.3538419472828909,3399,6,62
amp_only,0.01,-1,1.597870256359327,0,6,62
amp_only,0.1,0,2.140822810944883,2799,6,62
amp_only,0.1,1,1.3034863575443496,2841,6,62
amp_only,0.1,2,1.3661763392606514,3399,6,62
amp_only,0.1,-1,1.6034951692499613,0,6,62
amp_only,1.0,0,2.1401671769560244,2799,6,62
amp_only,1.0,1,1.3262420453335486,2841,6,62
amp_only,1.0,2,1.4167908197011845,3399,6,62
amp_only,1.0,-1,1.6277333473302527,0,6,62
amp_only,10.0,0,2.134071913840817,2799,6,62
amp_only,10.0,1,1.3361498030234429,2841,6,62
amp_only,10.0,2,1.4170454565074428,3399,6,62
amp_only,10.0,-1,1.6290890577905675,0,6,62
amp_only,100.0,0,2.1030651453786486,2799,6,62
amp_only,100.0,1,1.2614382029445388,2841,6,62
amp_only,100.0,2,1.3469846727077788,3399,6,62
amp_only,100.0,-1,1.5704960070103222,0,6,62
amp_only,0.0,0,2.079474474593261,2799,6,63
amp_only,0.0,1,1.3118530573580798,2841,6,63
amp_only,0.0,2,1.359813484566188,4710,6,63
amp_only,0.0,-1,1.5837136721725098,0,6,63
amp_only,0.01,0,2.0800095871224706,2799,6,63
amp_only,0.01,1,1.3119927562080873,2841,6,63
amp_only,0.01,2,1.3598190404952084,4710,6,63
amp_only,0.01,-1,1.5839404612752555,0,6,63
amp_only,0.1,0,2.0867398326847537,2799,6,63
amp_only,0.1,1,1.318502185208444,2841,6,63
amp_only,0.1,2,1.372064019623614,4710,6,63
amp_only,0.1,-1,1.592435345838937,0,6,63
amp_only,1.0,0,2.0877272665433426,2799,6,63
amp_only,1.0,1,1.3373142763537742,2841,6,63
amp_only,1.0,2,1.4196131964081558,4710,6,63
amp_only,1.0,-1,1.6148849131017575,0,6,63
amp_only,10.0,0,2.088558874994343,2799,6,63
amp_only,10.0,1,1.3269634578948077,2841,6,63
amp_only,10.0,2,1.4274822058705334,4710,6,63
amp_only,10.0,-1,1.614334846253228,0,6,63
amp_only,100.0,0,2.0519315382771546,2799,6,63
amp_only,100.0,1,1.2792642510676768,2841,6,63
amp_only,100.0,2,1.3623572928624352,4710,6,63
amp_only,100.0,-1,1.5645176940690888,0,6,63
amp_only,0.0,0,2.089286103560495,3018,6,65
amp_only,0.0,1,1.3862054956961183,3534,6,65
amp_only,0.0,2,1.386808279616882,4710,6,65
amp_only,0.0,-1,1.620766626291165,0,6,65
amp_only,0.01,0,2.0901150579694368,3018,6,65
amp_only,0.01,1,1.3867568665053154,3534,6,65
amp_only,0.01,2,1.3865982866871276,4710,6,65
amp_only,0.01,-1,1.62115673705396,0,6,65
amp_only,0.1,0,2.099493374005266,3018,6,65
amp_only,0.1,1,1.3904375964576863,3534,6,65
amp_only,0.1,2,1.3831895998205652,4710,6,65
amp_only,0.1,-1,1.6243735234278391,0,6,65
amp_only,1.0,0,2.08508183978908,3018,6,65
amp_only,1.0,1,1.3971385127048899,3534,6,65
amp_only,1.0,2,1.4457363253344258,4710,6,65
amp_only,1.0,-1,1.6426522259427987,0,6,65
amp_only,10.0,0,2.0943819077527817,3018,6,65
amp_only,10.0,1,1.3862486838786658,3534,6,65
amp_only,10.0,2,1.4588786354608059,4710,6,65
amp_only,10.0,-1,1.646503075697418,0,6,65
amp_only,100.0,0,2.0629554268616057,3018,6,65
amp_only,100.0,1,1.3330035046979343,3534,6,65
amp_only,100.0,2,1.415007211935843,4710,6,65
amp_only,100.0,-1,1.6036553811651277,0,6,65
