scenario,method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
run64_only,cfd30,4.0,heldout,11460,-2.4522180266943465,3.2280755428412706,6.274137068831163,0.08534031413612565,321.24235332888236,15.679120793486224
run64_only,cfd40,2.0,train,630,-2.875484767610665,3.157366465357267,5.6931723516447486,0.10634920634920635,200.61201305594594,1.8185289213434368
run64_only,cfd40,2.0,heldout,11460,-2.4606702624577323,3.4101433018411615,6.371258052376329,0.11465968586387434,221.08536695264036,11.680254349871916
run64_only,cfd40,4.0,train,630,-2.6253055888103916,3.1228148618541365,5.681161894368981,0.1,229.66065236017334,1.9365053393988383
run64_only,cfd40,4.0,heldout,11460,-2.2285991055686303,3.395384810422322,6.362424568384906,0.11169284467713787,273.0793452487037,10.805869182236101
run64_only,cfd50,2.0,train,630,-2.532727034902143,3.4075680207044456,5.877014532662183,0.1126984126984127,1.4835208516864085,1.464144324590669
run64_only,cfd50,2.0,heldout,11460,-2.14115857504175,3.598928452149569,6.925068880183606,0.14467713787085515,191.2694955505886,7.70653570382196
run64_only,cfd50,4.0,train,630,-2.2838363855755475,3.383833624478525,5.866446494541521,0.1126984126984127,1.5948634377229123,1.1754637152326533
run64_only,cfd50,4.0,heldout,11460,-1.8936468132530813,3.584719153225212,6.91822900733479,0.1411867364746946,222.47634054942782,7.283177833102501
run64_only,template_phase,2.0,train,630,-3.702625214093935,2.5319743504438,2.718687513520808,0.05873015873015873,2.3224885869837073,14.619945968545645
run64_only,template_phase,2.0,heldout,11460,-3.3413017273002623,2.3513126070469674,3.142535483483354,0.062478184991274,1.7032215460397109,133.45127802295895
run64_only,template_phase,4.0,train,630,-3.5293017273002647,2.523312607046961,2.69357257950405,0.06190476190476191,0.06006596613275989,15.80062972046854
run64_only,template_phase,4.0,heldout,11460,-3.046625214093922,2.2819743504437966,3.1232872542860965,0.0630890052356021,0.32920740184582625,292.9147112993699
run64_only,of_1_9,2.0,train,630,-2.7629119186513087,3.016671427953524,3.3543750777841126,0.12222222222222222,2.5523770457391097,1.2211352362180015
run64_only,of_1_9,2.0,heldout,11460,-3.019508520503077,3.209386340668969,3.76441196198652,0.1474694589877836,3.44465043357678,9.6256754236309
run64_only,of_1_9,4.0,train,630,-2.553592969454492,3.002127084349042,3.3353356290791236,0.12063492063492064,2.8477271245192877,1.304349165945701
run64_only,of_1_9,4.0,heldout,11460,-2.8129249540968324,3.1946903793675623,3.74637044236251,0.1450261780104712,4.274027306404487,10.778427920669083
run64_only,of_2_10,2.0,train,630,-2.945630561917401,2.9628526183395087,3.3234940780162816,0.11746031746031746,2.196202933706615,1.945887918453329
run64_only,of_2_10,2.0,heldout,11460,-3.089118063149048,3.2282502605911216,3.7723821542542897,0.14965095986038393,2.665382693032028,9.148513593395286
run64_only,of_2_10,4.0,train,630,-2.749979050892634,2.9573184628244205,3.302698247541946,0.1126984126984127,1.8723765650502673,1.7973338699023853
run64_only,of_2_10,4.0,heldout,11460,-2.875680344637729,3.2123502264726542,3.7534947451794327,0.14616055846422338,2.845876165317267,10.79237500371952
run64_only,of_3_11,2.0,train,630,-3.27369934031427,2.9010004928497435,3.312060577189115,0.1,7.418039900227186,1.4741310727732082
run64_only,of_3_11,2.0,heldout,11460,-3.2382217967851936,3.176149609248017,3.873089001933597,0.1468586387434555,5.463106555594631,10.724853607635993
run64_only,of_3_11,4.0,train,630,-3.0873150132772125,2.8743205971691332,3.289097980661935,0.09523809523809523,8.3751932074278,2.3299426404806516
run64_only,of_3_11,4.0,heldout,11460,-3.0186379625925177,3.154762086566424,3.853764676494556,0.14380453752181502,6.018534726005118,10.982747300633426
run64_only,of_4_12,2.0,train,630,-3.2819957151454044,2.9466759179902597,3.3938511495681953,0.1,8.866870369201504,1.8292355649610395
run64_only,of_4_12,2.0,heldout,11460,-3.18122359980142,3.292197948747884,4.024724290102872,0.1568062827225131,5.506405747565792,6.294036653512027
run64_only,of_4_12,4.0,train,630,-3.062407144347505,2.9041547134323897,3.370257273249658,0.09841269841269841,6.4925618000718694,1.3415572292875284
run64_only,of_4_12,4.0,heldout,11460,-2.969953970252078,3.2772883679802547,4.005704711316378,0.15488656195462477,5.001881294991066,6.949994080060605
