scenario,heldout_run,method,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
sample_i_plus_run64,58,ml_ridge_timewalk,219,2.283716235536623,1.5476364152994992,2.3022785251118485,0.0182648401826484,0.2850284276668673,2.0529340482223244
sample_i_plus_run64,59,template_phase_base,2289,-4.667387909694497,2.833693954847245,3.6481583612651227,0.14242027086063783,0.8734362325191721,31.867187086185304
sample_i_plus_run64,59,traditional_analytic_timewalk,2289,2.208532287861779,1.7409325592147,2.6843433503305834,0.01747487986020096,1.6280740815279255,21.48645027351912
sample_i_plus_run64,59,traditional_binned_timewalk,2289,2.5836939548472415,1.750000000000007,2.681140900681072,0.021843599825251202,1.4598959045944533,28.561093424704918
sample_i_plus_run64,59,ml_ridge_timewalk,2289,2.1993412586843206,1.7307738133847173,2.6508562552662567,0.018785495849716033,1.6417583889258531,18.51834353702284
sample_i_plus_run64,60,template_phase_base,2424,-4.667387909694497,2.833693954847252,3.7579107274163115,0.14975247524752475,144.61678617087006,51.517253393120214
sample_i_plus_run64,60,traditional_analytic_timewalk,2424,2.278093817203594,1.803576999533592,2.7242664979212075,0.02268976897689769,1.5865101367856664,23.10835614120566
sample_i_plus_run64,60,traditional_binned_timewalk,2424,2.5836939548472415,1.7918469774236243,2.7379373044463056,0.028052805280528052,0.15865978076624226,37.15465710895602
sample_i_plus_run64,60,ml_ridge_timewalk,2424,2.229663388004383,1.752857329850491,2.6400503443260273,0.019801980198019802,1.4350983142777094,20.483847075464723
sample_i_plus_run64,61,template_phase_base,2799,-3.66738790969449,2.8336939548472486,3.4679863400317217,0.09824937477670596,1.2477149056353012,42.11366419742049
sample_i_plus_run64,61,traditional_analytic_timewalk,2799,2.5231005669688926,2.299075019877074,2.876128478834117,0.030725259021078956,1.9597615359772915,27.495620786466233
sample_i_plus_run64,61,traditional_binned_timewalk,2799,2.6364216292572564,2.2918469774236137,2.860614779671249,0.038227938549481956,1.241327969807795,47.26670341283115
sample_i_plus_run64,61,ml_ridge_timewalk,2799,2.463717578405749,2.2787509823005676,2.8450144416376637,0.028938906752411574,1.9505415692823105,22.63482462495413
sample_i_plus_run64,62,template_phase_base,2421,-4.667387909694497,2.5836939548472557,3.5738227908854645,0.13672036348616273,1.026758965876848,35.35247836342464
sample_i_plus_run64,62,traditional_analytic_timewalk,2421,2.244164395216991,1.7543428878093832,2.6145541942086346,0.01569599339116068,1.70348335237099,22.27532977804464
sample_i_plus_run64,62,traditional_binned_timewalk,2421,2.5836939548472415,1.750000000000007,2.5979111795859233,0.017761255679471292,0.16515410488923263,38.06049135852417
sample_i_plus_run64,62,ml_ridge_timewalk,2421,2.201616189694363,1.728901424253852,2.583368004964054,0.01321767864518794,1.6360396146542002,19.56895875097408
