scenario,method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
sample_i_plus_run64,cfd50,4.0,train,4410,-2.164636139929975,3.508998509582555,5.9466704914645705,0.13242630385487528,2.138906339383518,3.1989574925806425
sample_i_plus_run64,cfd50,4.0,heldout,11460,-1.8936468132530813,3.584719153225212,6.91822900733479,0.1411867364746946,222.47634054942782,7.283177833102501
sample_i_plus_run64,template_phase,2.0,train,4410,-5.16738790969449,2.583693954847252,3.3791296004437896,0.09365079365079365,0.6488809601473535,87.05293019849022
sample_i_plus_run64,template_phase,2.0,heldout,11460,-4.440231168209003,2.833693954847245,3.6015935969894572,0.14354275741710296,1.2177578323302054,153.55105614734214
sample_i_plus_run64,template_phase,4.0,train,4410,-5.011387909694484,2.5056939548472457,3.353196399626008,0.09365079365079365,201.92225095197708,109.29217696145423
sample_i_plus_run64,template_phase,4.0,heldout,11460,-4.128231168208998,2.755693954847242,3.5801609231377456,0.14363001745200699,0.5365921862556202,215.16488486088434
sample_i_plus_run64,of_1_9,2.0,train,4410,-4.387911925718184,4.020568266896763,4.452829706346846,0.2038548752834467,0.6203668937457762,10.958699934069971
sample_i_plus_run64,of_1_9,2.0,heldout,11460,-4.888334979938751,4.367679599176763,5.0664037032538785,0.268499127399651,1.9902133247473637,2.598792272997462
sample_i_plus_run64,of_1_9,4.0,train,4410,-4.177032235533604,4.004609366044425,4.4267956090304725,0.19501133786848074,0.6715339881890885,11.11724985028354
sample_i_plus_run64,of_1_9,4.0,heldout,11460,-4.691810089755155,4.341494506537749,5.040794410278262,0.26561954624781847,1.9982800005044314,2.768777899478163
sample_i_plus_run64,of_2_10,2.0,train,4410,-4.71054324402477,3.8957818587366804,4.392772766047907,0.22086167800453516,0.6315958069639307,8.894785426876487
sample_i_plus_run64,of_2_10,2.0,heldout,11460,-4.847784731658685,4.352687130527914,5.064825918590739,0.2630017452006981,1.6622813686561675,3.0906844691857356
sample_i_plus_run64,of_2_10,4.0,train,4410,-4.473819785606928,3.8594010431126797,4.36589349698298,0.2058956916099773,0.656625865530188,9.347310256930468
sample_i_plus_run64,of_2_10,4.0,heldout,11460,-4.642853265924131,4.319588530194039,5.039757001677018,0.2592495636998255,1.6294372733673577,2.6934784270058736
sample_i_plus_run64,of_3_11,2.0,train,4410,-4.722185317589869,3.5450431764198074,4.344946710644391,0.1852607709750567,0.8818417338381578,8.651971394294524
sample_i_plus_run64,of_3_11,2.0,heldout,11460,-4.825671756098998,4.344066132980842,5.181296571405446,0.2651832460732984,1.7292167662928084,2.8312652860738132
sample_i_plus_run64,of_3_11,4.0,train,4410,-4.523430752164348,3.5251268850898554,4.317248458356066,0.1816326530612245,0.8355366633908916,8.616230887285791
sample_i_plus_run64,of_3_11,4.0,heldout,11460,-4.615512347782133,4.310139646099276,5.157319191030805,0.2639616055846422,1.730967354680425,2.946736500968676
sample_i_plus_run64,of_4_12,2.0,train,4410,-4.6750335631207705,3.254481927523078,4.422606466744007,0.19569160997732427,3.740117478420097,5.050523947049129
sample_i_plus_run64,of_4_12,2.0,heldout,11460,-4.649278593073909,4.467838727054259,5.369065388294946,0.28071553228621293,3.473046155828371,2.104059710751367
sample_i_plus_run64,of_4_12,4.0,train,4410,-4.479061609518663,3.2317948119100315,4.3947636085172155,0.19410430839002268,3.661943463078276,5.054213439282898
sample_i_plus_run64,of_4_12,4.0,heldout,11460,-4.455129260901117,4.473592299778432,5.346637741046038,0.2799301919720768,3.5837478971955297,1.9795955657127824
