heldout_run,method,pairwise_residual_ns
58,analytic_timewalk,2.1711578756420167
58,analytic_timewalk,2.2067667790724244
58,analytic_timewalk,2.175622437338852
58,analytic_timewalk,2.243505017796423
58,analytic_timewalk,3.127631638766843
58,analytic_timewalk,0.17759992316253204
58,analytic_timewalk,2.2126898001176585
58,analytic_timewalk,2.3267585938132456
58,analytic_timewalk,2.1740827559460953
58,analytic_timewalk,2.13849576385671
58,analytic_timewalk,2.225543224107092
58,analytic_timewalk,1.798002520222056
58,analytic_timewalk,0.711638041438988
58,analytic_timewalk,2.1220135183339437
58,analytic_timewalk,2.355474886799442
58,analytic_timewalk,2.0423241500246974
58,analytic_timewalk,0.751930644447171
58,analytic_timewalk,2.1283506868874724
58,analytic_timewalk,-7.8976274029411115
58,analytic_timewalk,2.2980215556832277
58,analytic_timewalk,1.2299522820964484
58,analytic_timewalk,1.682757165524329
58,analytic_timewalk,2.187093199069956
58,analytic_timewalk,-1.3349224782854847
58,analytic_timewalk,2.091039487662961
58,analytic_timewalk,2.308771981775166
58,analytic_timewalk,2.175133472406131
58,analytic_timewalk,2.2383296557806034
58,analytic_timewalk,2.133274421870624
58,analytic_timewalk,1.9995311479678293
58,analytic_timewalk,2.24526071698169
58,analytic_timewalk,2.2512308390787013
58,analytic_timewalk,2.3074932674965396
58,analytic_timewalk,0.6708597905647622
58,analytic_timewalk,2.0865179053554783
58,analytic_timewalk,1.2520809744064394
58,analytic_timewalk,2.1847872851774213
58,analytic_timewalk,2.217977788154201
58,analytic_timewalk,2.112181175423011
58,analytic_timewalk,2.202667274894182
58,analytic_timewalk,2.1574985522178807
58,analytic_timewalk,2.705300371133916
58,analytic_timewalk,2.150014797318221
58,analytic_timewalk,2.040915832269846
58,analytic_timewalk,1.7018882781714026
58,analytic_timewalk,2.088754694573339
58,analytic_timewalk,2.1706830717147483
58,analytic_timewalk,2.6225115448062084
58,analytic_timewalk,2.2361151106310047
58,analytic_timewalk,-0.8363354463643802
58,analytic_timewalk,2.1882368927284688
58,analytic_timewalk,2.1798646914093
58,analytic_timewalk,2.181954382872121
58,analytic_timewalk,2.1341194502123244
58,analytic_timewalk,0.19037159637879597
58,analytic_timewalk,2.139018861384983
58,analytic_timewalk,2.213308512089668
58,analytic_timewalk,2.1471978942985075
58,analytic_timewalk,2.8165165618330263
58,analytic_timewalk,2.1845187719714545
58,analytic_timewalk,2.2358690768889034
58,analytic_timewalk,2.0819878913155634
58,analytic_timewalk,2.231374418693406
58,analytic_timewalk,0.7760453202945996
58,analytic_timewalk,2.125372424886784
58,analytic_timewalk,2.143016051277989
58,analytic_timewalk,2.072854261107331
58,analytic_timewalk,2.058585148758496
58,analytic_timewalk,2.250814723002044
58,analytic_timewalk,2.1831849839649067
58,analytic_timewalk,-0.3707978921744868
58,analytic_timewalk,2.159638407344019
58,analytic_timewalk,2.2383594594562055
58,analytic_timewalk,2.6879108883364395
58,analytic_timewalk,1.495551871290374
58,analytic_timewalk,1.1997630709044245
58,analytic_timewalk,3.301785419577918
58,analytic_timewalk,3.7480746466419603
58,analytic_timewalk,2.266805329429033
58,analytic_timewalk,1.6472707566579317
58,analytic_timewalk,1.7302258337537282
58,analytic_timewalk,1.7830981003884219
58,analytic_timewalk,1.9073320555524873
58,analytic_timewalk,1.546931865933658
58,analytic_timewalk,3.5971954617095108
58,analytic_timewalk,2.1698930940105825
58,analytic_timewalk,3.063168530715913
58,analytic_timewalk,3.5622698225825786
58,analytic_timewalk,2.0099931244726434
58,analytic_timewalk,1.8270935203710508
58,analytic_timewalk,1.6985342766412685
58,analytic_timewalk,-9.484141217261637
58,analytic_timewalk,1.834681657288364
58,analytic_timewalk,1.9652893874137831
58,analytic_timewalk,2.101532149322928
58,analytic_timewalk,1.1863675991411853
58,analytic_timewalk,1.8506787046494821
58,analytic_timewalk,1.6027793751566577
58,analytic_timewalk,2.0065873250763673
58,analytic_timewalk,1.8073354613480603
58,analytic_timewalk,3.1363102411835797
58,analytic_timewalk,1.376075436406481
58,analytic_timewalk,1.8507022693239321
58,analytic_timewalk,1.291760461825831
58,analytic_timewalk,1.6916773274894013
58,analytic_timewalk,1.7933319433614372
58,analytic_timewalk,3.0590421011151676
58,analytic_timewalk,1.6497767214677168
58,analytic_timewalk,3.246324911489765
58,analytic_timewalk,1.579080682776521
58,analytic_timewalk,1.564027934389486
58,analytic_timewalk,1.5457871427573409
58,analytic_timewalk,1.2492060497314554
58,analytic_timewalk,1.6480661165717976
58,analytic_timewalk,2.240857424394143
58,analytic_timewalk,1.5609586111325058
58,analytic_timewalk,1.685925490039537
58,analytic_timewalk,3.9089197025842424
58,analytic_timewalk,1.9728516394029043
58,analytic_timewalk,1.6618287290993976
58,analytic_timewalk,1.4302918731778362
58,analytic_timewalk,1.2546331772993682
58,analytic_timewalk,0.14425573604916053
58,analytic_timewalk,1.0690633667399396
58,analytic_timewalk,1.8946125770245033
58,analytic_timewalk,1.7228645878913653
58,analytic_timewalk,1.9295747899571012
58,analytic_timewalk,1.6799306876619653
58,analytic_timewalk,2.8882598794046572
58,analytic_timewalk,1.6387654971907608
58,analytic_timewalk,1.738418783630756
58,analytic_timewalk,1.8756871260231804
58,analytic_timewalk,1.8277622986574187
58,analytic_timewalk,1.721525447978621
58,analytic_timewalk,2.1220180538952604
58,analytic_timewalk,1.7161943295266582
58,analytic_timewalk,2.892966159967898
58,analytic_timewalk,1.9026837655365156
58,analytic_timewalk,1.6983930432233976
58,analytic_timewalk,2.009707510617176
58,analytic_timewalk,1.5932020206935533
58,analytic_timewalk,1.6507525986856564
58,analytic_timewalk,2.076065979413073
58,analytic_timewalk,0.16740158122794924
58,analytic_timewalk,1.7448074230339756
58,analytic_timewalk,1.801100577174779
58,analytic_timewalk,0.5167530126944229
58,analytic_timewalk,-0.7112149077820504
58,analytic_timewalk,-0.9758593664344275
58,analytic_timewalk,1.058280401781495
58,analytic_timewalk,0.6204430078751173
58,analytic_timewalk,2.089205406266501
58,analytic_timewalk,-0.5654190434597268
58,analytic_timewalk,-0.5965327600595174
58,analytic_timewalk,-0.3909846555576735
58,analytic_timewalk,-0.23116370830422284
58,analytic_timewalk,-0.6786113581734341
58,analytic_timewalk,1.7991929414874548
58,analytic_timewalk,1.4582550525715945
58,analytic_timewalk,0.9411550123819694
58,analytic_timewalk,1.2067949357831367
58,analytic_timewalk,-0.032331025552053916
58,analytic_timewalk,1.0751628759238798
58,analytic_timewalk,-0.4298164102462039
58,analytic_timewalk,-1.5865138143205257
58,analytic_timewalk,-0.4633398983948638
58,analytic_timewalk,0.7353371053173348
58,analytic_timewalk,0.418774983798599
58,analytic_timewalk,-1.0007255999287707
58,analytic_timewalk,3.185601182934967
58,analytic_timewalk,-0.4882601125063033
58,analytic_timewalk,-0.3021846566987989
58,analytic_timewalk,-0.36779801105807053
58,analytic_timewalk,0.8979805854029763
58,analytic_timewalk,-0.757198985464143
58,analytic_timewalk,-0.14882887864389716
58,analytic_timewalk,-0.9535002551558591
58,analytic_timewalk,-0.5595535115893
58,analytic_timewalk,-0.5141613241351024
58,analytic_timewalk,2.3881823105504054
58,analytic_timewalk,-0.4367411838877615
58,analytic_timewalk,1.9942439370833256
58,analytic_timewalk,-0.6057066024009004
58,analytic_timewalk,-0.6539498537647148
58,analytic_timewalk,-0.56639403266567
58,analytic_timewalk,-0.9534612251627266
58,analytic_timewalk,-0.5094324356460831
58,analytic_timewalk,-0.4644429467397728
58,analytic_timewalk,-0.5890561861857151
58,analytic_timewalk,-0.3549903422303089
58,analytic_timewalk,2.2070314244128397
58,analytic_timewalk,-0.11590305517043475
58,analytic_timewalk,-0.5088543426153507
58,analytic_timewalk,-1.1922196716283722
58,analytic_timewalk,-0.9814819333316365
58,analytic_timewalk,0.9805911824135407
58,analytic_timewalk,-1.1191735259885291
58,analytic_timewalk,-0.2852521143847966
58,analytic_timewalk,-0.45908979498075553
58,analytic_timewalk,-0.20454466025522322
58,analytic_timewalk,1.4895590912831693
58,analytic_timewalk,0.7492410180196742
58,analytic_timewalk,-0.5745430148989072
58,analytic_timewalk,-0.4087791106677514
58,analytic_timewalk,-0.9408294358098459
58,analytic_timewalk,-0.3567564733140358
58,analytic_timewalk,-0.5143436289102823
58,analytic_timewalk,0.04003016257969705
58,analytic_timewalk,-0.5151800891667477
58,analytic_timewalk,2.1169208396732984
58,analytic_timewalk,-0.22268865935026838
58,analytic_timewalk,-0.44462300805459165
58,analytic_timewalk,-0.06314675049015506
58,analytic_timewalk,-0.46538312806494275
58,analytic_timewalk,-0.6000621243163877
58,analytic_timewalk,-0.10711900455183354
58,analytic_timewalk,0.538199473402436
58,analytic_timewalk,-0.4148309843100435
58,analytic_timewalk,-0.4372588822814265
58,s03b_binned_timewalk,1.7959430282284004
58,s03b_binned_timewalk,1.7959430282283932
58,s03b_binned_timewalk,1.7959430282284004
58,s03b_binned_timewalk,1.7959430282283932
58,s03b_binned_timewalk,2.7959430282284004
58,s03b_binned_timewalk,-0.7040569717716139
58,s03b_binned_timewalk,1.7959430282283932
