method,run,group,n_events,coverage,accepted_secondary_fraction_mean,accepted_secondary_contribution,bad_proxy_contribution,mean_probability
mlp,47,low_2nA,321,0.9626168224299065,0.07197815404879171,0.06928738193481819,0.012461059190031152,0.11402684363528595
cnn_1d_dual_head,47,low_2nA,321,0.0,,0.0,0.0,0.2503971457481384
consensus_abstention_ensemble,47,low_2nA,321,0.03115264797507788,0.13338224382166594,0.004155210087902366,0.0,0.20179437620398438
traditional_template_fit,48,high_20nA,360,0.4444444444444444,0.5277868929934355,0.23457195244152693,0.002777777777777778,0.43252689256494314
ridge_linear,48,high_20nA,360,0.04722222222222222,0.5621492346135588,0.02654593607897361,0.0,0.24804875317812192
gradient_boosted_trees,48,high_20nA,360,1.0,0.09493357982591917,0.09493357982591917,0.030555555555555555,0.2768162230281541
mlp,48,high_20nA,360,0.9777777777777777,0.09548064339354449,0.09335885131813239,0.030555555555555555,0.14763543983616415
cnn_1d_dual_head,48,high_20nA,360,0.002777777777777778,0.3556610941886902,0.000987947452813387,0.0,0.34096553921699524
consensus_abstention_ensemble,48,high_20nA,360,0.075,0.16678565455317532,0.012508924091488152,0.008333333333333333,0.25513905885435834
traditional_template_fit,49,high_20nA,360,0.41944444444444445,0.5341904474634165,0.2240632154638219,0.002777777777777778,0.407987235201309
ridge_linear,49,high_20nA,360,0.041666666666666664,0.5894382631837097,0.024559927632654573,0.0,0.266267835849483
gradient_boosted_trees,49,high_20nA,360,0.03333333333333333,0.2445339928243643,0.008151133094145478,0.0,0.27240232618206617
mlp,49,high_20nA,360,0.002777777777777778,0.2275764175059008,0.0006321567152941689,0.0,0.08938117019516516
cnn_1d_dual_head,49,high_20nA,360,0.008333333333333333,0.0033068032935261726,2.7556694476515986e-05,0.0,0.3413696587085724
consensus_abstention_ensemble,49,high_20nA,360,0.075,0.15110391552087207,0.011332793664065406,0.002777777777777778,0.23438439022417393
traditional_template_fit,50,high_20nA,357,0.43137254901960786,0.528705177348174,0.22806890003254562,0.0,0.4175787737467966
ridge_linear,50,high_20nA,357,0.03081232492997199,0.4667367477280161,0.014381244327754,0.0,0.16803894798603528
gradient_boosted_trees,50,high_20nA,357,1.0,0.08764128931007024,0.08764128931007024,0.01680672268907563,0.23064585164882315
mlp,50,high_20nA,357,0.0700280112044818,0.1308172585867018,0.009160872450049144,0.0,0.19153516457065128
cnn_1d_dual_head,50,high_20nA,357,0.0028011204481792717,0.33507853746414185,0.0009385953308083117,0.0,0.2509564757347107
consensus_abstention_ensemble,50,high_20nA,357,0.10364145658263306,0.12817276481596077,0.01328401203974943,0.0,0.22437915714633364
traditional_template_fit,51,high_20nA,359,0.43454038997214484,0.5209580631129628,0.22637731990424007,0.008356545961002786,0.42480726385765044
ridge_linear,51,high_20nA,359,0.04456824512534819,0.2990077797708125,0.013326252023211698,0.005571030640668524,0.19445725825068952
gradient_boosted_trees,51,high_20nA,359,1.0,0.0885390364549669,0.0885390364549669,0.03064066852367688,0.2252324208522277
mlp,51,high_20nA,359,0.005571030640668524,0.0,0.0,0.0,0.10985963540937826
cnn_1d_dual_head,51,high_20nA,359,0.0,,0.0,0.0,0.30754968523979187
consensus_abstention_ensemble,51,high_20nA,359,0.04735376044568245,0.1743933767744363,0.0082581821870903,0.002785515320334262,0.21421391994100974
traditional_template_fit,52,high_20nA,326,0.4110429447852761,0.5268354350141247,0.21655198862543776,0.003067484662576687,0.40015961567493563
ridge_linear,52,high_20nA,326,0.018404907975460124,0.7602318744701426,0.013991997689634527,0.0,0.19824227814656933
gradient_boosted_trees,52,high_20nA,326,1.0,0.10020511385589385,0.10020511385589385,0.03067484662576687,0.27327445707953907
mlp,52,high_20nA,326,0.911042944785276,0.09692207310611192,0.08830017089728599,0.024539877300613498,0.14637560276294367
cnn_1d_dual_head,52,high_20nA,326,0.0,,0.0,0.0,0.3595393896102905
consensus_abstention_ensemble,52,high_20nA,326,0.03987730061349693,0.1298104386782269,0.0051764898859415626,0.003067484662576687,0.2597298186402028
traditional_template_fit,53,high_20nA,360,0.46111111111111114,0.5359844968697398,0.24714840688993553,0.005555555555555556,0.44782282381184996
ridge_linear,53,high_20nA,360,0.03888888888888889,0.28446709484636296,0.011062609244025226,0.0,0.2526505417550011
gradient_boosted_trees,53,high_20nA,360,0.025,0.24286008698552392,0.0060715021746380994,0.0,0.23698181193962808
mlp,53,high_20nA,360,0.9555555555555556,0.09387467386622234,0.08970246613883467,0.022222222222222223,0.1450062818868128
cnn_1d_dual_head,53,high_20nA,360,0.0,,0.0,0.0,0.2413242906332016
consensus_abstention_ensemble,53,high_20nA,360,0.044444444444444446,0.19613074734932995,0.008716922104414665,0.0,0.20777079794574
traditional_template_fit,54,high_20nA,358,0.45251396648044695,0.526861833245239,0.2384123379489629,0.002793296089385475,0.4440721158966381
ridge_linear,54,high_20nA,358,0.019553072625698324,0.34946752854910235,0.0068331639660439,0.0,0.18021115267222523
gradient_boosted_trees,54,high_20nA,358,0.01675977653631285,0.3419288922938098,0.0057306518261532385,0.0,0.2458154201924106
mlp,54,high_20nA,358,0.9636871508379888,0.059388225164282174,0.05723166950189205,0.013966480446927373,0.10528037795822417
cnn_1d_dual_head,54,high_20nA,358,0.0,,0.0,0.0,0.3146136701107025
consensus_abstention_ensemble,54,high_20nA,358,0.061452513966480445,0.15101212508272988,0.009280074725754348,0.0,0.22190316773818328
traditional_template_fit,55,high_20nA,354,0.4322033898305085,0.5104778968878096,0.22063027746846012,0.00847457627118644,0.4102280632741629
ridge_linear,55,high_20nA,354,0.022598870056497175,0.5611347889488478,0.012681012179634979,0.0,0.2305677186893814
gradient_boosted_trees,55,high_20nA,354,1.0,0.09210579372179829,0.09210579372179829,0.03672316384180791,0.25518683735406616
mlp,55,high_20nA,354,0.9971751412429378,0.0894535685544786,0.08920087485799702,0.03672316384180791,0.1799034308072147
cnn_1d_dual_head,55,high_20nA,354,0.0,,0.0,0.0,0.2585711181163788
consensus_abstention_ensemble,55,high_20nA,354,0.0480225988700565,0.15160226891366868,0.007280334947831547,0.0,0.23122047012542962
traditional_template_fit,56,high_20nA,360,0.4305555555555556,0.5229545534565608,0.22516098829379708,0.0,0.42675699500220754
ridge_linear,56,high_20nA,360,0.08888888888888889,0.6841248557898632,0.06081109829243228,0.011111111111111112,0.27018862231945157
gradient_boosted_trees,56,high_20nA,360,1.0,0.11196774095937982,0.11196774095937982,0.025,0.2621090229792506
mlp,56,high_20nA,360,0.1388888888888889,0.3847883717341227,0.05344282940751704,0.011111111111111112,0.22965524760935088
cnn_1d_dual_head,56,high_20nA,360,0.12222222222222222,0.1670265644788742,0.020414358004927635,0.0,0.3852842450141907
consensus_abstention_ensemble,56,high_20nA,360,0.125,0.1341442789903342,0.016768034873791773,0.013888888888888888,0.29234950355904354
traditional_template_fit,57,high_20nA,360,0.45,0.5303603583677852,0.23866216126550333,0.0,0.43674842962062477
ridge_linear,57,high_20nA,360,0.06388888888888888,0.3774345428342388,0.02411387356996525,0.005555555555555556,0.28186650155001663
gradient_boosted_trees,57,high_20nA,360,0.06944444444444445,0.20579330232135107,0.014291201550093825,0.011111111111111112,0.24818390564908333
mlp,57,high_20nA,360,0.95,0.09453148881724265,0.0898049143763805,0.022222222222222223,0.14629388632949844
cnn_1d_dual_head,57,high_20nA,360,0.0,,0.0,0.0,0.47356244921684265
consensus_abstention_ensemble,57,high_20nA,360,0.10277777777777777,0.11555403241023886,0.011876386664385664,0.005555555555555556,0.28934674347782485
