method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,selector
of_2_10,2.0,heldout,198,-2.844350996627089,3.5432740334312633,3.284118018890215,0.15151515151515152,0.700110842364047,1.3587431175245013,median_first4
of_3_11,2.0,train,11262,-3.5940102117290706,3.452368627838441,3.9000457657727643,0.16577872491564552,6.060366929639311,14.089696275899165,median_first4
of_3_11,2.0,heldout,198,-3.344046788509626,3.3185763785031255,2.9804589483669663,0.10101010101010101,1.5138929387842701,1.7723133456134406,median_first4
of_4_12,2.0,train,11262,-3.6263269010346626,3.377403361605647,4.043498254622855,0.16542354821523708,117.70399083434025,11.822806176248937,median_first4
of_4_12,2.0,heldout,198,-3.3770133539239104,2.8446568308503455,2.9097181473805436,0.08585858585858586,1.8265311161199884,1.6328331911937894,median_first4
le500,2.0,train,12033,-0.9945128534194296,4.263920264923816,7.2230657890848775,0.22496468046206267,276.06472904170806,1.5628979472207485,dynamic_range
le500,2.0,heldout,213,-1.7708976057055494,4.331028703720003,4.312793129347474,0.2300469483568075,2.0908311577772354,0.8138988189251644,dynamic_range
cfd10,2.0,train,13206,-2.0499501096102417,3.170945852802797,8.167877460971685,0.07458730879903075,257.67136242196756,52.26413879223682,dynamic_range
cfd10,2.0,heldout,270,-2.281407828011485,3.0903681150635887,3.136175044891866,0.07407407407407407,170.83296868484663,2.6650215032846516,dynamic_range
cfd20,2.0,train,13206,-2.0798254244439747,3.124524831808997,8.155852311911696,0.05936695441466,280.60707048814777,28.17511140360123,dynamic_range
cfd20,2.0,heldout,270,-2.307276519929575,2.958561537573531,3.08286328132459,0.05925925925925926,194.4584399064768,1.7077184947041666,dynamic_range
cfd30,2.0,train,13206,-1.9605811766318606,3.22762905052769,8.334234315250153,0.07935786763592306,306.64138126626176,19.603119264592646,dynamic_range
cfd30,2.0,heldout,270,-2.176232139342126,3.0281630104058412,3.6455740989471885,0.04814814814814815,193.0818743306497,2.072685947825209,dynamic_range
cfd40,2.0,train,13206,-1.793778555588501,3.394232910697285,8.471080954981677,0.1097228532485234,238.45980527895293,11.346059815570896,dynamic_range
cfd40,2.0,heldout,270,-1.9396076853108575,3.111648236251121,3.748208868090743,0.08518518518518518,10.489909695200119,2.4770989099463705,dynamic_range
cfd50,2.0,train,13206,-1.593182003929602,3.5739343240323524,8.725894036371376,0.14410116613660456,188.08133931757894,9.537374436753655,dynamic_range
cfd50,2.0,heldout,270,-1.7140853629029031,3.2111038362297077,3.8847639989205236,0.10740740740740741,135.74256379882013,1.771697358956707,dynamic_range
template_phase,2.0,train,13206,-4.0552045306009035,2.552207970587567,4.222835529640454,0.1113130395274875,260.306626128177,323.7700114086343,dynamic_range
template_phase,2.0,heldout,270,-4.0552045306009035,2.552207970587567,3.550898842272158,0.05185185185185185,0.9066619716493827,6.565687773272087,dynamic_range
of_1_9,2.0,train,13206,-3.2713334862822734,4.347471543050656,128.409935584228,0.26253218234136,1.2464979223271924,10.690554953042719,dynamic_range
of_1_9,2.0,heldout,270,-2.915991453847443,4.675869970101948,140.31902609179346,0.337037037037037,2.551194627647317,1.7144051431848115,dynamic_range
of_2_10,2.0,train,13206,-3.484728033884938,4.279504179895272,111.81207889963761,0.26185067393608963,7.029546077891184,11.873606080377726,dynamic_range
of_2_10,2.0,heldout,270,-3.1897342525644596,5.257167177864866,122.7107171958673,0.3333333333333333,2.389490733303506,1.9946051103413929,dynamic_range
of_3_11,2.0,train,13206,-3.8279897390283963,4.082160922398464,90.28695415438816,0.2548084204149629,1.473260756219797,11.351717804401611,dynamic_range
of_3_11,2.0,heldout,270,-4.047093167588127,4.541676233624226,114.51926835820429,0.3,1.4135083746026043,1.4254136211880675,dynamic_range
of_4_12,2.0,train,13206,-4.073865226212018,4.1607267260257155,70.01158071467512,0.2704831137361805,8.316509971494687,10.65894105130318,dynamic_range
of_4_12,2.0,heldout,270,-4.284501046345225,5.4021516405589995,104.95319173502719,0.3037037037037037,3.2572468690423633,0.9467452182913563,dynamic_range
