n_bins,run_shrink_strength,deployment_population_weight,fold,sigma68_ns,n_pair_residuals,heldout_run
8,20.0,0.0,1,1.270373449484861,3534,58
8,20.0,0.0,2,1.3412170870846545,4710,58
8,20.0,0.0,-1,1.5413909602683222,0,58
8,20.0,1.0,0,1.9808796033986042,2997,58
8,20.0,1.0,1,1.2599042865570471,3534,58
8,20.0,1.0,2,1.3339588161402984,4710,58
8,20.0,1.0,-1,1.5249142353653167,0,58
8,20.0,4.0,0,1.9278262497643353,2997,58
8,20.0,4.0,1,1.2348322771623435,3534,58
8,20.0,4.0,2,1.3401916235205256,4710,58
8,20.0,4.0,-1,1.5009500501490682,0,58
8,20.0,16.0,0,1.8766123324179387,2997,58
8,20.0,16.0,1,1.2067611057629604,3534,58
8,20.0,16.0,2,1.3423512514750735,4710,58
8,20.0,16.0,-1,1.4752415632186573,0,58
8,80.0,0.0,0,1.7096919006430478,2997,58
8,80.0,0.0,1,1.1029334869573377,3534,58
8,80.0,0.0,2,1.2234682214634578,4710,58
8,80.0,0.0,-1,1.3453645363546143,0,58
8,80.0,1.0,0,1.6355148238562238,2997,58
8,80.0,1.0,1,1.12957340410488,3534,58
8,80.0,1.0,2,1.2246750348960476,4710,58
8,80.0,1.0,-1,1.3299210876190504,0,58
8,80.0,4.0,0,1.527086158536771,2997,58
8,80.0,4.0,1,1.1049630362574443,3534,58
8,80.0,4.0,2,1.230956938623592,4710,58
8,80.0,4.0,-1,1.287668711139269,0,58
8,80.0,16.0,0,1.4194090292734391,2997,58
8,80.0,16.0,1,1.021897053543868,3534,58
8,80.0,16.0,2,1.2419481261201843,4710,58
8,80.0,16.0,-1,1.2277514029791639,0,58
8,320.0,0.0,0,1.1970951225926314,2997,58
8,320.0,0.0,1,1.0056901586829134,3534,58
8,320.0,0.0,2,1.1174193337446505,4710,58
8,320.0,0.0,-1,1.1067348716733985,0,58
8,320.0,1.0,0,1.217053977545363,2997,58
8,320.0,1.0,1,1.0169377476898316,3534,58
