event_id,pair,method,residual_ns
65:682664:2163:257704,B4-B8,analytic_timewalk,2.698815925519547
65:682664:2163:257704,B6-B8,analytic_timewalk,-0.508083878662049
65:682740:2234:257780,B4-B6,analytic_timewalk,2.1346722823974034
65:682740:2234:257780,B4-B8,analytic_timewalk,2.193989461398246
65:682740:2234:257780,B6-B8,analytic_timewalk,0.05931717900084266
65:682871:2356:257911,B4-B6,analytic_timewalk,1.0162242983406955
65:682871:2356:257911,B4-B8,analytic_timewalk,0.5373772107335668
65:682871:2356:257911,B6-B8,analytic_timewalk,-0.4788470876071287
65:683474:2923:258514,B4-B6,analytic_timewalk,2.0913427557745905
65:683474:2923:258514,B4-B8,analytic_timewalk,1.7270887544728453
65:683474:2923:258514,B6-B8,analytic_timewalk,-0.36425400130174523
65:683541:2987:258581,B4-B6,analytic_timewalk,2.1054201504191212
65:683541:2987:258581,B4-B8,analytic_timewalk,1.5389993711080052
65:683541:2987:258581,B6-B8,analytic_timewalk,-0.566420779311116
65:684986:4332:260026,B4-B6,analytic_timewalk,0.6117342072424137
65:684986:4332:260026,B4-B8,analytic_timewalk,-0.46848819987188506
65:684986:4332:260026,B6-B8,analytic_timewalk,-1.0802224071142987
65:685607:4902:260647,B4-B6,analytic_timewalk,2.251344017392519
65:685607:4902:260647,B4-B8,analytic_timewalk,1.9169553988284136
65:685607:4902:260647,B6-B8,analytic_timewalk,-0.3343886185641054
65:685699:4986:260739,B4-B6,analytic_timewalk,2.6814885666936448
65:685699:4986:260739,B4-B8,analytic_timewalk,2.5585438645221927
65:685699:4986:260739,B6-B8,analytic_timewalk,-0.12294470217145204
65:686924:6129:261964,B4-B6,analytic_timewalk,7.419417260704762
65:686924:6129:261964,B4-B8,analytic_timewalk,4.323389953841726
65:686924:6129:261964,B6-B8,analytic_timewalk,-3.0960273068630357
65:686970:6168:262010,B4-B6,analytic_timewalk,2.169609350310864
65:686970:6168:262010,B4-B8,analytic_timewalk,1.91404927864167
65:686970:6168:262010,B6-B8,analytic_timewalk,-0.25556007166919414
65:649169:4127:224209,B4-B6,xgboost,-0.8753356126984784
65:649169:4127:224209,B4-B8,xgboost,-0.40075769523507176
65:649169:4127:224209,B6-B8,xgboost,0.4745779174634066
65:650188:5110:225228,B4-B6,xgboost,-0.3580212027493701
65:650188:5110:225228,B4-B8,xgboost,0.1330842416631839
65:650188:5110:225228,B6-B8,xgboost,0.491105444412554
65:651341:6223:226381,B4-B6,xgboost,0.5470342854587642
65:651341:6223:226381,B4-B8,xgboost,0.0908273017674901
65:651341:6223:226381,B6-B8,xgboost,-0.4562069836912741
65:651631:6497:226671,B4-B6,xgboost,0.40227950480071684
65:651631:6497:226671,B4-B8,xgboost,-2.185849340444051
65:651631:6497:226671,B6-B8,xgboost,-2.5881288452447677
65:651940:6301:226980,B4-B6,xgboost,0.9960529735292738
65:651940:6301:226980,B4-B8,xgboost,1.0498146107088289
65:651940:6301:226980,B6-B8,xgboost,0.053761637179555066
65:652313:6632:227353,B4-B6,xgboost,-1.0780537507716943
65:652313:6632:227353,B4-B8,xgboost,-2.224606658101642
65:652313:6632:227353,B6-B8,xgboost,-1.1465529073299479
65:652429:6743:227469,B4-B6,xgboost,-0.9351581453414468
65:652429:6743:227469,B4-B8,xgboost,-0.2516862180813604
65:652429:6743:227469,B6-B8,xgboost,0.6834719272600864
65:652612:6917:227652,B4-B6,xgboost,-0.06546212126875162
65:652612:6917:227652,B4-B8,xgboost,0.11362682660275425
65:652612:6917:227652,B6-B8,xgboost,0.17908894787150587
65:653933:8154:228973,B4-B6,xgboost,-1.053712188693538
65:653933:8154:228973,B4-B8,xgboost,-0.5489653670898775
65:653933:8154:228973,B6-B8,xgboost,0.5047468216036606
65:654599:8777:229639,B4-B6,xgboost,-1.7145448247346025
65:654599:8777:229639,B4-B8,xgboost,-0.08649208984788004
65:654599:8777:229639,B6-B8,xgboost,1.6280527348867224
65:655258:9389:230298,B4-B6,xgboost,-1.00733945104205
65:655258:9389:230298,B4-B8,xgboost,-1.047534364857988
65:655258:9389:230298,B6-B8,xgboost,-0.040194913815938094
65:655456:9566:230496,B4-B6,xgboost,-3.029820329862396
65:655456:9566:230496,B4-B8,xgboost,-1.6952689837914718
65:655456:9566:230496,B6-B8,xgboost,1.3345513460709242
65:655741:9833:230781,B4-B6,xgboost,-1.9428865412566836
65:655741:9833:230781,B4-B8,xgboost,-1.6698802498859138
65:655741:9833:230781,B6-B8,xgboost,0.2730062913707698
65:656000:10073:231040,B4-B6,xgboost,0.060609100471253896
65:656000:10073:231040,B4-B8,xgboost,0.05054142701646924
65:656000:10073:231040,B6-B8,xgboost,-0.010067673454784654
65:656462:10504:231502,B4-B6,xgboost,-0.9828109026513374
65:656462:10504:231502,B4-B8,xgboost,-0.5559595351249556
65:656462:10504:231502,B6-B8,xgboost,0.42685136752638186
65:657071:11070:232111,B4-B6,xgboost,-1.6411622567221897
65:657071:11070:232111,B4-B8,xgboost,-3.0245825814461824
65:657071:11070:232111,B6-B8,xgboost,-1.3834203247239927
65:657490:11464:232530,B4-B6,xgboost,-3.215585128366918
65:657490:11464:232530,B4-B8,xgboost,-2.6063276318016264
65:657490:11464:232530,B6-B8,xgboost,0.6092574965652915
65:657989:11933:233029,B4-B6,xgboost,-2.319131452812094
65:657989:11933:233029,B4-B8,xgboost,-2.843599391412603
65:657989:11933:233029,B6-B8,xgboost,-0.5244679386005089
65:659709:13573:234749,B4-B6,xgboost,-4.386788053569774
65:659709:13573:234749,B4-B8,xgboost,-3.048946835390204
65:659709:13573:234749,B6-B8,xgboost,1.3378412181795696
65:660196:14017:235236,B4-B6,xgboost,-1.4151085522888067
65:660196:14017:235236,B4-B8,xgboost,-1.0083512338728795
65:660196:14017:235236,B6-B8,xgboost,0.4067573184159272
