heldout_run,method,n_pair_residuals,n_enddiffs,twoended_pair_sigma68_ns,twoended_pair_full_rms_ns,tail_frac_abs_gt5ns,mean_enddiff_sigma68_ns,correlated_floor_sigma_ns,correlated_floor_min_pair_sigma_ns,correlated_floor_max_pair_sigma_ns
45,ml_shuffled_target_control,494,1547,2.855365497158574,6.5510162049261185,0.08502024291497975,1.699783283323361,0.8361944159120956,0.5617089586338455,1.023135507688617
46,ml_shuffled_target_control,3,12,2.337273085947774,3.949121115090262,0.3333333333333333,0.19013925658952355,0.0,0.0,0.0
47,ml_shuffled_target_control,44,160,2.6765739897509966,2.5977090525413464,0.022727272727272728,1.0056053522991495,0.7956896053172112,0.5943989605867094,0.9868725896315672
48,ml_shuffled_target_control,306,955,2.748978982528024,2.6955412068150744,0.042483660130718956,1.9839501227657659,0.9052727467284482,0.0,1.0396668408661016
49,ml_shuffled_target_control,322,1036,2.716664638228459,7.601522215114901,0.07763975155279502,2.089869625813913,0.8903991181643914,0.0,1.0364455104458474
50,ml_shuffled_target_control,335,1129,2.800400483398974,7.841872506258359,0.07761194029850746,1.0394939843431144,0.9536292512105188,0.8893048913769713,1.4785037147650573
51,ml_shuffled_target_control,174,540,3.140461177463745,8.469172891720966,0.12643678160919541,0.8968424921727296,1.1460080551891758,0.9870167078078835,1.4752819205648353
52,ml_shuffled_target_control,95,259,3.0004760374170543,9.124857379773925,0.07368421052631578,2.1363228550251736,1.3367309641036096,0.0,1.4488686872191792
53,ml_shuffled_target_control,307,975,2.7797590641883816,2.846333762216054,0.0749185667752443,1.1509470729409381,0.9420791128540653,0.8448881176069366,1.018548456426365
54,ml_shuffled_target_control,281,947,2.5725396203370834,8.386143241115992,0.08185053380782918,1.2309826121787146,1.1052920507168351,0.8563252391167006,1.194940333057583
55,ml_shuffled_target_control,217,651,2.973582097878617,5.024712352127506,0.08755760368663594,1.2267366268209232,0.9698229601708073,0.935845820387883,1.1263716186578903
56,ml_shuffled_target_control,460,1418,2.7759447748740103,7.449607139528188,0.08260869565217391,1.3947209152460267,0.8449181815558605,0.79974081225239,1.2971455656347903
57,ml_shuffled_target_control,347,1059,2.72787780025006,3.0531597448166363,0.069164265129683,1.5514179540310256,0.9481613440846871,0.8599132013380861,1.186432127534513
58,ml_shuffled_target_control,353,990,2.8848353402065086,10.518274934516253,0.0821529745042493,1.5173761538663735,0.9260080224112978,0.89972168432904,1.629319260938756
59,ml_shuffled_target_control,3753,7812,2.9772793151655375,5.898894237646953,0.07647215560884625,2.3884678701988857,0.6158890537228112,0.0,0.8566737391602782
60,ml_shuffled_target_control,3700,7156,2.96970243997057,7.142312050952617,0.07837837837837838,2.4273207467885953,0.6607085940167808,0.0,0.9179574771364256
61,ml_shuffled_target_control,4245,7950,2.758734497266556,7.560668320164102,0.056301531213191994,2.381447895166474,0.5939208596022924,0.0,0.9649540469250583
62,ml_shuffled_target_control,3833,7454,2.938321413118423,5.813059468420441,0.06287503261153143,2.7055973171171437,0.47951845642836144,0.0,0.5364676964337004
63,ml_shuffled_target_control,1816,4250,3.206158972276245,7.5825970619815015,0.09581497797356828,2.579974207141259,0.7649792002482191,0.0,0.9777707673967617
65,ml_shuffled_target_control,398,1270,2.639157342240578,2.494405708579732,0.052763819095477386,1.7703067684476794,0.5857345788032378,0.5548225140433284,0.6107728142245086
44,ml_single_endpoint_proxy,45,154,2.364268106592906,4.187495609100715,0.044444444444444446,1.1940567853032846,0.32872281705275164,0.0,0.6077416111528819
45,ml_single_endpoint_proxy,494,1547,2.06873981673695,2.5426435257099658,0.032388663967611336,1.2112804610516272,0.0,0.0,0.1855422650783549
46,ml_single_endpoint_proxy,3,12,1.9715228628670958,3.250765131565212,0.3333333333333333,0.3399465481724535,0.0,0.0,0.0
47,ml_single_endpoint_proxy,44,160,2.1333993248536958,1.9770478196699863,0.0,0.9331749041390398,0.0,0.0,0.4137698155014096
48,ml_single_endpoint_proxy,306,955,2.1717010172849935,1.9787267134591386,0.00980392156862745,1.2014232716707964,0.0,0.0,0.23354066537244797
49,ml_single_endpoint_proxy,322,1036,2.058407289351757,2.7559873869357325,0.018633540372670808,1.1383277849601756,0.0,0.0,0.31444155080542696
50,ml_single_endpoint_proxy,335,1129,2.090012326609187,2.9419595513164762,0.020895522388059702,1.1723051834342861,0.27629884795254644,0.0,0.38984767970108447
51,ml_single_endpoint_proxy,174,540,2.2547323917497777,3.0364612417192824,0.05747126436781609,1.1950192672516942,0.3318886967810101,0.0,0.7255207999826522
52,ml_single_endpoint_proxy,95,259,2.1363238046382085,3.606697173841784,0.021052631578947368,1.1908880400632287,0.0,0.0,0.0
53,ml_single_endpoint_proxy,307,975,2.056895012240699,2.4195329082207206,0.03257328990228013,1.2859641077629809,0.0,0.0,0.15357269862132789
54,ml_single_endpoint_proxy,281,947,2.0114678876208743,2.2573240135894017,0.028469750889679714,1.3299627919476007,0.0,0.0,0.5456739463945252
55,ml_single_endpoint_proxy,217,651,2.0988211349362587,2.4699235602535703,0.02304147465437788,1.0954707578749667,0.1946512966380305,0.0,0.32156714267187664
56,ml_single_endpoint_proxy,460,1418,2.1254966833384787,2.8629363633918823,0.034782608695652174,1.2448640040537058,0.0,0.0,0.0
57,ml_single_endpoint_proxy,347,1059,1.9011681421173678,2.1556766229527846,0.02881844380403458,1.1536932062212921,0.0,0.0,0.23715314849430985
58,ml_single_endpoint_proxy,353,990,2.113126057064668,3.3696224576000944,0.036827195467422094,1.2234729972242124,0.0,0.0,0.31880557118023756
59,ml_single_endpoint_proxy,3753,7812,2.4591282183462044,2.8454485592373966,0.03916866506794564,0.9488643617427135,0.6146373523265594,0.30499914531026034,0.6336227577713516
60,ml_single_endpoint_proxy,3700,7156,2.289439452047473,2.795823491805342,0.04108108108108108,0.9337702733359255,0.5476042868816793,0.3678122445858212,0.6203293929219363
61,ml_single_endpoint_proxy,4245,7950,2.060799447388695,2.8758570101531142,0.04169611307420495,0.9640640230890908,0.4783576757205461,0.3891419808202719,0.6037483029452848
62,ml_single_endpoint_proxy,3833,7454,2.360034358394733,2.666549820798531,0.03208974693451604,0.9405170723243262,0.6523860583178825,0.34510192961171554,0.662084088201689
63,ml_single_endpoint_proxy,1816,4250,2.5352819329894074,3.1558224107540647,0.04405286343612335,1.0076839643355788,0.6545725804306721,0.20275909819617036,0.6798033026846273
65,ml_single_endpoint_proxy,398,1270,2.0492346389328344,1.9807880898962271,0.01507537688442211,1.1005788783186363,0.48940188012144037,0.0,0.5067013339334687
44,traditional_template_phase,45,154,2.569049188226586,4.329262836321749,0.044444444444444446,0.5000000000000006,0.0,0.0,0.6462971452822657
45,traditional_template_phase,494,1547,1.964213445877914,2.544401389387885,0.022267206477732792,0.4166666666666696,0.0,0.0,0.11726039399558505
46,traditional_template_phase,3,12,2.085351226464348,3.5371068198958278,0.3333333333333333,0.16666666666666785,0.0,0.0,0.0
47,traditional_template_phase,44,160,1.9646216564982204,1.873061176846321,0.0,0.5133333333333358,0.0,0.0,0.3251153641401765
48,traditional_template_phase,306,955,2.062242464007962,1.9923415597713612,0.029411764705882353,0.500000000000003,0.08838834764832096,0.0641287766919055,0.19108244294021182
49,traditional_template_phase,322,1036,2.186950206703994,2.8084093532659966,0.031055900621118012,0.5,0.2347605162713727,0.0,0.3295641060552582
50,traditional_template_phase,335,1129,2.1566632901934657,2.950081086115802,0.029850746268656716,0.41666666666667024,0.2931509849889632,0.0,0.41886752082251577
51,traditional_template_phase,174,540,2.060536587954804,3.9665588665335534,0.05172413793103448,0.41666666666666696,0.0,0.0,0.3952847075210473
52,traditional_template_phase,95,259,1.8359477433416433,4.093585741659493,0.021052631578947368,0.5000000000000036,0.0,0.0,0.08838834764831624
53,traditional_template_phase,307,975,1.9032373856280245,2.4713968443634764,0.035830618892508145,0.41666666666667257,0.0,0.0,0.0
54,traditional_template_phase,281,947,1.893523487982808,2.2184065380488227,0.021352313167259787,0.41666666666667024,0.0,0.0,0.0
55,traditional_template_phase,217,651,1.866538423423151,2.5559360575052876,0.02304147465437788,0.4466666666666675,0.0,0.0,0.0
56,traditional_template_phase,460,1418,2.056232558715486,2.9195316051643716,0.02391304347826087,0.5000000000000041,0.0,0.0,0.03937003937005045
57,traditional_template_phase,347,1059,2.052947916490208,2.160679028052964,0.02881844380403458,0.5000000000000021,0.19685019685029587,0.0,0.2500000000000073
58,traditional_template_phase,353,990,2.0904458147498346,3.706300901555407,0.05099150141643059,0.5000000000000012,0.25,0.24999999999999822,0.26962937525425484
59,traditional_template_phase,3753,7812,2.614291542436419,2.9870802188893446,0.04343192112976286,0.5833333333333357,0.6614378277661498,0.6312190586476293,0.7288689868556649
60,traditional_template_phase,3700,7156,2.390848074079468,2.9785810288767136,0.04891891891891892,0.4999999999999994,0.5659615711335917,0.5659615711335912,0.6614378277661491
61,traditional_template_phase,4245,7950,1.9083686445131036,3.0895215646904237,0.04381625441696113,0.5833333333333339,0.6614378277661487,0.6312190586476353,0.8244316223920628
62,traditional_template_phase,3833,7454,2.527695218141915,2.8877352966790677,0.03965562222801983,0.5833333333333334,0.66143782776615,0.6312190586476331,0.7288689868556656
63,traditional_template_phase,1816,4250,2.5886417387609795,3.298209347624349,0.051762114537444934,0.5000000000000012,0.6614378277661529,0.6614378277661473,0.7551903733496607
65,traditional_template_phase,398,1270,2.2173487875339313,2.015787387597167,0.017587939698492462,0.5833333333333345,0.6430785333067804,0.3879271838889374,0.6614378277661447
