heldout_run,candidate,sign,train_auc,train_ap,selected,n_train,n_test
62,any_early_peak,1,0.49077809798270894,0.49557773240858805,,,
62,any_early_peak,-1,0.509221902017291,0.5046658432825579,,,
62,b2_early_peak,1,0.5,0.5,,,
62,b2_early_peak,-1,0.5,0.5,,,
62,early_peak_count,1,0.4892380137697348,0.4916731633581686,,,
62,early_peak_count,-1,0.5107619862302653,0.5055425812117086,,,
62,downstream_early_count,1,0.48285310898686973,0.49050861368774307,,,
62,downstream_early_count,-1,0.5171468910131303,0.5089071389082883,,,
62,early_low_area_count,1,0.49457382753780865,0.49451247660055264,,,
62,early_low_area_count,-1,0.5054261724621913,0.5026762824847,,,
62,max_p02_score,1,0.5264128096736955,0.5104435442879397,,,
62,max_p02_score,-1,0.4735871903263045,0.47222959431689915,,,
62,ds_max_p02_score,1,0.530358361916468,0.5115183973106503,,,
62,ds_max_p02_score,-1,0.46964163808353193,0.47068321661642426,,,
62,__selected__,1,0.530358361916468,0.5115183973106503,ds_max_p02_score,3470.0,840.0
63,any_early_peak,1,0.49260581336053033,0.4964246044172371,,,
63,any_early_peak,-1,0.5073941866394697,0.5037323500465589,,,
63,b2_early_peak,1,0.5,0.5,,,
63,b2_early_peak,-1,0.5,0.5,,,
63,early_peak_count,1,0.4908176291326975,0.4921433431353302,,,
63,early_peak_count,-1,0.5091823708673024,0.5046332991860508,,,
63,downstream_early_count,1,0.48503310734748295,0.4910517226031834,,,
63,downstream_early_count,-1,0.514966892652517,0.5077217941045264,,,
63,early_low_area_count,1,0.4948195576100091,0.49483818846874583,,,
63,early_low_area_count,-1,0.5051804423899908,0.5025442756805659,,,
63,max_p02_score,1,0.5277252419113041,0.5116212384577254,,,
63,max_p02_score,-1,0.4722747580886959,0.47245259424476516,,,
63,ds_max_p02_score,1,0.5304325473713445,0.51183228727206,,,
63,ds_max_p02_score,-1,0.4695674526286555,0.4716873868367989,,,
63,__selected__,1,0.5304325473713445,0.51183228727206,ds_max_p02_score,3922.0,388.0
65,any_early_peak,1,0.49214659685863876,0.4962064753582325,,,
65,any_early_peak,-1,0.5078534031413613,0.503966831998625,,,
65,b2_early_peak,1,0.5,0.5,,,
65,b2_early_peak,-1,0.5,0.5,,,
65,early_peak_count,1,0.49042295536610137,0.4921165851080583,,,
65,early_peak_count,-1,0.5095770446338987,0.5048737565569216,,,
65,downstream_early_count,1,0.4847725556674922,0.49101852434529175,,,
65,downstream_early_count,-1,0.5152274443325077,0.5078766139306035,,,
65,early_low_area_count,1,0.49472396023651843,0.4949176277730314,,,
65,early_low_area_count,-1,0.5052760397634816,0.5026187052694437,,,
65,max_p02_score,1,0.5269545949538773,0.5107272070443596,,,
65,max_p02_score,-1,0.47304540504612275,0.47254356394665586,,,
65,ds_max_p02_score,1,0.5298637284527823,0.511312751165167,,,
65,ds_max_p02_score,-1,0.4701362715472177,0.47180787646861033,,,
65,__selected__,1,0.5298637284527823,0.511312751165167,ds_max_p02_score,4202.0,108.0
