run,pair_a,pair_b,cov_ns2,pair_a_has_b2,pair_b_has_b2
60,B4-B6,B6-B8,-0.6247918110395094,False,False
60,B4-B8,B6-B8,29.118951287908747,False,False
61,B2-B4,B2-B6,65.38635418615347,True,True
61,B2-B4,B2-B8,30.020057897830466,True,True
61,B2-B4,B4-B6,-3.5859573735925108,True,False
61,B2-B4,B4-B8,0.21281381518978418,True,False
61,B2-B4,B6-B8,-0.8619682201922565,True,False
61,B2-B6,B2-B8,61.72837588048607,True,True
61,B2-B6,B4-B6,39.33606150520912,True,False
61,B2-B6,B4-B8,30.887618446480822,True,False
61,B2-B6,B6-B8,-1.1160010918647914,True,False
61,B2-B8,B4-B6,31.54991851897671,True,False
61,B2-B8,B4-B8,98.34964752257007,True,False
61,B2-B8,B6-B8,22.158204316542015,True,False
61,B4-B6,B4-B8,30.152618341233374,False,False
61,B4-B6,B6-B8,-0.43383481605925395,False,False
61,B4-B8,B6-B8,23.24319775265437,False,False
62,B2-B4,B2-B6,121.33856037054886,True,True
62,B2-B4,B2-B8,104.77636784485978,True,True
62,B2-B4,B4-B6,0.427840271998273,True,False
62,B2-B4,B4-B8,0.16148385634364767,True,False
62,B2-B4,B6-B8,-0.1707623484809497,True,False
62,B2-B6,B2-B8,95.41191429217373,True,True
62,B2-B6,B4-B6,26.20972719081262,True,False
62,B2-B6,B4-B8,2.5371543524112643,True,False
62,B2-B6,B6-B8,-1.0622038419115352,True,False
62,B2-B8,B4-B6,2.629863400204285,True,False
62,B2-B8,B4-B8,26.79915787880714,True,False
62,B2-B8,B6-B8,22.98264585171914,True,False
62,B4-B6,B4-B8,3.1469743293516674,False,False
62,B4-B6,B6-B8,-1.0668370100380222,False,False
62,B4-B8,B6-B8,23.551304425121963,False,False
63,B2-B4,B2-B6,324.7214820848861,True,True
63,B2-B4,B2-B8,323.13278084461734,True,True
63,B2-B4,B4-B6,-12.834151404027061,True,False
63,B2-B4,B4-B8,-2.74806003867888,True,False
63,B2-B4,B6-B8,-3.345639165518044,True,False
63,B2-B6,B2-B8,287.9032089870075,True,True
63,B2-B6,B4-B6,38.53256298935719,True,False
63,B2-B6,B4-B8,0.9632541210950921,True,False
63,B2-B6,B6-B8,-4.130766950137914,True,False
63,B2-B8,B4-B6,5.268629362288977,True,False
63,B2-B8,B4-B8,57.829386011508035,True,False
63,B2-B8,B6-B8,49.10865953169694,True,False
63,B4-B6,B4-B8,3.600438279797963,False,False
63,B4-B6,B6-B8,-1.1661433504584013,False,False
63,B4-B8,B6-B8,53.13103777367846,False,False
65,B2-B4,B2-B6,639.7688041739026,True,True
65,B2-B4,B2-B8,805.0751309841437,True,True
65,B2-B4,B4-B6,0.9830814824573387,True,False
65,B2-B4,B4-B8,-1.7305545330782817,True,False
65,B2-B4,B6-B8,6.75182047964492,True,False
65,B2-B6,B2-B8,548.9689315144473,True,True
65,B2-B6,B4-B6,4.215486437358087,True,False
65,B2-B6,B4-B8,3.680176328870444,True,False
65,B2-B6,B6-B8,4.743529586388739,True,False
65,B2-B8,B4-B6,-3.3436050858280173,True,False
65,B2-B8,B4-B8,1.1702286821865033,True,False
65,B2-B8,B6-B8,6.7459002801327355,True,False
65,B4-B6,B4-B8,1.44175538508329,False,False
65,B4-B6,B6-B8,-1.0050107141321654,False,False
65,B4-B8,B6-B8,1.1361376692786185,False,False
