support_cell,negative_rows,positive_rows,min_class_rows,matched_cell
sample_i_calib|0|1|0|1|0|1,29,0,0,False
sample_i_calib|0|1|0|1|1|0,173,0,0,False
sample_i_calib|0|1|0|1|1|1,31,0,0,False
sample_i_calib|0|2|0|1|0|0,164,430,164,True
sample_i_calib|0|2|0|1|0|1,4,0,0,False
sample_i_calib|0|2|0|1|1|0,54,0,0,False
sample_i_calib|0|2|0|1|1|1,2,0,0,False
sample_i_calib|0|2|1|1|0|0,3,632,3,True
sample_i_calib|0|2|1|1|0|1,3,11,3,True
sample_i_calib|0|2|1|1|1|0,6,0,0,False
sample_i_calib|0|2|1|1|1|1,1,0,0,False
sample_i_calib|0|3|1|1|0|0,0,1303,0,False
sample_i_calib|0|3|1|1|0|1,1,174,1,False
sample_i_calib|0|3|1|1|1|0,3,0,0,False
sample_i_calib|1|0|0|0|0|0,11,0,0,False
sample_i_calib|1|0|0|0|0|1,2,0,0,False
sample_i_calib|1|0|0|0|1|0,1,0,0,False
sample_i_calib|1|0|0|0|1|1,3,0,0,False
sample_i_calib|1|1|0|0|0|0,18,3,3,True
sample_i_calib|1|1|0|0|0|1,2,0,0,False
sample_i_calib|1|1|0|0|1|0,9,0,0,False
sample_i_calib|1|1|1|0|0|0,0,2,0,False
sample_i_calib|1|2|0|0|0|0,2,9,2,False
sample_i_calib|1|2|0|0|0|1,0,1,0,False
sample_i_calib|1|2|1|0|0|0,0,12,0,False
sample_i_calib|1|2|1|0|0|1,0,1,0,False
sample_i_calib|1|3|1|0|0|0,0,14,0,False
sample_i_calib|1|3|1|0|0|1,0,10,0,False
sample_i_calib|2|0|0|0|0|0,5,0,0,False
sample_i_calib|2|0|0|0|1|0,1,0,0,False
sample_i_calib|2|0|0|0|1|1,2,0,0,False
sample_i_calib|2|1|0|0|0|0,14,8,8,True
sample_i_calib|2|1|0|0|1|0,2,0,0,False
sample_i_calib|2|2|0|0|0|0,4,5,4,True
sample_i_calib|2|2|0|0|0|1,1,0,0,False
sample_i_calib|2|2|1|0|0|0,1,2,1,False
sample_i_calib|2|2|1|0|0|1,0,2,0,False
sample_i_calib|2|3|1|0|0|0,0,11,0,False
sample_i_calib|2|3|1|0|0|1,0,4,0,False
sample_i_calib|3|0|0|0|0|0,1,0,0,False
sample_i_calib|3|0|0|0|0|1,1,0,0,False
sample_i_calib|3|0|0|0|1|0,2,0,0,False
sample_i_calib|3|1|0|0|0|0,2,1,1,False
sample_i_calib|3|2|0|0|0|0,2,0,0,False
sample_i_calib|3|2|1|0|0|0,0,1,0,False
sample_i_calib|3|3|1|0|0|0,0,1,0,False
sample_i_calib|3|3|1|0|0|1,0,1,0,False
sample_ii_analysis|0|0|0|1|0|0,837,0,0,False
sample_ii_analysis|0|0|0|1|0|1,43,0,0,False
sample_ii_analysis|0|0|0|1|1|0,31,0,0,False
sample_ii_analysis|0|0|0|1|1|1,93,0,0,False
sample_ii_analysis|0|1|0|1|0|0,130,307,130,True
sample_ii_analysis|0|1|0|1|0|1,11,0,0,False
sample_ii_analysis|0|1|0|1|1|0,91,0,0,False
sample_ii_analysis|0|1|0|1|1|1,3,0,0,False
sample_ii_analysis|0|2|0|1|0|0,1,648,1,False
sample_ii_analysis|0|2|0|1|0|1,0,1,0,False
sample_ii_analysis|0|2|0|1|1|0,13,0,0,False
sample_ii_analysis|0|2|1|1|0|0,0,152,0,False
sample_ii_analysis|0|2|1|1|0|1,0,5,0,False
sample_ii_analysis|0|2|1|1|1|1,1,0,0,False
sample_ii_analysis|0|3|1|1|0|0,0,119,0,False
sample_ii_analysis|0|3|1|1|0|1,0,22,0,False
sample_ii_analysis|0|3|1|1|1|0,1,1,1,False
sample_ii_analysis|1|0|0|0|0|0,27,0,0,False
sample_ii_analysis|1|0|0|0|0|1,26,0,0,False
sample_ii_analysis|1|0|0|0|1|0,12,0,0,False
sample_ii_analysis|1|0|0|0|1|1,14,0,0,False
sample_ii_analysis|1|1|0|0|0|0,59,159,59,True
sample_ii_analysis|1|1|0|0|0|1,2,0,0,False
sample_ii_analysis|1|1|0|0|1|0,66,1,1,False
sample_ii_analysis|1|1|0|0|1|1,1,0,0,False
sample_ii_analysis|1|1|1|0|0|0,0,2,0,False
sample_ii_analysis|1|2|0|0|0|0,1,28,1,False
sample_ii_analysis|1|2|0|0|0|1,0,1,0,False
sample_ii_analysis|1|2|0|0|1|0,2,0,0,False
sample_ii_analysis|1|2|1|0|0|0,0,10,0,False
sample_ii_analysis|1|2|1|0|0|1,1,0,0,False
sample_ii_analysis|1|3|1|0|0|0,0,6,0,False
sample_ii_analysis|1|3|1|0|0|1,0,4,0,False
sample_ii_analysis|2|0|0|0|0|0,37,0,0,False
sample_ii_analysis|2|0|0|0|0|1,14,1,1,False
sample_ii_analysis|2|0|0|0|1|0,15,0,0,False
sample_ii_analysis|2|0|0|0|1|1,4,0,0,False
sample_ii_analysis|2|1|0|0|0|0,37,97,37,True
sample_ii_analysis|2|1|0|0|0|1,1,0,0,False
sample_ii_analysis|2|1|0|0|1|0,30,0,0,False
sample_ii_analysis|2|2|0|0|0|0,1,9,1,False
sample_ii_analysis|2|2|1|0|0|0,0,4,0,False
sample_ii_analysis|2|2|1|0|0|1,0,1,0,False
sample_ii_analysis|2|3|1|0|0|0,0,6,0,False
sample_ii_analysis|2|3|1|0|0|1,0,2,0,False
sample_ii_analysis|3|0|0|0|0|0,16,2,2,False
sample_ii_analysis|3|0|0|0|0|1,9,0,0,False
sample_ii_analysis|3|0|0|0|1|0,14,0,0,False
sample_ii_analysis|3|0|0|0|1|1,1,0,0,False
sample_ii_analysis|3|1|0|0|0|0,21,75,21,True
sample_ii_analysis|3|1|0|0|1|0,14,1,1,False
sample_ii_analysis|3|1|1|0|0|0,0,1,0,False
sample_ii_analysis|3|2|0|0|0|0,0,8,0,False
sample_ii_analysis|3|2|0|0|0|1,0,1,0,False
sample_ii_analysis|3|2|1|0|0|0,0,1,0,False
sample_ii_analysis|3|2|1|0|0|1,0,1,0,False
sample_ii_analysis|3|3|1|0|0|0,0,4,0,False
sample_ii_calib|0|0|0|1|0|0,138,0,0,False
sample_ii_calib|0|0|0|1|0|1,9,0,0,False
sample_ii_calib|0|0|0|1|1|0,3,0,0,False
sample_ii_calib|0|0|0|1|1|1,13,0,0,False
sample_ii_calib|0|1|0|1|0|0,11,61,11,True
sample_ii_calib|0|1|0|1|0|1,2,0,0,False
sample_ii_calib|0|1|0|1|1|0,18,0,0,False
sample_ii_calib|0|1|0|1|1|1,2,0,0,False
sample_ii_calib|0|2|0|1|0|0,0,99,0,False
sample_ii_calib|0|2|0|1|1|0,3,0,0,False
sample_ii_calib|0|2|1|1|0|0,0,25,0,False
sample_ii_calib|0|2|1|1|0|1,0,1,0,False
sample_ii_calib|0|3|1|1|0|0,0,22,0,False
sample_ii_calib|0|3|1|1|0|1,0,5,0,False
sample_ii_calib|1|0|0|0|0|0,1,0,0,False
sample_ii_calib|1|0|0|0|0|1,4,0,0,False
sample_ii_calib|1|0|0|0|1|0,4,0,0,False
sample_ii_calib|1|0|0|0|1|1,1,0,0,False
sample_ii_calib|1|1|0|0|0|0,2,8,2,False
sample_ii_calib|1|1|0|0|1|0,8,0,0,False
sample_ii_calib|1|2|0|0|0|0,1,4,1,False
sample_ii_calib|1|2|1|0|0|0,0,1,0,False
sample_ii_calib|1|3|1|0|0|0,0,2,0,False
sample_ii_calib|2|0|0|0|0|0,3,0,0,False
sample_ii_calib|2|0|0|0|0|1,1,0,0,False
sample_ii_calib|2|0|0|0|1|0,2,0,0,False
sample_ii_calib|2|0|0|0|1|1,2,0,0,False
sample_ii_calib|2|1|0|0|0|0,5,4,4,True
sample_ii_calib|2|1|0|0|1|0,2,0,0,False
sample_ii_calib|2|2|0|0|0|0,0,2,0,False
sample_ii_calib|2|2|1|0|0|0,0,2,0,False
sample_ii_calib|3|0|0|0|0|0,2,0,0,False
sample_ii_calib|3|0|0|0|0|1,1,0,0,False
sample_ii_calib|3|1|0|0|0|0,2,2,2,False
sample_ii_calib|3|2|0|0|0|0,0,1,0,False
sample_ii_calib|3|3|1|0|0|0,0,1,0,False
