method,family,window_mask,samples,causal_before_or_at_peak,window_loss_score,fraction_of_joint_loss,dominant_terms,rank_within_window
1d_cnn,neural_waveform,peak_charge_samples_8_11,8-9-10-11,True,0.08842210389206956,0.16637404777360218,energy_res68_term*0.82: charge and energy scale; energy_bias_loss_term*0.75: calibrated energy bias; saturation_loss_term*0.6: saturation onset and hysteresis; pid_loss_term*0.45: dE/dx and charge-depth PID,5.0
mlp,neural_tabular,peak_charge_samples_8_11,8-9-10-11,True,0.15404150804979,0.3724740148643017,energy_res68_term*0.82: charge and energy scale; energy_bias_loss_term*0.75: calibrated energy bias; saturation_loss_term*0.6: saturation onset and hysteresis; pid_loss_term*0.45: dE/dx and charge-depth PID,6.0
gradient_boosted_trees,ml_tree,pretrigger_pedestal_samples_0_3,0-1-2-3,True,0.013736151180619141,0.07618945244959675,pedestal_loss_term*1: pedestal baseline and drift proxy; saturation_loss_term*0.15: baseline memory contribution to saturation recovery,1.0
mlp,neural_tabular,pretrigger_pedestal_samples_0_3,0-1-2-3,True,0.07045384917782546,0.1703581612394141,pedestal_loss_term*1: pedestal baseline and drift proxy; saturation_loss_term*0.15: baseline memory contribution to saturation recovery,2.0
traditional_joint,traditional,pretrigger_pedestal_samples_0_3,0-1-2-3,True,0.07078767286936584,0.18550990632483566,pedestal_loss_term*1: pedestal baseline and drift proxy; saturation_loss_term*0.15: baseline memory contribution to saturation recovery,3.0
1d_cnn,neural_waveform,pretrigger_pedestal_samples_0_3,0-1-2-3,True,0.07138608081281186,0.1343192561219548,pedestal_loss_term*1: pedestal baseline and drift proxy; saturation_loss_term*0.15: baseline memory contribution to saturation recovery,4.0
new_residual_architecture,new_architecture,pretrigger_pedestal_samples_0_3,0-1-2-3,True,0.0724527914420724,0.17895257467269832,pedestal_loss_term*1: pedestal baseline and drift proxy; saturation_loss_term*0.15: baseline memory contribution to saturation recovery,5.0
ridge,ml_linear,pretrigger_pedestal_samples_0_3,0-1-2-3,True,0.07445490217304256,0.23166112410956588,pedestal_loss_term*1: pedestal baseline and drift proxy; saturation_loss_term*0.15: baseline memory contribution to saturation recovery,6.0
gradient_boosted_trees,ml_tree,rising_edge_samples_4_7,4-5-6-7,True,0.10555636515991217,0.5854829026234482,timing_loss_term*0.78: CFD/template phase and causal timing pickoff; pid_loss_term*0.2: rise-shape PID leakage sensitivity; pileup_loss_term*0.25: early second-pulse separability,1.0
mlp,neural_tabular,rising_edge_samples_4_7,4-5-6-7,True,0.10874292529511874,0.26294155702286326,timing_loss_term*0.78: CFD/template phase and causal timing pickoff; pid_loss_term*0.2: rise-shape PID leakage sensitivity; pileup_loss_term*0.25: early second-pulse separability,2.0
ridge,ml_linear,rising_edge_samples_4_7,4-5-6-7,True,0.12967129578734501,0.40346299934723023,timing_loss_term*0.78: CFD/template phase and causal timing pickoff; pid_loss_term*0.2: rise-shape PID leakage sensitivity; pileup_loss_term*0.25: early second-pulse separability,3.0
new_residual_architecture,new_architecture,rising_edge_samples_4_7,4-5-6-7,True,0.1441605782790813,0.35606504781769055,timing_loss_term*0.78: CFD/template phase and causal timing pickoff; pid_loss_term*0.2: rise-shape PID leakage sensitivity; pileup_loss_term*0.25: early second-pulse separability,4.0
traditional_joint,traditional,rising_edge_samples_4_7,4-5-6-7,True,0.1585781276789704,0.4155781991192497,timing_loss_term*0.78: CFD/template phase and causal timing pickoff; pid_loss_term*0.2: rise-shape PID leakage sensitivity; pileup_loss_term*0.25: early second-pulse separability,5.0
1d_cnn,neural_waveform,rising_edge_samples_4_7,4-5-6-7,True,0.16910087731859574,0.3181783310189409,timing_loss_term*0.78: CFD/template phase and causal timing pickoff; pid_loss_term*0.2: rise-shape PID leakage sensitivity; pileup_loss_term*0.25: early second-pulse separability,6.0
