method_metric,stratum,amp_bin,baseline_bin,p02_topology,low_n_scored,high_n_scored,low_mean,high_mean,high_minus_low,match_weight,method
cnn1d_secondary_fraction,amp_1000_2500|s16_mild_lowering|p02_broad_late,amp_1000_2500,s16_mild_lowering,p02_broad_late,38,820,0.07645326852798462,0.09054639935493469,0.014093130826950073,0.00662136260672591,cnn1d
cnn1d_secondary_fraction,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,27,1465,0.04017648100852966,0.0931868851184845,0.053010404109954834,0.004704652378463147,cnn1d
residual_tcn_secondary_fraction,amp_ge_4500|s16_no_lowering|p02_broad_late,amp_ge_4500,s16_no_lowering,p02_broad_late,280,1680,0.09817119687795639,0.09605129808187485,-0.002119898796081543,0.5196027182435965,residual_tcn
residual_tcn_secondary_fraction,amp_2500_4500|s16_no_lowering|p02_broad_late,amp_2500_4500,s16_no_lowering,p02_broad_late,280,1680,0.1256217509508133,0.13453496992588043,0.008913218975067139,0.29360515769297785,residual_tcn
residual_tcn_secondary_fraction,amp_1000_2500|s16_no_lowering|p02_broad_late,amp_1000_2500,s16_no_lowering,p02_broad_late,239,1680,0.08321487903594971,0.09023695439100266,0.007022075355052948,0.13573793343788115,residual_tcn
residual_tcn_secondary_fraction,amp_1000_2500|s16_large_lowering|p02_early_pathology,amp_1000_2500,s16_large_lowering,p02_early_pathology,132,1637,0.21076422929763794,0.11768049001693726,-0.09308373928070068,0.02300052273915316,residual_tcn
residual_tcn_secondary_fraction,amp_2500_4500|s16_large_lowering|p02_early_pathology,amp_2500_4500,s16_large_lowering,p02_early_pathology,51,1412,0.10875671356916428,0.14268213510513306,0.03392542153596878,0.008886565603763722,residual_tcn
residual_tcn_secondary_fraction,amp_ge_4500|s16_large_lowering|p02_early_pathology,amp_ge_4500,s16_large_lowering,p02_early_pathology,45,1151,0.07809405028820038,0.09704405069351196,0.018950000405311584,0.007841087297438577,residual_tcn
residual_tcn_secondary_fraction,amp_1000_2500|s16_mild_lowering|p02_broad_late,amp_1000_2500,s16_mild_lowering,p02_broad_late,38,820,0.08685659617185593,0.09295535832643509,0.006098762154579163,0.00662136260672591,residual_tcn
residual_tcn_secondary_fraction,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,27,1465,0.08235543221235275,0.10849331319332123,0.026137880980968475,0.004704652378463147,residual_tcn
