stratum,value,method,pileup_ap,pileup_auc,pid_auc,pid_efficiency,pid_purity,pid_balanced_accuracy,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
spacing_bin,"(-0.001, 10.0]",joint_sequence_transformer,,,0.3979238754325259,0.1568627450980392,0.3636363636363636,0.4411764705882353,2.0742606494870497,19.72617529268568,0.4824561403508772,0.4411764705882353,,0.107122978593223,0.1278145831891445,102,102
spacing_bin,"(10.0, 25.0]",joint_sequence_transformer,,,0.5416666666666667,0.3055555555555556,0.5238095238095238,0.5391414141414141,4.198734816198284,11.89897847331606,0.3085106382978723,0.4125,,0.1026212842460597,0.0894959474823117,80,80
spacing_bin,"(25.0, 45.0]",joint_sequence_transformer,,,0.6343023255813954,0.2558139534883721,0.6875,0.565406976744186,0.4416507570359629,8.278499758653794,0.1166666666666666,0.2771084337349397,,0.0581905275520346,0.1140651595216681,83,83
spacing_bin,"(45.0, 70.0]",joint_sequence_transformer,,,0.5066666666666666,0.1428571428571428,0.5,0.4880952380952381,-1.7349228351560295,9.77260261021306,0.1160714285714285,0.1384615384615384,,-0.0235738272970456,0.1210158677859532,65,65
spacing_bin,"(-0.001, 10.0]",mlp,,,0.7662437524029219,0.5294117647058824,0.7297297297297297,0.6666666666666667,2.782307521138647,14.971437627798911,0.3306451612903225,0.392156862745098,,-0.0016331468192638,0.1353484480450667,102,102
spacing_bin,"(10.0, 25.0]",mlp,,,0.673611111111111,0.75,0.627906976744186,0.6931818181818181,1.2936842046093,13.17049646692958,0.31,0.375,,-0.0680211405106258,0.1337725566085794,80,80
spacing_bin,"(25.0, 45.0]",mlp,,,0.8116279069767441,0.6511627906976745,0.7777777777777778,0.7255813953488373,-2.4595658749933413,14.197098221170616,0.319672131147541,0.2650602409638554,,-0.0734561374252525,0.1768441283856559,83,83
spacing_bin,"(45.0, 70.0]",mlp,,,0.7714285714285714,0.4857142857142857,0.7083333333333334,0.6261904761904762,-2.271455151360753,15.49281894455103,0.3559322033898305,0.0923076923076923,,-0.0654487177628607,0.1474699462377571,65,65
spacing_bin,"(-0.001, 10.0]",ridge,,,0.869281045751634,0.5686274509803921,0.8285714285714286,0.7254901960784313,-0.8641149359359224,11.220187952567354,0.2,0.3627450980392157,,0.0120204354910648,0.0771481610569779,102,102
spacing_bin,"(10.0, 25.0]",ridge,,,0.7222222222222223,0.7222222222222222,0.6190476190476191,0.6792929292929293,2.1356126679356047,6.926584194005575,0.0673076923076923,0.35,,0.0081133775219258,0.0843403191134865,80,80
spacing_bin,"(25.0, 45.0]",ridge,,,0.9186046511627908,0.7209302325581395,0.8611111111111112,0.7979651162790697,-2.062145325971434,8.500999986148068,0.0967741935483871,0.253012048192771,,-0.032094870259448,0.0994650323565616,83,83
spacing_bin,"(45.0, 70.0]",ridge,,,0.8371428571428572,0.7428571428571429,0.8125,0.7714285714285715,-3.669109561278372,14.14576495986735,0.2807017543859649,0.123076923076923,,-0.0795487947012051,0.0733506082203821,65,65
spacing_bin,"(-0.001, 10.0]",template_residual_boosted_stack_new,,,0.8650519031141868,0.7647058823529411,0.7959183673469388,0.7843137254901961,-0.0541691154879231,8.240522359091042,0.1363636363636363,0.4607843137254901,,0.0153399440748094,0.0716416401538776,102,102
spacing_bin,"(10.0, 25.0]",template_residual_boosted_stack_new,,,0.8339646464646464,0.8333333333333334,0.6521739130434783,0.7348484848484849,2.849290012585568,6.303578641343631,0.1020408163265306,0.3875,,-0.0056713614579831,0.0802247199917569,80,80
spacing_bin,"(25.0, 45.0]",template_residual_boosted_stack_new,,,0.986627906976744,0.9534883720930232,0.9534883720930232,0.9517441860465116,-1.1053265911363883,8.836285766192589,0.0806451612903225,0.253012048192771,,-0.006348068762386,0.0785514375604486,83,83
spacing_bin,"(45.0, 70.0]",template_residual_boosted_stack_new,,,0.8904761904761904,0.9714285714285714,0.8292682926829268,0.8690476190476191,-0.2444722982639913,8.516073374421195,0.1634615384615384,0.2,,-0.0412565916902501,0.0737842483004543,65,65
