method,stratum,n_pair_rows,n_runs,b2_amp_cut_adc,median_b2_sat_count,median_b2_sat_excess_adc,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,mean_abs_pair_cov_ns2
mlp_duplicate_safe,B2_sat_count_eq0,28334,7,,0.0,0.0,3.1063250624214622,2.9075306114695723,3.3219153779812207,199.25289819972502
mlp_duplicate_safe,B2_amp_top_decile,3497,7,4497.0,6.0,2022.0,16.480428941691578,14.034613715310805,21.12991061752406,519.5937786636302
mlp_duplicate_safe,B2_amp_lower_90pct,31444,7,4497.0,0.0,0.0,3.2185316488022764,3.053622472117525,3.5060948344240996,230.50801794715204
cnn_waveform_only,all_B2_containing,34941,7,,0.0,0.0,4.9365592294471465,3.368214754902033,5.463366343280149,282.6473812973381
cnn_waveform_only,B2_sat_count_gt0,6607,7,,3.0,783.5,14.590575271198016,8.567950868619178,17.385891376949637,645.214520341275
cnn_waveform_only,B2_sat_count_eq0,28334,7,,0.0,0.0,4.415235152865144,3.053949330905833,5.20775321385291,216.10018149602482
cnn_waveform_only,B2_amp_top_decile,3497,7,4497.0,6.0,2022.0,17.0691822596536,15.45855014956542,20.255151873558432,629.7148358515747
cnn_waveform_only,B2_amp_lower_90pct,31444,7,4497.0,0.0,0.0,4.569535667666412,3.2167604111249464,5.238108285945117,254.7434744704509
hybrid_cnn_tabular_duplicate_safe,all_B2_containing,34941,7,,0.0,0.0,4.029737580527885,3.0710460292918977,5.547530063114359,280.47247200700065
hybrid_cnn_tabular_duplicate_safe,B2_sat_count_gt0,6607,7,,3.0,783.5,13.780698772075379,6.35596688908852,17.398286572738066,638.8661209517331
hybrid_cnn_tabular_duplicate_safe,B2_sat_count_eq0,28334,7,,0.0,0.0,3.542223616256106,2.9173283109012647,4.328267615698089,214.99589582739165
hybrid_cnn_tabular_duplicate_safe,B2_amp_top_decile,3497,7,4497.0,6.0,2022.0,16.99983813678168,15.167093569378785,19.779022959894508,621.9274249851593
hybrid_cnn_tabular_duplicate_safe,B2_amp_lower_90pct,31444,7,4497.0,0.0,0.0,3.6131212320085213,2.9045556602835516,4.475005599990451,252.76952068287474
