method,run,n,timing_bias_ns,timing_sigma68_ns,saturation_mae,pileup_auc,pileup_one_minus_auc,energy_bias,energy_sigma68,pid_shift_bias,pid_shift_sigma68
compact_waveform_transformer,58,564,-5.73737330051309,8.759849638268124,0.2598093846608003,0.9611907949257347,0.03880920507426533,0.04227098519767303,0.4166200121013506,0.013926605212634845,0.13671399980296678
compact_waveform_transformer,60,600,-3.4918176006973267,5.683705589960168,0.2598505154402748,0.9147128464645526,0.08528715353544736,-0.053756780212709465,0.29802691900595357,0.030812966989831374,0.1473952917657571
compact_waveform_transformer,62,600,-3.8785945659901984,5.91797328189992,0.2689667873734598,0.9112682071569862,0.0887317928430138,0.08595312714279313,0.30776702650350896,-0.0021393709877469812,0.1565722951780526
compact_waveform_transformer,64,600,-3.5876404949014224,6.429854290114919,0.2955817364904118,0.9159961770981508,0.08400382290184916,0.09168769506943786,0.3824550589127851,-0.027838070461840614,0.1535164609231312
compact_waveform_transformer,65,555,-2.6842735857045206,7.625689316500239,0.2934876863769774,0.9442752264917214,0.05572477350827865,0.13779024202932888,0.41340485472824534,-0.04674294672487457,0.15970352134735602
gradient_boosted_trees,42,567,0.8378518313859544,2.105227004133792,0.0009421381003521194,1.0,0.0,0.02908804838840162,0.10835084131275026,-0.0006864065979624405,0.0013655232010272265
gradient_boosted_trees,50,590,-0.07735213143746611,4.935504007088394,0.0009812451334618839,1.0,0.0,-0.09292215765737537,0.08729229795975238,0.0005723651480459386,0.0016719860040243723
gradient_boosted_trees,57,580,-0.4268380711726607,1.9831956297066031,0.0010437293914792056,1.0,0.0,0.0315912886334212,0.1068596294900529,-0.00025866351790748807,0.0015771382442476137
gradient_boosted_trees,58,564,-3.4446409499484703,2.2318616387635304,0.0011177817306217658,1.0,0.0,-0.018053826071995058,0.12122870888071777,0.001275660433630653,0.001035220087711984
gradient_boosted_trees,60,600,-0.4764035127312649,2.71910379950019,0.0010624404457697865,1.0,0.0,-0.23751463519905341,0.39927570851446653,0.0004208530119864135,0.0009680280544230727
gradient_boosted_trees,62,600,-0.7912530998335487,1.8967228807130472,0.0010214262725706446,1.0,0.0,-0.08711391972099516,0.3007862297580664,7.099069491943032e-05,0.0020123257749234853
gradient_boosted_trees,64,600,-1.5027756487706645,2.628594126488005,0.0009446135005556842,1.0,0.0,0.030763145122928992,0.2717288158274468,0.000250968991738423,0.001246865721367002
gradient_boosted_trees,65,555,-2.773119021157303,3.980732179281385,0.0010032029849069409,1.0,0.0,0.08970084806209377,0.21074797806573908,0.000902545158407742,0.0012682496191385696
mlp,42,567,0.3014266017100198,3.066674470666971,0.01388119794214866,1.0,0.0,0.052630269872571134,0.1801846629217491,0.000937474675265889,0.01745707899953685
mlp,50,590,-1.0622577211477195,4.097820600942875,0.013172100373236425,1.0,0.0,-0.0749866451471486,0.139702078197183,0.0014355963051810425,0.019114624766162863
mlp,57,580,-0.8606068750069191,2.516571964685215,0.01429287032459324,1.0,0.0,0.06721549845434806,0.1723969818591085,0.0031827374994937135,0.01737595574383457
mlp,58,564,-3.8353890640066943,3.6523293948569946,0.013091549091172916,1.0,0.0,-0.004564158553041431,0.16103807794849856,0.00208023451070748,0.017910096336510275
mlp,60,600,-1.1839029700287167,4.125622039106908,0.01452056854563264,1.0,0.0,-0.2229979943752681,0.335106481300934,0.004915763299080833,0.020513033810012377
mlp,62,600,-1.320385355765623,3.2316614632835545,0.01508409026727862,1.0,0.0,-0.04541001021476855,0.3210382904539513,0.0039018837288470405,0.02008322399228572
mlp,64,600,-2.4145545631569125,3.64199254489029,0.014115694400917344,1.0,0.0,0.03915156329392727,0.24013618804328657,0.002336096839202723,0.019828342841514694
mlp,65,555,-3.0303091856785738,5.380494532041926,0.013691472609110071,1.0,0.0,0.13445390751586528,0.2190282628313076,0.0030647054138673905,0.017352703726921
phase_gate_transformer_new,42,567,1.7451514814044211,10.735621434388987,0.28399535832338896,0.9652952770639454,0.034704722936054644,0.12141102413186822,0.44278342225514294,0.0001648002835329147,0.1361286424016769
phase_gate_transformer_new,50,590,0.43884426931293685,11.912060338616296,0.2943682541506729,0.9768649724114796,0.023135027588520374,0.04074336767551312,0.34240796203448753,-0.009556435741513504,0.12078470227482381
phase_gate_transformer_new,57,580,1.5029045975461859,10.220826524693702,0.28022809524065506,0.971853514132926,0.028146485867074023,0.06521162766957822,0.4318807846019517,-0.008865130187435438,0.11571122327732303
phase_gate_transformer_new,58,564,-1.394180288312799,10.412015985497789,0.2706037054859112,0.9669152801682921,0.03308471983170791,0.06155853735900951,0.3906653897457186,-0.003750156119075425,0.10521012308082306
phase_gate_transformer_new,60,600,2.31849284933885,6.758911488482424,0.2736077750697101,0.8995194762988068,0.1004805237011932,-0.09370533634390998,0.23265772703312615,-0.0015447600803430526,0.09715409529579519
phase_gate_transformer_new,62,600,0.9260979736698189,8.313668103800406,0.282822856301969,0.9023444524366122,0.09765554756338779,0.014607901304874993,0.24594868017477062,-0.02054130942772068,0.09711351261653632
phase_gate_transformer_new,64,600,-1.2121693528614257,8.883869515384333,0.30950786263001845,0.940456081081081,0.05954391891891897,0.08229073956026323,0.2893819383133927,-0.04353754993963023,0.10397300804548283
phase_gate_transformer_new,65,555,-1.19069870678336,10.069255156549605,0.30817769337773593,0.9590492554410079,0.04095074455899206,0.14363715329848503,0.35698265519068173,-0.04148409145960987,0.10703596389659346
ridge,42,567,0.3097053929871123,3.737343920454804,0.07008809211597838,0.9992515156807464,0.0007484843192535617,0.07882265346186168,0.2977381195034831,-0.0005926600432026676,0.0016728000166030988
ridge,50,590,-1.125718896400206,4.21947885590599,0.06570670871040732,1.0,0.0,-0.029371424853787576,0.28503785880887933,0.0007478367534124188,0.0020992755998256703
ridge,57,580,-0.05902689335436184,3.3938570080332218,0.06712156538307539,1.0,0.0,0.0694843862216736,0.27761154705286817,-2.555779647183407e-05,0.001737419628011523
ridge,58,564,-3.034235574965521,4.39001400423947,0.06594591325230659,1.0,0.0,-0.017265538807730463,0.25059222886367444,0.001568780569617212,0.0014499490017326143
ridge,60,600,-0.4900342041892807,3.387184514385849,0.06433542710407131,0.9999883931473141,1.16068526858637e-05,-0.13598510206564673,0.2581443344809484,0.0006858272104208196,0.001685580234485417
ridge,62,600,-1.0503858549483942,2.9472260450994954,0.07319718805981644,1.0,0.0,0.020648427250944665,0.22843014165586034,0.00039018365254077565,0.0018954648781060023
ridge,64,600,-1.4014878141224445,3.1583677948988615,0.07967736472878777,1.0,0.0,0.09173831171901228,0.19345818697342526,0.0001021115631369752,0.00159797515318499
ridge,65,555,-1.5170437531277532,4.112004579276352,0.08214643401267142,0.9999869832344059,1.301676559406495e-05,0.1314238358777085,0.20377791996934747,0.000993578684210586,0.0014357160256518314
traditional_cfd_template_fit,42,567,-0.7102856728874016,1.1784877515182166,0.3057369337343071,0.8413774606421996,0.15862253935780035,0.08501119577632021,0.3178026753152142,0.0,0.06363802365793148
traditional_cfd_template_fit,50,590,0.34408718392765003,1.2847656151716742,0.3514599105236694,0.9073442145079758,0.09265578549202425,0.031432447770858296,0.38301939343446845,2.168404344971009e-19,0.011489368166637698
traditional_cfd_template_fit,57,580,-0.26469620570705454,0.5296948149148121,0.2782180514984778,0.8654507257448434,0.13454927425515661,0.07272046207523464,0.2967197645469324,2.168404344971009e-19,0.03590563055157436
traditional_cfd_template_fit,58,564,0.8147780881878388,0.7449542856318007,0.2803683217385276,0.8957353222413463,0.10426467775865367,0.049803548638129636,0.2835543742191539,0.0,0.011709108854100973
traditional_cfd_template_fit,60,600,0.033006414519830996,0.8340415369690475,0.29175809454698026,0.7372324620455917,0.2627675379544083,-0.08425596196946206,0.19186235094626336,2.168404344971009e-19,0.16259956050023405
traditional_cfd_template_fit,62,600,-0.46278102043653324,1.161911561078001,0.2988667374183841,0.7752989570221183,0.22470104297788174,0.04250236893520021,0.19716996091947858,0.0,0.22978070311364918
traditional_cfd_template_fit,64,600,0.7618410264928892,0.5656790942388332,0.28516452110970436,0.7840171586059745,0.21598284139402546,0.10928917067719013,0.19236652264249138,2.168404344971009e-19,0.11402357363174273
traditional_cfd_template_fit,65,555,0.6968234963837383,0.3794078632718317,0.28069775708631467,0.8395032802249297,0.1604967197750703,0.17521086058752555,0.2229026587858886,0.0,0.08070818052988521
