method,accepted_fraction,n,n_runs,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct,coverage68,coverage90,mean_width68_frac,mean_width90_frac
mlp,0.7499383477188656,3041,32,-0.038830911241760566,0.37509502184650295,0.6124153030318111,0.19368628740545873,0.470568891811904,0.669187767181848,0.8904965471884249,0.811539710190515,1.4838561983953624
mlp,0.5001233045622688,2028,32,-0.039080917625483505,0.35333989335314886,0.6134430064542182,0.21646942800788954,0.4980276134122288,0.6715976331360947,0.8895463510848126,0.7676795556239208,1.3966612537457352
mlp,0.2500616522811344,1014,29,-0.032759048652900434,0.32333172157272677,0.5003864087097296,0.23668639053254437,0.5473372781065089,0.6676528599605522,0.8905325443786982,0.6748599135725197,1.1552587138641455
1d_cnn,1.0,4055,32,-0.006973665081697532,0.3669547845276774,0.6450820893419349,0.1970406905055487,0.4942046855733662,0.6791615289765721,0.8956843403205919,0.8937937116730049,1.9847120505410054
1d_cnn,0.7499383477188656,3041,32,-0.021352025081314414,0.35335253891851887,0.6294605586803529,0.20453798092732653,0.5106872739230516,0.6701742847747452,0.8904965471884249,0.8175943213652873,1.8397746796990604
1d_cnn,0.5001233045622688,2028,32,-0.044673219413172253,0.3349933441465944,0.6104801162288144,0.22238658777120315,0.5364891518737672,0.6676528599605522,0.8949704142011834,0.7330603484245648,1.5925041471040045
1d_cnn,0.2500616522811344,1014,30,-0.06862453953079878,0.3067529583009874,0.47889977142478274,0.26331360946745563,0.5798816568047337,0.6548323471400395,0.8925049309664694,0.6085817870128376,1.0984955692164142
support_gated_residual_cnn,1.0,4055,32,-0.004083483001584418,0.3638554199596054,0.6281301936015606,0.19482120838471023,0.5016029593094945,0.6801479654747226,0.8974106041923551,0.8529305087292229,1.8319704890869695
support_gated_residual_cnn,0.7499383477188656,3041,32,-0.008150573639644089,0.3454306532833595,0.6149879698154076,0.20223610654390003,0.5231831634330812,0.6731338375534364,0.8947714567576455,0.7960344335089926,1.721712343267329
support_gated_residual_cnn,0.5001233045622688,2028,32,-0.013703262359167528,0.31866972250588516,0.6294248112125869,0.23126232741617356,0.5655818540433925,0.6770216962524654,0.8974358974358975,0.7288524967383827,1.6062723659400886
support_gated_residual_cnn,0.2500616522811344,1014,30,-0.028166459476552566,0.28238993341649005,0.435196454383287,0.26331360946745563,0.6242603550295858,0.6755424063116371,0.9043392504930966,0.5945286603878309,1.159326475943747
