method,support_cell,n,n_runs,retained_fraction,a_topology,topology_pattern,b2_amp_bin,saturation_stratum,anomaly_stratum,baseline_bin,peak_phase_bin,q_template_bin,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct,coverage68,coverage90,mean_width68_frac,mean_width90_frac,shuffled_res68_abs_frac,topology_only_res68_abs_frac,real_minus_shuffled_res68,real_minus_topology_res68,accepted_support_cell
gradient_boosted_trees,A1_A3_pair|B2_only|3000_5000|all_B_amp_lt7000|broad_saturation_like|quiet|rising_6_8|extreme,169,20,0.041676942046855736,A1_A3_pair,B2_only,3000_5000,all_B_amp_lt7000,broad_saturation_like,quiet,rising_6_8,extreme,-0.0032201305721019893,0.264655965734111,0.3397932372461665,0.3254437869822485,0.6390532544378699,0.6745562130177515,0.8994082840236687,0.5500658652600825,0.968179575361649,0.5095637998717567,0.2566811569358034,-0.24490783413764572,0.007974808798307587,False
mlp,A1_A3_pair|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|large|early_le5|extreme,80,15,0.01972872996300863,A1_A3_pair,B2_only,5000_7000,all_B_amp_lt7000,broad_saturation_like,large,early_le5,extreme,-0.013166922814682173,0.26729897872253305,0.2587503078076315,0.3625,0.65,0.75,0.95,0.6083898568852535,0.9054889021972443,0.4790024187381765,0.23695368290032687,-0.21170344001564345,0.030345295822206186,False
1d_cnn,A1_A3_pair|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|large|early_le5|extreme,80,15,0.01972872996300863,A1_A3_pair,B2_only,5000_7000,all_B_amp_lt7000,broad_saturation_like,large,early_le5,extreme,-0.05984125187006209,0.2689567856455018,0.2543483647130488,0.3375,0.6375,0.725,0.9,0.5551198206371695,0.7985219848862863,0.4790024187381765,0.23695368290032687,-0.2100456330926747,0.03200310274517493,False
gradient_boosted_trees,A1_A3_pair|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|quiet|rising_6_8|extreme,154,22,0.03797780517879162,A1_A3_pair,B2_only,5000_7000,all_B_amp_lt7000,broad_saturation_like,quiet,rising_6_8,extreme,-0.03380802821547552,0.27030995576500844,0.3403783610265801,0.2857142857142857,0.6038961038961039,0.6623376623376623,0.8701298701298701,0.541118164957984,0.8118151348527586,0.49954427809011515,0.2906472083985063,-0.2292343223251067,-0.020337252633497838,False
mlp,A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|quiet|rising_6_8|extreme,70,19,0.01726263871763255,A1_A3_pair,B2_only,7000_inf,any_B_amp_ge7000,late_tail_high,quiet,rising_6_8,extreme,-0.06662136191776191,0.27053950844574076,0.8566787483796657,0.2714285714285714,0.6142857142857143,0.7428571428571429,0.8857142857142857,0.6824624553479398,1.184596740905095,0.48686318391005445,0.2476042158897316,-0.2163236754643137,0.02293529255600915,False
1d_cnn,A1_A3_pair|B2_only|2000_3000|all_B_amp_lt7000|late_tail_high|quiet|rising_6_8|extreme,60,14,0.014796547472256474,A1_A3_pair,B2_only,2000_3000,all_B_amp_lt7000,late_tail_high,quiet,rising_6_8,extreme,0.0004576738570943621,0.2709352433438953,0.2830772371730822,0.25,0.6166666666666667,0.8166666666666667,0.9833333333333333,0.7335617729851978,1.760535491442473,0.4647147731361257,0.2679178954816929,-0.1937795297922304,0.0030173478622023686,False
strong_huber_transfer,A1_A3_pair|B2_only|2000_3000|all_B_amp_lt7000|late_tail_high|quiet|rising_6_8|extreme,60,14,0.014796547472256474,A1_A3_pair,B2_only,2000_3000,all_B_amp_lt7000,late_tail_high,quiet,rising_6_8,extreme,0.05754226556277841,0.2736937680022885,0.3330033786682333,0.25,0.5833333333333334,0.8166666666666667,0.95,0.7843993918516602,1.5576326164625085,0.4647147731361257,0.2679178954816929,-0.19102100513383719,0.005775872520595582,False
topology_median,A1_A3_pair|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|quiet|rising_6_8|extreme,154,22,0.03797780517879162,A1_A3_pair,B2_only,5000_7000,all_B_amp_lt7000,broad_saturation_like,quiet,rising_6_8,extreme,-0.014766301831811612,0.2751192320434157,0.3475662781298942,0.2792207792207792,0.5974025974025974,0.6623376623376623,0.8766233766233766,0.5716585699980478,0.885151221581437,0.49954427809011515,0.2906472083985063,-0.22442504604669944,-0.015527976355090567,False
ridge,A1_A3_pair|B2_only|2000_3000|all_B_amp_lt7000|late_tail_high|quiet|rising_6_8|extreme,60,14,0.014796547472256474,A1_A3_pair,B2_only,2000_3000,all_B_amp_lt7000,late_tail_high,quiet,rising_6_8,extreme,0.036444645227333566,0.2762756094585156,0.314896160668651,0.26666666666666666,0.6333333333333333,0.8166666666666667,0.9666666666666667,0.7834909422411374,1.398280338215237,0.4647147731361257,0.2679178954816929,-0.1884391636776101,0.008357713976822667,False
ridge,A1_A3_pair|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|quiet|rising_6_8|extreme,154,22,0.03797780517879162,A1_A3_pair,B2_only,5000_7000,all_B_amp_lt7000,broad_saturation_like,quiet,rising_6_8,extreme,-0.05879983199562395,0.27642349097433855,0.32747787885984436,0.2792207792207792,0.5844155844155844,0.6623376623376623,0.8506493506493507,0.5553484796891991,0.8262368812736636,0.49954427809011515,0.2906472083985063,-0.2231207871157766,-0.014223717424167726,False
topology_median,A1_A3_pair|B2_only|2000_3000|all_B_amp_lt7000|late_tail_high|quiet|rising_6_8|extreme,60,14,0.014796547472256474,A1_A3_pair,B2_only,2000_3000,all_B_amp_lt7000,late_tail_high,quiet,rising_6_8,extreme,-0.015563551278897756,0.2766155503687013,0.3099942475613465,0.25,0.6,0.8833333333333333,0.9666666666666667,0.8009970640400478,1.7683097800459742,0.4647147731361257,0.2679178954816929,-0.1880992227674244,0.008697654887008355,False
strong_huber_transfer,A1_A3_pair|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|quiet|rising_6_8|extreme,154,22,0.03797780517879162,A1_A3_pair,B2_only,5000_7000,all_B_amp_lt7000,broad_saturation_like,quiet,rising_6_8,extreme,-0.035040664611746875,0.2782437946119462,0.32792893173227455,0.2922077922077922,0.6298701298701299,0.6688311688311688,0.8636363636363636,0.5510760259482962,0.8053487234274677,0.49954427809011515,0.2906472083985063,-0.22130048347816894,-0.012403413786560069,False
ridge,A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|large|early_le5|extreme,53,15,0.013070283600493218,A1_A3_pair,B2_only,7000_inf,any_B_amp_ge7000,late_tail_high,large,early_le5,extreme,-0.05229510723848282,0.2782649948251381,0.24688937062958083,0.3584905660377358,0.6037735849056604,0.660377358490566,0.9433962264150944,0.5448681296246645,0.8512435263719204,0.5294935534688164,0.2779400632226073,-0.2512285586436783,0.0003249316025308313,False
support_gated_residual_cnn,A1_A3_pair|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|quiet|rising_6_8|extreme,154,22,0.03797780517879162,A1_A3_pair,B2_only,5000_7000,all_B_amp_lt7000,broad_saturation_like,quiet,rising_6_8,extreme,-0.017830951476173803,0.27902658068741265,0.338588509490927,0.24025974025974026,0.6038961038961039,0.6428571428571429,0.8571428571428571,0.5528316848258568,0.8606628372187677,0.49954427809011515,0.2906472083985063,-0.2205176974027025,-0.011620627711093623,False
1d_cnn,A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|quiet|rising_6_8|extreme,70,19,0.01726263871763255,A1_A3_pair,B2_only,7000_inf,any_B_amp_ge7000,late_tail_high,quiet,rising_6_8,extreme,-0.09363676279167522,0.28007959922361003,0.7161173225612506,0.2571428571428571,0.6428571428571429,0.7,0.9142857142857143,0.6274658816524482,0.9298302757007615,0.48686318391005445,0.2476042158897316,-0.20678358468644442,0.03247538333387842,False
1d_cnn,A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|large|early_le5|extreme,53,15,0.013070283600493218,A1_A3_pair,B2_only,7000_inf,any_B_amp_ge7000,late_tail_high,large,early_le5,extreme,-0.13416682816424372,0.2841437223152347,0.2684928613559959,0.22641509433962265,0.6226415094339622,0.7358490566037735,0.9056603773584906,0.5412204535472549,0.7969660135081413,0.5294935534688164,0.2779400632226073,-0.24534983115358172,0.006203659092627434,False
strong_huber_transfer,A1_A3_pair|B2_only|1000_2000|all_B_amp_lt7000|dropout_like|large|early_le5|low,60,15,0.014796547472256474,A1_A3_pair,B2_only,1000_2000,all_B_amp_lt7000,dropout_like,large,early_le5,low,0.03278365184259084,0.2842794093134557,0.4282909228593761,0.18333333333333332,0.5166666666666667,0.7666666666666667,0.9166666666666666,0.724246038649171,1.564672166219596,0.49833759544351364,0.2897581559352643,-0.21405818613005795,-0.005478746621808639,False
strong_huber_transfer,A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|large|early_le5|extreme,53,15,0.013070283600493218,A1_A3_pair,B2_only,7000_inf,any_B_amp_ge7000,late_tail_high,large,early_le5,extreme,-0.053936512531499954,0.2887661311936757,0.2513784749623316,0.3018867924528302,0.6037735849056604,0.660377358490566,0.9622641509433962,0.5646488653351093,0.8942873515833009,0.5294935534688164,0.2779400632226073,-0.2407274222751407,0.010826067971068443,False
support_gated_residual_cnn,A1_A3_pair|B2_only|2000_3000|all_B_amp_lt7000|late_tail_high|quiet|rising_6_8|extreme,60,14,0.014796547472256474,A1_A3_pair,B2_only,2000_3000,all_B_amp_lt7000,late_tail_high,quiet,rising_6_8,extreme,0.06369622313947515,0.2896569911232053,0.34039159999379653,0.25,0.5833333333333334,0.7666666666666667,0.9666666666666667,0.7832778686638058,1.885899172029696,0.4647147731361257,0.2679178954816929,-0.17505778201292038,0.021739095641512385,False
1d_cnn,A1_A3_pair|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|quiet|rising_6_8|extreme,154,22,0.03797780517879162,A1_A3_pair,B2_only,5000_7000,all_B_amp_lt7000,broad_saturation_like,quiet,rising_6_8,extreme,-0.06497068414759397,0.29137977122813674,0.31722941660906684,0.3116883116883117,0.5844155844155844,0.6493506493506493,0.8831168831168831,0.5556970536911418,0.8016155923620226,0.49954427809011515,0.2906472083985063,-0.2081645068619784,0.0007325628296304676,False
mlp,A1_A3_pair|B2_only|3000_5000|all_B_amp_lt7000|broad_saturation_like|quiet|rising_6_8|extreme,169,20,0.041676942046855736,A1_A3_pair,B2_only,3000_5000,all_B_amp_lt7000,broad_saturation_like,quiet,rising_6_8,extreme,-0.03498243060363361,0.29463003452809733,0.38287460411930524,0.2603550295857988,0.6153846153846154,0.6804733727810651,0.9112426035502958,0.611409635047556,1.0176039468443756,0.5095637998717567,0.2566811569358034,-0.21493376534365938,0.03794887759229393,False
gradient_boosted_trees,A1_A3_pair|B2_only|2000_3000|all_B_amp_lt7000|late_tail_high|quiet|rising_6_8|extreme,60,14,0.014796547472256474,A1_A3_pair,B2_only,2000_3000,all_B_amp_lt7000,late_tail_high,quiet,rising_6_8,extreme,0.03427188954930876,0.29603926078892834,0.32532987374680394,0.38333333333333336,0.6,0.8166666666666667,0.95,0.777404176794502,1.4804023989968391,0.4647147731361257,0.2679178954816929,-0.16867551234719735,0.028121365307235413,False
mlp,A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|large|early_le5|extreme,53,15,0.013070283600493218,A1_A3_pair,B2_only,7000_inf,any_B_amp_ge7000,late_tail_high,large,early_le5,extreme,-0.03272089862660189,0.2989133659660682,0.3162402841786839,0.18867924528301888,0.5283018867924528,0.6792452830188679,0.8867924528301887,0.6231569047108548,1.0783806289947215,0.5294935534688164,0.2779400632226073,-0.23058018750274822,0.02097330274346093,False
mlp,A1_A3_pair|B2_only|2000_3000|all_B_amp_lt7000|late_tail_high|quiet|rising_6_8|extreme,60,14,0.014796547472256474,A1_A3_pair,B2_only,2000_3000,all_B_amp_lt7000,late_tail_high,quiet,rising_6_8,extreme,-0.03378339762812688,0.30237225203856877,0.3178535232871957,0.26666666666666666,0.5666666666666667,0.8,0.9666666666666667,0.7723623510458472,1.5275826110826052,0.4647147731361257,0.2679178954816929,-0.16234252109755692,0.03445435655687584,False
topology_median,A1_A3_pair|B2_only|1000_2000|all_B_amp_lt7000|dropout_like|large|early_le5|low,60,15,0.014796547472256474,A1_A3_pair,B2_only,1000_2000,all_B_amp_lt7000,dropout_like,large,early_le5,low,-0.0024192682664626796,0.30758170984939276,0.39412217312894243,0.18333333333333332,0.5,0.7833333333333333,0.95,0.7475053428807512,1.62847347655564,0.49833759544351364,0.2897581559352643,-0.19075588559412088,0.01782355391412843,False
ridge,A1_A3_pair|B2_only|1000_2000|all_B_amp_lt7000|dropout_like|large|early_le5|low,60,15,0.014796547472256474,A1_A3_pair,B2_only,1000_2000,all_B_amp_lt7000,dropout_like,large,early_le5,low,0.02843487998316886,0.31908105462709774,0.4027141929719799,0.18333333333333332,0.45,0.7666666666666667,0.95,0.7602965268454217,1.4316576387390312,0.49833759544351364,0.2897581559352643,-0.1792565408164159,0.02932289869183341,False
mlp,A1_A3_pair|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|quiet|rising_6_8|extreme,154,22,0.03797780517879162,A1_A3_pair,B2_only,5000_7000,all_B_amp_lt7000,broad_saturation_like,quiet,rising_6_8,extreme,-0.004283260363284171,0.3238786383441985,0.36359912614264395,0.23376623376623376,0.538961038961039,0.6688311688311688,0.8701298701298701,0.6417597703429352,0.957945138334026,0.49954427809011515,0.2906472083985063,-0.17566563974591665,0.033231429945692226,False
support_gated_residual_cnn,A3_only|B2_only|1000_2000|all_B_amp_lt7000|late_tail_high|quiet|rising_6_8|extreme,111,22,0.027373612823674474,A3_only,B2_only,1000_2000,all_B_amp_lt7000,late_tail_high,quiet,rising_6_8,extreme,-0.027041578080811084,0.3315039901605658,0.8370475526419684,0.1891891891891892,0.5585585585585585,0.7117117117117117,0.918918918918919,0.9109274395052915,2.4373428116651192,0.3771715380243503,0.35357171893574046,-0.04566754786378446,-0.022067728775174655,False
topology_median,A3_only|B2_only|1000_2000|all_B_amp_lt7000|late_tail_high|quiet|rising_6_8|extreme,111,22,0.027373612823674474,A3_only,B2_only,1000_2000,all_B_amp_lt7000,late_tail_high,quiet,rising_6_8,extreme,0.003380891459705414,0.33422312252054853,0.862423444214102,0.2072072072072072,0.5225225225225225,0.7297297297297297,0.8828828828828829,1.0453396867288551,2.208235467657887,0.3771715380243503,0.35357171893574046,-0.04294841550380174,-0.019348596415191932,False
gradient_boosted_trees,A1_A3_pair|B2_only|1000_2000|all_B_amp_lt7000|dropout_like|large|early_le5|low,60,15,0.014796547472256474,A1_A3_pair,B2_only,1000_2000,all_B_amp_lt7000,dropout_like,large,early_le5,low,0.02610172080030014,0.33715348850884486,0.40865779871840896,0.11666666666666667,0.45,0.7,0.9333333333333333,0.7402850668856099,1.4472213803702625,0.49833759544351364,0.2897581559352643,-0.16118410693466878,0.04739533257358053,False
1d_cnn,A3_only|B2_only|1000_2000|all_B_amp_lt7000|late_tail_high|quiet|rising_6_8|extreme,111,22,0.027373612823674474,A3_only,B2_only,1000_2000,all_B_amp_lt7000,late_tail_high,quiet,rising_6_8,extreme,0.036071431934618446,0.3420325008640477,0.8843744006513804,0.21621621621621623,0.5585585585585585,0.7207207207207207,0.9099099099099099,0.9919984925447419,2.8280958593463295,0.3771715380243503,0.35357171893574046,-0.03513903716030259,-0.01153921807169278,False
gradient_boosted_trees,A3_only|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|mild|rising_6_8|extreme,82,18,0.020221948212083847,A3_only,B2_only,5000_7000,all_B_amp_lt7000,broad_saturation_like,mild,rising_6_8,extreme,-0.06967807299948806,0.34831665087840674,0.5471637409777363,0.15853658536585366,0.4146341463414634,0.7439024390243902,0.926829268292683,0.8373772036604817,1.5196616291839748,0.5086938631305147,0.36958594758587804,-0.16037721225210794,-0.021269296707471297,False
strong_huber_transfer,A3_only|B2_only|1000_2000|all_B_amp_lt7000|late_tail_high|quiet|rising_6_8|extreme,111,22,0.027373612823674474,A3_only,B2_only,1000_2000,all_B_amp_lt7000,late_tail_high,quiet,rising_6_8,extreme,-0.07144104418782933,0.35137327230836546,0.7546122627781647,0.16216216216216217,0.4864864864864865,0.7117117117117117,0.918918918918919,0.8828399715689029,2.1173075807674566,0.3771715380243503,0.35357171893574046,-0.025798265715984814,-0.002198446627375006,False
1d_cnn,A3_only|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|mild|rising_6_8|extreme,82,18,0.020221948212083847,A3_only,B2_only,5000_7000,all_B_amp_lt7000,broad_saturation_like,mild,rising_6_8,extreme,0.07530710509430105,0.3514355868795291,0.6125291884026364,0.18292682926829268,0.4146341463414634,0.7804878048780488,0.926829268292683,0.99825518641726,2.1790975396299226,0.5086938631305147,0.36958594758587804,-0.1572582762509856,-0.018150360706348956,False
topology_median,A3_only|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|mild|rising_6_8|extreme,82,18,0.020221948212083847,A3_only,B2_only,5000_7000,all_B_amp_lt7000,broad_saturation_like,mild,rising_6_8,extreme,0.0037978687853047035,0.3524822843072858,0.5581592229776432,0.15853658536585366,0.4268292682926829,0.8048780487804879,0.9390243902439024,0.9194396215125581,1.8601732137267137,0.5086938631305147,0.36958594758587804,-0.1562115788232289,-0.01710366327859225,False
support_gated_residual_cnn,A3_only|B2_only|3000_5000|all_B_amp_lt7000|broad_saturation_like|mild|rising_6_8|extreme,82,20,0.020221948212083847,A3_only,B2_only,3000_5000,all_B_amp_lt7000,broad_saturation_like,mild,rising_6_8,extreme,-0.010836670469289846,0.3534060381480915,0.6693103304655996,0.10975609756097561,0.4146341463414634,0.7195121951219512,0.9146341463414634,0.9779462159838759,2.1140372161600185,0.5596520458532361,0.3708916374997986,-0.20624600770514462,-0.01748559935170707,False
mlp,A3_only|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|large|early_le5|extreme,98,20,0.024167694204685574,A3_only,B2_only,7000_inf,any_B_amp_ge7000,late_tail_high,large,early_le5,extreme,-0.05302604687096013,0.3566484730071746,0.5787653345491119,0.1836734693877551,0.4897959183673469,0.7142857142857143,0.8979591836734694,0.9782378597045464,1.809062630833361,0.4048722826747861,0.3534305704431489,-0.04822380966761147,0.0032179025640257097,False
1d_cnn,A1_A3_pair|B2_only|1000_2000|all_B_amp_lt7000|dropout_like|large|early_le5|low,60,15,0.014796547472256474,A1_A3_pair,B2_only,1000_2000,all_B_amp_lt7000,dropout_like,large,early_le5,low,-0.16455389853913585,0.3587405857624368,0.3497970143928068,0.21666666666666667,0.43333333333333335,0.6666666666666666,0.9833333333333333,0.6474951284260188,1.606294599644753,0.49833759544351364,0.2897581559352643,-0.13959700968107686,0.06898242982717245,False
