run,method,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct
44,b2_loglinear,30,-0.1575202495690804,0.47458794868611787,0.5947814918294035,0.13333333333333333,0.3
44,charge_transfer_ridge,30,-0.1555881204887936,0.4756602860428512,0.5843111585259233,0.13333333333333333,0.3
44,b_waveform_extra_trees,30,-0.15153825321307102,0.4769537090884733,0.6534976655035528,0.1,0.3
45,b2_loglinear,302,0.004302122815553916,0.5201907974313623,0.6812375479742172,0.11589403973509933,0.31456953642384106
45,charge_transfer_ridge,302,0.013688663038252887,0.519066907658595,0.6854480703106537,0.11920529801324503,0.31788079470198677
45,b_waveform_extra_trees,302,0.01019002157788574,0.5232562168746586,0.6797235334663484,0.11920529801324503,0.32450331125827814
47,b2_loglinear,92,-0.013910521280966807,0.4871116529729025,0.5048782969401915,0.17391304347826086,0.34782608695652173
47,charge_transfer_ridge,92,-0.014343301801801937,0.4972008672623787,0.5074284889973557,0.13043478260869565,0.34782608695652173
47,b_waveform_extra_trees,92,-0.017859646571545762,0.487365753494165,0.5048824247226553,0.16304347826086957,0.34782608695652173
48,b2_loglinear,260,-0.10644340124238172,0.47292525327533663,0.6395109260663739,0.12692307692307692,0.36153846153846153
48,charge_transfer_ridge,260,-0.10925371041485324,0.4777915331777112,0.6413804553243933,0.12307692307692308,0.3730769230769231
48,b_waveform_extra_trees,260,-0.11898775096971431,0.4808031893651097,0.643073014072241,0.12692307692307692,0.36153846153846153
49,b2_loglinear,288,-0.09716705242855216,0.5391202700089832,0.7210995523601671,0.1076388888888889,0.3055555555555556
49,charge_transfer_ridge,288,-0.09829317383713418,0.5308935860774822,0.7218848839437271,0.10416666666666667,0.3055555555555556
49,b_waveform_extra_trees,288,-0.09312870672783713,0.5371161228280181,0.7214111281668762,0.10416666666666667,0.3055555555555556
50,b2_loglinear,61,0.0819026901632378,0.5997824588599675,0.8569988819233377,0.14754098360655737,0.32786885245901637
50,charge_transfer_ridge,61,0.07912256938338902,0.5967291160140626,0.8540617074888232,0.14754098360655737,0.32786885245901637
50,b_waveform_extra_trees,61,0.07875585608560048,0.597058944469838,0.8586586788030836,0.14754098360655737,0.3442622950819672
51,b2_loglinear,25,-0.03839455080569462,0.6865772258265749,1.5289307215930188,0.16,0.24
51,charge_transfer_ridge,25,-0.03481127532462453,0.682692000144539,1.5340466110414799,0.16,0.28
51,b_waveform_extra_trees,25,-0.018348798442036775,0.6850892838674729,1.6054802528168866,0.16,0.24
52,b2_loglinear,6,-0.22457795948827858,0.36319780670441404,0.6353626691602213,0.0,0.5
52,charge_transfer_ridge,6,-0.2280834980884981,0.36383629867537165,0.632271038577457,0.0,0.3333333333333333
52,b_waveform_extra_trees,6,-0.21775458542128845,0.36220782232998355,0.6291723061427638,0.0,0.5
53,b2_loglinear,17,0.4448039182166302,1.0245489385015814,3.8636790340467018,0.058823529411764705,0.23529411764705882
53,charge_transfer_ridge,17,0.43312302184276336,1.0317734805785366,3.8586626739477494,0.058823529411764705,0.23529411764705882
53,b_waveform_extra_trees,17,0.4552002096682313,1.0166964922013562,3.872644492785875,0.058823529411764705,0.17647058823529413
54,b2_loglinear,18,0.4015660691281633,0.6584915331521751,2.811129416202735,0.1111111111111111,0.2222222222222222
54,charge_transfer_ridge,18,0.40261943233796726,0.6507392471180047,2.823091047850363,0.1111111111111111,0.2222222222222222
54,b_waveform_extra_trees,18,0.4034041170960361,0.6671634934733442,2.791717971952488,0.1111111111111111,0.2222222222222222
55,b2_loglinear,27,-0.11969908649260849,0.4449786370814109,1.5016056805329208,0.07407407407407407,0.2962962962962963
55,charge_transfer_ridge,27,-0.11808573259418216,0.46203455462285586,1.5071424840888163,0.07407407407407407,0.2962962962962963
55,b_waveform_extra_trees,27,-0.11991163248057324,0.5425839270477724,1.5105135496722644,0.07407407407407407,0.2962962962962963
56,b2_loglinear,68,0.06196437223871901,0.648183749084964,1.646708237079088,0.14705882352941177,0.27941176470588236
56,charge_transfer_ridge,68,0.0640765038253874,0.646558708763433,1.6554696269877156,0.16176470588235295,0.27941176470588236
56,b_waveform_extra_trees,68,0.07039558343606014,0.6504068969952236,1.6377888557091977,0.14705882352941177,0.27941176470588236
57,b2_loglinear,276,-0.1334788769937698,0.5379825525266126,0.7013620615303942,0.10144927536231885,0.31521739130434784
57,charge_transfer_ridge,276,-0.13428161367913058,0.5383345002449986,0.6871208200862194,0.10144927536231885,0.3115942028985507
57,b_waveform_extra_trees,276,-0.11361408114105104,0.5251192889428238,0.6948106399751752,0.10869565217391304,0.3079710144927536
58,b2_loglinear,34,0.02836206135334504,0.501094558227889,0.7597660221517811,0.23529411764705882,0.35294117647058826
58,charge_transfer_ridge,34,-0.002322071839824852,0.5529582853810711,0.7694616889860503,0.2647058823529412,0.38235294117647056
